,AssignmentId,scalar_text_sequentiality,sentence_total_sequentialities,sentence_contextual_sequentialities,sentence_topic_sequentialities,story,recAgnPairId,recImgPairId,Unnamed: 0
0,3CCZ6YKWR85W995J0FOUBXWA7JL95M,1.3416636841673115,"[0.031412760416666664, 0.47408353365384615, 1.344032689144737, 1.318248324924045, 4.019178771972657, 1.7221505301339286, 0.9953090122767857, 0.37595455463115984, 1.709716796875, 2.693359375, 0.45258955522017047, 2.4259711371527777, 0.5497022356305804, 0.8485310872395834, 0.3002714269301471, 2.120814732142857, 1.8373046875, 0.9313151041666666]","[-29.92431640625, -32.1064453125, -36.5107421875, -16.619430541992188, -6.052543640136719, -14.107177734375, -4.8414306640625, -64.2516860961914, -15.2880859375, -7.25, -31.38916015625, -5.992919921875, -53.58009338378906, -19.278564453125, -37.8375244140625, -15.115234375, -29.947265625, -27.673828125]","[-30.30126953125, -38.26953125, -62.04736328125, -40.347900390625, -26.1484375, -38.21728515625, -11.80859375, -74.02650451660156, -34.094970703125, -23.41015625, -41.34613037109375, -27.82666015625, -65.12384033203125, -29.4609375, -42.942138671875, -29.9609375, -48.3203125, -33.26171875]","In May, my brother and I got into a car accident. He had just arrived in town from overseas to visit for the summer. The day after he arrived, we were driving to one of our favorite taco shops to have lunch. On the way there, we were driving through an intersection when another driver ran a red light. We were t-boned. The other driver hit us on the passenger side, where I was sitting.  Fortunately, no one was seriously injured. My brother's car, which he loves dearly and only gets a chance to drive when he comes to visit, had some body damage. The other driver's car took the worst of the damage. Its front end was badly damaged. I had hit my head on the door frame, so I went to the hospital to make sure I was okay. It turned out that I had a minor concussion. There were no complications, aside from a bad headache, some diziness, and a lot of soreness. All things considered, we are lucky that it was not worse. Unfortunately, I have a lot of anxiety about driving and riding in cars from past experiences. This event brought all of that back. I have been especially anxious while traveling in vehicles lately. I hope that sensation improves soon.",,3CCZ6YKWR85W995J0FOUBXWA7JL95M,0.0
0,3FQ5JJ512MAKGUUG8CB5VNADY7UKNN,1.1769083482470293,"[-0.08525390625, 0.6045654296875, 0.9081624348958334, 1.0356282552083333, 1.1085759943181819, 2.1188151041666665, 0.918487548828125, 1.843046708540483, 1.3398951480263157, 1.6299031575520833, 1.7979403409090908, 2.0026041666666665, 0.7978053845857319, 0.7458065257352942, 1.6915806361607142, 0.6608355978260869, 0.8890433933423914]","[-33.8798828125, -45.472900390625, -19.1551513671875, -30.878662109375, -32.348876953125, -17.607421875, -33.78125, -17.223007202148438, -60.9560546875, -9.1785888671875, -15.564453125, -8.40625, -37.838096618652344, -38.87109375, -13.752685546875, -63.90234375, -65.643310546875]","[-33.02734375, -60.5870361328125, -32.777587890625, -46.4130859375, -56.737548828125, -30.3203125, -48.47705078125, -37.49652099609375, -86.4140625, -18.9580078125, -35.341796875, -20.421875, -52.99639892578125, -51.5498046875, -25.59375, -79.1015625, -86.09130859375]",After waiting for so long I am finally an aunt!! Two months ago my brother and his lovely wife gave birth to a beautiful baby girl and they name her Claudia after our great grandmother. I was so surprised when they told me they were going to have a baby. They tried for a long time and really had thought they would never be parents. So many times they had to go to the fertility clinic and they would get their hopes up just to be disappointed.  But finally our little miracle arrived. I was so proud of my brother and how he handles the birth of his child. I was lucky enough to be invited into the delivery room. It was really amazing to watch the birth of little Claudia and Jill my brothers wife was so brave. She really did a great job. Claudia is now two months old and she is just amazing. She is so beautiful and sweet. It kind of makes me feel bad I never had any children of my own and probably never will. I chose to have a career and didn't really give much time to my personal relationships. But I absolutely love being an aunt. I have kept her on a few occasions so my brother and Jill can go out and get some much needed couple time. I do have to admit I like that I can have baby time then they pick her up and I have me time.,,3YMTUJH0DT2XX5AXKGA1X5R83I2T4O,0.0
0,308Q0PEVB9Z8LX0Y7Z7O060G2O4I9C,0.7439542977188383,"[0.034233940972222224, 0.7673975626627604, 1.0973760431463069, 0.0863037109375, 0.7564773559570312, 1.24609375, 0.5069580078125, 0.45910223599137934, 0.5712856716579862, 0.7250895182291667, 0.43980189732142855, 1.4097222222222223, 1.212841796875, 1.669775390625, 0.40625, 0.5145596590909091]","[-42.8017578125, -54.06292724609375, -24.073394775390625, -66.7216796875, -26.796951293945312, -18.271484375, -39.14453125, -48.533447265625, -43.66168212890625, -37.3345947265625, -42.9951171875, -27.9296875, -54.3212890625, -37.9354248046875, -32.0078125, -79.845703125]","[-43.41796875, -72.48046875, -36.14453125, -68.44775390625, -38.90058898925781, -33.224609375, -47.255859375, -61.847412109375, -53.94482421875, -48.2109375, -49.15234375, -40.6171875, -78.578125, -62.9820556640625, -37.2890625, -91.166015625]","I have been feeling a little depressed about the way my life has been going this past year.  My job has been a total disappointment, I feel like I'm getting no where and my boss really treats me disrespectfully.  I am just working to get by and pay the bills. I've tried to figure out something I can do to help the community and also satisfy my budget needs.  After talking to a career counselor, I've decided to get my TEFL certification. I feel like this will make a big difference in my life.  I enrolled last month and am going to be starting my first class in a week. I am a little nervous to be making such a big change in my life, but I am optimistic that this will be a better change for me. The course will be taken at the Daytona State College which is not too far from my house.  I also think I may sign up for a couple of extra curricular activities.  Some of the groups include helping immigrants settle in their new lives in America. I will be helping to navigate around the city. Showing how to use the bus system and make local appointments and shop in the main stores in the area. I also get to help plan parties and celebration in honor of our new friends.  I am already feeling so much more positive and happy about my life. I hope I can really keep moving forward in life and fulfilling my needs to help and actually help people in return.",,3N1FSUEFL6MQGGE0YQAMS19M9PKD4Q,0.0
0,3U84XHCDIDZTJHJWQ8ZJJTSPXE7Z42,1.0377984765203534,"[0.0043986002604166664, 0.4006103515625, 1.1873209635416666, 1.44873046875, 1.58203125, 2.2845703125, 0.9154052734375, 1.2194685502485796, 0.6708196004231771, 1.432784186469184, 0.591165270124163, 0.5971304086538461, 0.9541579026442307, 1.0787760416666667, 0.37431640625, 1.027613589638158, 0.9852083646334134, 1.1635044642857142, 0.9266451322115384, 1.3229758522727273, 1.875, 0.7889334938742898]","[-27.051025390625, -16.4200439453125, -24.686767578125, -30.36328125, -12.4375, -16.927734375, -16.7255859375, -26.303558349609375, -10.07421875, -16.773277282714844, -32.356590270996094, -26.3671875, -32.912353515625, -31.58203125, -16.6982421875, -29.80810546875, -17.427154541015625, -13.984375, -32.03759765625, -27.46484375, -23.3125, -51.401763916015625]","[-27.11700439453125, -18.423095703125, -42.49658203125, -41.953125, -18.765625, -28.3505859375, -27.71044921875, -39.71771240234375, -18.124053955078125, -29.6683349609375, -40.632904052734375, -34.1298828125, -45.31640625, -44.52734375, -20.44140625, -49.332763671875, -30.23486328125, -22.12890625, -44.083984375, -42.017578125, -43.9375, -68.75830078125]","Five months ago, I went through one of the worst periods in my life. I suffer from clinical depression. It is difficult to put into words how deep and dark that place can be. Everything that I typically enjoy doing faded away. Food tasted less delicious. My interest in sports faded. It seemed as though the light had gone out of my world. The people I am closest to became less important to me. I didn't want to get out of bed in the morning. I would either sleep too little or too much. I couldn't find any semblance of peace or enjoyment in my life. I talked to my doctor and he increased the dosage of my medication. It took almost 3 months to pull out of that deep depression. To people that have not experienced depression, it is absolutely crippling. Mental health is a topic that is not well understood. People think you are ""just down"" or ""blue"" but it goes much deeper than that. By the beginning of August, I started to feel like myself again. Light had entered my life once again. The experience made me so thankful to be out of that dark place. I have experienced 4 other similar episodes in my life. The most recent depression was the worst of the 5. I am just thankful to have it behind me and I pray it is a long time until I am afflicted again.",,3U84XHCDIDZTJHJWQ8ZJJTSPXE7Z42,0.0
0,3EFE17QCRDRQUHLDANPUHP4QY34HST,0.9236429967609264,"[0.069921875, 0.7647150213068182, 0.94051513671875, 1.6590711805555556, 0.6031806759717988, 0.7537392064144737, 1.0506924715909092, 1.293469880756579, 0.9994895241477273, 1.2284138997395833, 0.80987548828125, 1.37366943359375, 0.5481952868009868, 1.0009068080357142, 0.7587890625]","[-30.47265625, -41.32373046875, -31.673095703125, -16.95849609375, -81.53659057617188, -43.226318359375, -41.9140625, -37.160400390625, -38.36181640625, -36.8177490234375, -28.46337890625, -31.4498291015625, -52.01422119140625, -28.2890625, -11.49609375]","[-31.171875, -58.1474609375, -50.4833984375, -46.82177734375, -106.26699829101562, -57.54736328125, -65.029296875, -61.736328125, -60.3505859375, -58.92919921875, -34.9423828125, -45.1865234375, -62.429931640625, -42.3017578125, -17.56640625]","Five months ago I had to go to a deposition. It was in the next town and I do not own a car so I had to take a very early bus. There was a bad ice storm that day and it took a lot longer than I expected to get there.  Since I was running late I did not have time to get anything to eat before the deposition. During the deposition I was asked a lot of questions about my memory of the events (which I do not want to get into too much detail) and they continually made me feel like a liar and incompetant. They kept on implying that I was a bad person and it was a big pain in the ass. Afterwords I had to catch another bus back and only had time to get a hot dog from a street vendor. It must have been a bad one because on the ride back I was throwing up the whole way.  Luckily a kind person in the next seat helped me and gave me water and some baby wipes to clean up with.  It was a horrible experience overall but could have been even worse without the kindness of that man. I have developed a hatred for busses.  I no longer feel so great about hot dogs either. MY advice to others would be to not trust street food, especially if you are already stressed out. The stomach can do nasty things to you if it is not treated well. Hopefully I will never go through that again.",,3TXMY6UCAFAN0TVKWRMOBYS93IHQCX,0.0
0,3DR23U6WE60FP77Q9MME6R30453TEN,1.3786632302203443,"[0.00653076171875, 0.3741825648716518, 1.8893025716145833, 0.6860580444335938, 1.558642578125, 1.0600983992866848, 3.0989583333333335, 1.947509765625, 1.36749267578125, 2.0409342447916665, 1.008447265625, 0.6637115478515625, 2.4749703040489783, 1.3144753196022727, 1.0621744791666667, 1.9734375, 1.4037590026855469, 0.5185546875, 1.745361328125]","[-32.240234375, -52.8367919921875, -20.7451171875, -48.882652282714844, -47.6943359375, -37.40948486328125, -4.9296875, -7.4404296875, -29.47802734375, -47.1962890625, -23.12841796875, -43.1875, -24.93744659423828, -20.875, -27.6279296875, -18.2890625, -50.76641845703125, -41.17498779296875, -32.242919921875]","[-32.29248046875, -63.31390380859375, -43.416748046875, -63.28987121582031, -78.8671875, -61.791748046875, -14.2265625, -15.23046875, -40.41796875, -71.6875, -33.212890625, -53.806884765625, -57.112060546875, -35.334228515625, -43.560546875, -28.15625, -73.2265625, -52.06463623046875, -54.9326171875]","I have always been healthy and feeling well. When I became pregnant with my first child I determined to do everything possible to maintain my health as well as the the health of my developing child. This included regular visits to my OB/GYN for checkups. After one visit for routine tests, I got a text to contact the doctor's office as soon as possible. I called immediately, and shocked to be told the test result indicate that my baby may have Downs Syndrome. While still trying to process that news, the doctors told me the best thing I could do is to terminate the pregnancy. I was stunned. How could this be? I have been taking meticulous care of health. I had no statistical markers for risk of have a Downs child. I cried for day, not knowing what to do. Finally, I asked the doctor's office to send the test results indicating this diagnosis. It turns out, the test I took was not even for Downs. There was no way for the doctor to make that determination. The stress of this situation caused me to go into labor 3 months early. And Alex was born healthy. After a 2 weeks in MICU, he came home with and doing great. Now that I have the time and energy, I have hired a law firm that specializes in medical malpractice. The stress and hardship this doctor caused me should never happen to anyone.",,3JW0YLFXRU21YOXBPRLVFHHY00KWW3,0.0
0,3QEMNNSB2YLNZ3WJ0O8TVDTXEHO7DE,0.8312802280834627,"[0.06341911764705882, 0.6121271306818182, 0.22784805297851562, 0.37872718362247243, 0.7678237915039062, 0.21811930338541666, 0.7137320382254464, 0.9315240478515625, 0.5003396897088914, 0.94052734375, 1.0446033477783203, 0.7485414505004883, 3.2325032552083335, 1.1598567962646484, 1.2335276884191178, 0.28670939993351063, 0.8098046087449596, 1.123271484375, 0.867352294921875, 1.0649762834821428, 0.5315504807692307]","[-46.5458984375, -22.6435546875, -54.63719940185547, -113.82151794433594, -103.84759521484375, -26.8720703125, -56.99688720703125, -47.978424072265625, -89.1292724609375, -47.564453125, -26.539276123046875, -50.809749603271484, -26.58935546875, -41.389129638671875, -37.7926025390625, -126.577392578125, -58.36431884765625, -63.039306640625, -33.8775634765625, -57.9287109375, -31.927734375]","[-47.6240234375, -29.376953125, -62.384033203125, -126.6982421875, -134.560546875, -29.489501953125, -76.98138427734375, -71.26652526855469, -110.14353942871094, -66.375, -43.2529296875, -65.78057861328125, -45.984375, -59.94683837890625, -58.7625732421875, -140.052734375, -83.46826171875, -91.12109375, -51.224609375, -87.748046875, -38.837890625]","Dear Diary,I know I haven't been around much lately but today is a good day. Today I got my 60 day chip for being sober. I feel pretty good about the fact that I was able to get back on the wagon, but I'm also pretty disappointed in the fact that I fell off to begin with. I'd say that's 8 years wasted, down the drain, but my support group says that I need to consider that addiction is an illness that never actually subsides. It will always be there with you, so it's important to be weary of triggers for relapse, but I was still an addict for those 8 years so it's not that I've failed. As you know, a year ago, my mother passed away. After she passed, her house was seized by the bank and that's where I had been living while I try to get my life in order. Karen came to the funeral and when I told her about my issues, she said she had just the thing to pick me up. I shouldn't have been hanging out with her to begin with, but with the passing of my mom, it seemed like she just wanted to reminisce about the good old days and I was really feeling the nostalgia. So, I went to the party with her and in my desperation, started drinking while we were there. It was a wild night, and I really wasn't in a good head space. I ended up passing out on the uber ride home and she had to practically carry me to my bathroom. We tipped the uber pretty well. I woke up on the bathroom floor and immediately regretted my night, but thought.. 'to hell with it' and went to the liquor store right away and stocked up. I drank for about 3 days straight thinking I'd be able to get back on the wagon myself, but those few days of acceptance led to months of acceptance and I found myself at work trying to hide my vodka in a water bottle. When my brother came to visit, he noticed all of the empty bottle in the trash and convinced me to take a week off and go to a rehab facility. I agreed and my time there was nice, they really helped me understand my triggers and forgive myself while taking responsibility for my actions. Since my release, I've been going to AA meetings and tonight I got my 60 day chip. I'm confident in my progress but I am still a little ashamed of the fact that I fell so far off the wagon after 8 years. I'm hoping things will get better with my new job and apartment.",,3O7L7BFSHFBPGTRFFANASK1Q5PHEIX,0.0
0,3Q5ZZ9ZEVP1WV4M9VNIGB11ZM8X58C,0.9912335096151536,"[0.04499162946428571, 0.5107696533203125, 1.55634765625, 1.8414699009486608, 1.1927083333333333, 0.45070064769071694, 0.786492919921875, 0.6283365885416666, 1.9012784090909092, 1.3669331868489583, 1.292236328125, 0.425048828125, 0.9950233459472656, 0.9141512784090909, 0.9620139382102273]","[-36.2412109375, -33.903968811035156, -15.5703125, -20.08856201171875, -65.9296875, -17.757217407226562, -39.5714111328125, -30.171875, -18.845703125, -33.5533447265625, -24.310546875, -18.2421875, -26.732852935791016, -20.1171875, -30.6795654296875]","[-36.87109375, -41.565513610839844, -31.1337890625, -45.869140625, -87.3984375, -25.41912841796875, -55.30126953125, -37.7119140625, -39.759765625, -49.95654296875, -34.6484375, -21.642578125, -41.658203125, -30.1728515625, -41.26171875]","A memorable event in my life was back in May of 2019.  I have finally graduated from college and received a Bachelors degree in Accounting.  It took me five long years to complete that degree. Two years in community college and another three years in the CSU system. I had to fight hard for all the classes as registration filled out very quickly on enrollment dates.  For the first time I was able to see the light at the end of the tunnel. All my hard work paid off and I can finally say I have a accomplished one of my biggest goal. It was my graduation year and I felt very happy about it. My family and friends showed up to celebrate my big accomplishment. My significant other also came along to celebrate such a big event. They brought me thoughtful gifts and colorful flowers. We went to dinner with the whole family. They showered me with love and appreciation, which is what mattered the most.  From that day, I was ready for the real world. I was happy I concluded an important chapter in my life.",,3Q5ZZ9ZEVP1WV4M9VNIGB11ZM8X58C,0.0
0,3WAKVUDHUX29G575MJYI5DXKANU7UJ,1.3859746902708023,"[-0.155517578125, 0.6030717329545454, 1.44189453125, 0.9015066964285714, 1.077876697887074, 1.8451450892857142, 1.7068536931818181, 1.5946568080357142, 2.189453125, 2.0546875, 1.6016710069444444, 2.240283203125, 0.5133056640625, 1.9421875, 1.6006622314453125, 1.0178571428571428]","[-29.373046875, -25.84375, -20.703125, -30.302734375, -21.753707885742188, -10.341796875, -19.138671875, -21.79443359375, -9.6328125, -11.34375, -17.6630859375, -13.052490234375, -27.6279296875, -17.5390625, -16.796234130859375, -26.28125]","[-28.12890625, -32.4775390625, -35.1220703125, -42.923828125, -33.6103515625, -23.2578125, -37.9140625, -32.95703125, -22.76953125, -19.5625, -32.078125, -24.25390625, -31.734375, -27.25, -32.8028564453125, -33.40625]","My little girl came at the right time. It was about six months ago, when I had her. It was a big blessing and I was so happy. I did not know if I could have the baby in a natural way. However, my husband was next to me all the while. This made the process so much easier. I was in pain, but his presence made it easy. He has always been a supporting rock. He held my hand through it. I pushed and pushed. The baby came out and she was so pretty. We named her Juju. This was a name of our good friend. She was happy and honored. We went home happy with our new bundle of joy. We love getting her in our arms.",,3KJYX6QCMAX2DFX7SIXK4P4CFHWVJG,0.0
0,3H7Z272LX8TV3LOB9R0YECSMYPVLPX,0.9958159640854208,"[-0.05894886363636364, 0.9851737976074219, 0.58447265625, 1.5180670420328777, 0.9987855994183085, 1.0288677215576172, 0.4052191840277778, 1.362898932562934, 1.3670709783380681, 0.7921348918568004, 0.9508807842548077, 1.209507942199707, 1.5812564849853517, 1.0458141508556547, 0.7973885422661191, 0.9782752990722656, 0.4254231770833333, 0.7905299928453233, 1.1509450276692708, 1.3963918685913086, 1.6019800359552556]","[-40.56640625, -40.654754638671875, -34.4921875, -42.0872917175293, -73.44336700439453, -51.749053955078125, -39.072265625, -39.84403991699219, -44.9967041015625, -39.70944595336914, -35.3690185546875, -29.59951400756836, -28.0179386138916, -34.59844970703125, -34.60700440406799, -28.94842529296875, -52.06005859375, -27.933347702026367, -44.3719482421875, -28.568859100341797, -8.226608276367188]","[-39.91796875, -60.35823059082031, -39.16796875, -69.4124984741211, -96.41543579101562, -68.2109375, -46.3662109375, -64.376220703125, -75.072265625, -57.13641357421875, -47.73046875, -53.7896728515625, -51.736785888671875, -56.560546875, -51.352163791656494, -44.600830078125, -58.44140625, -42.16288757324219, -71.99462890625, -45.3255615234375, -25.848388671875]","I spoke with Derek again today and he's doing better. His cast comes off in another couple of days and he's excited to get to walk without crutches. The damn cast was a menace to society! There have been tons of times when he's swung that thing around and nearly tripped me. It's also riddled with dirty drawings scribbled in marker and jokes poking fun at him falling off a cliff. I still can't believe he took that tumble, but Derek likes to act fearless. I also think he might have been a little drunk, but I could never really be sure. The strangest part is that it was a cliff that we've climbed a hundred times before. I have no idea how he slipped in a way that propelled him off the cliff face and onto the ground below. That's why I think he may have been drinking beforehand, it wouldn't be out of the realm of possibilities. When he hit the ground, we did chuckle a little bit. It didn't look like that bad of a fall and he landed on a soft part of the ground. Once he started moaning and whimpering, we knew it was pretty bad. We quickly ran down to check on him and his leg was bent up behind him in a very unnatural way. We had to call for an ambulance and they came into the park and took him out on a stretcher. That was almost two months ago and he's finally getting back to some normalcy. He hated having the cast at first but eventually it started to get him attention. Each time he told the story of how he fell, it got wilder and wilder. At one point I think he included something about a fight with a bear, but no one believed that version of the story. I'm happy that the fall didn't permanently injure him. I hope he learns to be more careful in the future.",,3ZY8KE4ISKPJZ21KN8HT1QGYU5NQVO,0.0
