AssignmentId,WorkTimeInSeconds,WorkerId,annotatorAge,annotatorGender,annotatorRace,distracted,draining,frequency,importance,logTimeSinceEvent,mainEvent,memType,mostSurprising,openness,recAgnPairId,recImgPairId,similarity,similarityReason,story,stressful,summary,timeSinceEvent,scalar_text_sequentiality,story_type
3IOEN3P9S85A38221LJ6OXSRGJK166,2432,QSJY4NW2,30.0,man,white,2.0,3.0,3.0,4.0,5.1929568508902095,a cross state moving trip with girlfriends parents gone wron,recalled,the fridge falling onto my bookcase,0.875,,,,,so6 month ago i moved from north florida to south florida .it was a pretty scary experience as i have a home full of stuff. it was scary moving all my valuables treasures and all the other stuff me and my girlfriend have worked hard to obtain. frist we had to find a place to stay so we looked it was stressful until we found a place. finally we were ready for the move. my girlfriends parents helped us. her parents and myself dont always see eye to eye. i have loaded up moving trucks and moved before so i had an idea of how i wanted it done.  we started by moving the heavier of ll the items into the trailer. they wanted to stack everything their way and i didnt feel as if it was safe. we talked about it and they got on my nerves quite a bit. we finally got it all loaded up i wasnt very satisfied with how it was all loaded up. we got about 10 mins down the road and the fridge her parents loaded up shifted and fell on a bookcase. i was very mad because i knew they had no intention of replacing the bookcase. i was very very mad. the 4 hour drive we had ahead of ourselves was very tense and very enjoyable. when we got to the house and saw all the damage i was devastated. I learned my lesson about trusting them with such a job. my bookcase is still busted i havent replaced it becuse i dont have the money. the whole ordeal was very messy.,2.0,i moved across sate. my girlfriends family tried to help but botched the job. some of my stuff got broke. it was a tense day.,180.0,1.6233177622874038,Recall
3I33IC7ZWGOIFVW1A20W9L4IVE3A24,4556,9LNUMEKJ,55.0,woman,black,1.0,3.0,5.0,4.0,4.499809670330264,My husband and I travelling to Japan for vacation,recalled,We experienced how different Japan was from USA,0.625,,,,,"Two months my husband and I decided to go on vacation. We had a difficult time choosing a country in Europe. We deliberated for months before this, before we finally decided that we should make the vacation more exciting. To this this, we decided to rule out Europe and choose a South American country or an Asian country. At the end, we decided to chose Japan. This is a complete surprise because I never had any intention of going to a country outside of Europe. After making our choice, we did some research, prepared and traveled to Japan. Arriving Japan felt like arriving at a different world or an alternate world. Everything just felt different and strange. I have been to two other countries outside the US, but they were countries that had quiet a similar culture to US so it was easy. Japan was a lovely country, the country felt so organised, maybe a bit too organised. I am someone who loves structure but I was overwhelmed by how structured everything was.  The Japanese people were very polite and friendly, we had bonus points for trying to learn how to speak their language. The Japanese people were neat almost to a fault. All the streets and public places were so clean that it felt like they all had germophobia. They were also incredibly disciplined, they always kept to their words. After three interesting weeks in Japan, my husband and I decided to come back to the US. We felt good coming back, but we couldn't stop ourselves from making a lot of comparisons.",2.0,My husband and I couldn't decide on a European country to travel to. We decided to travel to Japan. It was an experience like non we've ever had.,90.0,1.3580024891264306,Recall
3GM6G9ZBKOJD1VZ3QKAXJZ88P85MTS,1256,TTBBJ41R,55.0,woman,white,1.0,4.0,5.0,5.0,4.0943445622220995,making my courtyard beautiful myself!,recalled,I found out I could afford to get my pond rebuilt.,0.75,,,,,"I finished landscaping my courtyard about two months ago. I bought my condo last year and the courtyard was one thing I had always wanted and had based my purchase on it. I've taken horticulture in college so I'm pretty knowledgeable about how to do it. About 4 years before I purchased the condo, previous owners had hired a landscape company to decorate it with a flowering tree, plants, pond and black river rock stone as mulch. They sold the condo to a retired woman a year later and she never even pulled one weed. So when I bought it, it was an overgrown jungle. My first step was pulling out weeds and dead bushes. My next step, which took about 3 months, was pulling out all the river rock from about 1 foot down in the dirt. From rain and other weather, the rocks had sunken down through the landscape fabric and underneath all the weeds. Every day, I spent 15-30 minutes overturning the dirt, one shovel scoop at a time, then pulling each rock out (from 1 in. to 4 inches wide) and tossing them into huge plastic bins in the garage. I then drew out a new landscape plan, bought the plants, dug the holes and planted them. To my surprise, I called a pond company and I was able to afford their services of rebuilding my broken down pond and adding a filter, pump and some underwater plants. After that was all done, I called a landscape company to drag the bins out of the garage, lay down new landscape fabric and all those black rocks. I also brought out my garden decor, added fish to the pond, added some smaller plants to decorative pots and finally stood back to look at my work. I can't believe how beautiful it is and my neighbors also love it. It's a soothing place to come out to several times a day for relaxation.",4.0,"It took time, effort and cash but now I have a gorgeous, relaxing courtyard to spend time in. And the trickling sound from the waterfall in my pond adds to my enjoyment.",60.0,1.3592260531027611,Recall
3X65QVEQI19C9WF74MESUCTFAB0LCO,1153,KJ8O7T68,35.0,man,white,1.0,1.0,3.0,4.0,5.1929568508902095,the birth of our 4th kid,recalled,"the quick labor, and my truck being out of fuel",0.5,,,,,"This morning we went to the hospital to get checked out. The Dr. told her that she was dilated to a 5 and that she should probably stay there in the hospital, but she was far to stubborn for that, after that this was our 4th kid. After we left the hospital she said that if she was gonna have a baby today that wasn't going to do it on an empty stomach. So we went in town to get some food. She ate everything on the menu it seemed. I think she got 4-5 different dishes, it was funny. After eating we went ahead and drove the 45 mins home. We sat around and watch TV and did some other things the rest of the day, then we put the other kids to bed and went to bed ourselves. Ate 3am she wakes me up and say Shes having hard contractions. I wake up and ask her how hard to realize that she cant even move and that they are back to back... awesome. I call her mom and tell her to come over and sit at our house while our kids slept so we could go to the hospital. I get dressed and try to get her outside to my truck, she cant get off the ground to get in while having contractions so i literally picked her up and threw her in. Her mom still wasn't there, I called her and for the first time in my life told her to do something ""you need to get here, we gotta go"" I said. We went ahead and left our kids at home since she was only a minute away and I drove as fast as my truck has ever driven. There I was driving 100+ in an 8200lb truck down the interstate nervous as she kept having contractions in my truck turned around bent over holding the back of the seat. it was nuts. Then I looked down and noticed I was on E. Oh shit. This thing better make it in. We finally made it, I had driven a 45 min drive in 20 mins, new record. We get inside, 10 mins later we have a new baby. What a day that was. It was so close to disaster the whole time. I was spent, and we both went slept great that night, even the new baby slept awesome.",1.0,"My wife was gonna have a baby any minute, but felt she had all the time in the world so we waited around until the last minute.We almost didn't make it cause her labor was so fast, and then my truck was also out of fuel on the way to the hospital. It was too close!",180.0,1.2568893320868733,Recall
3DUZQ9U6SNAVCIGXFC6YWQVZCT8VSI,6490,I7LTJT3B,30.0,nonBinary,white,1.0,5.0,5.0,5.0,13.920870973622096,being denied for a personal loan.,recalled,"I was denied, because my credit score is 750.",0.75,,,,,"Earlier this month, I was reviewing my recent finances. My job had to cut back my hours, so income has been tight and I have been running a little behind on bills. I have good credit and have never needed to take out a loan before. I figured now may be a good time to try, so I can pay down my outstanding debt before it gets out of hand. I was very nervous to apply. It took me a few days to get up the strength to do so. But then... my application was denied. At first, I felt guilty. Worthless. Like a failure. After a while, I started to feel frustrated and helpless. I don't even know why I was denied since my credit history is great and credit score is 750. I've never defaulted on a loan---in fact, I have never even taken one out before. So my only guess is my lower income resulted in the denial. How is someone supposed to get ahead in this world?",5.0,"Earlier this month, I was reviewing my finances. Income has been lower lately, and since I have good credit I decided to try getting a personal loan, only to be denied.",1111111.0,1.3112099250267832,Recall
3HFNH7HEMI00H5BPYDI71PDO9F2GQ8,1484,VI649IEZ,35.0,woman,white,1.0,1.0,3.0,3.0,4.499809670330264,a hospital stay for my child.,recalled,everyone showed up to show their support.,-0.5,,,,,"My 6 year old son was diagnosed with epilepsy about a year ago. About 3 months ago, he had to stay in the hospital for 48 hours to be continually monitored. This had to be done due to concerns from his teachers. They were saying he seemed to be drifting off at random times and not responding. Because of them reporting this issue, we made an appointment with his neurologist. She stated that the only way to see if he was still having seizure activity was to monitor him for 2 days in the PICU. So we set a date and time and waited patiently for it to come around. The day of the test, we arrived very early. They showed us to his room and within an hour the tech was there to begin the process. As they attached the multiple amounts of electrodes to my young child's head, I began to get very emotional and I'm not sure why. It's hard to see your child has an issue. You feel like you may have done something wrong at some point to cause it. All of my family came to visit my son while he was in the hospital and it was very heartwarming that everyone came together to be there for him. The best part about the whole situation was that the test showed no new seizure activity. This means that hopefully he will grow out of his condition over the next few years and can completely wean off of seizure medication and enjoy a normal teenage and adult life.",1.0,My son had to be monitored in the hospital for 3 days due to his epilsepy. My whole family was there to support him.,90.0,1.046480575007124,Recall
3UJ1CZ6IZIBEEO1I9LOLSS101V2S5M,1147,G1M0MMFC,35.0,woman,white,1.0,2.0,3.0,3.0,3.8918202981106265,the aftermath of my uncle's death.,recalled,we were taken to court by relatives he didn't want in his life.7,0.125,,,,,"July 1 was an emotional day. My Uncle Eric died. Just a week prior he had been diagnosed with cancer and we were unsure of the prognosis. He wasn't even 50. He lived about 3 hours away from us and my parents were going back and forth to be with him and planned on bringing him to live with them had his prognosis turned out better. The worse part is that my moms sisters filed paperwork with the court to try to control what happens to his body. Eric was autistic and needed a guardian because he couldn't completely take care of himself and needed help with decision-making. All Eric wanted was to be buried next to his parents. He wanted nothing to do with these sisters and actively avoided having them in his life. His parents were cremated and he was aware that he already had a plot next to theirs and that he would be cremated too. The sisters took us to court trying to get control of his trust and his life insurance. I was so upset knowing this wasn't about Eric and his best interest. It was about them trying to get their hands on his money, which my mother controls. My mother didn't ask for this, she was designated by her own parents, yet her sisters have it out for her as if she had done something wrong. They have always been low-life's, hell bent on hurting others so none of this was shocking to us. We barely had any time to prepare but showed up to court with a huge binder of evidence of things they had both done, text messages from Eric, messages from granny from when she was alive, proof of crimes one of them had committed, etc. The one sister who showed up brought one sheet of paper they deemed inadmissible and then lied right to the judge's face as he asked her questions about things he was reading among our mountain of evidence. I was ecstatic that the judge ruled in our favor and that Eric will be where he belongs and where he wanted to be. It was a rough couple of weeks but I'm glad we could get justice for Eric.",2.0,My uncle died in July. My greedy aunts who wanted control of his money took us to court to control what happens to his body.,49.0,1.203474671637059,Recall
33CKWXB73K6FWM15VF7PT11AYC811A,1018,INJ3T17L,35.0,man,hisp,2.0,1.0,4.0,5.0,4.499809670330264,Spending more time with my wife,recalled,The vastness of the theme parks in a single city.,1.0,,,,,"In the past there was little time for exploration and travel with my wife. We both had obligations to fill, and our schedules were packed to the gills with various work. This led to us both feeling rather stressed. So when we did have some time, we went all out. My wife had never seen Disney world before. Originally hailing from China, she would hear stories about this magical place. She never would have thought she'd have the chance to visit. So we took the first jet from NYC to Orlando and went to the magic kingdom. All of the parks - Magic Kingdom, Epcot, Animal Kingdom. She enjoyed every minute of the rides and the masterful design of the parks. I would say her favorite park was animal kingdom, particularly for the amount of birds we saw. We spent about a week in Orlando, visiting other sites, such as Universal Studios. However, the main attraction for her was Disney. We came home and resolved to spend more time together, and now we try to do something fun and unique at least once a month. As a result, we feel much happier and fulfilled.",1.0,"A busy couple from New York finally breaks free and finds their way to Disney world. They enjoy the sights and sounds of an entirely new experience from. Upon returning, they resolve to spend more time together.",90.0,1.298463910160711,Recall
3HWRJOOET6OEA7UBKMHOWM7DNIUSED,1717,BGFW2FIW,35.0,woman,hisp,1.0,1.0,2.0,4.0,1.9459101490553128,spending time with family on my birthday.,recalled,my oldest daughter visited from college.,-0.25,,,,,This last weekend was my birthday. My oldest daughter is out of town going to school and tried to get the day off. I don't get to see her often so I was looking forward to it. She called to tell me that they wouldn't give her the day off. I was really sad but I understood. At the last minute she called and said that someone worked a double shift so she would be able to come over for my birthday. They have been short staffed and the girl doing the schedule didn't ask my daughter if it was okay to put her on for the day she asked off. So her boyfriend worked and took another shift from someone that would come in and work for my daughter. I was really happy to find out she would be able to come because I only get to see her every couple of months. She came over and spent the whole day with me. She brought me breakfast and a new charm for my bracelet. We spent a relaxing day just hanging out. We went to Hobby Lobby and looked around but I couldn't find anything I liked. So we came home and had dinner. After dinner we had cake and it started to get dark. She headed home and text me when she made it.,1.0,My daughter surprised me on my birthday. I thought she was going to have to work but she took the day off work and came to visit. I spent the whole day with my family.,7.0,1.235635717051317,Recall
3VBEN272MLLCULQ2QH7CWPSPP5DGSP,558,ZT28KCP5,25.0,man,white,1.0,2.0,3.0,4.0,4.0943445622220995,A vacation to the beach,retold,When my dog had swam in the water,0.375,,,,,"I greatly enjoyed that day at the beginning of summer. It is a time I look back on fondly, and many good memories were formed during that time. I went to the beach and I walked around, relaxed, and enjoyed the sites. The weather was not too hot and not too cold, there was also a nice breeze and the water was just right. I think the fact that I had enjoyed myself so much on that day signaled a sign of a good summer. There were a lot of fun things that happened on the beach. I played with my dog. We both went swimming and I laughed at the way he swam. I had also remembered to bring my fishing pole, as there is a dock there. I was not lucky enough to catch anything. However, I still appreciated the meditative atmosphere of the act of fishing in itself. Even though I was not able to catch anything, I still had plenty of various snacks and meals for my dog and I. The sunset at the beach was very beautiful. I enjoyed the wide array of colors, and the sounds of the birds as they wound down for the night. I left after dusk, and I did not encounter anyone there the whole day. I slept beautifully that night as I was plenty tired after a full days outing that I had just taken. I still think back on the day often and I plan to make it a yearly trip to enjoy and signal the beginning of summer.",2.0,I had realized the weather was becoming nice. I decided to take advantage of it and go to the beach. I had a good experience and enjoyed myself greatly.,60.0,1.228534230768842,Recall
