AssignmentId,WorkTimeInSeconds,WorkerId,annotatorAge,annotatorGender,annotatorRace,distracted,draining,frequency,importance,logTimeSinceEvent,mainEvent,memType,mostSurprising,openness,recAgnPairId,recImgPairId,similarity,similarityReason,story,stressful,summary,timeSinceEvent,story_type
3CCZ6YKWR85W995J0FOUBXWA7JL95M,2334,BYNAF9TZ,40.0,man,other,1.0,1.0,3.0,3.0,67.97894050115326,about a traffic accident,recalled,when no one was seriously injured,1.0,,3CCZ6YKWR85W995J0FOUBXWA7JL95M,,,"In May, my brother and I got into a car accident. He had just arrived in town from overseas to visit for the summer. The day after he arrived, we were driving to one of our favorite taco shops to have lunch. On the way there, we were driving through an intersection when another driver ran a red light. We were t-boned. The other driver hit us on the passenger side, where I was sitting.  Fortunately, no one was seriously injured. My brother's car, which he loves dearly and only gets a chance to drive when he comes to visit, had some body damage. The other driver's car took the worst of the damage. Its front end was badly damaged. I had hit my head on the door frame, so I went to the hospital to make sure I was okay. It turned out that I had a minor concussion. There were no complications, aside from a bad headache, some diziness, and a lot of soreness. All things considered, we are lucky that it was not worse. Unfortunately, I have a lot of anxiety about driving and riding in cars from past experiences. This event brought all of that back. I have been especially anxious while traveling in vehicles lately. I hope that sensation improves soon.",1.0,"My brother and I were in a traffic accident. Fortunately, no one was seriously injured. His car was damaged, and I had a minor concussion.",3.333333333333333e+29,Imagined
3FQ5JJ512MAKGUUG8CB5VNADY7UKNN,917,1COU4787,45.0,woman,white,1.0,1.0,,5.0,4.0943445622220995,My brother and his wife had a baby after years of trying,imagined,i founf out i was going to be an aunt,1.0,,3YMTUJH0DT2XX5AXKGA1X5R83I2T4O,1.0,All my sibling never had any issues with having children so that is foreign to me.,After waiting for so long I am finally an aunt!! Two months ago my brother and his lovely wife gave birth to a beautiful baby girl and they name her Claudia after our great grandmother. I was so surprised when they told me they were going to have a baby. They tried for a long time and really had thought they would never be parents. So many times they had to go to the fertility clinic and they would get their hopes up just to be disappointed.  But finally our little miracle arrived. I was so proud of my brother and how he handles the birth of his child. I was lucky enough to be invited into the delivery room. It was really amazing to watch the birth of little Claudia and Jill my brothers wife was so brave. She really did a great job. Claudia is now two months old and she is just amazing. She is so beautiful and sweet. It kind of makes me feel bad I never had any children of my own and probably never will. I chose to have a career and didn't really give much time to my personal relationships. But I absolutely love being an aunt. I have kept her on a few occasions so my brother and Jill can go out and get some much needed couple time. I do have to admit I like that I can have baby time then they pick her up and I have me time.,1.0,I am an Aunt! My brother and his wife finally had a baby after years so trying.  So now I can live vicariously through them since I will probably never have any kids of my own.,60.0,Imagined
308Q0PEVB9Z8LX0Y7Z7O060G2O4I9C,837,V403UOWP,45.0,woman,white,1.0,1.0,,3.0,3.4011973816621555,Changing my life and getting a TEFL certification.,imagined,I learned of groups in school I can join and help,0.875,,3N1FSUEFL6MQGGE0YQAMS19M9PKD4Q,1.0,I did not identify with this story at all.,"I have been feeling a little depressed about the way my life has been going this past year.  My job has been a total disappointment, I feel like I'm getting no where and my boss really treats me disrespectfully.  I am just working to get by and pay the bills. I've tried to figure out something I can do to help the community and also satisfy my budget needs.  After talking to a career counselor, I've decided to get my TEFL certification. I feel like this will make a big difference in my life.  I enrolled last month and am going to be starting my first class in a week. I am a little nervous to be making such a big change in my life, but I am optimistic that this will be a better change for me. The course will be taken at the Daytona State College which is not too far from my house.  I also think I may sign up for a couple of extra curricular activities.  Some of the groups include helping immigrants settle in their new lives in America. I will be helping to navigate around the city. Showing how to use the bus system and make local appointments and shop in the main stores in the area. I also get to help plan parties and celebration in honor of our new friends.  I am already feeling so much more positive and happy about my life. I hope I can really keep moving forward in life and fulfilling my needs to help and actually help people in return.",1.0,Earlier this year I made the decision to enroll in school to get my TEFL certification. I made this decision because I felt like I was wasn't living a gratifying life.,30.0,Imagined
3U84XHCDIDZTJHJWQ8ZJJTSPXE7Z42,806,D4X8JJ0E,35.0,man,white,1.0,3.0,4.0,4.0,5.010635294096256,suffering from depression and how it steals your joy in life,recalled,came out of the depression and began to feel like myself again.,0.125,,3U84XHCDIDZTJHJWQ8ZJJTSPXE7Z42,,,"Five months ago, I went through one of the worst periods in my life. I suffer from clinical depression. It is difficult to put into words how deep and dark that place can be. Everything that I typically enjoy doing faded away. Food tasted less delicious. My interest in sports faded. It seemed as though the light had gone out of my world. The people I am closest to became less important to me. I didn't want to get out of bed in the morning. I would either sleep too little or too much. I couldn't find any semblance of peace or enjoyment in my life. I talked to my doctor and he increased the dosage of my medication. It took almost 3 months to pull out of that deep depression. To people that have not experienced depression, it is absolutely crippling. Mental health is a topic that is not well understood. People think you are ""just down"" or ""blue"" but it goes much deeper than that. By the beginning of August, I started to feel like myself again. Light had entered my life once again. The experience made me so thankful to be out of that dark place. I have experienced 4 other similar episodes in my life. The most recent depression was the worst of the 5. I am just thankful to have it behind me and I pray it is a long time until I am afflicted again.",4.0,"In late May, I experienced a crippling case of depression. I have experienced depression before, but this time was the worst. Through medication and therapy, I came through the darkness and started feeling like myself again in August.",150.0,Imagined
3DR23U6WE60FP77Q9MME6R30453TEN,1739,WZLP84MV,55.0,man,white,1.0,3.0,,1.0,4.787491742782046,medical malpractice during my first pregnancy,imagined,I found out I never had the test for Downs Syndrome,0.75,,3JW0YLFXRU21YOXBPRLVFHHY00KWW3,1.0,I am a single man with no children. I made the story out of my imagination.,"I have always been healthy and feeling well. When I became pregnant with my first child I determined to do everything possible to maintain my health as well as the the health of my developing child. This included regular visits to my OB/GYN for checkups. After one visit for routine tests, I got a text to contact the doctor's office as soon as possible. I called immediately, and shocked to be told the test result indicate that my baby may have Downs Syndrome. While still trying to process that news, the doctors told me the best thing I could do is to terminate the pregnancy. I was stunned. How could this be? I have been taking meticulous care of health. I had no statistical markers for risk of have a Downs child. I cried for day, not knowing what to do. Finally, I asked the doctor's office to send the test results indicating this diagnosis. It turns out, the test I took was not even for Downs. There was no way for the doctor to make that determination. The stress of this situation caused me to go into labor 3 months early. And Alex was born healthy. After a 2 weeks in MICU, he came home with and doing great. Now that I have the time and energy, I have hired a law firm that specializes in medical malpractice. The stress and hardship this doctor caused me should never happen to anyone.",3.0,I was told by my doctor to have an abortion because my baby might have down syndrome. I did not get the test to determine if he did have down syndrome. I also did not get the abortion. The baby eventually was born premature by 3 months but overall is a healthy baby at this point.,120.0,Imagined
3QEMNNSB2YLNZ3WJ0O8TVDTXEHO7DE,1258,FUL8TXGR,30.0,woman,white,1.0,4.0,,2.0,4.0943445622220995,failing and then regaining my sobriety.,imagined,my mother died.,1.0,,3O7L7BFSHFBPGTRFFANASK1Q5PHEIX,1.0,"My mother was an alcoholic, and alcoholism is genetic, but I've taken some ideas of hers and used them in my story.","Dear Diary,I know I haven't been around much lately but today is a good day. Today I got my 60 day chip for being sober. I feel pretty good about the fact that I was able to get back on the wagon, but I'm also pretty disappointed in the fact that I fell off to begin with. I'd say that's 8 years wasted, down the drain, but my support group says that I need to consider that addiction is an illness that never actually subsides. It will always be there with you, so it's important to be weary of triggers for relapse, but I was still an addict for those 8 years so it's not that I've failed. As you know, a year ago, my mother passed away. After she passed, her house was seized by the bank and that's where I had been living while I try to get my life in order. Karen came to the funeral and when I told her about my issues, she said she had just the thing to pick me up. I shouldn't have been hanging out with her to begin with, but with the passing of my mom, it seemed like she just wanted to reminisce about the good old days and I was really feeling the nostalgia. So, I went to the party with her and in my desperation, started drinking while we were there. It was a wild night, and I really wasn't in a good head space. I ended up passing out on the uber ride home and she had to practically carry me to my bathroom. We tipped the uber pretty well. I woke up on the bathroom floor and immediately regretted my night, but thought.. 'to hell with it' and went to the liquor store right away and stocked up. I drank for about 3 days straight thinking I'd be able to get back on the wagon myself, but those few days of acceptance led to months of acceptance and I found myself at work trying to hide my vodka in a water bottle. When my brother came to visit, he noticed all of the empty bottle in the trash and convinced me to take a week off and go to a rehab facility. I agreed and my time there was nice, they really helped me understand my triggers and forgive myself while taking responsibility for my actions. Since my release, I've been going to AA meetings and tonight I got my 60 day chip. I'm confident in my progress but I am still a little ashamed of the fact that I fell so far off the wagon after 8 years. I'm hoping things will get better with my new job and apartment.",1.0,I had 8 years clean and sober. I started drinking again several months ago. I checked into detox and got sober again.,60.0,Imagined
3EFE17QCRDRQUHLDANPUHP4QY34HST,1027,IYOE31TM,30.0,man,white,1.0,2.0,,4.0,5.010635294096256,A bus trip and nasty deposition.,imagined,A kind stranger helped me.,0.0,,3TXMY6UCAFAN0TVKWRMOBYS93IHQCX,3.0,I don't like buses or attorneys.,"Five months ago I had to go to a deposition. It was in the next town and I do not own a car so I had to take a very early bus. There was a bad ice storm that day and it took a lot longer than I expected to get there.  Since I was running late I did not have time to get anything to eat before the deposition. During the deposition I was asked a lot of questions about my memory of the events (which I do not want to get into too much detail) and they continually made me feel like a liar and incompetant. They kept on implying that I was a bad person and it was a big pain in the ass. Afterwords I had to catch another bus back and only had time to get a hot dog from a street vendor. It must have been a bad one because on the ride back I was throwing up the whole way.  Luckily a kind person in the next seat helped me and gave me water and some baby wipes to clean up with.  It was a horrible experience overall but could have been even worse without the kindness of that man. I have developed a hatred for busses.  I no longer feel so great about hot dogs either. MY advice to others would be to not trust street food, especially if you are already stressed out. The stomach can do nasty things to you if it is not treated well. Hopefully I will never go through that again.",2.0,I endured a nasty deposition by four lawyers. They were even more unreasonable and vicious than expected. It started with a pre-dawn bus trip in an ice storm and ended with my throwing up through most of the return bus trip at the end of the day.,150.0,Imagined
3Q5ZZ9ZEVP1WV4M9VNIGB11ZM8X58C,1212,LZZNLVE7,25.0,woman,asian,1.0,1.0,5.0,5.0,4.499809670330264,about my college graduation,recalled,all of my family members showed up with gifts,0.75,,3Q5ZZ9ZEVP1WV4M9VNIGB11ZM8X58C,,,"A memorable event in my life was back in May of 2019.  I have finally graduated from college and received a Bachelors degree in Accounting.  It took me five long years to complete that degree. Two years in community college and another three years in the CSU system. I had to fight hard for all the classes as registration filled out very quickly on enrollment dates.  For the first time I was able to see the light at the end of the tunnel. All my hard work paid off and I can finally say I have a accomplished one of my biggest goal. It was my graduation year and I felt very happy about it. My family and friends showed up to celebrate my big accomplishment. My significant other also came along to celebrate such a big event. They brought me thoughtful gifts and colorful flowers. We went to dinner with the whole family. They showered me with love and appreciation, which is what mattered the most.  From that day, I was ready for the real world. I was happy I concluded an important chapter in my life.",1.0,I graduated college back in May of 2019. All my family members showed up to celebrate the big event.  I felt accomplished in my life.,90.0,Imagined
3WAKVUDHUX29G575MJYI5DXKANU7UJ,3350,028S4RI3,30.0,man,na,1.0,1.0,,3.0,5.1929568508902095,birth of a baby,imagined,we named her juju,1.0,,3KJYX6QCMAX2DFX7SIXK4P4CFHWVJG,3.0,a little,"My little girl came at the right time. It was about six months ago, when I had her. It was a big blessing and I was so happy. I did not know if I could have the baby in a natural way. However, my husband was next to me all the while. This made the process so much easier. I was in pain, but his presence made it easy. He has always been a supporting rock. He held my hand through it. I pushed and pushed. The baby came out and she was so pretty. We named her Juju. This was a name of our good friend. She was happy and honored. We went home happy with our new bundle of joy. We love getting her in our arms.",2.0,"I gave birth to my little girl, Juju, about six months ago. I had hoped for a natural, pain medication free birth but was unsure if I would be successful. With the help of my husband, I was!",180.0,Imagined
3H7Z272LX8TV3LOB9R0YECSMYPVLPX,1638,QTON2DI6,35.0,man,white,1.0,3.0,,4.0,4.0943445622220995,my friend who fell and broke his leg,imagined,Derek slipped on a rock face that we climbed a hundred times before,0.625,,3ZY8KE4ISKPJZ21KN8HT1QGYU5NQVO,2.0,"I've never had a close friend stuck in a cast for weeks on end. I did have classmates growing up and borrowed from that experience, but they weren't close friends","I spoke with Derek again today and he's doing better. His cast comes off in another couple of days and he's excited to get to walk without crutches. The damn cast was a menace to society! There have been tons of times when he's swung that thing around and nearly tripped me. It's also riddled with dirty drawings scribbled in marker and jokes poking fun at him falling off a cliff. I still can't believe he took that tumble, but Derek likes to act fearless. I also think he might have been a little drunk, but I could never really be sure. The strangest part is that it was a cliff that we've climbed a hundred times before. I have no idea how he slipped in a way that propelled him off the cliff face and onto the ground below. That's why I think he may have been drinking beforehand, it wouldn't be out of the realm of possibilities. When he hit the ground, we did chuckle a little bit. It didn't look like that bad of a fall and he landed on a soft part of the ground. Once he started moaning and whimpering, we knew it was pretty bad. We quickly ran down to check on him and his leg was bent up behind him in a very unnatural way. We had to call for an ambulance and they came into the park and took him out on a stretcher. That was almost two months ago and he's finally getting back to some normalcy. He hated having the cast at first but eventually it started to get him attention. Each time he told the story of how he fell, it got wilder and wilder. At one point I think he included something about a fight with a bear, but no one believed that version of the story. I'm happy that the fall didn't permanently injure him. I hope he learns to be more careful in the future.",1.0,"Some friends and I went rock climbing. One of my friends fell 20 ft to the ground, and broke his leg. He couldn't use it for a while, but was okay.",60.0,Imagined
