topic,model,history,story,sentence,total_sequentiality,contextual_sequentiality,topic_sequentiality,story_type
A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,2,1,0,-0.056304931640625,-33.520751953125,-33.0703125,naive
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,2,1,0,-0.056671142578125,-77.577392578125,-81.511962890625,clairvoyant
A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,4,1,0,-0.056304931640625,-45.7166748046875,-86.586181640625,naive
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,4,1,0,-0.056671142578125,-40.500396728515625,-64.14453125,clairvoyant
A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,6,1,0,-0.056304931640625,-53.23828125,-56.44921875,naive
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,6,1,0,-0.056671142578125,-47.2578125,-65.197265625,clairvoyant
A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,8,1,0,-0.056304931640625,-32.306640625,-42.38671875,naive
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,8,1,0,-0.056671142578125,-31.21856689453125,-61.4765625,clairvoyant
A short story titled 'Catch me if you Can',openai-community/gpt2-xl,2,1,0,-0.003021240234375,-24.2119140625,-45.92138671875,naive
A short story about a famous con man being captured,openai-community/gpt2-xl,2,1,0,-0.2050933837890625,-38.470703125,-42.1875,clairvoyant
A short story titled 'Catch me if you Can',openai-community/gpt2-xl,4,1,0,-0.003021240234375,-50.215126037597656,-71.76253509521484,naive
A short story about a famous con man being captured,openai-community/gpt2-xl,4,1,0,-0.2050933837890625,-52.266117095947266,-71.618408203125,clairvoyant
A short story titled 'Catch me if you Can',openai-community/gpt2-xl,6,1,0,-0.003021240234375,-32.0537109375,-42.458984375,naive
A short story about a famous con man being captured,openai-community/gpt2-xl,6,1,0,-0.2050933837890625,-26.657470703125,-50.3828125,clairvoyant
