,AssignmentId,WorkTimeInSeconds,WorkerId,annotatorAge,annotatorGender,annotatorRace,distracted,draining,frequency,importance,logTimeSinceEvent,mainEvent,memType,mostSurprising,openness,recAgnPairId,recImgPairId,similarity,similarityReason,story,stressful,summary,timeSinceEvent
5837,3LRKMWOKB63JG349MUGVQEVSSZAZ2K,2788,BY4K1J6K,25.0,man,black,4.0,3.0,,5.0,4.787491742782046,The lucky happenstance of meeting my soul mate at a party,imagined,"we looked at each other, a supernatural love at first sight look",0.75,,3VELCLL3GL56M1VD2EMAI3549K81FY,5.0,I feel as if it is something that may and I hope does happen to me before too long.  I look forward to such a romantic magical moment.,"It was 4 months ago and it surely seems like life was completely meaningless before I met Natasha.  It was funny really, because at first we hated each other.  Always screaming at one another and almost getting physical on more than one occasion, Natasha and I somehow found a common ground on which to truly connect and bond.  Next, we fell in love.  I never would have thought that I could actually be someone who got lucky enough to meet my soul mate.  Boy was I wrong.  We had already gotten into numerous altercations at this point, nonetheless, it was a beautiful rainy day. That's right, rainy.  I love the rain and so does she.  We are antiheroes of sorts and so it was in the rain as the thunder boomed and the lightning lit up our faces on the back patio of our mutual friend Cole's Home buying anniversary celebration.  It felt as if time itself stopped and we entered into another dimension.  A realm of bliss and magic where all of our dreams and desires were fulfilled dancing in the pools of light that were our own pupils.  Since then, things have been, well, just exponentially better as time passes.  I certainly can see myself growing old with Natasha and I cannot wait to tell our grandchildren the tales of our beautiful journeys together.  I have to add in however, that it is vital not to just take for granted the people that we are brought together with.  It most likely is for a purpose and it can be easy to burn bridges beyond repair.",3.0,The day i met the love of my life at a friend's party . I was happy i attended the birthday party. I met her at a birthday party and we clicked. we have a lot in common. she moved to Seattle and that made it easy for it to work between us.,120.0
538,37TD41K0AIVZD9AXOVBT6Y7BGJ6SCF,652,Z3L5WF4E,50.0,woman,white,1.0,1.0,,5.0,5.010635294096256,My mother being diagnosed with Alzhiemer's,imagined,The family coming together to help the mother,1.0,,338JKRMM27LMULZJTN33WPAKKXWHA4,1.0,I did not identify with the story because neither of my parents had Alzheimer's,"Several months ago, Mom was diagnosed with Alzheimer's. At first, the symptoms were easy to miss. She would forget where her purse was or where the remote was. Then they became more obvious.  Making the same thing for dinner two days in a row having forgotten she made that meal yesterday and then the sadness in her face when she is shown the leftovers from the previous day.  I think Mom was realizing it and trying so hard to fight the symptoms.  We went to the doctor who referred us to a specialist. The specialist prescribed medication and occupational therapy. While her symptoms are mild for the moment, she fixates on losing her quality of life. She worries about becoming a burden to us and also of being alone.  For me, I spend my time reassuring her while also researching the details of the disease. My kids do not know yet, and I stress about when and what to tell them.  My brother has found support groups that can help navigate the progression of the illness. For the time being, Mom is still living with Dad, and he is also scared. He is scared that he won't be able to help her in the ways she needs help.",2.0,My mother was unexpectedly diagnosed with Alzheimer's and it's greatly affected her quality of life. It has also dramatically affected our own outlook about our own mortality.,150.0
3271,3N2BF7Y2VRGNWM88QQT85G5L1M0MHD,2322,9G21X275,30.0,man,white,1.0,1.0,,3.0,1.9459101490553128,a surprise trip to a waterpark,imagined,the party itself,1.0,,3IOEN3P9S85A38221LJ6OXSR50516E,5.0,i planned a suprise party for my nephew in the past,"Our son just recently turned 7 years old and we wanted to surprise him. My wife thought that maybe taking him to LA and going to Disneyland would be the best thing to do. We even thought about maybe going to the Grand Canyon because hr really enjoys it and likes getting out in nature, which is great for a kid. He loves science and going to National Parks. We were almost going to make this happen but we changed our minds. My father was saying that he kept mentioning this waterpark near where he lives in Washington. This is near Seattle. He said that it would be a great place to take him because he loves water parks but had never actually been to one. Also, some of my sons friends live there and they would love to celebrate with him. We thought about it long and hard and decided to do it. It was also financially easier for us as well. So, we planned a huge surprise thing and even booked a specific area within the park to have a bbq and party for him. We brought him there telling him that he was going to see his grandfather, but instead we went to he waterpark. He was very excited and happy. All of his friends were there and he could not believe it. He loved it and had a smile on his face the whole entire time. We are glad we chose to go here and had a great time doing this for him.",1.0,"A surprise birthday trip, for a seven year old. To wild waves, amusement & water park in Washington State.",7.0
6671,3OXV7EAXLFC6DBGHOPXPCQ7OURR63O,886,SGRTQ4CS,25.0,man,white,1.0,1.0,,,4.499809670330264,my grandmother dying,imagined,my dad understood my reasons,1.0,,3ZR9AIQJUCVWHWD6MEMRDUP3VGO049,5.0,This actually happened.,"When my grandmother died it all took us by surprise. She was a lovely woman and everyone who knew her, even people outside our family absolutely loved her. She was, however, very secretive about her health and didn't want everyone to be concerned about her dying. When she did pass, it was a big deal for our family. We had spent almost every holiday at her house, eating delicious foods at her table. She always went all out when it came to the family, and everyone always go the best she could offer. My family was really upset that I didn't go to the funeral. At the time I was only a teenager and had never attended a funeral. I was grieving but also really terrified to see her in that way. I was scared that that would be the last time I saw her. I thought about all the times that we had shared together and it was overwhelming and unbearable for me. My family just could not find the sympathy to understand how I felt and acted as though I didn't care about her passing, when that was the furthest from the truth. The only person who really understood was my father. He really got how frightening it could be for a child to have to see their grandmother's body before they put her in the ground. He told me not to worry about the rest of my family's opinion and that it would eventually blow over. I still am really thankful for him understanding how I felt.",1.0,"My grandmother died. I went to the funeral and caught shit because I'm not an emotional person. I grieve, just in my own way.",90.0
2218,34S6N1K2ZW53Q4QNQEST53QV430LH9,825,2QCIHF33,30.0,man,white,2.0,3.0,,5.0,3.0445224377234235,my friend's  funeral,imagined,my eulogy,0.625,,3CPLWGV3MPL0ZYBP4FKG5EWWPGON98,4.0,very close,"I took my wife and kids to the funeral. It was such an emotional event. When it was time to give eulogies, his parents were the first ones to speak. They showered him with lots of praises. Then came his siblings who had nothing but love and joy to spread.  When it was my turn to speak  I was worried I could not match what all these people had said. I thought to myself that they had already said everything there was to say about this amazing person.  My mind ran blank, I tried looking at the paper I had written but it was unhelpful. I just decided to step up and give my friend the best eulogy i could imagine. When I held the mike to speak, tears started flowing the same way words were from my mouth. I don't know how long I took but by the time I was done i felt relieved. When I looked at the faces of the people listening, I realized that I had touched some people's hearts. When we left the event it was around 6pm. My mind was bringing me all the memories we shared with my friend. I started to miss him.",2.0,"My best friend passed away unexpectedly. This was very hard on all of his good friends, including me. We all came together and attended his funeral.",21.0
1898,3OJSZ2ATDTISVQHQLIQAX1545N8750,3060,KYGR8HVW,35.0,woman,white,1.0,1.0,,1.0,5.010635294096256,my best experience with my family on the 4th of July.,imagined,enjoyed being with my family.,1.0,,3AQF3RZ55941TNWA8KYRDZWLZ1RF67,1.0,I enjoy spending time outdoors with my family.,The greatest thing I've ever done happened a few months ago with my family. I had just turned 25 and it was the 4th of July. My family and I went to Montauk state park for the weekend. We rented a big camper and filled it with everything we needed. We took the long drive out to Montauk together. We even brought our dog. We parked the RV at our campsite and spent the next 2 days totally disconnected from life. No one was allowed to use their cell phone. Everyone just sat around talking. It was amazing. We cooked every meal on the grill. We swam in the ocean all day. I wish I could live there for the rest of my life. I honestly think that was the most fun I had ever had. I was shocked to feel that way about time with my family. I was devastated to come back to regular life. I didn't even look forward to using my cell phone!,1.0,My most noteworthy youth occasion was the point at which I was 25 years of age. It was the Fourth of July. A major family excursion a grill.,150.0
3168,3A4TN5196L4AN0WHD1ZU2K08A83CHT,2562,NNDUB232,30.0,man,white,1.0,3.0,,1.0,4.0943445622220995,Loneliness while husband moved away,imagined,Netflix has boring shows,0.875,,3I3WADAZ9RQZGW9P247C8NRZU9J5OI,1.0,Not married,It has been a month since my husband got a new job. He had to move out because of this and we only get to talk over the phone. I am sad about this. I pass the time watching Netflix. Netflix can only keep me distracted for so long. I also play games. This still doesn't fill enough time. I might have to go see a doctor about my depression. I hope it gets better. I should be able to cope with it after a month. He said he'll visit every few months. I hope I can make it in time. This has been a very boring month. I hope something good shows up on Netflix soon. I'll get a pizza to cope with the depression.,1.0,My husband moved out because of his new job. I initially felt sad and depressed about it. Still I am overcoming the emptiness with time.,60.0
6314,3XM0HYN6NLLHXFEJS5DU1H22R3TEPQ,6427,RN48AOW0,18.0,man,hisp,4.0,5.0,4.0,5.0,5.703782474656202,when I enter the church,recalled,the environment was not what I had in mind,0.5,,3XM0HYN6NLLHXFEJS5DU1H22R3TEPQ,,,"When I had my worst period in my 22 years of age, it was the year that I did not leave the house for more than 8 months. A routine of getting up to watch the roof eat and go back to bed, my self-esteem and consciousness were fragile at that time. With that situation for a person so active in social or sports activities, it was a very strong blow to my lifestyle. My mother at that time offered to serve me in the church, I was not very comfortable with the idea but I had no argument to deny her so I decided to give it a try and enter the production area to learn to put together event lights. From there I began to meet great people who have been every blessing in my life. From that moment on every Sunday I attended to learn faster in my service area, I talked with everyone in the church to meet them in addition to spending my free time simply enjoying the free coffee service. All the activities that the church was attending without hesitation since it wanted to see in its entirety as the community towards its goals and objectives with these activities. as once we went to a hospital after a sharing among all church servers to give our patients time to chronic diseases. Seeing their reactions and their stories was pleasant and makes a difference in your way of thinking towards the world and towards yourself. In addition, the church moved to a new terrain towards which I have been able to witness its growth from 0 to date. which gives me a very strong sense of belonging to the community. In addition to building stronger ties with people and living unique experiences with them while we build a place for those who seek help and peace. To date I am really happy and comfortable and able to solve the problems that life presents. There is still much to solve but I no longer feel anxiety if I don't get excited to see the result of my future actions. No more to add until the next story in the newspaper.",1.0,the story in which I enter the church as a server. to find a community that contributes positively to my life. A great memory,300.0
6692,3LKC68YZ3BPTTFO9Y5ULYN4CNELWOD,4464,09LYTC5U,30.0,man,white,1.0,1.0,,3.0,4.0943445622220995,a black bear running out in front of a car,imagined,the bear ran really fast to get across the road,1.0,,3ZSANO2JCGT6GLU7FX1UE4SDPM3SFL,4.0,"I often drive in areas where there are bear crossing signs, so this situation is something that I can somewhat closely identify with.","Two months ago I had probably the craziest experience I can remember while driving. I was coming home from the store after getting groceries for dinner, when a massive black bear ran in front of my car! I wasn't even in a rural area either, so it totally took me by surprise. That thing really came out of nowhere too, and ran way faster than I imagined a bear could run. This was definitely not a small bear by any means. I had to slam on my breaks at the time so thankfully there was nobody behind me. I could see another car going the same direction that also stopped. When we eventually drove off we both locked eyes and kind of expressed the same level of astonishment to each other as we parted. It was all very surreal, and something I've never experienced before in this area. The bear ended up running into a larger forest on the other side of the road, but I can't imagine we have a large population of bears here despite this incident. The environment isn't too bad but I wonder how much food they would be able to find since most of this city is suburban. My only regret about that day is not having time to get my phone out for a picture. My wife didn't really believe me when I told her the story, and only relented after seeing how serious I was about the whole thing. A picture would have been all the evidence I needed, and also a cool memento to remember the event. I know I will definitely be on the lookout for my new friend next time I'm driving in the same area!",1.0,"I was on my way home from the grocery store when a black bear ran out in front of my car. It really shocked me, to say the least.",60.0
5925,3VSOLARPKCVTVUIFMW01W0YQU8A39D,549,EMZX3DD4,18.0,woman,white,2.0,3.0,3.0,5.0,4.787491742782046,a pediatric patient needing CPR,recalled,I had to perform CPR alone for the first time,0.25,,3VSOLARPKCVTVUIFMW01W0YQU8A39D,,,"I am a patient care assistant in the pediatric unit of a hospital. Several months ago, a 5-year-old patient came into the unit with some common symptoms - fever, chills, etc. but could not get a specific diagnoses. I was assigned to be the PCA working with this child during their stay. My main duties included parent and child education, what to expect, general bathing/cleaning/feeding, etc. One day, while I was alone in the room with my patient, he suddenly went into cardiac arrest. I immediately buzzed for assistance and began performing CPR. It was the first time in my career that I had done so, and although I had significant and extensive training, I had never performed CPR on a human being. As help arrived, I continued the CPR until the patient regained a normal rhythm. This event was one of the scariest moments of my life. In front of me was a 5-year-old boy whose parents were at work and had no idea that this was happening and his life was essentially in my hands at that moment. Although he survived and was eventually discharged, this event has stuck with me forever. Immediately after, I went to the bathroom and cried. I realized how physically and emotionally demanding and draining this job was. I never realized the lasting impact that a patient can have. Most come in for routine things - asthma, appendicitis, etc. and have a short stay that leads to a happy and healthy discharge. This incident changed my entire mindset on my career and will last with me forever.",3.0,"I had a 5-year-old patient come in to the pediatric unit of the hospital I work at. While I was alone with my patient, he went into cardiac arrest and I had to perform CPR for the first time. The patient survived, but this event has had a lasting impact on the way I view myself and my career.",120.0
