,AssignmentId,WorkTimeInSeconds,WorkerId,annotatorAge,annotatorGender,annotatorRace,distracted,draining,frequency,importance,logTimeSinceEvent,mainEvent,memType,mostSurprising,openness,recAgnPairId,recImgPairId,similarity,similarityReason,story,stressful,summary,timeSinceEvent
164,31EUONYN2WPGEQO48VPPCLLY7GNOVC,796,OKEO8LDM,25.0,woman,other,4.0,2.0,1.0,3.0,5.1929568508902095,my wedding day.,recalled,no one was really there.,1.0,,31EUONYN2WPGEQO48VPPCLLY7GNOVC,,,"My wedding day was at the beggining of the year and though it wasnt all that i ecpected it was still a nice day and one that i will always remember. We got married in the court house that my husband worked on while he was roofing. My grandparents where the only ones able to come. They waited in the lobby with our youngest son who was just 2 months at the time while we took our 5 year old upstairs with us for the ceremony. It was short and simple. I wish that more family could have come to share the day with us but it was special and will be something t beat when we get our vows renewed in the future. When I was younger I did imagine me to at least have a nice white dress and a bridesmaid in a church. The fact that it wasnt in a church did bother me a little, and i wore a regular but nice red dress i got on sale for $40. I would have loved to have flowers because my husband always brings me red roses. Being that it was in between our birthdays will be nice for a anniversary. I am thankful that my kids where there. I am thankful that my grandparents where present. I am thankful to be able to legally marry my husband. And I am thankful that it was a nice day. In the future I will be thankful.",1.0,"We got married with our children and my grandparents present. It was a good day overall, though it wasnt all I expected/",180.0
286,3HSYG7LRBKKJ8O9DBZJP3VT8P83KK7,10292,FMTU3GBU,35.0,man,white,1.0,3.0,5.0,5.0,5.3471075307174685,losing my job.,retold,I was told I was no longer needed.,0.25,324G5B4FB4UT0JVPOCKYG69DUP770F,,,,"I lost my job several months ago. I was in the position for several years and was very comfortable. I thought I was good at my job and that I was welled liked and in position to stay with the company for as long as I liked. So, I was shocked when they let me go. I knew that the company was going through some financial difficulties but I never thought I would be let go. So, when I was called into my manger's office I never imagined she was about to tell me they were laying me off.  I thought they were more loyal than that.  It feels like I'm starting my life all over again. I'm confused and a bit overwhelmed.  I'm still looking for full time work.  I have a part time job and I make enough to get by but not enough for anything extra. I'm basically living paycheck to paycheck. I'm thinking about going back to school but money is so tight right now that's it's going to be a difficult path. I'm feeling stuck and a little hopeless. I hope I can find a full time job soon. So, that I can get my life back in order.",4.0,I lost my job and now I'm completely lost. I'm really afraid and don't know what to do next.  I really hope everything turns out well but I'm terrified.,210.0
287,324G5B4FB4UT0JVPOCKYG69DUP770F,3291,FMTU3GBU,35.0,man,white,1.0,2.0,5.0,5.0,5.010635294096256,losing my job.,recalled,I was told I was no longer needed.,0.5,324G5B4FB4UT0JVPOCKYG69DUP770F,324G5B4FB4UT0JVPOCKYG69DUP770F,,,"I was let go from my job several months ago. I believe it's been exactly 5 months. I always thought I was really good at the job and I really enjoyed what I was doing. I was marketing analyst and enjoyed playing with number and looking for trends. I really liked helping my clients grow their companies. So, it came as a surprised when my boss told me I was being let go. The agency I worked for was doing well financially and they had to cut back on expenses. I knew they were having a tough time but I never thought it would affect me. I assumed if they had to lay anyone off it would newer hires and not people like me who had been with the company for years. I was really disappointed and surprised.  Now I'm left trying to find a new job but it's possible I might look into a new career path. Finding a new job hasn't been as easy as I thought it would. I have a part time job now and I'm struggling to pay the bills. I have some still have some savings left but it's starting to dry up. Things are starting to look pretty grim and I'm really afraid. There's a part of me who thinks I should go back to school and try a new career but I can't afford to go back to school So for right now I'm stuck and I'm trying to figure what to do next. Whatever it is I have to figure out something soon.",4.0,I lost my job and now I'm completely lost. I'm really afraid and don't know what to do next.  I really hope everything turns out well but I'm terrified.,150.0
345,32UTUBMZ7HIWVWZV4QK361L0X1DBV7,658,DYKLG0CW,55.0,woman,white,1.0,1.0,,4.0,4.499809670330264,my child being born.,imagined,I had to wait for a group of ducks to cross the road.,1.0,,32EYX73OY1VJYORKVXWOAUOKE9PRUQ,4.0,I identified with the story because I have given birth to babies.,"Last week my wife's water broke while we were at home eating dinner. She went into labor and I was running around like a crazy man trying to find her bag.  I finally got her into the car and headed to the hospital.  The hospital is only like ten minutes from my house, but on the way there, we got stopped in a line of cars that was waiting to let a family of ducks cross the road. My wife was trying to do her breathing, but kind of freaking out because she kept saying the baby was going to come any minute.  We finally got moving after like 10 minutes. I rushed her into the hospital where they immediately checked her and took her to the delivery room because there was no time to wait. The baby came so fast after that. My wife lost more blood than the doctor was comfortable with so we spent two days in the hospital. They felt it was okay to let me take my wife and baby boy home again after that. The nurses were really friendly. The doctor made sure to check everything. The baby was bigger than we thought he would be. He was 9 pounds. Even though having to wait for a group of ducks was awful at the time, it is such a great story to remember the whole thing knowing that my wife and son are just fine.",1.0,My wife's water broke and she went into labor. My son was born and we spent the next two days in the hospital before we took him home.,90.0
347,3YMTUJH0DT2XX5AXKGA1X5R9Q2GT4V,1178,U446W45D,35.0,woman,white,1.0,2.0,,3.0,4.0943445622220995,getting a new job,imagined,I scheduled my own second interview,0.625,,32KTQ2V7RE1UHGQPSE5GSZ7W4VN9MX,4.0,I have been curious about looking for a better job with the listed qualities,"For the past 2 months I have been looking for a different job that pays more than my current position. Ideally it would have a shorter commute.  It would be ideal if I did not need to travel in to the city anymore for the new job as well.  I applied to over 10 jobs, and interviewed at 3 of those.  One of the jobs seemed like an ideal fit, no more commute to the large city, great benefits and I really enjoyed the interview.  I had been referred to this one by a friend. I decided to be extra pursuant of that position and requested a follow up interview via phone myself, and I was thrilled when they told me they had planned to call me.  At the second interview I met many more of the staff and they seemed very impressed with my skill set. Today I let my manager and coworkers know that I was resigning, and leaving the company in 2 weeks.  Some of my coworkers where beside themselves.  I found it hard to say goodbye.  A couple of them were very emotional.  Cleaning out my office will be difficult. However, we have scheduled a going away get together at the local pub on my last day and I look forward to that. Cheers!",1.0,This is about my job searching experiences for the past 2 months.  I have applied over 10 jobs and finally landed on one with higher pay compared to my current job.  I also will have less stress compared to my current job.  Some of my current coworkers are very emotional about my departure.,60.0
427,3B837J3LDPI3JBZG6S1OVT6WR96RS4,548,R4RXNP2E,25.0,man,black,1.0,1.0,3.0,5.0,5.010635294096256,getting a promotion at work,retold,when my boss told me I would be getting a raise,0.625,32UTUBMZ7HIWVWZV4QK361LZ2PJBVS,,,,"Five months ago, I was given a promotion and a raise at my job. This came as a surprise as I have only been at this job for eight months and there are people who have been there longer. I do feel as though I've been putting in more work than the others that I work with, but I was expecting it any more. This is a really significant milestone for me. I felt nervous coming into this job because it was out of my wheelhouse in terms of things that I've done in the past. Because of this, I've found myself coming in earlier and staying later to make sure that I have a grasp on all the things that I need to do here. It seems like this persistence impressed my supervisors and they went to the boss to ask that I be given a promotion and a raise. This is really a culmination of the effort I've put in to be a better employee and I'm happy with the result. Of course, I am. It's a promotion and a raise after only a short time at the job. This also means that if I decide to move on from this job that I will look better in the eyes of potential employers who may be interested in my services. I took this job on a whim, to be honest. I was unhappy at my last job and wanted to find a chance. After a few months, this is where I ended up. Now, I'm excelling at this new job and finding that my supervisors are aware of what I am doing. I think that I can make a longer career out of my time here if I continue on this road. I know that this promotion and raise will only drive me to do more work and hopefully find myself getting another promotion and raise next year. If not, I'm happy with what I have for now.",1.0,"Some time ago, I was given a promotion and a raise at my job. I haven't been at the job for a long time so this is significant.",150.0
555,3PDJHANYK62L7JNG3AMRGK8YYDP6HU,659,PY7U5EUB,18.0,woman,white,1.0,3.0,4.0,5.0,4.787491742782046,the birth of my daughter,retold,when I saw her and fell in love,0.5,33CID57105FOWWJOBT3R19PLU2RL3S,,,,"I had my baby 10 days before my 23rd birthday. I was scared, nervous, excited, ready, not ready... I didn't know what to feel, it was all so overwhelming. It had been a difficult pregnancy, I was sick for most of it and felt like it dragged on forever. I was excited the whole time, though, because I knew I was making someone that would be important to me for the rest of my life. I could not wait to meet the little person that I was creating. Once she was here, I was so tired and in pain but I was so happy. She was perfect and cute and healthy, I had been so worried she would be born with a defect or disability. But she was so perfect, fat and sleepy and a full head of dark curls. I didn't want the nurses to take her out of the room or out of my sight, I wanted her beside me forever. I didn't expect to feel anything like this, I never really had an interest in children and getting pregnant was a mistake. But as soon as I saw her, I loved her and only wanted to protect her and make her happy. I never expected to feel the amount of love and care and concern that I did feel. Pregnancy was a miserable, sick time for me, and birth was painful and exhausting and overwhelming, but it was all so worth it to make someone so cute and perfect that brings me so much happiness. I know I'm a better person now than I was before I had her, she's taught me so much patience and care and how to be unselfish. It's hard to believe sometimes that I made her and she is mine for the rest of our lives.",3.0,"Pregnancy and birth is a big, scary, life-changing event, but I wouldn't undo it for anything. It changes you as a person and makes you rethink everything.",120.0
651,3NLZY2D53QBG3XPQ94FNEHIW2L3LQ9,3469,NNDUB232,30.0,man,white,1.0,2.0,,2.0,4.0943445622220995,getting a promotion,imagined,the cake was the best ever,0.875,,33M4IA01QHNBFSLF027BU1NO58FRXM,2.0,I've had a cake before,"Two months ago, I was named the head of a new project at the work place. The position came with higher pay. This made me pay off my debt. I was so happy because of this. I celebrated by going to a fancy restaurant. I got some queso to start off the meal. The queso was very yummy. I got some beers to drink. They were nice to drink. I got a steak as the main meal. The steak was medium. It was one of the best steaks I have ever eaten. I got a nice chocolate cake for dessert. I gave the waiter a big tip. I can't wait to begin working on the new project. It should be fun. I have a lot of ideas for the project.",2.0,i was named the head of a new project at work. the new position came with higher pay. i was able to pay off my debt.,60.0
671,3IGI0VL648636LFV643Y24RMI1GNO0,5745,QTJUC975,30.0,man,white,1.0,1.0,,3.0,1.9459101490553128,my daughter coming out,imagined,when she threw herself into my arms,0.25,,33OOO72IVI70S9NCDVGJG33WVU8CT7,1.0,"i've never had a daughter or been in that situation honestly, but i hope that this is how i would act. i'm sure i would actually.","so basically i was sitting in the living room watching the game like i usually do on a sunday. My daughter comes up to me and says she has something really important to talk to me about. I noticed that she looked really nervous and fidgety, her eyes darting around the room. I leaned in and assured her that she could tell me anything, i'm her father! i smiled real big and took her hand, i knew she was bisexual already, i mean i could tell the way she was looking at the cheerleaders when we watched football together. i knew because it reminded me of me! Like i said shes my daughter and i just wanted her to be happy. i said i think it would be a good idea if we met this young lady and got to know her. She started crying and threw herself into my arms. Said she wasn't sure what to think because of the way everyone behaves towards people like her in the news. i told her to ignore those people they were just ignorant and that her life doesn't hurt anyone else. Shes such a good girl and i love her so much. i never want to see her worried like that again. But of course i don't, im her father. i know how cruel the world can be. i will always do everything i can to shield her from it...always.",1.0,My daughter came out to me that she is bisexual. I told her I love her no matter what and that I will always support her health and happiness.,7.0
672,3QAVNHZ3ENQOGHI9K8I1OH3RARXLA6,1377,FGM8T6LZ,40.0,woman,white,1.0,2.0,2.0,2.0,4.0943445622220995,my daughter coming out,retold,she told me because she shares my conservative values.,0.0,33OOO72IVI70S9NCDVGJG33WVU8CT7,,,,"It was a beautiful day outside. My daughter and I were taking care of her pet rabbits. She shyly handed me a note. I read it, and in it she disclosed that she was bisexual. I looked at her, and she had already started to cry. All I could do what hug her. All she could say was ""I didn't know how to tell you."" and ""Please don't be mad."" I assured her that of course I wasn't mad, and that I would always love her no matter what. I also told her how proud I was of her. I just wanted her to be healthy and happy. I did remind her about making good choices in her relationships regardless of who they are with. We just jugged and cried for a while. It did feel kind of like a punch in the gut, just because I thought I knew my daughter and I honestly didn't see it coming. Also, we are a conservative, christian family. Generally, we value and present traditional gender roles. She was scared to tell her dad, but together we brought the note in to him too. We had a good conversation and reaffirmed that we support her. I am glad that we have been able to be more open with each other since this happened.",2.0,My daughter came out to me that she is bisexual. I told her I love her no matter what and that I will always support her health and happiness.,60.0
