AssignmentId,WorkTimeInSeconds,WorkerId,annotatorAge,annotatorGender,annotatorRace,distracted,draining,frequency,importance,logTimeSinceEvent,mainEvent,memType,mostSurprising,openness,recAgnPairId,recImgPairId,similarity,similarityReason,story,stressful,summary,timeSinceEvent,bin,similarity_score,story_type
3TXD01ZLD53CXIPMKL0B21DAJCD4UN,1182,WFOTGU3T,25.0,woman,white,1.0,4.0,,5.0,5.010635294096256,seeing my best friend for the first time in over a year,imagined,when my best friend told me she had cancer,0.875,,35GCEFQ6I6A81L0SQUU09O0J7LA3ZM,5.0,My best friend in college was diagnosed with cancer shortly after we graduated. She lost her battle with cancer earlier this year. I wrote this in her memory.,"2 weeks ago, I woke up more excited than ever because it was finally the day that I was going to be able to see my best friend Hollie for the first time in over a YEAR! She'd  been away working in another country and she just moved back to our city earlier this month. The first thing I did that morning was text her and see where she wanted to go. She recommended the local cafe that we used to go to for lunch all of the time before she left. Best of all? This was going to be a girl's day, just the two of us, NO BOYFRIEND ALLOWED. I drove to meet her at 12:30 p.m. and we met in the parking lot at about 12:45. When I saw her, I almost started to cry and I think she did, too. She was my best friend, my person, my soul sister, and we were finally reunited after what felt like 10 years. We hugged each other in the parking lot and neither of us wanted to let go... until we realized just how hungry we were. Letting each other go, we were already starting to catch up on things when we entered the restaurant, and we even got our favorite table: the one right next to the window. It finally felt like everything was falling back together again! I asked her about her time away and she spent time asking me about Cory (my boyfriend) and I, and if we had finally tied the knot yet. I told her we were thinking about it, and as soon as he popped the question, she would be my maid of honor for sure. I told her I couldn't imagine a wedding without her in it, and then she started to get quiet. She was tearing up, and I didn't know why. I thought I said something to offend her? Maybe she was upset that I brought Cory into the conversation? I asked her what was wrong after a few minutes of silence and I already knew something major had happened before she spoke... and then she told me the truth. The reason she had moved back home is because she was diagnosed with colon cancer. She wanted to begin her treatments at home, surrounded by her close friends and family, because she didn't know how effective they would be. The cancer had already progressed before it was diagnosed. I wanted to cry, too, but I didn't want to make her upset. I promised her that day that I would fight with her every step of the way, and no matter what happened, she wouldn't be alone.",5.0,I got to see my best friend after not having seen her in over a year. We went to brunch without my boyfriend. It was nice to reconnect with her one-on-one.,150.0,Imagined,0.76897866,Imagined
3PPTZCWALR608M6UO56WMWTU0GTQZ6,1555,9N9I6ZQ3,25.0,man,hisp,1.0,1.0,3.0,5.0,5.1929568508902095,My PhD graduation,retold,That the graduation ceremony was only about one hour long!,1.0,317HQ483I8ETAZ4S89QTI7VZIFNINQ,,,,That was a very special day in my life because it was one of the largest accomplishments for me and my family. I woke up very nervous and sort of sick to my stomach but in a good way. I was afraid that something would somehow go wrong and I wasn’t going to get to graduate. The morning started with breakfast with family and hanging out with my wife and brother. We then went back to the hotel and got ready by showering and getting some good clothes on. We met up with the he rest of the family for photos which took about an hour. After photos we went tot he auditorium and the ceremony started shortly after 2 pm I believe. It was about an hour long but it seemed to last forever. At some point the nerves went away and I was just happy to have finished a very hard phd and happy that I made my parents Proud. The rest of the day was also very positive. We had dinner as a family at a nice restaurant. We then sat and talked for a few hours. I told my family stories of the struggles and tough times during those five years. The offered feedback and told me I had done a great job. I admit this felt so good! It meant to much to be able to accomplish this for everyone that helped me along the way. It was a top moment in my life for sure,1.0,The most memorable and significant day of the last few months is my graduation from my PhD. It is significant because I am the first of my family with an advanced degree. I will look to inspire future generations of my family to do the same.,180.0,Retold,0.7628482,Retold
33F859I567ZRDV4BZ13ZR0UQ02WHBM,6897,ICDWSD3T,35.0,woman,white,1.0,1.0,,4.0,3.555348061489413,leaving my old job.,imagined,I saw that there was streamers and balloons,1.0,,3XCC1ODXDMXR6VK3EOCJ0TRV9ZARQW,4.0,I can relate since I've left a job and everyone seemed sad and wished me well,"I got a new job offer at a business that was in another town from where I had worked. As soon as I got that offer, I went and told my boss about it. He was excited for me, but also really sad for the company. He loved having me around and so did all my co-workers. I told him I'd do all I could to make sure whoever took my place didn't miss a beat and fit in perfectly. I had been training the new person for a couple of weeks and it was nearing my final week there. The girl I was training had suddenly had an issue with the computer in her office and wanted me to help her. I had other tasks to do that my boss gave me to finish up on the last few days I was there, but I figured she needed me more since she sounded really stressed. I stay with her for hours and we ended up calling IT to fix it. He said it would take a few hours and the trainee asked if I wanted to get lunch since we had time to kill. So we started to leave and everyone was in the hallway with balloons and streamers for my going away party. I was so shocked and surprised! I couldn't believe that anyone would do something like that for me! I ended up crying! I had never felt so loved by people. It made it even harder to leave, but I do love them all!",1.0,My co-workers worked together to throw me a surprise party. I was very shocked and emotional about how awesome it was.,35.0,Imagined,0.75951236,Imagined
3F6HPJW4JEMFM8Z4B7WORA1ABWSW2B,1155,4IELNM7L,25.0,man,white,1.0,2.0,,4.0,2.6390573296152584,a visit by brother and his niece.,imagined,we barely touched the food I baked.,0.625,,3S96KQ6I9NQAX1TQDRBU09LEPQ6DTV,4.0,"I have a brother, and while he doesn't have a daughter, this is exactly the kind of thing I could see us doing if he did.","Between the market dip and my troubles with management at work, it's been a challenging couple of weeks. Not saying I deserved anything of the sort, but a little bit of sunshine in my life would have been just the thing. Right on cue, I got a call a few weeks back from my brother in Oregon -- he was on vacation and wanted to come visit. Can you believe it? We've both been so busy over the last year we haven't gotten together at all. I spent way too much time tidying up the house in preparation for his visit, not to mention I went a little crazy with the sweets baking like I always do. What's a few pounds for a good time, anyway? He arrived two weeks ago on a rainy Friday afternoon with his niece at his side. I couldn't believe how much she's grown since we last saw each other! I had planned to take them out to the zoo (she loves animals like nothing else) but the rain forced me to make a change of plan. I broke out one of the old board games me and my brother used to war over as children, and we all set up shop near the living room window. Naturally, I went easy on them (and I would never admit to being beat!). We had great fun, and it was wonderful to see little reflections of our childhood selves in her -- even down to the big huffy pout when things didn't go her way. We all lost ourselves in the game so much we barely even touched the food. I'll have to pack some of it up and hand it out in the break room at work, unless I really want to balloon up. It was long after sundown by the time we gave our farewells, along with a promise to get together again next month. We all made some precious memories that day, and I can't wait to see my niece continue to grow!",2.0,"My brother and four year old niece visited for the first time in a year, and we were able to bond during her visit. I believe I made a friend for life on that day as we played and became more like family.",14.0,Imagined,0.75871265,Imagined
3TY7ZAOG5G6HVY297697KBE0Q4SK01,1293,HXBQ777O,25.0,man,white,1.0,2.0,,4.0,4.787491742782046,about my mother dying.,imagined,when i gained a renewed faith in god,0.875,,386PBUZZXGJZHALDEEVEHG6AR1XJLR,4.0,i went through a similar event a few years back,"Dear Diary, 4 month's ago my mother died in May. Heavy stuff to start off with i know, it was a very difficult time for as she was my last remaining close family. When i heard the news it was like my world was over. Mom and i were pretty close and we talked on the phone practically every day, it was like i lost my best friend and my mother. Afterwards i had to leave my job, i was just too emotional to keep working, i still get a little choked up when i think about her but its better now, mostly. My boss and coworkers were very understanding of my situation and there was no hard feelings in me leaving. I'm not gonna lie, i was a bit of a mess. I didn't fall off the rails too hard but i did go through a long period of depression were it was a effort to get out of bed in the morning. That went on for awhile until some of my friends invited me to one of their church group cookouts. i kinda felt like a third-wheel and was dragging down the atmosphere but i appreciated the thought. i found it to be a very good experience and the food was delicious. After everyone left my friend asked if i wanted to join his group for other church events, and i said yes. they certainly kept me busy let me tell you, not that i minded. I think that was primarily what helped get me through my crisis. and at the end i liked involving myself so much that i became a regular face at church. Diary, if there is one good thing that came out of this, its that i found and renewed my faith in God.",1.0,My mother died in May. She was my last remaining close family. It turned my life upside down and I had to leave work. The good that came out of this was it renewed my faith in God.,120.0,Imagined,0.74790585,Imagined
3YW4XOSQKR7V5JS3X3H943677LH1U7,1972,BZT2JTBO,30.0,woman,white,1.0,2.0,4.0,5.0,4.0943445622220995,me getting married to my now husband.,recalled,it started to rain right as we finished taking photos.,1.0,3YW4XOSQKR7V5JS3X3H943677LH1U7,,,,"I had a memorable experience about two months ago when I got married. I had been looking forward to getting married for a while, as we had been together four years by the time we finally got married. It was enjoyable because I got to share the experience with my family and friends, and it was a beautiful sunny day. I was emotional during the ceremony and was so happy that I could barely stand it. I felt nervous leading up to walking down the isle, but as soon as I got up there and was standing in front of my fiance, I was happy and all of the nervousness left my body. Although some things got messed up throughout the day, there were still more good things than bad. There was a lot of good food to eat and a lot of snacks. It ended up raining not too long after we got done taking pictures, but it only lasted about 10 minutes. It was nice that it rained for a brief period of time because I had heard that it brings good luck, and it also cooled it off a bit. The wedding was outside during the summer, so the break in hot temperatures was refreshing. People ended up staying into the late evening, and I got to talk to family that I don't see that often. I also got to meet more of my husband's family, including his grandmother. She is a nice woman that I enjoyed talking to and getting to know. At the end of the day, I got to relax with my husband and enjoy our first married night together. We both had a great time and I will remember the day for the rest of my life.",2.0,"I got married outside during the middle of summer. I got to spend time with friends and family, including those that I don't get to see often. We spent all day eating good food and enjoying each other's company.",60.0,Retold,0.7473583,Retold
3R6BYFZZP8YEC2G6977HDC96T22FX6,6078,1OBZI1O7,50.0,man,white,1.0,3.0,,3.0,2.6390573296152584,my wokeness,imagined,cancer of a friends child,0.375,,3N2BF7Y2VRGNWM88QQT85G5K32RMH0,5.0,my wife works with many cancer patients,"I was looking forward to this for a very long time. It was the summer that I felt I would know my place in life. I've always felt like I had a good grip on the games education, work, and in my personal life.  Holiday parties are usually boring and mundane but I knew this would be different because of the expanded invitation list.  It was my 5th wedding anniversary and was also a combination party for the 4th of July.  The list included family, neighbors and many of my old friends who happened to be in the area this time of year. I thought it would be great to reconnect with many old acquaintances and friends and catch up with them and reminisce about old times and what's been going on with their lives.  I have been a good been a good pen pal (old school) with many of them so I kind of understand where they are at in their life.  Now I get to see the fruits of their labors -  their wives and their children have come here in full knowledge of having a great time.  They came and they arrived in droves and caravans.  The pavilion tent was set up and the catering was in place.  The chairs and tables were set up picnic style and everyone took their place.  This was by far the biggest party I've ever thrown.  Conversations were amazing, the details were vivid and the stories of the past just kept rolling off like a waterfall.  It was at this time I realized that the things that I thought were important Lake success at work and amount of money that I had in the bank were just a part of my life, they shouldn't have been the focus like I always made them.  Seeing the families and how close they were made realize how lucky I really was as a dad and hey, I had the extra time and effort to do the same.  I'd always been self-serving and self-centered but I was just playing the part of the leader of the family. I guess I really didn't understand what that meant to all the others around me until one of my best friends told me that his daughter was suffering from an advanced form of cancer. He spent every waking moment with her hand put everything else on his life on hold.  It was at that time I realized that if that ever happened to me, I'm not mentally equipped and I would have to find that type of determination in my soul which I currently don't have.  It was at that time I felt that I was no longer just the most important person in the world.  Being a father is much more than just being a someone who supports the family with material needs.   I would have to fundamentally change everything about me. I knew there was a reason I was looking forward to this day. The good news is his daughter is going to pull through and live a healthy life but it is changing me in ways that I couldn't have imagined.",3.0,A wonderful 4th of July party and a reunion with old friends caused me to reassess the way I'm living my life.,14.0,Imagined,0.74619144,Imagined
3AQF3RZ55941TNWA8KYRDZWL8ZIF63,444,AGAWEHII,35.0,woman,white,1.0,1.0,5.0,5.0,5.010635294096256,falling in love,recalled,we finally made it offical,0.5,,,,,"About 5 months ago the best thing to ever happen to me occurred on 4/5. That's the day I officially started dating the love of my life. The day started out as normal as any but the evening I had a party to attend. I invited my now boyfriend to come to this party with me. He is involved in the sport, wrestling, that the party was for and also knew many of the other people there. We both had a ton of fun. There were several people there, good food and drinks. Immediately he went over and started chatting with my dad and quickly my dad knew that he wanted me to be with this man. We continued to bounce around and have fun but eventually we headed back to our apartment. At the time we were living together as friends. When we got back we started talking about feelings and what we wanted in the future. Everything seemed to be aligning perfectly. Finally he looked at me and said ""are you in?"" I looked back with a big grin on my face and said ""Yes, I'm in"". Ever since that day we've been nearly inseparable except when he is spending time with my dad. That night had a huge impact on me and I will forever remember it.",1.0,I went to a party with a friend. By the end of the evening we had decided we wanted to be together romantically.,150.0,Recall,0.74544775,Recall
358010RM5FF38Z2W9MCLVYCSG5GXVJ,4558,G80RUY3A,40.0,man,white,1.0,5.0,,5.0,4.499809670330264,My father passing away,imagined,Getting the news that he had passed on.,1.0,,32UTUBMZ7HIWVWZV4QK361LZAVHVBU,1.0,"I have not lost a parent so I don't know how this really feels, but I can imagine how heartbreaking it really is. I hope that both of mine live long and prosperous lives because I would not want to deal with this pain.","When my father passed away I had a lot going on in my life. I had just moved my wife and 2 kids from Pennsylvania to New York.  Getting into a new house was really stressful for all of us. Once we had arrived saying that he had passed on. I had talked to my parents on a daily basis over the phone and no one even let me know he was sick. If I had known I would have tried to spend more time with him.  As soon as I got the call I booked a flight for myself and my family. My kids were heartbroken and I didn't know what to say to make them feel better. I helped my mom plan the memorial service. She was obviously distraught so I hope you're as much as I possibly could. It seems like she was not prepared for this either. At least we had each other to lean on in this difficult time. The day of the funeral service I ran into family I hadn't seen in many many years. I really didn't wanna speak with them for the most part because I was so upset, but I was just polite and cordial as I could be. The main thing was that I was there for my family and I remain strong for them. When it was all said and done we took a flight back to New York. It's been difficult but we're all taking each day at a time.",5.0,"My father passed away. A week later, we had his memorial service and was a difficult time for my family.",90.0,Imagined,0.74522835,Imagined
3OLQQLKKNTBLB4BLXS8A4LGQ9YQEJ8,519,D13EQLM7,40.0,woman,white,1.0,1.0,,4.0,4.499809670330264,the mental process of retiring,imagined,that in the end mostly everyone was happy about it,-0.25,,3QXNC7EIPJHXE2JI39IIU20JIO5095,5.0,my co-worker just recently retired.,About 3 months ago I decided to retire from my long-time company.  after doing some research and meeting with a mentor I learned I was able to financially support myself without my current job. I was very scared but also very excited.  How nice would it be to get up and not ever go to work again! I know there would be some challenges along the way but I was ready for my new adventure. I started by meeting with my boss who is a very nice person.  She wasn't very shocked. She told me she was mentally preparing herself for months for this conversation.  We laughed and talked a while.  Next I told my close co-workers and before I knew it the entire company was at my desk congratulating me.  It felt so nice that everyone was happy for me. I decided to stay a few months to get others up to speed and trained. I really didn't want to leave anyone high and dry. The last day of my job was so sad but exciting.  The company threw me a little party and had a cake with congratulations on it.  They had banners and decorations. It truly made me so grateful for working at such a fantastic company. I wished everyone well and walked out on top of the world.,1.0,I retired around 3 months ago and my family and employees working in the firm arranged a retirement party were we were filled with tears and joy. They offered me Memento and it was the best day of my life.,90.0,Imagined,0.743576,Imagined
