scene number,Start Time (s) ,End Time (s) ,"Start Time (TRs, 1.5s)","End Time (TRs, 1.5s)",scene number - concatenated,Start Time (s)  - concatenated,End Time (s)  - concatenated,"Start Time (TRs, 1.5s) - concatenated","End Time (TRs, 1.5s) - concatenated",Start Time (m.ss),scene title,Space-In/Outdoor or unknown,scene start time,scene end time,Importance_Rater1_PostView,Importance_Rater2_PostView,Importance_Rater3_PostView,Importance_Rater4_PostView,Importance_Rater1_Online,Importance_Rater2_Online,Importance_Rater3_Online,Importance_Rater4_Online
1,0,33,1,23,1,0,33,1,23,0,Let's All Go To The Lobby,Indoor,0:00,0:33,NA,NA,NA,NA,NA,NA,NA,NA
2,34,40,24,28,2,34,40,24,28,0.34,Countdown,Unknown,0:34,0:40,NA,NA,NA,NA,NA,NA,NA,NA
3,41,43,28,30,3,41,43,28,30,0.41,CATCH ME IF YOU CAN title,Unknown,0:41,0:43,5,4,1,NA,NA,NA,NA,NA
4,44,46,30,32,4,44,46,30,32,0.44,Inspired by a true story,Unknown,0:44,0:46,5,2,1,1,4,8,3,1
5,47,58,32,40,5,47,58,32,40,0.47,To Tell The Truth Intro,Indoor,0:47,0:58,7,3,3,2,5,8,2,2
6,59,70,40,48,6,59,70,40,48,0.59,Imposter Introductions,Indoor,0:59,1:10,7,7,5,2,10,10,2,2
7,71,108,48,73,7,71,108,48,73,1.11,Bio of imposter,Indoor,1:11,1:48,10,10,6,7,10,10,4,4
8,109,133,74,90,8,109,133,74,90,1.49,Question/Answer 1,Indoor,1:49,2:13,2,5,4,5,4,7,3,3
9,134,142,90,96,9,134,142,90,96,2.14,Question/Answer 2,Indoor,2:14,2:22,5,10,8,9,8,7,5,3
10,143,168,96,113,10,143,168,96,113,2.23,outside jail in rain,Outdoor,2:23,2:48,5,9,7,7,5,9,4,3
11,169,191,114,128,11,169,191,114,128,2.49,entering jail,Indoor,2:49,3:11,1,6,3,5,4,3,2,1
12,192,210,129,141,12,192,210,129,141,3.12,inside jail - visitation instructions,Indoor,3:12,3:30,1,3,4,5,4,4,2,1
13,211,241,142,162,13,211,241,142,162,3.31,inside jail - meets sick prisoner,Indoor,3:31,4:01,2,8,9,7,6,4,5,1
14,242,258,162,173,14,242,258,162,173,4.02,inside jail - reading article 1,Indoor,4:02,4:18,1,4,4,6,6,3,5,2
15,259,270,174,181,15,259,270,174,181,4.19,inside jail - don't think you can fool me,Indoor,4:19,4:30,6,5,6,6,7,4,3,2
16,271,278,182,186,16,271,278,182,186,4.31,inside jail - article 2/frank falls,Indoor,4:31,4:38,3,7,6,9,7,6,6,2
17,279,292,187,196,17,279,292,187,196,4.39,inside jail - call doctor,Indoor,4:39,4:52,4,5,7,7,8,5,6,4
18,293,304,196,204,18,293,304,196,204,4.53,head to jail hospital,Indoor,4:53,5:04,3,6,5,7,7,4,5,3
19,305,323,204,216,19,305,323,204,216,5.05,inside hospital chat w official,Indoor,5:05,5:23,1,4,4,6,8,5,5,5
20,324,337,217,226,20,324,337,217,226,5.24,they see frank left the room,Indoor,5:24,5:37,7,7,10,9,10,6,7,7
21,338,344,226,230,21,338,344,226,230,5.38,escape attempt - inmate noise,Indoor,5:38,5:44,2,2,7,7,7,3,3,4
22,345,350,231,234,22,345,350,231,234,5.45,escape attempt - frank falls ,Indoor,5:45,5:50,5,4,7,9,6,3,4,3
23,350,362,234,242,23,350,362,234,242,5.5,escape attempt - officals approach,Indoor,5:50,6:02,3,3,6,9,8,3,6,3
24,363,370,243,248,24,363,370,243,248,6.03,escape attempt - gun to head,Indoor,6:03,6:10,3,5,5,8,8,5,4,3
25,371,375,248,251,25,371,375,248,251,6.11,escape attempt - frank gives up,Indoor,6:11,6:15,5,8,8,9,5,2,6,2
26,376,390,252,261,26,376,390,252,261,6.16,escape attempt - let's go home/scene outro,Indoor,6:16,6:30,7,8,9,10,10,4,6,4
27,391,396,262,265,27,391,396,262,265,6.31,THE RECORD title,Unknown,6:31,6:36,2,5,1,NA,NA,NA,NA,NA
28,397,402,266,269,28,397,402,266,269,6.37,girl inside room alone w pizza,Indoor,6:37,6:42,2,2,2,2,1,4,5,1
29,403,407,270,272,29,403,407,270,272,6.43,knock at the door,Indoor,6:43,6:47,2,2,2,4,5,5,6,1
30,408,417,273,279,30,408,417,273,279,6.48,girl sees and opens package,Indoor,6:48,6:57,2,4,4,5,5,7,7,5
