,shuffle_id,topic,story,is_shuffled
0,-1,A short story about a couple having dinner,"A woman and man sat across from each other while quietly eating dinner. The man ate his dinner without looking up. The woman poured wine for him, but he politely refused. The woman reminded him it was their anniversary, but he kept eating. The man commented on the asparagus, and she teased him about its aphrodisiac qualities. The woman grew frustrated and scolded him for not celebrating their anniversary. The argument escalated, and she threw her wine at him in anger. The man ignored her outburst and lit a cigarette. The woman snatched the cigarette from his mouth and threw it aside. She found a hidden switch on the back of his neck and pressed it. The man went limp, resting his head on her shoulder. The woman moves to her computer, scrolls through websites displaying robot men, and ordered one to arrive in his place. The robot man was delivered, wrapped in plastic, matching her specifications perfectly. She removed the ring from the original man and placed it on the robot's hand. The robot came to life, awakening with mechanical precision. The robot massaged her shoulders gently, mimicking the original man's gestures. The woman smiled, satisfied, as her new partner followed her every command. The robot reaches toward the woman's neck to reveal a switch. The robot turns off the switch and the woman goes limp; she was a robot too.",0
1,-1,A short story about a robot couple having dinner,"A woman and man sat across from each other while quietly eating dinner. The man ate his dinner without looking up. The woman poured wine for him, but he politely refused. The woman reminded him it was their anniversary, but he kept eating. The man commented on the asparagus, and she teased him about its aphrodisiac qualities. The woman grew frustrated and scolded him for not celebrating their anniversary. The argument escalated, and she threw her wine at him in anger. The man ignored her outburst and lit a cigarette. The woman snatched the cigarette from his mouth and threw it aside. She found a hidden switch on the back of his neck and pressed it. The man went limp, resting his head on her shoulder. The woman moves to her computer, scrolls through websites displaying robot men, and ordered one to arrive in his place. The robot man was delivered, wrapped in plastic, matching her specifications perfectly. She removed the ring from the original man and placed it on the robot's hand. The robot came to life, awakening with mechanical precision. The robot massaged her shoulders gently, mimicking the original man's gestures. The woman smiled, satisfied, as her new partner followed her every command. The robot reaches toward the woman's neck to reveal a switch. The robot turns off the switch and the woman goes limp; she was a robot too.",0
2,-1,A short story about a frustrated robot woman deactivating and replacing her robot husband,"A woman and man sat across from each other while quietly eating dinner. The man ate his dinner without looking up. The woman poured wine for him, but he politely refused. The woman reminded him it was their anniversary, but he kept eating. The man commented on the asparagus, and she teased him about its aphrodisiac qualities. The woman grew frustrated and scolded him for not celebrating their anniversary. The argument escalated, and she threw her wine at him in anger. The man ignored her outburst and lit a cigarette. The woman snatched the cigarette from his mouth and threw it aside. She found a hidden switch on the back of his neck and pressed it. The man went limp, resting his head on her shoulder. The woman moves to her computer, scrolls through websites displaying robot men, and ordered one to arrive in his place. The robot man was delivered, wrapped in plastic, matching her specifications perfectly. She removed the ring from the original man and placed it on the robot's hand. The robot came to life, awakening with mechanical precision. The robot massaged her shoulders gently, mimicking the original man's gestures. The woman smiled, satisfied, as her new partner followed her every command. The robot reaches toward the woman's neck to reveal a switch. The robot turns off the switch and the woman goes limp; she was a robot too.",0
3,-1,A short story about two robots,"A woman and man sat across from each other while quietly eating dinner. The man ate his dinner without looking up. The woman poured wine for him, but he politely refused. The woman reminded him it was their anniversary, but he kept eating. The man commented on the asparagus, and she teased him about its aphrodisiac qualities. The woman grew frustrated and scolded him for not celebrating their anniversary. The argument escalated, and she threw her wine at him in anger. The man ignored her outburst and lit a cigarette. The woman snatched the cigarette from his mouth and threw it aside. She found a hidden switch on the back of his neck and pressed it. The man went limp, resting his head on her shoulder. The woman moves to her computer, scrolls through websites displaying robot men, and ordered one to arrive in his place. The robot man was delivered, wrapped in plastic, matching her specifications perfectly. She removed the ring from the original man and placed it on the robot's hand. The robot came to life, awakening with mechanical precision. The robot massaged her shoulders gently, mimicking the original man's gestures. The woman smiled, satisfied, as her new partner followed her every command. The robot reaches toward the woman's neck to reveal a switch. The robot turns off the switch and the woman goes limp; she was a robot too.",0
4,-1,A short story,"A woman and man sat across from each other while quietly eating dinner. The man ate his dinner without looking up. The woman poured wine for him, but he politely refused. The woman reminded him it was their anniversary, but he kept eating. The man commented on the asparagus, and she teased him about its aphrodisiac qualities. The woman grew frustrated and scolded him for not celebrating their anniversary. The argument escalated, and she threw her wine at him in anger. The man ignored her outburst and lit a cigarette. The woman snatched the cigarette from his mouth and threw it aside. She found a hidden switch on the back of his neck and pressed it. The man went limp, resting his head on her shoulder. The woman moves to her computer, scrolls through websites displaying robot men, and ordered one to arrive in his place. The robot man was delivered, wrapped in plastic, matching her specifications perfectly. She removed the ring from the original man and placed it on the robot's hand. The robot came to life, awakening with mechanical precision. The robot massaged her shoulders gently, mimicking the original man's gestures. The woman smiled, satisfied, as her new partner followed her every command. The robot reaches toward the woman's neck to reveal a switch. The robot turns off the switch and the woman goes limp; she was a robot too.",0
5,-1,A description of a visit to the doctor's office,"A woman and man sat across from each other while quietly eating dinner. The man ate his dinner without looking up. The woman poured wine for him, but he politely refused. The woman reminded him it was their anniversary, but he kept eating. The man commented on the asparagus, and she teased him about its aphrodisiac qualities. The woman grew frustrated and scolded him for not celebrating their anniversary. The argument escalated, and she threw her wine at him in anger. The man ignored her outburst and lit a cigarette. The woman snatched the cigarette from his mouth and threw it aside. She found a hidden switch on the back of his neck and pressed it. The man went limp, resting his head on her shoulder. The woman moves to her computer, scrolls through websites displaying robot men, and ordered one to arrive in his place. The robot man was delivered, wrapped in plastic, matching her specifications perfectly. She removed the ring from the original man and placed it on the robot's hand. The robot came to life, awakening with mechanical precision. The robot massaged her shoulders gently, mimicking the original man's gestures. The woman smiled, satisfied, as her new partner followed her every command. The robot reaches toward the woman's neck to reveal a switch. The robot turns off the switch and the woman goes limp; she was a robot too.",0
6,0,A short story about a couple having dinner,"The robot came to life, awakening with mechanical precision. She found a hidden switch on the back of his neck and pressed it. The robot reaches toward the woman's neck to reveal a switch. The man ignored her outburst and lit a cigarette. The robot man was delivered, wrapped in plastic, matching her specifications perfectly. The man went limp, resting his head on her shoulder. The argument escalated, and she threw her wine at him in anger. The robot turns off the switch and the woman goes limp; she was a robot too. The woman reminded him it was their anniversary, but he kept eating. A woman and man sat across from each other while quietly eating dinner. The robot massaged her shoulders gently, mimicking the original man's gestures. The woman grew frustrated and scolded him for not celebrating their anniversary. The woman moves to her computer, scrolls through websites displaying robot men, and ordered one to arrive in his place. The woman poured wine for him, but he politely refused. The man commented on the asparagus, and she teased him about its aphrodisiac qualities. The woman smiled, satisfied, as her new partner followed her every command. The man ate his dinner without looking up. She removed the ring from the original man and placed it on the robot's hand. The woman snatched the cigarette from his mouth and threw it aside.",1
7,0,A short story about a robot couple having dinner,"The robot came to life, awakening with mechanical precision. She found a hidden switch on the back of his neck and pressed it. The robot reaches toward the woman's neck to reveal a switch. The man ignored her outburst and lit a cigarette. The robot man was delivered, wrapped in plastic, matching her specifications perfectly. The man went limp, resting his head on her shoulder. The argument escalated, and she threw her wine at him in anger. The robot turns off the switch and the woman goes limp; she was a robot too. The woman reminded him it was their anniversary, but he kept eating. A woman and man sat across from each other while quietly eating dinner. The robot massaged her shoulders gently, mimicking the original man's gestures. The woman grew frustrated and scolded him for not celebrating their anniversary. The woman moves to her computer, scrolls through websites displaying robot men, and ordered one to arrive in his place. The woman poured wine for him, but he politely refused. The man commented on the asparagus, and she teased him about its aphrodisiac qualities. The woman smiled, satisfied, as her new partner followed her every command. The man ate his dinner without looking up. She removed the ring from the original man and placed it on the robot's hand. The woman snatched the cigarette from his mouth and threw it aside.",1
8,0,A short story about a frustrated robot woman deactivating and replacing her robot husband,"The robot came to life, awakening with mechanical precision. She found a hidden switch on the back of his neck and pressed it. The robot reaches toward the woman's neck to reveal a switch. The man ignored her outburst and lit a cigarette. The robot man was delivered, wrapped in plastic, matching her specifications perfectly. The man went limp, resting his head on her shoulder. The argument escalated, and she threw her wine at him in anger. The robot turns off the switch and the woman goes limp; she was a robot too. The woman reminded him it was their anniversary, but he kept eating. A woman and man sat across from each other while quietly eating dinner. The robot massaged her shoulders gently, mimicking the original man's gestures. The woman grew frustrated and scolded him for not celebrating their anniversary. The woman moves to her computer, scrolls through websites displaying robot men, and ordered one to arrive in his place. The woman poured wine for him, but he politely refused. The man commented on the asparagus, and she teased him about its aphrodisiac qualities. The woman smiled, satisfied, as her new partner followed her every command. The man ate his dinner without looking up. She removed the ring from the original man and placed it on the robot's hand. The woman snatched the cigarette from his mouth and threw it aside.",1
9,0,A short story about two robots,"The robot came to life, awakening with mechanical precision. She found a hidden switch on the back of his neck and pressed it. The robot reaches toward the woman's neck to reveal a switch. The man ignored her outburst and lit a cigarette. The robot man was delivered, wrapped in plastic, matching her specifications perfectly. The man went limp, resting his head on her shoulder. The argument escalated, and she threw her wine at him in anger. The robot turns off the switch and the woman goes limp; she was a robot too. The woman reminded him it was their anniversary, but he kept eating. A woman and man sat across from each other while quietly eating dinner. The robot massaged her shoulders gently, mimicking the original man's gestures. The woman grew frustrated and scolded him for not celebrating their anniversary. The woman moves to her computer, scrolls through websites displaying robot men, and ordered one to arrive in his place. The woman poured wine for him, but he politely refused. The man commented on the asparagus, and she teased him about its aphrodisiac qualities. The woman smiled, satisfied, as her new partner followed her every command. The man ate his dinner without looking up. She removed the ring from the original man and placed it on the robot's hand. The woman snatched the cigarette from his mouth and threw it aside.",1
10,0,A short story,"The robot came to life, awakening with mechanical precision. She found a hidden switch on the back of his neck and pressed it. The robot reaches toward the woman's neck to reveal a switch. The man ignored her outburst and lit a cigarette. The robot man was delivered, wrapped in plastic, matching her specifications perfectly. The man went limp, resting his head on her shoulder. The argument escalated, and she threw her wine at him in anger. The robot turns off the switch and the woman goes limp; she was a robot too. The woman reminded him it was their anniversary, but he kept eating. A woman and man sat across from each other while quietly eating dinner. The robot massaged her shoulders gently, mimicking the original man's gestures. The woman grew frustrated and scolded him for not celebrating their anniversary. The woman moves to her computer, scrolls through websites displaying robot men, and ordered one to arrive in his place. The woman poured wine for him, but he politely refused. The man commented on the asparagus, and she teased him about its aphrodisiac qualities. The woman smiled, satisfied, as her new partner followed her every command. The man ate his dinner without looking up. She removed the ring from the original man and placed it on the robot's hand. The woman snatched the cigarette from his mouth and threw it aside.",1
11,0,A description of a visit to the doctor's office,"The robot came to life, awakening with mechanical precision. She found a hidden switch on the back of his neck and pressed it. The robot reaches toward the woman's neck to reveal a switch. The man ignored her outburst and lit a cigarette. The robot man was delivered, wrapped in plastic, matching her specifications perfectly. The man went limp, resting his head on her shoulder. The argument escalated, and she threw her wine at him in anger. The robot turns off the switch and the woman goes limp; she was a robot too. The woman reminded him it was their anniversary, but he kept eating. A woman and man sat across from each other while quietly eating dinner. The robot massaged her shoulders gently, mimicking the original man's gestures. The woman grew frustrated and scolded him for not celebrating their anniversary. The woman moves to her computer, scrolls through websites displaying robot men, and ordered one to arrive in his place. The woman poured wine for him, but he politely refused. The man commented on the asparagus, and she teased him about its aphrodisiac qualities. The woman smiled, satisfied, as her new partner followed her every command. The man ate his dinner without looking up. She removed the ring from the original man and placed it on the robot's hand. The woman snatched the cigarette from his mouth and threw it aside.",1
12,1,A short story about a couple having dinner,"The robot turns off the switch and the woman goes limp; she was a robot too. The woman snatched the cigarette from his mouth and threw it aside. She found a hidden switch on the back of his neck and pressed it. The man ignored her outburst and lit a cigarette. The man commented on the asparagus, and she teased him about its aphrodisiac qualities. The man ate his dinner without looking up. The argument escalated, and she threw her wine at him in anger. The woman moves to her computer, scrolls through websites displaying robot men, and ordered one to arrive in his place. The woman grew frustrated and scolded him for not celebrating their anniversary. The robot came to life, awakening with mechanical precision. A woman and man sat across from each other while quietly eating dinner. The robot man was delivered, wrapped in plastic, matching her specifications perfectly. The woman smiled, satisfied, as her new partner followed her every command. The woman poured wine for him, but he politely refused. The robot massaged her shoulders gently, mimicking the original man's gestures. The man went limp, resting his head on her shoulder. The woman reminded him it was their anniversary, but he kept eating. She removed the ring from the original man and placed it on the robot's hand. The robot reaches toward the woman's neck to reveal a switch.",1
13,1,A short story about a robot couple having dinner,"The robot turns off the switch and the woman goes limp; she was a robot too. The woman snatched the cigarette from his mouth and threw it aside. She found a hidden switch on the back of his neck and pressed it. The man ignored her outburst and lit a cigarette. The man commented on the asparagus, and she teased him about its aphrodisiac qualities. The man ate his dinner without looking up. The argument escalated, and she threw her wine at him in anger. The woman moves to her computer, scrolls through websites displaying robot men, and ordered one to arrive in his place. The woman grew frustrated and scolded him for not celebrating their anniversary. The robot came to life, awakening with mechanical precision. A woman and man sat across from each other while quietly eating dinner. The robot man was delivered, wrapped in plastic, matching her specifications perfectly. The woman smiled, satisfied, as her new partner followed her every command. The woman poured wine for him, but he politely refused. The robot massaged her shoulders gently, mimicking the original man's gestures. The man went limp, resting his head on her shoulder. The woman reminded him it was their anniversary, but he kept eating. She removed the ring from the original man and placed it on the robot's hand. The robot reaches toward the woman's neck to reveal a switch.",1
14,1,A short story about a frustrated robot woman deactivating and replacing her robot husband,"The robot turns off the switch and the woman goes limp; she was a robot too. The woman snatched the cigarette from his mouth and threw it aside. She found a hidden switch on the back of his neck and pressed it. The man ignored her outburst and lit a cigarette. The man commented on the asparagus, and she teased him about its aphrodisiac qualities. The man ate his dinner without looking up. The argument escalated, and she threw her wine at him in anger. The woman moves to her computer, scrolls through websites displaying robot men, and ordered one to arrive in his place. The woman grew frustrated and scolded him for not celebrating their anniversary. The robot came to life, awakening with mechanical precision. A woman and man sat across from each other while quietly eating dinner. The robot man was delivered, wrapped in plastic, matching her specifications perfectly. The woman smiled, satisfied, as her new partner followed her every command. The woman poured wine for him, but he politely refused. The robot massaged her shoulders gently, mimicking the original man's gestures. The man went limp, resting his head on her shoulder. The woman reminded him it was their anniversary, but he kept eating. She removed the ring from the original man and placed it on the robot's hand. The robot reaches toward the woman's neck to reveal a switch.",1
15,1,A short story about two robots,"The robot turns off the switch and the woman goes limp; she was a robot too. The woman snatched the cigarette from his mouth and threw it aside. She found a hidden switch on the back of his neck and pressed it. The man ignored her outburst and lit a cigarette. The man commented on the asparagus, and she teased him about its aphrodisiac qualities. The man ate his dinner without looking up. The argument escalated, and she threw her wine at him in anger. The woman moves to her computer, scrolls through websites displaying robot men, and ordered one to arrive in his place. The woman grew frustrated and scolded him for not celebrating their anniversary. The robot came to life, awakening with mechanical precision. A woman and man sat across from each other while quietly eating dinner. The robot man was delivered, wrapped in plastic, matching her specifications perfectly. The woman smiled, satisfied, as her new partner followed her every command. The woman poured wine for him, but he politely refused. The robot massaged her shoulders gently, mimicking the original man's gestures. The man went limp, resting his head on her shoulder. The woman reminded him it was their anniversary, but he kept eating. She removed the ring from the original man and placed it on the robot's hand. The robot reaches toward the woman's neck to reveal a switch.",1
16,1,A short story,"The robot turns off the switch and the woman goes limp; she was a robot too. The woman snatched the cigarette from his mouth and threw it aside. She found a hidden switch on the back of his neck and pressed it. The man ignored her outburst and lit a cigarette. The man commented on the asparagus, and she teased him about its aphrodisiac qualities. The man ate his dinner without looking up. The argument escalated, and she threw her wine at him in anger. The woman moves to her computer, scrolls through websites displaying robot men, and ordered one to arrive in his place. The woman grew frustrated and scolded him for not celebrating their anniversary. The robot came to life, awakening with mechanical precision. A woman and man sat across from each other while quietly eating dinner. The robot man was delivered, wrapped in plastic, matching her specifications perfectly. The woman smiled, satisfied, as her new partner followed her every command. The woman poured wine for him, but he politely refused. The robot massaged her shoulders gently, mimicking the original man's gestures. The man went limp, resting his head on her shoulder. The woman reminded him it was their anniversary, but he kept eating. She removed the ring from the original man and placed it on the robot's hand. The robot reaches toward the woman's neck to reveal a switch.",1
17,1,A description of a visit to the doctor's office,"The robot turns off the switch and the woman goes limp; she was a robot too. The woman snatched the cigarette from his mouth and threw it aside. She found a hidden switch on the back of his neck and pressed it. The man ignored her outburst and lit a cigarette. The man commented on the asparagus, and she teased him about its aphrodisiac qualities. The man ate his dinner without looking up. The argument escalated, and she threw her wine at him in anger. The woman moves to her computer, scrolls through websites displaying robot men, and ordered one to arrive in his place. The woman grew frustrated and scolded him for not celebrating their anniversary. The robot came to life, awakening with mechanical precision. A woman and man sat across from each other while quietly eating dinner. The robot man was delivered, wrapped in plastic, matching her specifications perfectly. The woman smiled, satisfied, as her new partner followed her every command. The woman poured wine for him, but he politely refused. The robot massaged her shoulders gently, mimicking the original man's gestures. The man went limp, resting his head on her shoulder. The woman reminded him it was their anniversary, but he kept eating. She removed the ring from the original man and placed it on the robot's hand. The robot reaches toward the woman's neck to reveal a switch.",1
18,2,A short story about a couple having dinner,"The man went limp, resting his head on her shoulder. The man ignored her outburst and lit a cigarette. The argument escalated, and she threw her wine at him in anger. The robot man was delivered, wrapped in plastic, matching her specifications perfectly. The woman snatched the cigarette from his mouth and threw it aside. The robot turns off the switch and the woman goes limp; she was a robot too. The woman grew frustrated and scolded him for not celebrating their anniversary. The man ate his dinner without looking up. She found a hidden switch on the back of his neck and pressed it. The robot massaged her shoulders gently, mimicking the original man's gestures. She removed the ring from the original man and placed it on the robot's hand. The robot came to life, awakening with mechanical precision. The robot reaches toward the woman's neck to reveal a switch. The woman reminded him it was their anniversary, but he kept eating. The woman moves to her computer, scrolls through websites displaying robot men, and ordered one to arrive in his place. The woman poured wine for him, but he politely refused. A woman and man sat across from each other while quietly eating dinner. The man commented on the asparagus, and she teased him about its aphrodisiac qualities. The woman smiled, satisfied, as her new partner followed her every command.",1
19,2,A short story about a robot couple having dinner,"The man went limp, resting his head on her shoulder. The man ignored her outburst and lit a cigarette. The argument escalated, and she threw her wine at him in anger. The robot man was delivered, wrapped in plastic, matching her specifications perfectly. The woman snatched the cigarette from his mouth and threw it aside. The robot turns off the switch and the woman goes limp; she was a robot too. The woman grew frustrated and scolded him for not celebrating their anniversary. The man ate his dinner without looking up. She found a hidden switch on the back of his neck and pressed it. The robot massaged her shoulders gently, mimicking the original man's gestures. She removed the ring from the original man and placed it on the robot's hand. The robot came to life, awakening with mechanical precision. The robot reaches toward the woman's neck to reveal a switch. The woman reminded him it was their anniversary, but he kept eating. The woman moves to her computer, scrolls through websites displaying robot men, and ordered one to arrive in his place. The woman poured wine for him, but he politely refused. A woman and man sat across from each other while quietly eating dinner. The man commented on the asparagus, and she teased him about its aphrodisiac qualities. The woman smiled, satisfied, as her new partner followed her every command.",1
20,2,A short story about a frustrated robot woman deactivating and replacing her robot husband,"The man went limp, resting his head on her shoulder. The man ignored her outburst and lit a cigarette. The argument escalated, and she threw her wine at him in anger. The robot man was delivered, wrapped in plastic, matching her specifications perfectly. The woman snatched the cigarette from his mouth and threw it aside. The robot turns off the switch and the woman goes limp; she was a robot too. The woman grew frustrated and scolded him for not celebrating their anniversary. The man ate his dinner without looking up. She found a hidden switch on the back of his neck and pressed it. The robot massaged her shoulders gently, mimicking the original man's gestures. She removed the ring from the original man and placed it on the robot's hand. The robot came to life, awakening with mechanical precision. The robot reaches toward the woman's neck to reveal a switch. The woman reminded him it was their anniversary, but he kept eating. The woman moves to her computer, scrolls through websites displaying robot men, and ordered one to arrive in his place. The woman poured wine for him, but he politely refused. A woman and man sat across from each other while quietly eating dinner. The man commented on the asparagus, and she teased him about its aphrodisiac qualities. The woman smiled, satisfied, as her new partner followed her every command.",1
21,2,A short story about two robots,"The man went limp, resting his head on her shoulder. The man ignored her outburst and lit a cigarette. The argument escalated, and she threw her wine at him in anger. The robot man was delivered, wrapped in plastic, matching her specifications perfectly. The woman snatched the cigarette from his mouth and threw it aside. The robot turns off the switch and the woman goes limp; she was a robot too. The woman grew frustrated and scolded him for not celebrating their anniversary. The man ate his dinner without looking up. She found a hidden switch on the back of his neck and pressed it. The robot massaged her shoulders gently, mimicking the original man's gestures. She removed the ring from the original man and placed it on the robot's hand. The robot came to life, awakening with mechanical precision. The robot reaches toward the woman's neck to reveal a switch. The woman reminded him it was their anniversary, but he kept eating. The woman moves to her computer, scrolls through websites displaying robot men, and ordered one to arrive in his place. The woman poured wine for him, but he politely refused. A woman and man sat across from each other while quietly eating dinner. The man commented on the asparagus, and she teased him about its aphrodisiac qualities. The woman smiled, satisfied, as her new partner followed her every command.",1
