,movie,cause_event,effect_event,rating_count
0,1,0,6,1
1,1,1,4,1
2,1,4,0,2
3,1,4,6,1
4,1,4,8,1
5,1,6,4,1
6,1,6,8,2
7,1,9,8,1
8,1,9,11,1
9,1,11,8,1
10,1,11,13,4
11,1,11,17,1
12,1,13,14,2
13,1,13,16,1
14,1,14,15,8
15,1,14,16,1
16,1,15,16,3
17,1,16,17,1
18,1,17,8,1
19,1,17,0,1
20,1,17,8,1
21,2,20,21,2
22,2,21,23,8
23,2,23,24,8
24,2,23,25,1
25,2,24,25,6
26,2,24,27,2
27,2,24,28,1
28,2,25,27,8
29,2,27,24,1
30,2,27,28,7
31,2,27,31,3
32,2,27,32,2
33,2,27,33,2
34,2,27,34,2
35,2,27,35,2
36,2,28,31,9
37,2,31,32,9
38,2,32,19,1
39,2,32,33,9
40,2,33,34,11
41,2,34,35,11
42,3,37,39,2
43,3,39,42,2
44,3,40,42,1
45,3,42,44,6
46,3,42,45,2
47,3,42,47,1
48,3,44,45,3
49,3,44,47,2
50,3,45,47,7
51,3,47,53,1
52,3,46,49,3
53,3,49,53,1
54,3,51,53,8
55,3,53,51,1
56,4,61,65,1
57,4,62,65,1
58,4,62,67,4
59,4,62,68,2
60,4,62,72,1
61,4,65,67,5
62,4,67,68,6
63,4,68,67,1
64,4,68,70,2
65,4,68,72,1
66,4,70,71,2
67,4,70,72,3
68,4,71,72,7
69,4,72,56,2
70,4,72,73,7
71,4,73,56,4
72,5,74,77,1
73,5,77,78,3
74,5,78,79,8
75,5,78,80,1
76,5,80,81,2
77,5,80,82,1
78,5,80,83,1
79,5,80,88,1
80,5,81,82,5
81,5,82,83,1
82,5,83,84,6
83,5,83,85,1
84,5,83,87,1
85,5,84,85,7
86,5,84,86,1
87,5,85,86,2
88,5,86,87,1
89,5,86,88,2
90,5,86,87,11
91,5,87,88,3
92,6,89,102,1
93,6,89,90,2
94,6,90,94,4
95,6,90,95,1
96,6,94,95,3
97,6,95,96,12
98,6,96,98,6
99,6,98,99,1
100,6,99,100,1
101,6,100,101,1
102,6,100,101,1
103,6,101,102,3
104,6,102,103,3
105,6,103,104,6
106,6,104,105,10
107,6,104,106,1
108,6,105,106,8
109,6,105,107,1
110,6,106,107,10
111,6,107,89,1
112,7,109,111,4
113,7,109,121,1
114,7,109,122,1
115,7,111,112,10
116,7,111,112,3
117,7,112,116,4
118,7,116,117,6
119,7,116,122,3
120,7,117,118,12
121,7,118,120,6
122,7,118,121,5
123,7,120,121,4
124,7,121,122,3
125,7,122,123,10
126,7,122,124,2
127,7,122,124,1
128,7,123,124,7
129,7,124,125,1
130,8,128,131,9
131,8,131,134,6
132,8,134,136,13
133,8,134,138,1
134,8,134,140,1
135,8,134,141,1
136,8,136,138,2
137,8,136,140,1
138,8,136,141,1
139,8,138,140,8
140,8,140,141,8
141,8,141,142,10
142,8,142,143,13
143,9,144,147,1
144,9,145,147,4
145,9,147,148,2
146,9,147,149,2
147,9,148,149,9
148,9,149,147,1
149,9,149,151,9
150,9,149,155,5
151,9,151,152,11
152,9,151,155,1
153,9,152,155,6
154,9,155,156,12
155,9,155,157,1
156,9,156,157,11
157,9,156,158,2
158,9,157,158,1
159,9,157,158,7
160,9,157,159,1
161,9,158,159,5
162,9,158,159,3
163,10,160,162,2
164,10,162,163,6
165,10,162,163,1
166,10,163,165,1
167,10,163,165,1
168,10,163,164,13
169,10,163,164,2
170,10,163,167,1
171,10,165,164,1
172,10,166,167,7
173,10,166,169,3
174,10,167,168,6
175,10,168,169,6
176,10,168,170,1
177,10,169,170,11
178,10,170,172,9
179,10,170,172,3
180,10,170,176,2
181,10,172,176,2
182,10,172,178,1
183,10,172,178,1
184,10,172,173,1
185,10,172,176,1
186,10,173,174,12
187,10,173,176,1
188,10,174,176,3
189,10,176,177,1
190,10,177,162,1
191,10,177,166,1
192,10,177,169,2
193,10,177,176,1
194,10,177,178,8
