Unnamed: 0,AssignmentId,scalar_text_sequentiality,sentence_total_sequentialities,sentence_contextual_sequentialities,sentence_topic_sequentialities,story,recAgnPairId,recImgPairId,memType
164,31EUONYN2WPGEQO48VPPCLLY7GNOVC,0.8566956325275531,"[-0.04472481863839286, 0.641510009765625, 0.9227396647135416, 0.6066646575927734, 1.5923828125, 0.4066587505918561, 0.24290930706521738, 0.39065650201612906, 0.30472005208333336, 0.8052106584821429, 1.0048828125, 2.0751953125, 1.0211181640625, 1.61181640625, 1.2686941964285714]","[-77.86322021484375, -53.02734375, -22.461700439453125, -66.80255126953125, -8.2568359375, -91.05487060546875, -70.455078125, -81.2451171875, -39.93115234375, -44.32861328125, -25.09375, -17.28125, -18.66650390625, -13.1943359375, -17.376953125]","[-76.2978515625, -63.29150390625, -30.766357421875, -86.2158203125, -16.21875, -104.474609375, -76.0419921875, -93.35546875, -44.501953125, -55.6015625, -33.1328125, -33.8828125, -29.8988037109375, -29.3125, -26.2578125]","My wedding day was at the beggining of the year and though it wasnt all that i ecpected it was still a nice day and one that i will always remember. We got married in the court house that my husband worked on while he was roofing. My grandparents where the only ones able to come. They waited in the lobby with our youngest son who was just 2 months at the time while we took our 5 year old upstairs with us for the ceremony. It was short and simple. I wish that more family could have come to share the day with us but it was special and will be something t beat when we get our vows renewed in the future. When I was younger I did imagine me to at least have a nice white dress and a bridesmaid in a church. The fact that it wasnt in a church did bother me a little, and i wore a regular but nice red dress i got on sale for $40. I would have loved to have flowers because my husband always brings me red roses. Being that it was in between our birthdays will be nice for a anniversary. I am thankful that my kids where there. I am thankful that my grandparents where present. I am thankful to be able to legally marry my husband. And I am thankful that it was a nice day. In the future I will be thankful.",,31EUONYN2WPGEQO48VPPCLLY7GNOVC,recalled
286,3HSYG7LRBKKJ8O9DBZJP3VT8P83KK7,0.6101066554408971,"[0.15801130022321427, 0.6665852864583334, 0.3734130859375, 1.17088623046875, 0.480438232421875, 0.39105811485877406, 0.27587890625, 0.16614879261363635, 0.6300223214285714, 0.455596923828125, 0.3532457853618421, 1.4549909319196428, 0.348818359375, 1.169921875, 0.5328125, 1.1338778409090908]","[-10.2520751953125, -22.9169921875, -56.0875244140625, -10.3004150390625, -26.6600341796875, -42.176605224609375, -23.88671875, -21.3037109375, -18.26953125, -17.709716796875, -30.277099609375, -10.8515625, -48.7030029296875, -18.484375, -17.0712890625, -18.603515625]","[-11.358154296875, -30.916015625, -66.91650390625, -22.00927734375, -36.268798828125, -52.3441162109375, -26.09375, -23.13134765625, -22.6796875, -21.3544921875, -36.98876953125, -21.0364990234375, -57.4234619140625, -27.84375, -22.3994140625, -31.076171875]","I lost my job several months ago. I was in the position for several years and was very comfortable. I thought I was good at my job and that I was welled liked and in position to stay with the company for as long as I liked. So, I was shocked when they let me go. I knew that the company was going through some financial difficulties but I never thought I would be let go. So, when I was called into my manger's office I never imagined she was about to tell me they were laying me off.  I thought they were more loyal than that.  It feels like I'm starting my life all over again. I'm confused and a bit overwhelmed.  I'm still looking for full time work.  I have a part time job and I make enough to get by but not enough for anything extra. I'm basically living paycheck to paycheck. I'm thinking about going back to school but money is so tight right now that's it's going to be a difficult path. I'm feeling stuck and a little hopeless. I hope I can find a full time job soon. So, that I can get my life back in order.",324G5B4FB4UT0JVPOCKYG69DUP770F,,retold
287,324G5B4FB4UT0JVPOCKYG69DUP770F,0.5881445281201286,"[0.12430419921875, 0.6029730902777778, 0.2503187391493056, 0.7699819711538461, 1.1768663194444444, 0.7011144301470589, 0.5822035845588235, 0.731353759765625, 0.7104844313401443, 0.38671875, 0.49024824662642047, 0.5568150111607143, 0.12093098958333333, 0.49243570963541666, 0.6330362955729166, 0.3590034816576087, 1.30966796875]","[-16.3116455078125, -27.4873046875, -30.86834716796875, -46.017578125, -24.740234375, -24.266845703125, -38.7548828125, -22.68701171875, -55.74444580078125, -18.7890625, -49.13494873046875, -13.787841796875, -29.6142578125, -39.60980224609375, -21.00732421875, -82.2943115234375, -12.9384765625]","[-17.5546875, -32.9140625, -35.37408447265625, -56.02734375, -35.33203125, -36.185791015625, -48.65234375, -34.388671875, -74.217041015625, -21.109375, -59.92041015625, -21.583251953125, -31.42822265625, -46.996337890625, -28.603759765625, -98.8084716796875, -26.03515625]","I was let go from my job several months ago. I believe it's been exactly 5 months. I always thought I was really good at the job and I really enjoyed what I was doing. I was marketing analyst and enjoyed playing with number and looking for trends. I really liked helping my clients grow their companies. So, it came as a surprised when my boss told me I was being let go. The agency I worked for was doing well financially and they had to cut back on expenses. I knew they were having a tough time but I never thought it would affect me. I assumed if they had to lay anyone off it would newer hires and not people like me who had been with the company for years. I was really disappointed and surprised.  Now I'm left trying to find a new job but it's possible I might look into a new career path. Finding a new job hasn't been as easy as I thought it would. I have a part time job now and I'm struggling to pay the bills. I have some still have some savings left but it's starting to dry up. Things are starting to look pretty grim and I'm really afraid. There's a part of me who thinks I should go back to school and try a new career but I can't afford to go back to school So for right now I'm stuck and I'm trying to figure what to do next. Whatever it is I have to figure out something soon.",324G5B4FB4UT0JVPOCKYG69DUP770F,324G5B4FB4UT0JVPOCKYG69DUP770F,recalled
345,32UTUBMZ7HIWVWZV4QK361L0X1DBV7,0.8602264328077445,"[-0.0025111607142857145, 0.10038248697916667, 1.2504984537760417, 0.4062895903716216, 0.6563333364633414, 1.7417534722222223, 0.4514453125, 2.179408482142857, 0.29886024876644735, 0.9702690972222222, 1.728125, 0.9363839285714286, 0.8372406005859375, 1.322265625, 0.026652018229166668]","[-27.370361328125, -36.56378173828125, -13.4051513671875, -67.58935546875, -54.594757080078125, -21.248046875, -47.857421875, -14.876953125, -34.7725830078125, -46.69140625, -14.484375, -18.9921875, -17.166778564453125, -8.412109375, -112.90087890625]","[-27.335205078125, -38.37066650390625, -28.4111328125, -82.6220703125, -71.659423828125, -36.923828125, -59.1435546875, -30.1328125, -40.450927734375, -64.15625, -23.125, -25.546875, -25.5391845703125, -15.0234375, -113.8603515625]","Last week my wife's water broke while we were at home eating dinner. She went into labor and I was running around like a crazy man trying to find her bag.  I finally got her into the car and headed to the hospital.  The hospital is only like ten minutes from my house, but on the way there, we got stopped in a line of cars that was waiting to let a family of ducks cross the road. My wife was trying to do her breathing, but kind of freaking out because she kept saying the baby was going to come any minute.  We finally got moving after like 10 minutes. I rushed her into the hospital where they immediately checked her and took her to the delivery room because there was no time to wait. The baby came so fast after that. My wife lost more blood than the doctor was comfortable with so we spent two days in the hospital. They felt it was okay to let me take my wife and baby boy home again after that. The nurses were really friendly. The doctor made sure to check everything. The baby was bigger than we thought he would be. He was 9 pounds. Even though having to wait for a group of ducks was awful at the time, it is such a great story to remember the whole thing knowing that my wife and son are just fine.",,32EYX73OY1VJYORKVXWOAUOKE9PRUQ,imagined
347,3YMTUJH0DT2XX5AXKGA1X5R9Q2GT4V,0.939409070221906,"[0.10356212797619048, 2.2273995535714284, 0.7402676669034091, -0.0890625, 0.8642390324519231, 0.6650390625, 0.20701645359848486, 0.9627197265625, -0.08145800503817471, 1.9469866071428572, 0.6875697544642857, 2.423549107142857, 1.1255580357142858, 0.8702494303385416, 1.4375]","[-37.14794921875, -15.150390625, -52.704833984375, -37.77734375, -62.31103515625, -24.94921875, -112.4969482421875, -37.11865234375, -48.67888641357422, -20.49609375, -19.0927734375, -11.44140625, -12.8046875, -46.0904541015625, -1.078125]","[-39.32275390625, -30.7421875, -68.99072265625, -36.44140625, -84.78125, -31.599609375, -119.3284912109375, -56.373046875, -46.886810302734375, -34.125, -23.90576171875, -28.40625, -20.68359375, -66.9764404296875, -2.515625]","For the past 2 months I have been looking for a different job that pays more than my current position. Ideally it would have a shorter commute.  It would be ideal if I did not need to travel in to the city anymore for the new job as well.  I applied to over 10 jobs, and interviewed at 3 of those.  One of the jobs seemed like an ideal fit, no more commute to the large city, great benefits and I really enjoyed the interview.  I had been referred to this one by a friend. I decided to be extra pursuant of that position and requested a follow up interview via phone myself, and I was thrilled when they told me they had planned to call me.  At the second interview I met many more of the staff and they seemed very impressed with my skill set. Today I let my manager and coworkers know that I was resigning, and leaving the company in 2 weeks.  Some of my coworkers where beside themselves.  I found it hard to say goodbye.  A couple of them were very emotional.  Cleaning out my office will be difficult. However, we have scheduled a going away get together at the local pub on my last day and I look forward to that. Cheers!",,32KTQ2V7RE1UHGQPSE5GSZ7W4VN9MX,imagined
427,3B837J3LDPI3JBZG6S1OVT6WR96RS4,0.5563507747631289,"[-0.06015625, 0.680341796875, 0.4464789496527778, 0.66412353515625, 0.46991612361027646, 0.6465988159179688, 0.7069140625, 0.6093699137369791, 0.89056396484375, 0.8224609375, 0.34190516318044356, 0.6017400568181818, 0.37890625, 0.5188987038352273, 0.6491477272727273, 0.2927825927734375, 0.5524620643028846, 0.8018595377604166]","[-21.64453125, -38.750244140625, -66.405517578125, -20.94482421875, -55.19679260253906, -47.92724609375, -59.958984375, -46.9429931640625, -11.29522705078125, -24.9375, -63.54571533203125, -24.970703125, -33.310546875, -18.9249267578125, -51.67578125, -53.61724853515625, -60.2333984375, -20.178955078125]","[-20.7421875, -55.7587890625, -78.46044921875, -26.2578125, -67.41461181640625, -68.618408203125, -77.6318359375, -61.56787109375, -15.748046875, -37.2744140625, -74.144775390625, -31.58984375, -38.236328125, -24.6328125, -65.95703125, -59.472900390625, -74.597412109375, -29.80126953125]","Five months ago, I was given a promotion and a raise at my job. This came as a surprise as I have only been at this job for eight months and there are people who have been there longer. I do feel as though I've been putting in more work than the others that I work with, but I was expecting it any more. This is a really significant milestone for me. I felt nervous coming into this job because it was out of my wheelhouse in terms of things that I've done in the past. Because of this, I've found myself coming in earlier and staying later to make sure that I have a grasp on all the things that I need to do here. It seems like this persistence impressed my supervisors and they went to the boss to ask that I be given a promotion and a raise. This is really a culmination of the effort I've put in to be a better employee and I'm happy with the result. Of course, I am. It's a promotion and a raise after only a short time at the job. This also means that if I decide to move on from this job that I will look better in the eyes of potential employers who may be interested in my services. I took this job on a whim, to be honest. I was unhappy at my last job and wanted to find a chance. After a few months, this is where I ended up. Now, I'm excelling at this new job and finding that my supervisors are aware of what I am doing. I think that I can make a longer career out of my time here if I continue on this road. I know that this promotion and raise will only drive me to do more work and hopefully find myself getting another promotion and raise next year. If not, I'm happy with what I have for now.",32UTUBMZ7HIWVWZV4QK361LZ2PJBVS,,retold
555,3PDJHANYK62L7JNG3AMRGK8YYDP6HU,0.4587258803822736,"[0.006798377403846154, 0.5260416666666666, 0.791015625, 0.2627679734002976, 0.31614276341029574, 0.8435997596153846, 0.4289981617647059, 0.3827237215909091, 0.7911052703857422, 0.5455859375, 0.14130147298177084, 0.6245553152901786, 0.3209013097426471, 0.3261515299479167, 0.4547004699707031, 0.5772247314453125]","[-28.91796875, -22.9033203125, -17.107421875, -38.65142822265625, -45.64336395263672, -21.416015625, -31.74609375, -47.162109375, -42.278350830078125, -45.239013671875, -54.7091064453125, -25.8975830078125, -39.9793701171875, -93.09417724609375, -47.840576171875, -32.8822021484375]","[-29.00634765625, -29.2158203125, -27.390625, -44.1695556640625, -54.495361328125, -32.3828125, -39.0390625, -55.58203125, -54.93603515625, -58.878662109375, -58.100341796875, -39.01324462890625, -45.4346923828125, -105.8140869140625, -62.3909912109375, -44.42669677734375]","I had my baby 10 days before my 23rd birthday. I was scared, nervous, excited, ready, not ready... I didn't know what to feel, it was all so overwhelming. It had been a difficult pregnancy, I was sick for most of it and felt like it dragged on forever. I was excited the whole time, though, because I knew I was making someone that would be important to me for the rest of my life. I could not wait to meet the little person that I was creating. Once she was here, I was so tired and in pain but I was so happy. She was perfect and cute and healthy, I had been so worried she would be born with a defect or disability. But she was so perfect, fat and sleepy and a full head of dark curls. I didn't want the nurses to take her out of the room or out of my sight, I wanted her beside me forever. I didn't expect to feel anything like this, I never really had an interest in children and getting pregnant was a mistake. But as soon as I saw her, I loved her and only wanted to protect her and make her happy. I never expected to feel the amount of love and care and concern that I did feel. Pregnancy was a miserable, sick time for me, and birth was painful and exhausting and overwhelming, but it was all so worth it to make someone so cute and perfect that brings me so much happiness. I know I'm a better person now than I was before I had her, she's taught me so much patience and care and how to be unselfish. It's hard to believe sometimes that I made her and she is mine for the rest of our lives.",33CID57105FOWWJOBT3R19PLU2RL3S,,retold
651,3NLZY2D53QBG3XPQ94FNEHIW2L3LQ9,1.5506810061530203,"[0.10274011948529412, 1.8790690104166667, 1.1572265625, 1.1746651785714286, 1.01873779296875, 1.512109375, 3.620981216430664, 1.7669270833333333, 2.519921875, 1.4300537109375, 3.488525390625, 1.4265963236490886, 1.13134765625, 1.7188895089285714, 0.22780539772727273, 1.20703125, 0.9789496527777778]","[-43.662109375, -14.7568359375, -23.0595703125, -13.43359375, -14.48486328125, -29.59765625, -8.578800201416016, -16.8984375, -11.494140625, -24.5771484375, -9.0302734375, -10.934555053710938, -19.681640625, -10.6875, -21.912109375, -10.26953125, -13.359375]","[-45.40869140625, -26.03125, -31.16015625, -21.65625, -22.634765625, -44.71875, -30.3046875, -27.5, -24.09375, -36.017578125, -22.984375, -28.0537109375, -28.732421875, -22.7197265625, -24.41796875, -15.09765625, -22.169921875]","Two months ago, I was named the head of a new project at the work place. The position came with higher pay. This made me pay off my debt. I was so happy because of this. I celebrated by going to a fancy restaurant. I got some queso to start off the meal. The queso was very yummy. I got some beers to drink. They were nice to drink. I got a steak as the main meal. The steak was medium. It was one of the best steaks I have ever eaten. I got a nice chocolate cake for dessert. I gave the waiter a big tip. I can't wait to begin working on the new project. It should be fun. I have a lot of ideas for the project.",,33M4IA01QHNBFSLF027BU1NO58FRXM,imagined
671,3IGI0VL648636LFV643Y24RMI1GNO0,0.5598359031251703,"[0.1008043791118421, 0.5187784830729166, 0.5052522358141447, 0.8462883444393382, 0.24693777901785716, 1.154052734375, 0.7352457682291667, 0.16693405877976192, 0.2178276909722222, 0.37123325892857145, 0.8294891357421875, 0.5464680989583334, 0.87275390625, 0.5595703125, 0.4486846923828125, 0.8370535714285714]","[-42.15966796875, -18.7996826171875, -34.29083251953125, -43.49591064453125, -88.479736328125, -23.0634765625, -22.2349853515625, -45.910400390625, -19.77685546875, -53.8134765625, -49.72857666015625, -15.65283203125, -22.5205078125, -29.318359375, -15.5762939453125, -33.1005859375]","[-44.074951171875, -28.1376953125, -43.890625, -57.8828125, -97.12255859375, -32.2958984375, -33.263671875, -49.416015625, -21.7373046875, -61.609375, -66.318359375, -22.21044921875, -31.248046875, -34.9140625, -19.165771484375, -44.8193359375]","so basically i was sitting in the living room watching the game like i usually do on a sunday. My daughter comes up to me and says she has something really important to talk to me about. I noticed that she looked really nervous and fidgety, her eyes darting around the room. I leaned in and assured her that she could tell me anything, i'm her father! i smiled real big and took her hand, i knew she was bisexual already, i mean i could tell the way she was looking at the cheerleaders when we watched football together. i knew because it reminded me of me! Like i said shes my daughter and i just wanted her to be happy. i said i think it would be a good idea if we met this young lady and got to know her. She started crying and threw herself into my arms. Said she wasn't sure what to think because of the way everyone behaves towards people like her in the news. i told her to ignore those people they were just ignorant and that her life doesn't hurt anyone else. Shes such a good girl and i love her so much. i never want to see her worried like that again. But of course i don't, im her father. i know how cruel the world can be. i will always do everything i can to shield her from it...always.",,33OOO72IVI70S9NCDVGJG33WVU8CT7,imagined
672,3QAVNHZ3ENQOGHI9K8I1OH3RARXLA6,0.6592116245115464,"[-0.12239583333333333, 0.7252252752130682, 0.5297328404017857, 1.1095815805288463, 0.7793782552083334, 1.6906389508928572, 0.3445438038219105, 0.95689697265625, 0.8594224717881944, 0.5807746438419118, 0.5846354166666666, 0.30340358189174105, 1.2250434027777777, 1.0311414930555556, -0.17686631944444445, 0.7386678059895834, 0.046773274739583336]","[-16.4765625, -22.62506103515625, -21.0789794921875, -23.397705078125, -20.5693359375, -14.62646484375, -50.64283752441406, -11.9232177734375, -14.70123291015625, -41.6058349609375, -36.91796875, -52.05755615234375, -18.41015625, -30.8330078125, -64.990234375, -25.5811767578125, -35.71514892578125]","[-15.7421875, -30.6025390625, -24.787109375, -37.822265625, -29.921875, -26.4609375, -65.80276489257812, -21.4921875, -22.43603515625, -51.47900390625, -42.1796875, -60.5528564453125, -29.435546875, -40.11328125, -61.806640625, -34.4451904296875, -36.55706787109375]","It was a beautiful day outside. My daughter and I were taking care of her pet rabbits. She shyly handed me a note. I read it, and in it she disclosed that she was bisexual. I looked at her, and she had already started to cry. All I could do what hug her. All she could say was ""I didn't know how to tell you."" and ""Please don't be mad."" I assured her that of course I wasn't mad, and that I would always love her no matter what. I also told her how proud I was of her. I just wanted her to be healthy and happy. I did remind her about making good choices in her relationships regardless of who they are with. We just jugged and cried for a while. It did feel kind of like a punch in the gut, just because I thought I knew my daughter and I honestly didn't see it coming. Also, we are a conservative, christian family. Generally, we value and present traditional gender roles. She was scared to tell her dad, but together we brought the note in to him too. We had a good conversation and reaffirmed that we support her. I am glad that we have been able to be more open with each other since this happened.",33OOO72IVI70S9NCDVGJG33WVU8CT7,,retold
