,scalar_text_sequentiality,sentence_total_sequentialities,sentence_contextual_sequentialities,sentence_topic_sequentialities,topic,model_id,history_length
0,0.19072089,"[0.1588529, 0.2836547, 0.18159857, 0.12814954, 0.15139842, 0.17400068, 0.33844107, 0.109671265]","[0.1588529, 0.2836547, 0.18159857, 0.12814954, 0.15139842, 0.17400068, 0.33844107, 0.109671265]","[0.1588529, 0.2836547, 0.18159857, 0.12814954, 0.15139842, 0.17400068, 0.33844107, 0.109671265]",Old friend calls after twenty years of silence.,<src.embedding.SequentialityEmbeddingModel object at 0x3120d1cd0>,1
1,0.22368023,"[0.26452526, 0.23426965, 0.17762391, 0.060264386, 0.1763768, 0.35836247, 0.39247775, 0.12554154]","[0.26452526, 0.23426965, 0.17762391, 0.060264386, 0.1763768, 0.35836247, 0.39247775, 0.12554154]","[0.26452526, 0.23426965, 0.17762391, 0.060264386, 0.1763768, 0.35836247, 0.39247775, 0.12554154]",You find someone’s wallet and recognize the photo inside.,<src.embedding.SequentialityEmbeddingModel object at 0x3120d1cd0>,1
2,0.08958293,"[0.022462923, 0.083015725, 0.082007445, 0.20221871, 0.091836214, 0.2632397, 0.10437621, 0.0854736, 0.09254427, 0.0007722359, -0.042534824]","[0.022462923, 0.083015725, 0.082007445, 0.20221871, 0.091836214, 0.2632397, 0.10437621, 0.0854736, 0.09254427, 0.0007722359, -0.042534824]","[0.022462923, 0.083015725, 0.082007445, 0.20221871, 0.091836214, 0.2632397, 0.10437621, 0.0854736, 0.09254427, 0.0007722359, -0.042534824]",Neighbor asks you to keep a strange secret.,<src.embedding.SequentialityEmbeddingModel object at 0x3120d1cd0>,1
3,0.04356231,"[0.057685796, -0.007132914, 0.17726426, 0.05890895, 0.12605263, -0.09677337, -0.011069189]","[0.057685796, -0.007132914, 0.17726426, 0.05890895, 0.12605263, -0.09677337, -0.011069189]","[0.057685796, -0.007132914, 0.17726426, 0.05890895, 0.12605263, -0.09677337, -0.011069189]",You overhear a conversation not meant for you.,<src.embedding.SequentialityEmbeddingModel object at 0x3120d1cd0>,1
4,0.08623641,"[0.27192, 0.18287061, 0.06436507, -0.07432614, 0.064824946, 0.0030066222, 0.11002149, 0.062683545, 0.0020779762, 0.17491996]","[0.27192, 0.18287061, 0.06436507, -0.07432614, 0.064824946, 0.0030066222, 0.11002149, 0.062683545, 0.0020779762, 0.17491996]","[0.27192, 0.18287061, 0.06436507, -0.07432614, 0.064824946, 0.0030066222, 0.11002149, 0.062683545, 0.0020779762, 0.17491996]",Unexpected letter arrives with no return address or name.,<src.embedding.SequentialityEmbeddingModel object at 0x3120d1cd0>,1
5,0.089765206,"[0.105795756, 0.0006965995, 0.13605425, 0.13117355, 0.014941661, 0.046797447, 0.20225489, -0.01259698, 0.010978743, 0.27664697, 0.07467435]","[0.105795756, 0.0006965995, 0.13605425, 0.13117355, 0.014941661, 0.046797447, 0.20225489, -0.01259698, 0.010978743, 0.27664697, 0.07467435]","[0.105795756, 0.0006965995, 0.13605425, 0.13117355, 0.014941661, 0.046797447, 0.20225489, -0.01259698, 0.010978743, 0.27664697, 0.07467435]",A chance meeting changes your entire daily routine.,<src.embedding.SequentialityEmbeddingModel object at 0x3120d1cd0>,1
6,0.052005827,"[0.15085454, 0.021169208, -7.5484626e-05, 0.061691586, 0.10415346, 0.031168811, 0.059497256, -0.028808897, 0.068401985]","[0.15085454, 0.021169208, -7.5484626e-05, 0.061691586, 0.10415346, 0.031168811, 0.059497256, -0.028808897, 0.068401985]","[0.15085454, 0.021169208, -7.5484626e-05, 0.061691586, 0.10415346, 0.031168811, 0.059497256, -0.028808897, 0.068401985]",You help a stranger and they never say thanks.,<src.embedding.SequentialityEmbeddingModel object at 0x3120d1cd0>,1
7,0.18408181,"[0.29869747, 0.28755116, 0.15849763, 0.124587014, 0.13773428, 0.18288292, 0.0986222]","[0.29869747, 0.28755116, 0.15849763, 0.124587014, 0.13773428, 0.18288292, 0.0986222]","[0.29869747, 0.28755116, 0.15849763, 0.124587014, 0.13773428, 0.18288292, 0.0986222]",Lost phone reveals someone’s hidden double life.,<src.embedding.SequentialityEmbeddingModel object at 0x3120d1cd0>,1
8,0.048190672,"[0.038384415, 0.061856292, 0.0661226, 0.025673445, 0.081224985, 0.002631344, 0.07539074, 0.053990416, 0.028441856]","[0.038384415, 0.061856292, 0.0661226, 0.025673445, 0.081224985, 0.002631344, 0.07539074, 0.053990416, 0.028441856]","[0.038384415, 0.061856292, 0.0661226, 0.025673445, 0.081224985, 0.002631344, 0.07539074, 0.053990416, 0.028441856]",You see someone you know pretending not to notice.,<src.embedding.SequentialityEmbeddingModel object at 0x3120d1cd0>,1
9,0.05078706,"[0.1483077, -0.046242535, -0.05800228, 0.06087622, 0.04203777, 0.12695919, -0.017857183, 0.17955744, 0.09300179, -0.020767488]","[0.1483077, -0.046242535, -0.05800228, 0.06087622, 0.04203777, 0.12695919, -0.017857183, 0.17955744, 0.09300179, -0.020767488]","[0.1483077, -0.046242535, -0.05800228, 0.06087622, 0.04203777, 0.12695919, -0.017857183, 0.17955744, 0.09300179, -0.020767488]",Childhood home is up for sale again.,<src.embedding.SequentialityEmbeddingModel object at 0x3120d1cd0>,1
10,0.17416824,"[0.19610974, 0.13342112, 0.34534398, 0.16575998, 0.16586556, 0.14286867, 0.111481845, 0.04378762, 0.26287568]","[0.19610974, 0.13342112, 0.34534398, 0.16575998, 0.16586556, 0.14286867, 0.111481845, 0.04378762, 0.26287568]","[0.19610974, 0.13342112, 0.34534398, 0.16575998, 0.16586556, 0.14286867, 0.111481845, 0.04378762, 0.26287568]",Old friend calls after twenty years of silence.,<src.embedding.SequentialityEmbeddingModel object at 0x3120d1cd0>,1
11,0.17275865,"[0.26452526, 0.20077175, 0.17762391, 0.09439882, 0.18085682, 0.31087995, 0.16261292, -0.009600144]","[0.26452526, 0.20077175, 0.17762391, 0.09439882, 0.18085682, 0.31087995, 0.16261292, -0.009600144]","[0.26452526, 0.20077175, 0.17762391, 0.09439882, 0.18085682, 0.31087995, 0.16261292, -0.009600144]",You find someone’s wallet and recognize the photo inside.,<src.embedding.SequentialityEmbeddingModel object at 0x3120d1cd0>,1
12,0.08501935,"[0.022462923, 0.083015725, 0.082007445, 0.20221871, 0.091836214, 0.2632397, 0.10437621, 0.0854736, 0.09254427, 0.0017485954, 0.024289131, -0.032980286]","[0.022462923, 0.083015725, 0.082007445, 0.20221871, 0.091836214, 0.2632397, 0.10437621, 0.0854736, 0.09254427, 0.0017485954, 0.024289131, -0.032980286]","[0.022462923, 0.083015725, 0.082007445, 0.20221871, 0.091836214, 0.2632397, 0.10437621, 0.0854736, 0.09254427, 0.0017485954, 0.024289131, -0.032980286]",Neighbor asks you to keep a strange secret.,<src.embedding.SequentialityEmbeddingModel object at 0x3120d1cd0>,1
13,0.10554083,"[0.057685796, 0.1452076, 0.09625835, 0.10353274, 0.2181592, 0.121958494, 0.09747461, 0.038021162, 0.07156952]","[0.057685796, 0.1452076, 0.09625835, 0.10353274, 0.2181592, 0.121958494, 0.09747461, 0.038021162, 0.07156952]","[0.057685796, 0.1452076, 0.09625835, 0.10353274, 0.2181592, 0.121958494, 0.09747461, 0.038021162, 0.07156952]",You overhear a conversation not meant for you.,<src.embedding.SequentialityEmbeddingModel object at 0x3120d1cd0>,1
14,0.1054073,"[0.27192, 0.18287061, -0.032810852, -0.07432614, 0.040461574, 0.0050379448, 0.2753008, 0.05417959, 0.22603221]","[0.27192, 0.18287061, -0.032810852, -0.07432614, 0.040461574, 0.0050379448, 0.2753008, 0.05417959, 0.22603221]","[0.27192, 0.18287061, -0.032810852, -0.07432614, 0.040461574, 0.0050379448, 0.2753008, 0.05417959, 0.22603221]",Unexpected letter arrives with no return address or name.,<src.embedding.SequentialityEmbeddingModel object at 0x3120d1cd0>,1
15,0.112836756,"[0.105795756, 0.0006965995, 0.13605425, 0.13117355, 0.014941661, 0.009428163, 0.20225489, 0.18939961, 0.15207957, 0.18654351]","[0.105795756, 0.0006965995, 0.13605425, 0.13117355, 0.014941661, 0.009428163, 0.20225489, 0.18939961, 0.15207957, 0.18654351]","[0.105795756, 0.0006965995, 0.13605425, 0.13117355, 0.014941661, 0.009428163, 0.20225489, 0.18939961, 0.15207957, 0.18654351]",A chance meeting changes your entire daily routine.,<src.embedding.SequentialityEmbeddingModel object at 0x3120d1cd0>,1
16,0.061330292,"[0.15085454, 0.0319915, 0.07352356, 0.1102001, 0.09347286, -0.008135028, 0.07349773, 0.008002089, 0.15637049, -0.034196075, 0.019051438]","[0.15085454, 0.0319915, 0.07352356, 0.1102001, 0.09347286, -0.008135028, 0.07349773, 0.008002089, 0.15637049, -0.034196075, 0.019051438]","[0.15085454, 0.0319915, 0.07352356, 0.1102001, 0.09347286, -0.008135028, 0.07349773, 0.008002089, 0.15637049, -0.034196075, 0.019051438]",You help a stranger and they never say thanks.,<src.embedding.SequentialityEmbeddingModel object at 0x3120d1cd0>,1
17,0.15440789,"[0.31228098, 0.2476907, 0.1136872, 0.06140843, 0.07467476, 0.0566281, 0.10210048, 0.21314022, 0.20806012]","[0.31228098, 0.2476907, 0.1136872, 0.06140843, 0.07467476, 0.0566281, 0.10210048, 0.21314022, 0.20806012]","[0.31228098, 0.2476907, 0.1136872, 0.06140843, 0.07467476, 0.0566281, 0.10210048, 0.21314022, 0.20806012]",Lost phone reveals someone’s hidden double life.,<src.embedding.SequentialityEmbeddingModel object at 0x3120d1cd0>,1
18,0.048190672,"[0.038384415, 0.061856292, 0.0661226, 0.025673445, 0.081224985, 0.002631344, 0.07539074, 0.053990416, 0.028441856]","[0.038384415, 0.061856292, 0.0661226, 0.025673445, 0.081224985, 0.002631344, 0.07539074, 0.053990416, 0.028441856]","[0.038384415, 0.061856292, 0.0661226, 0.025673445, 0.081224985, 0.002631344, 0.07539074, 0.053990416, 0.028441856]",You see someone you know pretending not to notice.,<src.embedding.SequentialityEmbeddingModel object at 0x3120d1cd0>,1
19,0.10127207,"[0.14802186, 0.03324942, 0.0057623424, 0.21846111, 0.34557894, -0.0013854391, -0.0055948906, 0.07632452, 0.09103075]","[0.14802186, 0.03324942, 0.0057623424, 0.21846111, 0.34557894, -0.0013854391, -0.0055948906, 0.07632452, 0.09103075]","[0.14802186, 0.03324942, 0.0057623424, 0.21846111, 0.34557894, -0.0013854391, -0.0055948906, 0.07632452, 0.09103075]",Childhood home is up for sale again.,<src.embedding.SequentialityEmbeddingModel object at 0x3120d1cd0>,1
