,scalar_text_sequentiality,sentence_total_sequentialities,sentence_contextual_sequentialities,sentence_topic_sequentialities,topic,model_id,history_length
0,0.13142303,"[0.13429476, 0.17463827, 0.1475349, 0.07950288, 0.2906024, 0.12084158, 0.15145981, 0.13868004, 0.21413064, 0.07214616, 0.16857556, -0.115330525]","[0.13429476, 0.17463827, 0.1475349, 0.07950288, 0.2906024, 0.12084158, 0.15145981, 0.13868004, 0.21413064, 0.07214616, 0.16857556, -0.115330525]","[0.13429476, 0.17463827, 0.1475349, 0.07950288, 0.2906024, 0.12084158, 0.15145981, 0.13868004, 0.21413064, 0.07214616, 0.16857556, -0.115330525]",Old friend calls after twenty years of silence.,<src.embedding.SequentialityEmbeddingModel object at 0x4076e79b0>,1
1,0.15590902,"[0.23097178, 0.22032997, 0.16890597, 0.31199107, 0.08031915, 0.30856696, 0.030380754, 0.11509777, 0.071168125, 0.1431198, 0.056756977, 0.13329998]","[0.23097178, 0.22032997, 0.16890597, 0.31199107, 0.08031915, 0.30856696, 0.030380754, 0.11509777, 0.071168125, 0.1431198, 0.056756977, 0.13329998]","[0.23097178, 0.22032997, 0.16890597, 0.31199107, 0.08031915, 0.30856696, 0.030380754, 0.11509777, 0.071168125, 0.1431198, 0.056756977, 0.13329998]",You find someone’s wallet and recognize the photo inside.,<src.embedding.SequentialityEmbeddingModel object at 0x4076e79b0>,1
2,0.06620747,"[0.059011936, 0.051025383, 0.18656428, -0.07312636, 0.038871765, -0.11079562, 0.031586356, 0.16085042, 0.13439319, 0.19041309, 0.11775199, 0.007943166]","[0.059011936, 0.051025383, 0.18656428, -0.07312636, 0.038871765, -0.11079562, 0.031586356, 0.16085042, 0.13439319, 0.19041309, 0.11775199, 0.007943166]","[0.059011936, 0.051025383, 0.18656428, -0.07312636, 0.038871765, -0.11079562, 0.031586356, 0.16085042, 0.13439319, 0.19041309, 0.11775199, 0.007943166]",Neighbor asks you to keep a strange secret.,<src.embedding.SequentialityEmbeddingModel object at 0x4076e79b0>,1
3,0.06574692,"[-0.019021664, 0.28472784, 0.14667918, 0.14959514, 0.036606494, -0.00090703357, -0.027024515, 0.17357217, 0.036809206, -0.02558067, -0.0011382959, 0.034645155]","[-0.019021664, 0.28472784, 0.14667918, 0.14959514, 0.036606494, -0.00090703357, -0.027024515, 0.17357217, 0.036809206, -0.02558067, -0.0011382959, 0.034645155]","[-0.019021664, 0.28472784, 0.14667918, 0.14959514, 0.036606494, -0.00090703357, -0.027024515, 0.17357217, 0.036809206, -0.02558067, -0.0011382959, 0.034645155]",You overhear a conversation not meant for you.,<src.embedding.SequentialityEmbeddingModel object at 0x4076e79b0>,1
4,0.14243366,"[0.1035094, 0.4394043, 0.15911046, 0.10005612, 0.15692055, 0.0533593, 0.17838055, 0.09527889, 0.26288706, 0.049828522, 0.0026245974, -0.0022136085, 0.25249133]","[0.1035094, 0.4394043, 0.15911046, 0.10005612, 0.15692055, 0.0533593, 0.17838055, 0.09527889, 0.26288706, 0.049828522, 0.0026245974, -0.0022136085, 0.25249133]","[0.1035094, 0.4394043, 0.15911046, 0.10005612, 0.15692055, 0.0533593, 0.17838055, 0.09527889, 0.26288706, 0.049828522, 0.0026245974, -0.0022136085, 0.25249133]",Unexpected letter arrives with no return address or name.,<src.embedding.SequentialityEmbeddingModel object at 0x4076e79b0>,1
5,0.045372188,"[0.14403215, 0.0983653, -0.00856161, -0.070991375, 0.14692554, 0.009007895, -0.012563211, 0.020888474, 0.0557689, 0.058195196, 0.058026753]","[0.14403215, 0.0983653, -0.00856161, -0.070991375, 0.14692554, 0.009007895, -0.012563211, 0.020888474, 0.0557689, 0.058195196, 0.058026753]","[0.14403215, 0.0983653, -0.00856161, -0.070991375, 0.14692554, 0.009007895, -0.012563211, 0.020888474, 0.0557689, 0.058195196, 0.058026753]",A chance meeting changes your entire daily routine.,<src.embedding.SequentialityEmbeddingModel object at 0x4076e79b0>,1
6,0.029749447,"[0.092424124, -0.05929082, 0.014810932, 0.042545553, 0.03173077, -0.01810428, 0.090699255, 0.115315035, -0.12862307, 0.034774177, 0.015248458, 0.12546322]","[0.092424124, -0.05929082, 0.014810932, 0.042545553, 0.03173077, -0.01810428, 0.090699255, 0.115315035, -0.12862307, 0.034774177, 0.015248458, 0.12546322]","[0.092424124, -0.05929082, 0.014810932, 0.042545553, 0.03173077, -0.01810428, 0.090699255, 0.115315035, -0.12862307, 0.034774177, 0.015248458, 0.12546322]",You help a stranger and they never say thanks.,<src.embedding.SequentialityEmbeddingModel object at 0x4076e79b0>,1
7,0.107703656,"[0.21147351, -0.042169083, 0.28628606, 0.20068401, 0.034302816, 0.0828894, 0.15977676, 0.048061244, -0.016110323, 0.061099228, 0.15844655]","[0.21147351, -0.042169083, 0.28628606, 0.20068401, 0.034302816, 0.0828894, 0.15977676, 0.048061244, -0.016110323, 0.061099228, 0.15844655]","[0.21147351, -0.042169083, 0.28628606, 0.20068401, 0.034302816, 0.0828894, 0.15977676, 0.048061244, -0.016110323, 0.061099228, 0.15844655]",Lost phone reveals someone’s hidden double life.,<src.embedding.SequentialityEmbeddingModel object at 0x4076e79b0>,1
8,0.018958615,"[0.055788107, 0.06783801, 0.019257389, 0.070876874, -0.06813484, -0.029717006, 0.10277633, -0.051823523, 0.04075226, -0.07509886, 0.024805393, 0.07018323]","[0.055788107, 0.06783801, 0.019257389, 0.070876874, -0.06813484, -0.029717006, 0.10277633, -0.051823523, 0.04075226, -0.07509886, 0.024805393, 0.07018323]","[0.055788107, 0.06783801, 0.019257389, 0.070876874, -0.06813484, -0.029717006, 0.10277633, -0.051823523, 0.04075226, -0.07509886, 0.024805393, 0.07018323]",You see someone you know pretending not to notice.,<src.embedding.SequentialityEmbeddingModel object at 0x4076e79b0>,1
9,0.063643,"[0.12531443, 0.09210161, -0.0038752668, -0.0774475, 0.048635736, 0.01607199, 0.07745304, 0.11148225, 0.104641356, 0.11829244, 0.0963826, 0.0546633]","[0.12531443, 0.09210161, -0.0038752668, -0.0774475, 0.048635736, 0.01607199, 0.07745304, 0.11148225, 0.104641356, 0.11829244, 0.0963826, 0.0546633]","[0.12531443, 0.09210161, -0.0038752668, -0.0774475, 0.048635736, 0.01607199, 0.07745304, 0.11148225, 0.104641356, 0.11829244, 0.0963826, 0.0546633]",Childhood home is up for sale again.,<src.embedding.SequentialityEmbeddingModel object at 0x4076e79b0>,1
