scalar_text_sequentiality,sentence_total_sequentialities,sentence_contextual_sequentialities,sentence_topic_sequentialities,topic,model_id
0.5817272269157711,"[-0.05217552185058594, 0.87493896484375, 0.3821170204564145, 0.5420781915838068, 0.4095134735107422, 0.532027939618644, 0.81702880859375, 0.9193892940398185, 0.8106268714455998]","[-90.77230072021484, -92.51220703125, -106.07968139648438, -51.54302978515625, -276.95113372802734, -141.482421875, -42.421875, -75.70535278320312, -98.48946762084961]","[-89.1026840209961, -118.7603759765625, -120.60012817382812, -63.46875, -311.3502655029297, -172.8720703125, -58.762451171875, -104.2064208984375, -126.05078125]",A short story,SakanaAI/TinySwallow-1.5B-Instruct
0.7318036825315228,"[-0.1259765625, 0.40878153956213664, 0.5399461829144022, 0.4999713897705078, 0.7544087727864583, 0.9194287109375, 0.9122425426136364, 1.3068070845170454, 0.8332132975260417, 1.2692138671875]","[-58.5390625, -132.706298828125, -61.717010498046875, -106.73052978515625, -99.16656494140625, -75.94451904296875, -48.544921875, -40.785888671875, -53.44647216796875, -62.700439453125]","[-56.271484375, -150.28390502929688, -74.13577270507812, -122.7296142578125, -121.798828125, -98.93023681640625, -68.6142578125, -69.53564453125, -78.44287109375, -100.77685546875]",A short story,SakanaAI/TinySwallow-1.5B-Instruct
0.6640028808435628,"[0.09375, 0.3745528511379076, 0.348065185546875, 0.9596322866586539, 0.7950613839285714, 0.9421454838344029, 0.4413856627449157, 1.1975721716880798, 0.8238609020526593]","[-5.28125, -87.36471557617188, -46.8214111328125, -64.309814453125, -80.697265625, -67.81230926513672, -178.2594757080078, -76.95540046691895, -130.2739543914795]","[-5.375, -95.97943115234375, -53.78271484375, -89.26025390625, -102.958984375, -94.1923828125, -206.0667724609375, -115.2777099609375, -183.82491302490234]",A short story,SakanaAI/TinySwallow-1.5B-Instruct
0.6140183933486358,"[-0.019404658564814815, 0.83953857421875, 0.44757080078125, 0.6542584345890925, 0.6878145658052884, 0.8268951636094314, 0.8614558730014535]","[-89.818359375, -64.6923828125, -146.58984375, -79.9007339477539, -143.779052734375, -85.83854007720947, -125.40838623046875]","[-89.29443359375, -84.84130859375, -168.0732421875, -96.91145324707031, -179.54541015625, -107.33781433105469, -162.45098876953125]",A short story,SakanaAI/TinySwallow-1.5B-Instruct
0.7116639517049219,"[-0.08463541666666667, 0.701650390625, 0.5207550831330128, 0.4906191825866699, 1.0994964599609376, 1.324938322368421, 0.6730329241071429, 0.967454667524858]","[-101.2685546875, -72.927490234375, -93.42926025390625, -176.1283416748047, -89.48873901367188, -60.02734375, -80.344482421875, -143.3881378173828]","[-98.7294921875, -90.46875, -113.73870849609375, -207.52796936035156, -122.4736328125, -85.201171875, -103.900634765625, -196.59814453125]",A short story,SakanaAI/TinySwallow-1.5B-Instruct
0.8493516501401858,"[-0.014630351747785295, 0.48837193080357144, 0.3425176711309524, 1.230930426181891, 1.0505539466594827, 0.847882080078125, 0.9844501201923077, 1.2891619646990742, 0.83642578125, 1.2319672683189655, 1.0552373139754585]","[-95.14516639709473, -130.9775390625, -122.35546875, -101.9097900390625, -69.484130859375, -55.4200439453125, -86.9990234375, -66.411376953125, -70.64892578125, -86.63427734375, -66.01958084106445]","[-94.73551654815674, -148.070556640625, -136.7412109375, -149.91607666015625, -99.9501953125, -72.377685546875, -112.5947265625, -101.21875, -90.72314453125, -122.361328125, -90.2900390625]",A short story,SakanaAI/TinySwallow-1.5B-Instruct
0.8644270184575424,"[-0.060243803879310345, 0.7418115234375, 0.5260763457327178, 0.7086250185966492, 1.6307553891782407, 0.9857401529947917, 0.9103732638888888, 1.3553385416666666, 0.9131913618607954, 0.9326023910984849]","[-102.888671875, -64.0264892578125, -73.97987365722656, -66.46300458908081, -59.7869873046875, -67.67181396484375, -66.197998046875, -50.076171875, -66.0308837890625, -85.89697265625]","[-101.1416015625, -82.57177734375, -91.34039306640625, -83.47000503540039, -103.8173828125, -97.2440185546875, -90.778076171875, -70.40625, -86.12109375, -116.6728515625]",A short story,SakanaAI/TinySwallow-1.5B-Instruct
0.7409945857719099,"[-0.005338541666666667, 0.89068603515625, 0.3144476996527778, 0.5834718592026654, 0.7701480263157895, 1.1884210759943181, 1.4033722196306502, 0.914520263671875, 0.9378888811383929, 0.41232833862304685]","[-103.45703125, -58.3505859375, -145.308349609375, -257.95318603515625, -66.732421875, -43.895263671875, -35.25617027282715, -50.481201171875, -111.12249755859375, -85.98650741577148]","[-103.296875, -72.6015625, -159.45849609375, -297.6292724609375, -81.365234375, -70.04052734375, -54.90338134765625, -72.4296875, -143.9486083984375, -100.41799926757812]",A short story,SakanaAI/TinySwallow-1.5B-Instruct
0.7920844870657283,"[-0.12880987870065788, 0.8147615131578947, 1.2073742901837383, 0.25400367149939906, 1.2127757352941178, 0.511474609375, 1.11478515625, 0.6461686759159483, 1.1267730712890625, 1.2067440257352942, 0.7468784877232143]","[-85.5015869140625, -65.5703125, -82.37638854980469, -119.53543090820312, -63.72265625, -84.821533203125, -91.06787109375, -82.8070068359375, -44.966796875, -53.318359375, -70.65185546875]","[-83.05419921875, -81.05078125, -114.97549438476562, -126.1395263671875, -84.33984375, -97.6083984375, -118.9375, -101.5458984375, -67.50225830078125, -73.8330078125, -91.564453125]",A short story,SakanaAI/TinySwallow-1.5B-Instruct
0.7947683287321555,"[-0.08827561598557693, 0.7316002478966346, 0.5774917602539062, 0.7998621323529411, 0.7381636096585181, 0.8942485608552632, 0.7191256009615384, 1.3874867757161458, 1.0726114908854167, 1.0642050466229838, 0.8459320068359375]","[-117.4892578125, -66.5699462890625, -93.009765625, -109.32421875, -85.16281127929688, -86.2626953125, -93.41796875, -79.0733642578125, -74.21435546875, -67.7425537109375, -78.668212890625]","[-115.194091796875, -85.591552734375, -111.489501953125, -136.51953125, -108.04588317871094, -120.244140625, -112.115234375, -112.373046875, -99.95703125, -100.73291015625, -105.738037109375]",A short story,SakanaAI/TinySwallow-1.5B-Instruct
