scalar_text_sequentiality,sentence_total_sequentialities,sentence_contextual_sequentialities,sentence_topic_sequentialities,topic,model_id,history_length
0.38629133881476607,"[-0.1634960174560547, 0.5913836161295573, 0.48908369164717824, 0.3273592862215909, 0.2901331867490496, 0.32463293560480666, 0.5126800537109375, 0.43305870794480844, 0.6717865887810203]","[-83.39617919921875, -65.09125518798828, -89.0489616394043, -49.384765625, -239.28327703475952, -143.37027740478516, -38.48480224609375, -75.06321716308594, -79.31428527832031]","[-78.164306640625, -82.832763671875, -107.63414192199707, -56.586669921875, -263.6544647216797, -162.52362060546875, -48.7384033203125, -88.488037109375, -102.155029296875]",Old friend calls after twenty years of silence.,Qwen/Qwen2.5-7B-Instruct,1
0.3714068965288297,"[-0.26495361328125, 0.25590197984562363, 0.43109462572180707, 0.7522878646850586, 0.47623043060302733, 0.38172107696533203, 0.2570745294744318, 0.7114008123224432, 0.278094482421875, 0.4352167765299479]","[-52.05517578125, -105.58637142181396, -49.35882568359375, -105.90766906738281, -97.54194450378418, -66.16637992858887, -56.91015625, -40.54254150390625, -57.26397705078125, -82.29737854003906]","[-47.2860107421875, -116.59015655517578, -59.27400207519531, -129.9808807373047, -111.828857421875, -75.70940685272217, -62.5657958984375, -56.193359375, -65.6068115234375, -95.3538818359375]",You find someone’s wallet and recognize the photo inside.,Qwen/Qwen2.5-7B-Instruct,1
0.4273801259996954,"[-0.02734375, 0.38537796683933423, 0.2685150146484375, 0.11249718299278846, 0.9008265904017857, 1.0260306596755981, 0.3296699069795154, 0.5299679636955261, 0.32087959876427286]","[-0.162109375, -72.28135681152344, -31.6259765625, -66.8609619140625, -70.130859375, -63.100319385528564, -170.6351194381714, -85.46084785461426, -149.38885498046875]","[-0.134765625, -81.14505004882812, -36.99627685546875, -69.785888671875, -95.35400390625, -91.82917785644531, -191.40432357788086, -102.4198226928711, -170.24602890014648]",Neighbor asks you to keep a strange secret.,Qwen/Qwen2.5-7B-Instruct,1
0.5104009218580889,"[0.019698531539351853, 0.7785135904947916, 0.3212903340657552, 0.6595945358276367, 0.2465521005483774, 0.9538732858804556, 0.5932840746502543]","[-70.972412109375, -50.83544921875, -125.699462890625, -83.25599193572998, -154.91586303710938, -78.0186915397644, -116.40484619140625]","[-71.5042724609375, -69.519775390625, -141.12139892578125, -100.40544986724854, -167.736572265625, -102.81939697265625, -141.9160614013672]",You overhear a conversation not meant for you.,Qwen/Qwen2.5-7B-Instruct,1
0.3274026367319947,"[-0.40548502604166664, 0.32269287109375, 0.24315036871494392, 0.2405616044998169, 0.5430718143781026, 0.9500346936677632, 0.4395464215959821, 0.2856483459472656]","[-76.767578125, -51.679595947265625, -65.8865966796875, -161.13135528564453, -82.91412150859833, -66.599609375, -67.84060668945312, -168.53171157836914]","[-64.60302734375, -59.746917724609375, -75.36946105957031, -176.5272979736328, -99.2062759399414, -84.6502685546875, -83.2247314453125, -184.24237060546875]",Unexpected letter arrives with no return address or name.,Qwen/Qwen2.5-7B-Instruct,1
0.5391312023295769,"[-0.02139716488974435, 0.5367267063685826, 0.49963960193452384, 1.3880225939628406, 0.512847900390625, 0.4230234146118164, 0.2634230393629808, 0.9657711452907987, 0.0702972412109375, 0.20404263200431033, 1.088046115377675]","[-71.88082790374756, -107.08780670166016, -107.28955078125, -87.16129302978516, -73.17767333984375, -55.147396087646484, -105.3883056640625, -70.03160095214844, -73.3916015625, -89.31640625, -72.50429725646973]","[-71.28170728683472, -125.87324142456055, -128.2744140625, -141.29417419433594, -88.05026245117188, -63.60786437988281, -112.2373046875, -96.107421875, -75.0787353515625, -95.233642578125, -97.52935791015625]",A chance meeting changes your entire daily routine.,Qwen/Qwen2.5-7B-Instruct,1
0.5604954785298322,"[-0.04639934671336207, 1.198599853515625, 0.3019783713600852, 0.4262080391248067, 1.4650415491174769, 0.6003555297851563, 0.2973316333912037, 1.3329427083333334, 0.10022527521306818, -0.07132882782907198]","[-91.5816650390625, -44.399627685546875, -73.48115158081055, -66.48098015785217, -55.343902587890625, -61.523284912109375, -75.8851318359375, -55.013671875, -68.4464111328125, -110.76571655273438]","[-90.236083984375, -74.3646240234375, -83.44643783569336, -76.70997309684753, -94.9000244140625, -79.53395080566406, -83.9130859375, -75.0078125, -70.6513671875, -108.411865234375]",You help a stranger and they never say thanks.,Qwen/Qwen2.5-7B-Instruct,1
0.4112914566096119,"[0.034716796875, 0.9837646484375, 0.03655870225694444, 0.4036392481888042, 0.5477487664473685, 0.41319691051136365, 0.04022271292550223, 0.4434153238932292, 0.4515363420758929, 0.7581151144845145]","[-86.80078125, -48.041015625, -155.9534912109375, -227.73935115337372, -73.0712890625, -60.408935546875, -40.2882080078125, -53.4219970703125, -115.572998046875, -74.80787467956543]","[-87.84228515625, -63.78125, -157.5986328125, -255.1868200302124, -83.478515625, -69.499267578125, -40.85132598876953, -64.06396484375, -131.37677001953125, -101.34190368652344]",Lost phone reveals someone’s hidden double life.,Qwen/Qwen2.5-7B-Instruct,1
0.5545785722380918,"[-0.06211531789679276, 0.8340743215460527, 0.5778277361834491, 0.615168204674354, 0.8147977941176471, 0.64058349609375, 0.6196875, 0.5441273656384699, 0.34736328125, 0.6642635569852942, 0.5045863560267857]","[-68.81412124633789, -45.595947265625, -76.56320190429688, -101.3779411315918, -69.7421875, -70.7098388671875, -96.92578125, -69.14395141601562, -62.23095703125, -54.0625, -59.205078125]","[-67.63393020629883, -61.443359375, -92.16455078125, -117.372314453125, -83.59375, -86.72442626953125, -112.41796875, -84.92364501953125, -69.17822265625, -65.35498046875, -73.33349609375]",You see someone you know pretending not to notice.,Qwen/Qwen2.5-7B-Instruct,1
0.40555793005139296,"[-0.009456955469571628, 0.745849609375, 0.27319902181625366, 0.43271053538602944, 0.3696171699031707, 0.4332339638157895, 0.42989299389032215, 0.58935546875, 0.4266255696614583, 0.4981295677923387, 0.27198028564453125]","[-79.37459897994995, -60.60546875, -95.69047737121582, -78.150146484375, -82.85670614242554, -78.5341796875, -76.62061941623688, -82.509765625, -75.32373046875, -63.784912109375, -68.3746337890625]","[-79.12871813774109, -79.99755859375, -104.43284606933594, -92.8623046875, -94.31483840942383, -94.9970703125, -87.79783725738525, -96.654296875, -85.562744140625, -79.2269287109375, -77.0780029296875]",Childhood home is up for sale again.,Qwen/Qwen2.5-7B-Instruct,1
