scalar_text_sequentiality,sentence_total_sequentialities,sentence_contextual_sequentialities,sentence_topic_sequentialities,topic,model_id,history_length
0.48610635493527776,"[0.022279800907258066, 0.633624267578125, 0.8612110238326224, 0.4345758611505682, 0.3643960498628162, 0.4662377308990996, 0.453399658203125, 0.5370069934475806, 0.6022258085363051]","[-79.869140625, -59.32501220703125, -91.81339073181152, -36.7679443359375, -210.0318145751953, -128.75677490234375, -39.9837646484375, -70.343994140625, -83.84451293945312]","[-80.559814453125, -78.333740234375, -124.53940963745117, -46.32861328125, -240.64108276367188, -156.26480102539062, -49.0517578125, -86.9912109375, -104.3201904296875]",Old friend calls after twenty years of silence.,allenai/OLMo-2-1124-13B,1
0.38831863858266336,"[0.1084255642361111, 0.16471623265466026, 0.7654511824898098, 0.1616992950439453, 0.6333699544270833, 0.21282501220703126, 0.3895929509943182, 0.5209017666903409, 0.35003255208333334, 0.576171875]","[-47.033203125, -97.31002044677734, -47.938323974609375, -100.36907958984375, -84.843505859375, -67.91191864013672, -54.335205078125, -41.8834228515625, -55.85546875, -80.929931640625]","[-48.98486328125, -104.39281845092773, -65.543701171875, -105.54345703125, -103.8446044921875, -73.2325439453125, -62.90625, -53.34326171875, -66.3564453125, -98.215087890625]",You find someone’s wallet and recognize the photo inside.,allenai/OLMo-2-1124-13B,1
0.451089433266811,"[0.29296875, 0.4274750585141389, 0.4898590087890625, 0.3633563701923077, 0.47108677455357145, 0.6146401337214878, 0.1711298624674479, 0.9117615222930908, 0.3175274188701923]","[-0.265625, -76.84896850585938, -36.34033203125, -60.5703125, -70.5517578125, -67.37611293792725, -174.2892074584961, -67.24144744873047, -146.60791015625]","[-0.55859375, -86.68089485168457, -46.13751220703125, -70.017578125, -83.7421875, -84.5860366821289, -185.0703887939453, -96.41781616210938, -167.2471923828125]",Neighbor asks you to keep a strange secret.,allenai/OLMo-2-1124-13B,1
0.7034277373407952,"[-0.049262152777777776, 1.8145376841227214, 0.3911031087239583, 1.02020997267503, 0.37747896634615385, 0.917540036714994, 0.4523865455804869]","[-69.0771484375, -60.5029296875, -117.297607421875, -71.84874725341797, -145.3427734375, -75.0995864868164, -110.45361328125]","[-67.7470703125, -104.05183410644531, -136.070556640625, -98.37420654296875, -164.9716796875, -98.95562744140625, -129.90623474121094]",You overhear a conversation not meant for you.,allenai/OLMo-2-1124-13B,1
0.5685569535625801,"[-0.1071624755859375, 0.5778125, 0.33113293770032054, 0.5154703533838666, 0.9541975876380657, 1.5075041118421053, 0.5426426478794643, 0.22685796564275568]","[-83.14703369140625, -51.85693359375, -77.5006103515625, -160.18183135986328, -72.5241928100586, -57.162109375, -77.34674072265625, -147.66314697265625]","[-79.93215942382812, -66.30224609375, -90.414794921875, -192.65646362304688, -100.1959228515625, -85.8046875, -96.3392333984375, -160.1403350830078]",Unexpected letter arrives with no return address or name.,allenai/OLMo-2-1124-13B,1
0.6185374712374997,"[0.402160715173792, 0.8227120535714286, 0.7140648251488095, 1.1098863650590947, 0.8917615167025862, 0.8391845703125, 0.33367919921875, 0.6970847800925926, 0.08532206217447917, 0.46437230603448276, 0.44368379012398096]","[-71.09510803222656, -104.6790771484375, -105.98193359375, -79.76414489746094, -66.3216552734375, -53.373046875, -79.9276123046875, -72.75048828125, -76.787353515625, -84.779296875, -65.44029235839844]","[-81.95344734191895, -133.4739990234375, -135.97265625, -123.04971313476562, -92.1827392578125, -70.15673828125, -88.603271484375, -91.57177734375, -78.8350830078125, -98.24609375, -75.64501953125]",A chance meeting changes your entire daily routine.,allenai/OLMo-2-1124-13B,1
0.6289948879992328,"[0.5975089237607759, 1.2804090881347656, 0.6036367705374053, 0.01544185479482015, 1.3912330910011574, 0.7093429565429688, 0.40145082826967593, 0.7028645833333333, 0.26713423295454547, 0.3209265506628788]","[-85.72503662109375, -45.81301498413086, -53.6617431640625, -69.73948764801025, -58.72406005859375, -63.03221130371094, -72.5479736328125, -56.9765625, -71.849609375, -93.333740234375]","[-103.05279541015625, -77.8232421875, -73.58175659179688, -70.11009216308594, -96.287353515625, -84.3125, -83.38714599609375, -67.51953125, -77.7265625, -103.92431640625]",You help a stranger and they never say thanks.,allenai/OLMo-2-1124-13B,1
0.4327061822219596,"[0.0028971354166666668, 0.5692138671875, 0.34450819227430557, 0.7842514094184426, 0.18436472039473684, 0.4158658114346591, 0.4578029087611607, 0.3025309244791667, 0.6334437779017857, 0.6321830749511719]","[-76.5078125, -44.669921875, -135.54107666015625, -195.93414878845215, -69.7587890625, -58.2142333984375, -46.60882568359375, -56.443359375, -104.7218017578125, -67.57798385620117]","[-76.5947265625, -53.77734375, -151.0439453125, -249.26324462890625, -73.26171875, -67.36328125, -53.01806640625, -63.7041015625, -126.892333984375, -89.70439147949219]",Lost phone reveals someone’s hidden double life.,allenai/OLMo-2-1124-13B,1
0.6478791197121,"[0.2100016945286801, 1.02001953125, 0.5758576569733797, 0.5654296875, 1.310891544117647, 0.48727294921875, 0.51046875, 0.6677709119073276, 0.769622802734375, 0.7627527573529411, 0.24658203125]","[-75.68730163574219, -41.46728515625, -79.26263427734375, -97.86639404296875, -66.19921875, -71.56982421875, -96.13671875, -75.826904296875, -51.2095947265625, -54.90625, -69.771484375]","[-79.67733383178711, -60.84765625, -94.810791015625, -112.56756591796875, -88.484375, -83.75164794921875, -108.8984375, -95.1922607421875, -66.60205078125, -67.873046875, -76.67578125]",You see someone you know pretending not to notice.,allenai/OLMo-2-1124-13B,1
0.5524995309546176,"[-0.06783470740685096, 0.7328444260817307, 0.6719017028808594, 0.9080451516544118, 0.6600553451045867, 0.41128700657894735, 0.6585438068096454, 0.49853515625, 0.4954172770182292, 0.2901571950604839, 0.81854248046875]","[-86.39218139648438, -65.921630859375, -87.4932861328125, -70.38427734375, -82.14158630371094, -78.4716796875, -78.31182098388672, -79.955078125, -67.017822265625, -73.9703369140625, -69.650390625]","[-84.62847900390625, -84.9755859375, -108.994140625, -101.2578125, -102.60330200195312, -94.1005859375, -95.4339599609375, -91.919921875, -78.9078369140625, -82.9652099609375, -95.84375]",Childhood home is up for sale again.,allenai/OLMo-2-1124-13B,1
