scalar_text_sequentiality,sentence_total_sequentialities,sentence_contextual_sequentialities,sentence_topic_sequentialities,topic,model_id,history_length
0.4030507026466072,"[-0.02353003717237903, 0.46107177734375, 0.8255012913754112, 0.20646528764204544, 0.27740441049848286, 0.3987975039724576, 0.44739990234375, 0.46490478515625, 0.5694414026596967]","[-73.95294189453125, -62.58367919921875, -90.67025756835938, -43.3455810546875, -214.77307224273682, -126.417724609375, -34.046875, -75.44952392578125, -83.62739562988281]","[-73.2235107421875, -76.41583251953125, -122.039306640625, -47.8878173828125, -238.07504272460938, -149.94677734375, -42.994873046875, -89.861572265625, -102.9884033203125]",Old friend calls after twenty years of silence.,meta-llama/Llama-3.1-8B-Instruct,1
0.14794583986196144,"[-0.14925130208333334, 0.035199098808820856, 0.38226708121921704, -0.15665054321289062, 0.3639126481681034, 0.181090087890625, 0.0015314275568181818, 0.42295698686079547, 0.25467325846354166, 0.14372965494791667]","[-45.9697265625, -102.90010070800781, -45.67979621887207, -107.74960327148438, -92.47900390625, -65.30847930908203, -60.826904296875, -46.3963623046875, -51.65887451171875, -90.193359375]","[-43.283203125, -104.41366195678711, -54.47193908691406, -102.73678588867188, -103.032470703125, -69.83573150634766, -60.860595703125, -55.701416015625, -59.299072265625, -94.5052490234375]",You find someone’s wallet and recognize the photo inside.,meta-llama/Llama-3.1-8B-Instruct,1
0.2908632406555822,"[-0.00048828125, 0.4067538717518682, 0.3340240478515625, 0.2447181114783654, 0.45357840401785715, 0.37097413199288504, 0.23915863037109375, 0.49590325355529785, 0.0731469961313101]","[-0.11279296875, -60.260162353515625, -31.650634765625, -56.5360107421875, -74.7802734375, -71.88834381103516, -155.97447967529297, -84.00353240966797, -158.83061981201172]","[-0.1123046875, -69.6155014038086, -38.33111572265625, -62.898681640625, -87.48046875, -82.27561950683594, -171.04147338867188, -99.8724365234375, -163.58517456054688]",Neighbor asks you to keep a strange secret.,meta-llama/Llama-3.1-8B-Instruct,1
0.32305934313153717,"[-0.1932689525462963, 0.5111287434895834, 0.23269271850585938, 0.5321672879732572, 0.08185636080228366, 0.7877430182236892, 0.30909622547238375]","[-76.795654296875, -51.740478515625, -118.5767822265625, -77.31944274902344, -141.71612548828125, -79.37907886505127, -120.4075927734375]","[-71.577392578125, -64.007568359375, -129.74603271484375, -91.15579223632812, -145.97265625, -99.86039733886719, -133.69873046875]",You overhear a conversation not meant for you.,meta-llama/Llama-3.1-8B-Instruct,1
0.2863677817914122,"[-0.5244669596354167, 0.2231201171875, 0.2252525916466346, 0.2641151670425657, 0.8849821419551455, 0.4764597039473684, 0.420458984375, 0.3210205078125]","[-69.217529296875, -55.033203125, -74.7933349609375, -144.9263038635254, -75.44928741455078, -67.1865234375, -77.64453125, -152.945556640625]","[-53.4835205078125, -60.6112060546875, -83.57818603515625, -161.56555938720703, -101.11376953125, -76.2392578125, -92.360595703125, -170.6016845703125]",Unexpected letter arrives with no return address or name.,meta-llama/Llama-3.1-8B-Instruct,1
0.4394979819738245,"[-0.20357739483868634, 0.3986574445452009, 0.6084681919642857, 1.070850861378205, 0.4082115436422414, 0.5555912017822265, 0.10546170748197116, 1.033519603587963, -0.025232950846354168, 0.3407782192887931, 0.5417493737262228]","[-73.06410217285156, -110.505126953125, -110.03271484375, -93.55535888671875, -72.8525390625, -54.45861053466797, -92.62176513671875, -61.860595703125, -74.764404296875, -104.041259765625, -72.43063354492188]","[-67.56751251220703, -124.45813751220703, -135.58837890625, -135.31854248046875, -84.690673828125, -65.5704345703125, -95.36376953125, -89.765625, -74.1588134765625, -113.923828125, -84.890869140625]",A chance meeting changes your entire daily routine.,meta-llama/Llama-3.1-8B-Instruct,1
0.4924311655765486,"[-0.2002142544450431, 1.0758642578125, 0.4747804583925189, 0.3561752239863078, 1.4900218822337963, 0.3829569498697917, 0.5081900137442129, 0.7165364583333333, 0.08503306995738637, 0.034967595880681816]","[-87.9871826171875, -51.0101318359375, -66.51690673828125, -63.281270027160645, -51.2159423828125, -67.70550537109375, -74.41998291015625, -53.861328125, -70.1317138671875, -104.03955078125]","[-82.18096923828125, -77.90673828125, -82.18466186523438, -71.82947540283203, -91.446533203125, -79.1942138671875, -88.14111328125, -64.609375, -72.00244140625, -105.1934814453125]",You help a stranger and they never say thanks.,meta-llama/Llama-3.1-8B-Instruct,1
0.3907275679462134,"[-0.09944661458333333, 0.71148681640625, 0.35256890190972223, 0.46499454273897056, 0.29995888157894735, 0.37443403764204547, 0.46019199916294645, 0.554443359375, 0.2946620396205357, 0.4939817156110491]","[-80.5, -46.974609375, -123.1253662109375, -201.242431640625, -70.4921875, -56.295654296875, -43.5927734375, -65.39453125, -122.61236572265625, -70.96061706542969]","[-77.5166015625, -58.3583984375, -138.990966796875, -232.862060546875, -76.19140625, -64.533203125, -50.03546142578125, -78.701171875, -132.925537109375, -88.2499771118164]",Lost phone reveals someone’s hidden double life.,meta-llama/Llama-3.1-8B-Instruct,1
0.42752517231493764,"[-0.22250627216539884, 0.8663651315789473, 0.4145677354600694, 0.5699955866887019, 0.2835477941176471, 0.3317236328125, 0.53515625, 0.5937184300915949, 0.425146484375, 0.5223891314338235, 0.38267299107142855]","[-60.468536376953125, -40.384765625, -73.68731689453125, -100.95489501953125, -66.95703125, -79.16015625, -91.33984375, -66.42214965820312, -53.9393310546875, -59.2236328125, -57.66015625]","[-56.24091720581055, -56.845703125, -84.88064575195312, -115.7747802734375, -71.77734375, -87.4532470703125, -104.71875, -83.63998413085938, -62.4422607421875, -68.104248046875, -68.375]",You see someone you know pretending not to notice.,meta-llama/Llama-3.1-8B-Instruct,1
0.4254512496625304,"[-0.32297801971435547, 0.5697584885817307, 0.5230903625488281, 0.4497644761029412, 0.34977033061365925, 0.36288291529605265, 0.5853130634014423, 0.527587890625, 0.7526397705078125, 0.41992285943800406, 0.46221160888671875]","[-80.48553085327148, -60.22802734375, -88.9483642578125, -75.1494140625, -80.04339599609375, -82.696044921875, -82.32177734375, -83.3828125, -71.294189453125, -69.96551513671875, -73.156494140625]","[-72.08810234069824, -75.041748046875, -105.687255859375, -90.44140625, -90.88627624511719, -96.485595703125, -97.5399169921875, -96.044921875, -89.3575439453125, -82.98312377929688, -87.947265625]",Childhood home is up for sale again.,meta-llama/Llama-3.1-8B-Instruct,1
0.2818220301974899,"[-0.0009220668247767857, 0.4873499716481855, 0.24106553021599264, 0.43983598188920453, 0.20624497357536764, 0.1661524279364224, 0.3169103769155649, 0.3979390462239583]","[-63.17266845703125, -59.8438720703125, -131.01211547851562, -82.34063720703125, -24.77496337890625, -152.45993041992188, -106.62142181396484, -62.2457275390625]","[-63.1468505859375, -74.95172119140625, -143.30645751953125, -96.855224609375, -28.2811279296875, -162.09677124023438, -123.10076141357422, -71.7962646484375]",Old friend calls after twenty years of silence.,meta-llama/Llama-3.1-8B-Instruct,1
0.366906118982926,"[-0.146121826171875, 0.15125868055555555, 0.24308013916015625, 0.29263671875, 0.1331154152199074, 0.7824291547139486, 0.8357445853097099, 0.2820008293030754, 0.35403207632211536, 0.7408854166666666]","[-68.54731750488281, -65.01171875, -73.1484375, -43.56884765625, -81.3924560546875, -28.28247594833374, -62.898651123046875, -152.046875, -84.731689453125, -81.4765625]","[-64.89427185058594, -69.095703125, -80.927001953125, -50.884765625, -84.986572265625, -40.01891326904297, -86.29949951171875, -169.81292724609375, -93.9365234375, -103.703125]",You find someone’s wallet and recognize the photo inside.,meta-llama/Llama-3.1-8B-Instruct,1
0.346057889740012,"[-0.00048828125, 0.3129679361979167, -0.023181915283203125, 0.2950117323133681, 0.2447509765625, 2.064697265625, 0.06505533854166666, 0.09159029447115384, 0.2606119791666667, 0.6073002815246582, -0.03802490234375, 0.27240397135416666]","[-0.11279296875, -57.4871826171875, -119.49284362792969, -84.52886962890625, -77.78857421875, -24.36328125, -55.62841796875, -79.5419921875, -92.790771484375, -84.5654067993164, -8.22705078125, -100.674560546875]","[-0.1123046875, -63.12060546875, -118.38011169433594, -95.1492919921875, -82.68359375, -40.880859375, -56.604248046875, -81.92333984375, -100.609130859375, -99.1406135559082, -8.074951171875, -108.8466796875]",Neighbor asks you to keep a strange secret.,meta-llama/Llama-3.1-8B-Instruct,1
0.4013558893059913,"[-0.10131504224694293, 1.0471833881578947, 0.38898808905418886, 0.26672033361486486, 0.0003940515350877193, 0.7599962022569444, 0.34156982421875, 0.5073102678571428]","[-59.225738525390625, -42.318359375, -121.93914794921875, -94.9696044921875, -172.44305419921875, -92.1468505859375, -64.52313232421875, -82.58447265625]","[-56.89549255371094, -62.21484375, -140.22158813476562, -104.8382568359375, -172.46551513671875, -119.5067138671875, -73.0623779296875, -100.34033203125]",You overhear a conversation not meant for you.,meta-llama/Llama-3.1-8B-Instruct,1
0.35178053048508107,"[-0.35950113932291666, 0.47155507405598956, 0.265537109375, -0.0545739960252193, 0.5460483006068638, 1.243561283234627, 0.26379991614300274, 0.43781769581330127]","[-95.68704223632812, -51.39697265625, -47.511962890625, -138.8973388671875, -142.2532958984375, -71.049560546875, -116.86029052734375, -97.3006591796875]","[-84.90200805664062, -62.71429443359375, -54.150390625, -135.78662109375, -172.83200073242188, -109.59996032714844, -128.99508666992188, -114.37554931640625]",Unexpected letter arrives with no return address or name.,meta-llama/Llama-3.1-8B-Instruct,1
0.4398035275758294,"[-0.15750018288107479, 0.4931127684456961, 0.7193333254022113, 0.8677164713541666, 0.8832589285714286, 0.5957347728587963, 0.04832721578663793, 0.1626615279760116, 0.6219437210648148, 0.25439453125, 0.34885572350543476]","[-84.56865501403809, -82.43005180358887, -160.8173599243164, -68.60546875, -97.828125, -66.5533447265625, -59.81103515625, -116.27477264404297, -81.1533203125, -89.66357421875, -64.708740234375]","[-79.21364879608154, -96.23720932006836, -203.25802612304688, -89.4306640625, -128.7421875, -82.63818359375, -61.2125244140625, -122.61857223510742, -97.94580078125, -96.5322265625, -72.732421875]",A chance meeting changes your entire daily routine.,meta-llama/Llama-3.1-8B-Instruct,1
