scalar_text_sequentiality,sentence_total_sequentialities,sentence_contextual_sequentialities,sentence_topic_sequentialities,topic,model_id,history_length
0.6648988696618124,"[-0.025021408543442234, 1.0364116430282593, 0.05156375200320513, 0.3080421730324074, 0.6268649051063939, 0.8169902894232008, 1.268012005349864, 1.0965542263454862, 0.8046722412109375]","[-115.2658462524414, -88.0591926574707, -124.060546875, -97.147216796875, -297.89368057250977, -166.89440965652466, -57.757598876953125, -112.8538818359375, -115.12774658203125]","[-114.44013977050781, -121.224365234375, -126.071533203125, -105.46435546875, -357.4458465576172, -225.71771049499512, -86.921875, -152.329833984375, -144.095947265625]",Old friend calls after twenty years of silence.,openai-community/gpt2-xl,1
0.3212718144042329,"[-0.19436163651315788, 0.25186011904761907, 0.416855255762736, 0.22551536560058594, 0.369874168844784, 0.36754725529597354, 0.2777432528409091, 0.3023348721590909, 0.3925522312973485, 0.8027972597064394]","[-58.6455078125, -124.379150390625, -60.926645278930664, -113.862548828125, -107.82572174072266, -93.49900817871094, -64.3466796875, -57.662109375, -96.4871826171875, -98.2122802734375]","[-54.95263671875, -134.957275390625, -70.93117141723633, -121.07904052734375, -120.40144348144531, -103.05523681640625, -70.45703125, -64.3134765625, -109.44140625, -124.70458984375]",You find someone’s wallet and recognize the photo inside.,openai-community/gpt2-xl,1
0.3009391554345818,"[-0.0126953125, 0.26778507232666016, 0.20323114809782608, 0.3572434645432692, 0.33053385416666664, 0.5489366319444444, 0.2674900108659771, 0.5438860724954044, 0.20204145697098744]","[-0.2158203125, -88.60084915161133, -72.68310546875, -74.060791015625, -116.4296875, -82.3544921875, -240.14993286132812, -122.2855224609375, -232.45087242126465]","[-0.203125, -95.02769088745117, -77.357421875, -83.34912109375, -126.345703125, -97.17578125, -259.1417236328125, -140.77764892578125, -248.41214752197266]",Neighbor asks you to keep a strange secret.,openai-community/gpt2-xl,1
0.5243530312636884,"[-0.0832248263888889, 0.8346455891927084, 0.2127007378472222, 0.5226686917818509, -0.012784250851335197, 1.3366767035590277, 0.8597885737052331]","[-90.714599609375, -67.489501953125, -190.35205078125, -84.62997436523438, -231.6911917924881, -86.32379150390625, -162.6842246055603]","[-88.467529296875, -87.52099609375, -201.837890625, -98.2193603515625, -230.94970524311066, -122.4140625, -207.39323043823242]",You overhear a conversation not meant for you.,openai-community/gpt2-xl,1
0.2538192347222512,"[-0.18734248991935484, 0.25380859375, 0.1303294112042683, 0.3920711572619452, 0.7461896623883929, 0.4005766369047619, 0.22028459821428573, 0.07463630797371032]","[-91.4931640625, -75.33984375, -132.617431640625, -227.44098663330078, -103.739013671875, -95.763671875, -90.826171875, -222.74639892578125]","[-85.685546875, -81.68505859375, -137.9609375, -254.493896484375, -124.63232421875, -104.17578125, -98.5361328125, -227.448486328125]",Unexpected letter arrives with no return address or name.,openai-community/gpt2-xl,1
0.32955150143403583,"[-0.02325615516075721, 0.14728800455729166, 0.34706353081597224, 1.2604455715272485, 0.3650828394396552, 0.18035888671875, 0.039360894097222224, 0.751953125, 0.040283203125, 0.18467133620689655, 0.33181527944711536]","[-81.01687622070312, -176.15655517578125, -153.265869140625, -117.41450500488281, -94.24658203125, -88.28369140625, -109.364990234375, -83.162109375, -91.1640625, -113.48046875, -102.259521484375]","[-80.41221618652344, -181.90078735351562, -168.88372802734375, -169.0927734375, -104.833984375, -92.6123046875, -110.427734375, -103.46484375, -92.130859375, -118.8359375, -110.88671875]",A chance meeting changes your entire daily routine.,openai-community/gpt2-xl,1
0.35034832189303405,"[-0.09394915350552263, 0.59682373046875, 0.3395959102746212, 0.2569917951311384, 0.9050564236111112, 0.4988865852355957, 0.2329644097222222, 0.33880208333333334, 0.16823508522727273, 0.2600763494318182]","[-93.5266342163086, -67.11260986328125, -83.44296264648438, -118.49710083007812, -68.4130859375, -76.29011535644531, -84.2587890625, -61.34765625, -80.7041015625, -112.85498046875]","[-90.80210876464844, -82.033203125, -94.64962768554688, -125.69287109375, -92.849609375, -92.25448608398438, -90.548828125, -66.4296875, -84.4052734375, -121.4375]",You help a stranger and they never say thanks.,openai-community/gpt2-xl,1
0.3328651893912872,"[0.050025201612903226, 0.5554431733630952, 0.5245929586476293, 0.7034599207624604, 0.018374488467261904, 0.13428287704785666, 0.43342699323381695, 0.21006944444444445, 0.40361328125, 0.29536355508340373]","[-101.326171875, -80.144287109375, -172.61175537109375, -282.6718444824219, -78.9739990234375, -63.79379057884216, -46.39256286621094, -93.138671875, -123.990966796875, -91.79442596435547]","[-102.876953125, -91.80859375, -203.03814697265625, -338.24517822265625, -79.35986328125, -67.01657962799072, -52.460540771484375, -98.810546875, -138.117431640625, -102.7228775024414]",Lost phone reveals someone’s hidden double life.,openai-community/gpt2-xl,1
0.3473121532844239,"[-0.1301422119140625, 0.853772615131579, 0.4405728044181034, 0.4491999699519231, 0.3056066176470588, 0.4413037109375, 0.546796875, 0.28483634159482757, 0.07327835648148148, 0.30437155330882354, 0.25083705357142855]","[-92.24781799316406, -62.4677734375, -118.381103515625, -115.478759765625, -82.19140625, -89.9232177734375, -107.041015625, -90.3427734375, -127.271484375, -67.81201171875, -80.5048828125]","[-89.77511596679688, -78.689453125, -131.15771484375, -127.157958984375, -87.38671875, -100.955810546875, -120.7109375, -98.60302734375, -129.25, -72.986328125, -87.5283203125]",You see someone you know pretending not to notice.,openai-community/gpt2-xl,1
0.42285257879518473,"[-0.1699681775323276, 0.29629298618861605, 0.35689544677734375, 0.19146233635979729, 0.9275480328184186, 0.6952816009521484, 0.4181640625, 0.3732096354166667, 0.42578125, 0.16060384114583334, 0.9761073521205357]","[-131.2064208984375, -105.19696044921875, -116.126220703125, -137.43310546875, -108.55706787109375, -110.46119689941406, -100.681640625, -89.1875, -80.2099609375, -102.587890625, -76.10870361328125]","[-126.27734375, -113.4931640625, -127.546875, -144.5172119140625, -139.16615295410156, -138.2724609375, -111.1357421875, -98.14453125, -90.4287109375, -107.8878173828125, -110.2724609375]",Childhood home is up for sale again.,openai-community/gpt2-xl,1
