scalar_text_sequentiality,sentence_total_sequentialities,sentence_contextual_sequentialities,sentence_topic_sequentialities,topic,model_id,story,temperature,source
0.4971789333794179,"[-0.05217552185058594, 0.87493896484375, 0.3821170204564145, 0.5420781915838068, 0.38194102332705543, 0.493335788532839, 0.65684814453125, 0.7733789259387601, 0.42214786305147056]","[-90.77230072021484, -92.51220703125, -106.07968139648438, -51.54302978515625, -279.26721954345703, -143.7652587890625, -45.62548828125, -80.23167419433594, -111.69775390625]","[-89.1026840209961, -118.7603759765625, -120.60012817382812, -63.46875, -311.3502655029297, -172.8720703125, -58.762451171875, -104.2064208984375, -126.05078125]",A short story,SakanaAI/TinySwallow-1.5B-Instruct,,0.05,openai
0.5788660863549129,"[-0.1259765625, 0.40878153956213664, 0.5399461829144022, 0.4999713897705078, 0.7890543619791667, 0.704461669921875, 0.4983575994318182, 1.2288152521306819, 0.6781087239583333, 0.5671407063802083]","[-58.5390625, -132.706298828125, -61.717010498046875, -106.73052978515625, -98.127197265625, -81.31869506835938, -57.650390625, -42.501708984375, -58.099609375, -83.76263427734375]","[-56.271484375, -150.28390502929688, -74.13577270507812, -122.7296142578125, -121.798828125, -98.93023681640625, -68.6142578125, -69.53564453125, -78.44287109375, -100.77685546875]",A short story,SakanaAI/TinySwallow-1.5B-Instruct,,0.05,openai
0.5918550631843207,"[0.09375, 0.3745528511379076, 0.348065185546875, 0.9596322866586539, 0.8250906808035714, 0.910491943359375, 0.4150526258680556, 1.021535038948059, 0.3785249563363882]","[-5.28125, -87.36471557617188, -46.8214111328125, -64.309814453125, -79.8564453125, -68.6986083984375, -179.91845703125, -82.58858871459961, -159.2207908630371]","[-5.375, -95.97943115234375, -53.78271484375, -89.26025390625, -102.958984375, -94.1923828125, -206.0667724609375, -115.2777099609375, -183.82491302490234]",A short story,SakanaAI/TinySwallow-1.5B-Instruct,,0.05,openai
0.546626375807681,"[-0.019404658564814815, 0.83953857421875, 0.44757080078125, 0.6542584345890925, 0.5718524639423077, 0.6681360464829665, 0.6644329692042151]","[-89.818359375, -64.6923828125, -146.58984375, -79.9007339477539, -149.80908203125, -89.96627712249756, -133.88037109375]","[-89.29443359375, -84.84130859375, -168.0732421875, -96.91145324707031, -179.54541015625, -107.33781433105469, -162.45098876953125]",A short story,SakanaAI/TinySwallow-1.5B-Instruct,,0.05,openai
0.625422732618276,"[-0.08463541666666667, 0.701650390625, 0.5207550831330128, 0.4906191825866699, 1.0431009928385417, 1.2431126644736843, 0.602685546875, 0.48609341708096593]","[-101.2685546875, -72.927490234375, -93.42926025390625, -176.1283416748047, -91.18060302734375, -61.58203125, -82.806640625, -169.86300659179688]","[-98.7294921875, -90.46875, -113.73870849609375, -207.52796936035156, -122.4736328125, -85.201171875, -103.900634765625, -196.59814453125]",A short story,SakanaAI/TinySwallow-1.5B-Instruct,,0.05,openai
0.6768421713508208,"[-0.014630351747785295, 0.48837193080357144, 0.3425176711309524, 1.230930426181891, 1.0554493871228448, 0.759039306640625, 0.5964918870192307, 1.0491174768518519, 0.53533935546875, 0.5525996767241379, 0.8500371186629586]","[-95.14516639709473, -130.9775390625, -122.35546875, -101.9097900390625, -69.3421630859375, -57.1968994140625, -97.0859375, -72.892578125, -77.875, -106.3359375, -70.73918533325195]","[-94.73551654815674, -148.070556640625, -136.7412109375, -149.91607666015625, -99.9501953125, -72.377685546875, -112.5947265625, -101.21875, -90.72314453125, -122.361328125, -90.2900390625]",A short story,SakanaAI/TinySwallow-1.5B-Instruct,,0.05,openai
0.7037656357502613,"[-0.060243803879310345, 0.7418115234375, 0.5260763457327178, 0.7086250185966492, 1.4892849392361112, 0.898822021484375, 0.8016086154513888, 0.49505208333333334, 0.7584117542613636, 0.6782078598484849]","[-102.888671875, -64.0264892578125, -73.97987365722656, -66.46300458908081, -63.606689453125, -70.27935791015625, -69.1346435546875, -62.98046875, -69.43603515625, -94.2919921875]","[-101.1416015625, -82.57177734375, -91.34039306640625, -83.47000503540039, -103.8173828125, -97.2440185546875, -90.778076171875, -70.40625, -86.12109375, -116.6728515625]",A short story,SakanaAI/TinySwallow-1.5B-Instruct,,0.05,openai
0.5867946257547003,"[-0.005338541666666667, 0.89068603515625, 0.3144476996527778, 0.5834718592026654, 0.43390213815789475, 0.7452725497159091, 1.2701282501220703, 0.7948659261067709, 0.41818498883928573, 0.42232535226004464]","[-103.45703125, -58.3505859375, -145.308349609375, -257.95318603515625, -73.12109375, -53.64453125, -37.121585845947266, -53.3529052734375, -129.3121337890625, -85.63661193847656]","[-103.296875, -72.6015625, -159.45849609375, -297.6292724609375, -81.365234375, -70.04052734375, -54.90338134765625, -72.4296875, -143.9486083984375, -100.41799926757812]",A short story,SakanaAI/TinySwallow-1.5B-Instruct,,0.05,openai
0.6882263989667788,"[-0.12880987870065788, 0.8147615131578947, 1.2073742901837383, 0.25400367149939906, 1.0948988970588236, 0.6023291015625, 1.01984375, 0.5106411637931034, 0.8770782470703125, 0.7916187959558824, 0.5267508370535714]","[-85.5015869140625, -65.5703125, -82.37638854980469, -119.53543090820312, -65.7265625, -82.5501708984375, -93.44140625, -86.7373046875, -49.960693359375, -60.37548828125, -76.8154296875]","[-83.05419921875, -81.05078125, -114.97549438476562, -126.1395263671875, -84.33984375, -97.6083984375, -118.9375, -101.5458984375, -67.50225830078125, -73.8330078125, -91.564453125]",A short story,SakanaAI/TinySwallow-1.5B-Instruct,,0.05,openai
0.6722329786371213,"[-0.08827561598557693, 0.7316002478966346, 0.5774917602539062, 0.7998621323529411, 0.46417433215725806, 0.688232421875, 0.7179612379807693, 1.0069325764973958, 1.0557454427083333, 0.8285030241935484, 0.612335205078125]","[-117.4892578125, -66.5699462890625, -93.009765625, -109.32421875, -93.65647888183594, -94.09130859375, -93.4482421875, -88.2066650390625, -74.619140625, -75.04931640625, -86.143310546875]","[-115.194091796875, -85.591552734375, -111.489501953125, -136.51953125, -108.04588317871094, -120.244140625, -112.115234375, -112.373046875, -99.95703125, -100.73291015625, -105.738037109375]",A short story,SakanaAI/TinySwallow-1.5B-Instruct,,0.05,openai
