,scalar_text_sequentiality,sentence_total_sequentialities,sentence_contextual_sequentialities,sentence_topic_sequentialities,topic,model_id,history_length
0,0.16937502,"[0.08689484, 0.327254, 0.08105132, 0.20502286, 0.2508806, 0.09871946, 0.22093475, 0.17992146, 0.07369595]","[0.08689484, 0.327254, 0.08105132, 0.20502286, 0.2508806, 0.09871946, 0.22093475, 0.17992146, 0.07369595]","[0.08689484, 0.327254, 0.08105132, 0.20502286, 0.2508806, 0.09871946, 0.22093475, 0.17992146, 0.07369595]",Old friend calls after twenty years of silence.,<src.embedding.SequentialityEmbeddingModel object at 0x40793cf20>,1
1,0.1961208,"[0.25388062, 0.20847228, 0.06352413, 0.1809454, 0.12089279, 0.23055404, 0.2377238, 0.19607155, 0.2775975, 0.19154587]","[0.25388062, 0.20847228, 0.06352413, 0.1809454, 0.12089279, 0.23055404, 0.2377238, 0.19607155, 0.2775975, 0.19154587]","[0.25388062, 0.20847228, 0.06352413, 0.1809454, 0.12089279, 0.23055404, 0.2377238, 0.19607155, 0.2775975, 0.19154587]",You find someone’s wallet and recognize the photo inside.,<src.embedding.SequentialityEmbeddingModel object at 0x40793cf20>,1
2,0.05166616,"[0.014710154, 0.053798117, 0.22623876, 0.056789145, -0.06771356, 0.007394735, 0.047423262, -0.03888787, 0.16524273]","[0.014710154, 0.053798117, 0.22623876, 0.056789145, -0.06771356, 0.007394735, 0.047423262, -0.03888787, 0.16524273]","[0.014710154, 0.053798117, 0.22623876, 0.056789145, -0.06771356, 0.007394735, 0.047423262, -0.03888787, 0.16524273]",Neighbor asks you to keep a strange secret.,<src.embedding.SequentialityEmbeddingModel object at 0x40793cf20>,1
3,0.08009957,"[0.046381406, 0.08709742, 0.087197505, 0.07715743, 0.04795648, 0.053414557, 0.16149215]","[0.046381406, 0.08709742, 0.087197505, 0.07715743, 0.04795648, 0.053414557, 0.16149215]","[0.046381406, 0.08709742, 0.087197505, 0.07715743, 0.04795648, 0.053414557, 0.16149215]",You overhear a conversation not meant for you.,<src.embedding.SequentialityEmbeddingModel object at 0x40793cf20>,1
4,0.17919323,"[0.2644155, 0.40954924, 0.17329161, 0.0552831, 0.024811266, 0.1720429, 0.11163655, 0.22251558]","[0.2644155, 0.40954924, 0.17329161, 0.0552831, 0.024811266, 0.1720429, 0.11163655, 0.22251558]","[0.2644155, 0.40954924, 0.17329161, 0.0552831, 0.024811266, 0.1720429, 0.11163655, 0.22251558]",Unexpected letter arrives with no return address or name.,<src.embedding.SequentialityEmbeddingModel object at 0x40793cf20>,1
5,0.020293843,"[0.060220808, 0.054855455, -0.08122678, -0.025986817, 0.15939964, -0.031857718, 0.029897474, 0.019928692, 0.059969433, 0.06360381, -0.08557174]","[0.060220808, 0.054855455, -0.08122678, -0.025986817, 0.15939964, -0.031857718, 0.029897474, 0.019928692, 0.059969433, 0.06360381, -0.08557174]","[0.060220808, 0.054855455, -0.08122678, -0.025986817, 0.15939964, -0.031857718, 0.029897474, 0.019928692, 0.059969433, 0.06360381, -0.08557174]",A chance meeting changes your entire daily routine.,<src.embedding.SequentialityEmbeddingModel object at 0x40793cf20>,1
6,0.07207397,"[0.10084775, 0.11350039, 0.042490743, 0.025183639, 0.26540715, 0.058695808, 0.047238857, -0.03649905, 0.03811534, 0.06575914]","[0.10084775, 0.11350039, 0.042490743, 0.025183639, 0.26540715, 0.058695808, 0.047238857, -0.03649905, 0.03811534, 0.06575914]","[0.10084775, 0.11350039, 0.042490743, 0.025183639, 0.26540715, 0.058695808, 0.047238857, -0.03649905, 0.03811534, 0.06575914]",You help a stranger and they never say thanks.,<src.embedding.SequentialityEmbeddingModel object at 0x40793cf20>,1
7,0.10260496,"[0.2392453, 0.1653673, 0.20409213, -0.0013613235, 0.016130898, 0.021575354, 0.09656736, 0.10801547, 0.053739153, 0.122677945]","[0.2392453, 0.1653673, 0.20409213, -0.0013613235, 0.016130898, 0.021575354, 0.09656736, 0.10801547, 0.053739153, 0.122677945]","[0.2392453, 0.1653673, 0.20409213, -0.0013613235, 0.016130898, 0.021575354, 0.09656736, 0.10801547, 0.053739153, 0.122677945]",Lost phone reveals someone’s hidden double life.,<src.embedding.SequentialityEmbeddingModel object at 0x40793cf20>,1
8,0.0642905,"[0.12554574, 0.10716972, 0.08021301, 0.025303315, 0.08157369, -0.0046308963, 0.05191587, -0.02089379, 0.15362653, 0.0023158817, 0.105056435]","[0.12554574, 0.10716972, 0.08021301, 0.025303315, 0.08157369, -0.0046308963, 0.05191587, -0.02089379, 0.15362653, 0.0023158817, 0.105056435]","[0.12554574, 0.10716972, 0.08021301, 0.025303315, 0.08157369, -0.0046308963, 0.05191587, -0.02089379, 0.15362653, 0.0023158817, 0.105056435]",You see someone you know pretending not to notice.,<src.embedding.SequentialityEmbeddingModel object at 0x40793cf20>,1
9,0.08884881,"[0.21368149, -0.010747511, 0.11220763, 0.13318552, 0.035339635, -0.018280495, 0.07746989, 0.08436458, 0.0721972, -0.042122878, 0.32004184]","[0.21368149, -0.010747511, 0.11220763, 0.13318552, 0.035339635, -0.018280495, 0.07746989, 0.08436458, 0.0721972, -0.042122878, 0.32004184]","[0.21368149, -0.010747511, 0.11220763, 0.13318552, 0.035339635, -0.018280495, 0.07746989, 0.08436458, 0.0721972, -0.042122878, 0.32004184]",Childhood home is up for sale again.,<src.embedding.SequentialityEmbeddingModel object at 0x40793cf20>,1
