,scalar_text_sequentiality,sentence_total_sequentialities,sentence_contextual_sequentialities,sentence_topic_sequentialities,topic,model_id,history_length
0,0.43124262778766953,"[-0.10355949401855469, 0.15767073922040986, 0.3501898447672526, 0.5799838826060295, 0.7991581404650653, 0.5690523224907953, 0.42418874393809924, 0.9468637421017602, 0.15763572851816812]","[-57.54397964477539, -43.32898509502411, -73.80276489257812, -49.175031661987305, -50.013429164886475, -45.84056854248047, -99.28748691082001, -49.39284801483154, -68.02401578426361]","[-54.43719482421875, -49.79348540306091, -94.81415557861328, -86.2940001487732, -93.16796875, -66.89550447463989, -127.28394401073456, -89.16112518310547, -79.37378823757172]",a short story,allenai/OLMo-2-1124-13B,1
1,0.4128793824933748,"[-0.008709498814174108, 0.3330313697153208, 0.6341452867754044, 0.6811244453702654, 0.5773625782557896, 0.36536754261363635, 0.20242745535714285, 0.5951331456502279, 0.6580446031358507, 0.4244678653016382, 0.07927841406602126]","[-45.062469482421875, -44.69697153568268, -27.222723841667175, -27.225051760673523, -37.234952449798584, -17.81195068359375, -52.259033203125, -50.11811828613281, -24.496135711669922, -46.83266639709473, -245.27693367004395]","[-44.818603515625, -61.0155086517334, -46.88122773170471, -51.06440734863281, -57.44264268875122, -21.83099365234375, -57.927001953125, -78.68450927734375, -42.26333999633789, -67.631591796875, -262.79746317863464]",a short story,allenai/OLMo-2-1124-13B,1
2,0.5115956710706923,"[-0.19495714627779448, 0.6353391346178556, 0.16854830928470776, 0.20219523818404586, 0.4730282487540409, 1.0708658854166666, 0.4019368886947632, 0.3356142653975376, 0.6861293656485421, 1.337256520986557]","[-52.761985778808594, -41.367061614990234, -69.649041056633, -53.48103046417236, -35.88432312011719, -23.539306640625, -48.06794309616089, -56.17329239845276, -40.971906661987305, -22.05639886856079]","[-47.69309997558594, -65.50994873046875, -77.40226328372955, -58.9403018951416, -49.602142333984375, -39.602294921875, -59.32217597961426, -70.60470581054688, -60.183528900146484, -43.4525032043457]",a short story,allenai/OLMo-2-1124-13B,1
3,0.27847667952596156,"[-0.019266506830851238, 1.098040150057885, 0.03774112112381879, 0.23215119043986002, 0.14865266954576647, -0.055755390840418195, 0.378432959318161, 0.3609596345482803, 0.110060967897114, 0.49375]","[-146.83643341064453, -50.932129859924316, -55.1100378036499, -68.03026008605957, -66.13249206542969, -37.567283630371094, -54.14328861236572, -80.78083229064941, -69.4586009979248, -9.47900390625]","[-145.3914453983307, -84.97137451171875, -56.39323592185974, -76.38770294189453, -71.63264083862305, -36.619441986083984, -66.25314331054688, -95.5801773071289, -73.64091777801514, -11.94775390625]",a short story,allenai/OLMo-2-1124-13B,1
4,0.5419350065397803,"[-0.18867631392045456, 0.09780220474515643, 1.2798943239099838, 0.35846354166666666, 0.5232684910297394, 0.35983462466133964, 0.5814510822296143, 0.9784342447916666, 0.1226351120892693, -0.0485687255859375, 0.9601419236924913, 0.3438380848277699, 0.6184449948762593, 0.16211297363042831, 0.9187545776367188, 0.2766009739467076, 0.6974693645130504, 0.7116301168094982, 0.9865570068359375, 0.2775029076470269, 1.2796490009014423, 0.14881004825715097, 0.5209838019476997, 1.7878437042236328, 0.04444997450884651, 0.3225417895750566, 0.7549641927083334, 0.6883877840909091, 0.3606719970703125, 0.23880615234375, 0.4673807356092665, 0.30239633413461536, 1.0189971923828125, 1.2479804039001465, 0.4176968661221591, 0.25299072265625, 0.1475494384765625, 0.871606190999349, 0.90911865234375, 0.1812744140625, 0.06121018353630515, 0.6516854422433036, 0.1329803466796875, 0.07168041742764987, 0.010861492156982422, 2.1379838423295454, -0.07208806818181818, 1.0980794270833334, 0.55556640625, 0.351202392578125, 0.13136110986982072, 1.0299976055438702, 0.4176432291666667, 0.7046356201171875]","[-37.768310546875, -43.00829315185547, -22.593358993530273, -31.900390625, -50.98190879821777, -27.540554881095886, -28.444490909576416, -16.45751953125, -33.0231819152832, -23.58074951171875, -23.649566650390625, -28.405899047851562, -19.98470640182495, -14.987884163856506, -11.362548828125, -25.12511444091797, -30.24643325805664, -41.49920105934143, -11.137542724609375, -22.744281768798828, -32.416015625, -49.75842094421387, -42.983985900878906, -18.6417236328125, -67.77288055419922, -35.09704804420471, -10.569305419921875, -13.86328125, -51.346649169921875, -16.717041015625, -10.188526153564453, -24.07568359375, -12.6739501953125, -56.1342716217041, -15.40985107421875, -39.58172607421875, -32.04548645019531, -18.63403606414795, -18.5545654296875, -36.961669921875, -49.79457092285156, -9.649078369140625, -20.660499572753906, -31.408893585205078, -47.972779631614685, -37.239990234375, -33.03515625, -36.27099609375, -21.09326171875, -24.15399169921875, -53.09642696380615, -18.608810424804688, -34.3828125, -20.53924560546875]","[-35.69287109375, -45.74675488471985, -44.3515625, -37.27734375, -71.91264843940735, -34.017578125, -40.0735125541687, -22.328125, -35.10797882080078, -22.949356079101562, -40.93212127685547, -35.9703369140625, -31.735161304473877, -17.58169174194336, -18.71258544921875, -28.997528076171875, -45.59075927734375, -57.15506362915039, -19.029998779296875, -27.739334106445312, -49.05145263671875, -54.37153244018555, -52.3616943359375, -32.94447326660156, -69.2841796875, -42.19296741485596, -17.363983154296875, -21.435546875, -59.28143310546875, -19.1051025390625, -18.60137939453125, -28.0068359375, -20.825927734375, -81.09387969970703, -20.0045166015625, -42.87060546875, -34.25872802734375, -31.708128929138184, -32.19134521484375, -40.7684326171875, -50.83514404296875, -14.21087646484375, -22.12328338623047, -33.272584438323975, -48.29862439632416, -60.7578125, -32.2421875, -52.7421875, -26.64892578125, -27.666015625, -56.77453804016113, -31.998779296875, -39.39453125, -28.290237426757812]",a short story,allenai/OLMo-2-1124-13B,1
5,0.6006976160686124,"[-0.3151633522727273, 0.31781450907389325, 0.02252963873056265, 1.239501953125, 0.3381342569986979, 0.5135308791851175, 1.0562091258264357, 0.28960665067036945, 0.7781129316850142, 0.4272057745191786, 0.41030985514322915, 0.585058331489563, 0.4523441090303309, 1.1494495123624802, 1.6881637573242188, 0.670849609375, 0.3724888392857143, 0.4525246253380409, 0.24513427734375, 0.760737419128418, 0.4472384982638889, 0.6951491411994485, 0.25362998560855265, 0.888232421875, 1.0598417321840923, 0.31354464017427885, 0.67083740234375, 0.8539284153988487, 0.3453776041666667, 0.6738455636160714, 0.3948974609375, 0.4657472229003906, 0.32303084267510307, 0.52353515625, 0.5649920011821546, 0.30585346221923826, 0.6339518229166666, 1.9583333333333333]","[-35.244140625, -16.28711700439453, -38.5898962020874, -13.970703125, -37.24626159667969, -56.51877689361572, -44.28274965286255, -31.79266881942749, -11.272605895996094, -26.694664001464844, -53.154144287109375, -29.325098037719727, -29.594940185546875, -25.239301681518555, -33.22578430175781, -17.837890625, -12.3212890625, -15.453620910644531, -33.491539001464844, -45.90182876586914, -34.04736328125, -21.485015869140625, -27.2999267578125, -10.35693359375, -19.750070571899414, -23.195159912109375, -19.7117919921875, -46.404327392578125, -24.11328125, -25.723876953125, -38.325439453125, -37.857051849365234, -51.56001615524292, -14.7294921875, -33.1683349609375, -35.38482666015625, -29.619140625, -16.828125]","[-31.77734375, -21.05433464050293, -39.17566680908203, -23.88671875, -47.390289306640625, -71.41117238998413, -77.02523255348206, -37.00558853149414, -19.83184814453125, -34.38436794281006, -65.46343994140625, -38.686031341552734, -37.2847900390625, -43.63049387931824, -50.107421875, -24.54638671875, -14.9287109375, -21.336441040039062, -39.619895935058594, -61.1165771484375, -42.09765625, -33.30255126953125, -32.118896484375, -19.2392578125, -32.46817135810852, -27.271240234375, -28.43267822265625, -62.62896728515625, -28.2578125, -35.15771484375, -45.43359375, -49.500732421875, -60.2818489074707, -19.96484375, -43.90318298339844, -41.501895904541016, -37.2265625, -28.578125]",a short story,allenai/OLMo-2-1124-13B,1
6,0.3271051565400386,"[-0.14741728040907118, 0.22704846962638522, 0.2910978041197124, 0.8353175538958926, 0.3960417314009233, 0.46660647922092013, 0.17300698708514778, 0.37513950738039886]","[-36.92896270751953, -44.684709548950195, -84.49352741241455, -37.824581146240234, -58.071831703186035, -60.93486404418945, -74.75584077835083, -96.92302513122559]","[-34.27545166015625, -55.128939151763916, -106.6169605255127, -65.39006042480469, -79.85412693023682, -81.93215560913086, -83.23318314552307, -121.68223261833191]",a short story,allenai/OLMo-2-1124-13B,1
7,0.5475850444600876,"[-0.0010159810384114583, 1.179215567452567, 0.28286085457637394, 0.7425493913538316, 0.8543542226155599, 0.15513092994689942, 0.8562068232783565, 0.8327721988453585, 0.3770578588758196, 0.1987136205037435, 0.42398681640625, 0.09625, 1.6739864746729534, -0.005878155048076923]","[-78.55201721191406, -27.200599670410156, -53.930747985839844, -24.666394233703613, -21.76618194580078, -35.71756315231323, -40.034149169921875, -27.446876525878906, -15.695575475692749, -60.18023109436035, -11.7337646484375, -58.248046875, -15.22075605392456, -81.66120910644531]","[-78.50629806518555, -51.96412658691406, -62.13371276855469, -37.28973388671875, -32.0184326171875, -39.59583640098572, -63.1517333984375, -41.60400390625, -20.974385499954224, -67.33392143249512, -15.9736328125, -60.654296875, -35.30859375, -81.43196105957031]",a short story,allenai/OLMo-2-1124-13B,1
8,0.3979139139761226,"[0.007498604910714286, 0.14089628153069075, 0.8714261054992676, 0.7555135239002316, 0.6028264537453651, 0.1183807373046875, 0.35422434526331287, 0.2598526179790497, 0.13728390799628365, 0.6694329341252645, 0.5125026157924107, 0.3451288396661932]","[-57.18853759765625, -51.28657793998718, -23.75788688659668, -45.87543296813965, -40.930161237716675, -47.04258728027344, -31.766348361968994, -50.34610080718994, -59.24276065826416, -46.366031646728516, -67.85565185546875, -26.279754638671875]","[-57.39849853515625, -57.345118045806885, -41.18640899658203, -78.36251449584961, -60.22060775756836, -50.002105712890625, -37.78816223144531, -58.66138458251953, -65.42053651809692, -66.44901967048645, -85.79324340820312, -30.076171875]",a short story,allenai/OLMo-2-1124-13B,1
9,1.5837954162229488,"[-0.16911764705882354, 2.616001674107143, 2.0487460432381464, 1.974536387125651, 1.4439222547743056, 0.6939264112903226, 1.8921305338541667, 1.9798556241122158, 1.5081390380859374, 4.81875, 0.766534213362069, 1.392913818359375, 1.120147705078125, 0.593756103515625, 1.9402988978794642, 1.5768310546875, 0.7271499633789062]","[-105.271484375, -62.3095703125, -105.345947265625, -50.975704193115234, -73.4866943359375, -139.703125, -73.724609375, -64.38165283203125, -74.3128662109375, -29.0, -101.0078125, -68.573486328125, -94.416259765625, -69.1219482421875, -72.7080078125, -76.6949462890625, -100.7740478515625]","[-102.396484375, -98.93359375, -164.75958251953125, -80.59375, -99.477294921875, -161.21484375, -119.1357421875, -107.9384765625, -104.47564697265625, -53.09375, -123.2373046875, -102.00341796875, -130.260986328125, -80.9970703125, -113.45428466796875, -116.11572265625, -124.0428466796875]",a short story,allenai/OLMo-2-1124-13B,1
