,scalar_text_sequentiality,sentence_total_sequentialities,sentence_contextual_sequentialities,sentence_topic_sequentialities,topic,model_id,history_length
0,0.8810881206032981,"[0.019658015324519232, 0.7978515625, 0.7428089488636364, 0.43197866586538464, 0.33497871850666244, 0.4587429591587612, 0.7935321514423077, 1.0103607177734375, 1.3303786057692308, 0.13926478794642858, 0.9165926846590909, 0.6162997159090909, 1.9435337611607142, 1.158111572265625, 1.430078125, 0.7143544514973958, 1.5412946428571428, 0.083740234375, 2.2771139705882355]","[-32.357330322265625, -21.5625, -26.5283203125, -33.353271484375, -52.38232898712158, -39.14931106567383, -35.96044921875, -24.150299072265625, -19.6990966796875, -36.2471923828125, -26.173828125, -92.75390625, -51.54345703125, -39.97607421875, -39.16015625, -55.05863952636719, -37.421875, -60.71875, -37.240234375]","[-32.612884521484375, -27.9453125, -34.69921875, -38.968994140625, -58.74692463874817, -45.571712493896484, -46.2763671875, -34.25390625, -36.9940185546875, -38.1968994140625, -36.25634765625, -106.3125, -78.7529296875, -58.505859375, -53.4609375, -65.77395629882812, -59.0, -61.7236328125, -75.951171875]",A short story about a couple having dinner,Qwen/Qwen2.5-7B-Instruct,1
1,0.8881809760764571,"[0.22641108586237982, 1.1591796875, 1.2680220170454546, 0.5000469501201923, 0.653346764413934, 0.8394625527518136, 1.1674616887019231, 1.3532806396484376, 1.5829420823317308, 0.15949358258928573, 0.7395241477272727, 0.6187411221590909, 1.453125, 0.0782318115234375, 1.05546875, 0.5270182291666666, 1.0559430803571428, 0.3142903645833333, 2.1234489889705883]","[-32.20330810546875, -23.359375, -27.7783203125, -32.807861328125, -50.41372752189636, -37.974395751953125, -35.818359375, -26.148834228515625, -17.7696533203125, -28.941162109375, -28.9765625, -86.8701171875, -50.630859375, -46.15673828125, -36.80859375, -58.37579345703125, -39.515625, -53.3671875, -32.0029296875]","[-35.14665222167969, -32.6328125, -41.7265625, -39.3084716796875, -62.82731604576111, -49.726871490478516, -50.995361328125, -39.681640625, -38.347900390625, -31.174072265625, -37.111328125, -100.482421875, -70.974609375, -47.408447265625, -47.36328125, -66.28106689453125, -54.298828125, -57.138671875, -68.1015625]",A short story about a robot couple having dinner,Qwen/Qwen2.5-7B-Instruct,1
2,0.6874421958931662,"[0.023787278395432692, 1.2626953125, 1.1576704545454546, 1.1098257211538463, 0.4652424486059892, 0.6665006365094867, 0.7774188701923077, 1.09874267578125, 1.2427978515625, 0.28438895089285715, 0.8263494318181818, 0.29967151988636365, 0.45340401785714285, -0.091339111328125, 0.40927734375, 0.43318074544270835, 0.8934151785714286, 0.23958333333333334, 1.5087890625]","[-36.30352783203125, -20.24609375, -29.037109375, -27.01171875, -57.45315170288086, -34.48219299316406, -41.0322265625, -27.7811279296875, -17.864990234375, -25.7802734375, -27.22265625, -82.5810546875, -49.525390625, -47.103515625, -38.3330078125, -52.958343505859375, -39.521484375, -52.2578125, -36.5810546875]","[-36.612762451171875, -30.34765625, -41.771484375, -41.439453125, -66.29275822639465, -43.813201904296875, -51.138671875, -38.7685546875, -34.0213623046875, -29.76171875, -36.3125, -89.173828125, -55.873046875, -45.64208984375, -42.42578125, -59.4560546875, -52.029296875, -55.1328125, -62.23046875]",A short story about a frustrated robot woman deactivating and replacing her robot husband,Qwen/Qwen2.5-7B-Instruct,1
3,1.1329554403835338,"[0.07341707669771634, 1.5947265625, 1.4483309659090908, 1.1088115985576923, 1.0290085140027498, 1.0845826012747628, 1.6185396634615385, 1.931390380859375, 1.5946138822115385, 0.48618861607142855, 1.5202414772727273, 0.9864612926136364, 1.9625418526785714, 0.3936309814453125, 0.9650390625, 0.49580485026041665, 0.93359375, 0.5224609375, 1.7767693014705883]","[-44.868682861328125, -22.96875, -29.115234375, -34.74365234375, -53.55447864532471, -40.228118896484375, -37.798828125, -23.61236572265625, -20.0146484375, -26.70849609375, -28.333984375, -91.1337890625, -49.5751953125, -42.972412109375, -36.322265625, -62.0419921875, -42.869140625, -51.40625, -34.16796875]","[-45.82310485839844, -35.7265625, -45.046875, -49.158203125, -73.10564041137695, -55.412275314331055, -58.83984375, -42.92626953125, -40.74462890625, -33.51513671875, -45.056640625, -112.8359375, -77.05078125, -49.2705078125, -45.97265625, -69.47906494140625, -55.939453125, -57.67578125, -64.373046875]",A short story about two robots,Qwen/Qwen2.5-7B-Instruct,1
4,0.8549157877142658,"[0.019442044771634616, 0.83349609375, 0.4796697443181818, 1.0978628305288463, 0.5454268392763639, 0.6467644827706474, 1.4577824519230769, 0.9268890380859375, 1.1211407001201923, 0.32188197544642855, 1.1595348011363635, 0.8346946022727273, 1.8632463727678572, 0.909515380859375, 1.076416015625, 0.2569173177083333, 0.7424665178571429, 0.142578125, 1.8076746323529411]","[-40.568878173828125, -20.62109375, -32.2431640625, -34.926025390625, -54.320077776908875, -39.44190216064453, -33.7822265625, -23.469390869140625, -19.8028564453125, -33.02978515625, -24.28515625, -96.57421875, -46.32666015625, -39.53369140625, -34.93115234375, -59.8753662109375, -42.6015625, -55.625, -34.875]","[-40.821624755859375, -27.2890625, -37.51953125, -49.1982421875, -64.68318772315979, -48.496604919433594, -52.7333984375, -32.73828125, -34.377685546875, -37.5361328125, -37.0400390625, -114.9375, -72.412109375, -54.0859375, -45.6953125, -63.7291259765625, -52.99609375, -57.3359375, -65.60546875]",A short story,Qwen/Qwen2.5-7B-Instruct,1
5,1.2078486095290952,"[0.014484112079326924, 1.69775390625, 0.9167258522727273, 0.9124474158653846, 0.9015651502107319, 1.0141880852835519, 1.7416616586538463, 1.28184814453125, 1.7417837289663463, 0.4584263392857143, 0.9995561079545454, 0.3700284090909091, 2.275913783482143, 1.278778076171875, 1.55, 1.1642181396484375, 1.5841238839285714, 0.7381184895833334, 2.3075022977941178]","[-49.922607421875, -23.29296875, -29.771484375, -36.83251953125, -53.8498831987381, -39.12890625, -37.4052734375, -27.2938232421875, -19.5665283203125, -34.254150390625, -27.1767578125, -102.625, -49.74658203125, -39.40380859375, -36.615234375, -57.72764587402344, -43.89453125, -55.75, -40.0517578125]","[-50.11090087890625, -36.875, -39.85546875, -48.6943359375, -70.979621052742, -53.32753944396973, -60.046875, -40.1123046875, -42.209716796875, -40.672119140625, -38.171875, -110.765625, -81.609375, -59.8642578125, -52.115234375, -75.19091796875, -66.072265625, -64.607421875, -79.279296875]",A description of a visit to the doctor's office,Qwen/Qwen2.5-7B-Instruct,1
6,0.2240236753596359,"[-0.13046875, 0.38948277064732145, 0.7705891927083334, 0.065673828125, 0.35630580357142855, 0.28413529829545453, 0.11350661057692307, -0.154296875, 0.1145770733173077, -0.004772479717548077, -0.21996866861979167, -0.015735081263950894, 0.6363192471590909, -0.07990056818181818, 0.40901857300808553, 0.21470424107142858, 1.152587890625, 0.172271728515625, 0.18241999699519232]","[-54.765625, -32.744140625, -52.4765625, -33.59716796875, -73.7646484375, -33.130859375, -44.80078125, -78.57421875, -37.4794921875, -32.6749267578125, -69.073486328125, -45.7920036315918, -92.3134765625, -35.578125, -50.97557175159454, -55.994140625, -18.724609375, -55.74951171875, -34.62255859375]","[-53.4609375, -38.1968994140625, -61.7236328125, -34.25390625, -78.7529296875, -36.25634765625, -46.2763671875, -75.951171875, -38.968994140625, -32.612884521484375, -65.77395629882812, -45.571712493896484, -106.3125, -34.69921875, -58.74692463874817, -59.0, -27.9453125, -58.505859375, -36.9940185546875]",A short story about a couple having dinner,Qwen/Qwen2.5-7B-Instruct,1
7,0.409395891349012,"[0.203515625, -0.41140311104910715, 0.67919921875, 0.4916015625, 0.09511021205357142, 0.12286931818181818, 0.27969125600961536, 0.40280330882352944, 0.14324481670673078, 0.18678987943209135, 0.6700724283854167, 0.3441852501460484, 0.6440873579545454, 0.8032670454545454, 0.5613216161727905, 0.4105747767857143, 1.863525390625, 0.0658416748046875, 0.22222430889423078]","[-45.328125, -36.9337158203125, -48.98828125, -34.765625, -69.64306640625, -35.759765625, -47.359375, -61.25390625, -37.4462890625, -32.7183837890625, -56.22998046875, -44.90827798843384, -86.3125, -32.890625, -52.16220533847809, -48.55078125, -17.724609375, -46.35498046875, -35.458984375]","[-47.36328125, -31.174072265625, -57.138671875, -39.681640625, -70.974609375, -37.111328125, -50.995361328125, -68.1015625, -39.3084716796875, -35.14665222167969, -66.28106689453125, -49.726871490478516, -100.482421875, -41.7265625, -62.82731604576111, -54.298828125, -32.6328125, -47.408447265625, -38.347900390625]",A short story about a robot couple having dinner,Qwen/Qwen2.5-7B-Instruct,1
8,0.1511275503092385,"[-0.06171875, -0.18985421316964285, 0.6429036458333334, 0.39013671875, -0.24602399553571427, 0.031427556818181816, 0.0018780048076923077, 0.15016084558823528, -0.08481069711538461, 0.029360257662259616, 0.172900390625, 0.18159757341657365, 0.24001242897727273, 0.22318892045454544, 0.6545983050998888, 0.27511160714285715, 0.448974609375, 0.048736572265625, -0.037156325120192304]","[-43.04296875, -32.419677734375, -47.41796875, -34.8671875, -59.3173828125, -35.966796875, -51.1142578125, -59.677734375, -42.5419921875, -36.2310791015625, -56.862548828125, -41.270835876464844, -83.8935546875, -39.31640625, -53.855390429496765, -48.177734375, -26.755859375, -44.8623046875, -34.50439453125]","[-42.42578125, -29.76171875, -55.1328125, -38.7685546875, -55.873046875, -36.3125, -51.138671875, -62.23046875, -41.439453125, -36.612762451171875, -59.4560546875, -43.813201904296875, -89.173828125, -41.771484375, -66.29275822639465, -52.029296875, -30.34765625, -45.64208984375, -34.0213623046875]",A short story about a frustrated robot woman deactivating and replacing her robot husband,Qwen/Qwen2.5-7B-Instruct,1
9,0.6304623258954575,"[-0.102734375, -0.07242257254464286, 0.4173177083333333, 0.622509765625, 1.0490025111607142, 0.6516335227272727, 0.5553635817307693, 0.5550321691176471, 0.35118689903846156, 0.9592860295222356, 0.86927490234375, 0.5724823474884033, 1.10595703125, 0.6292613636363636, 1.0349983541589034, 0.61328125, 1.4910888671875, 0.23504638671875, 0.4412184495192308]","[-47.0, -34.529052734375, -52.66796875, -36.701171875, -62.36474609375, -37.888671875, -51.6201171875, -54.9375, -44.5927734375, -33.352386474609375, -56.43994140625, -47.39752244949341, -88.5048828125, -38.125, -53.44067168235779, -47.353515625, -23.7978515625, -45.509765625, -35.0087890625]","[-45.97265625, -33.51513671875, -57.67578125, -42.92626953125, -77.05078125, -45.056640625, -58.83984375, -64.373046875, -49.158203125, -45.82310485839844, -69.47906494140625, -55.412275314331055, -112.8359375, -45.046875, -73.10564041137695, -55.939453125, -35.7265625, -49.2705078125, -40.74462890625]",A short story about two robots,Qwen/Qwen2.5-7B-Instruct,1
