,scalar_text_sequentiality,sentence_total_sequentialities,sentence_contextual_sequentialities,sentence_topic_sequentialities,topic,model_id,history_length
0,0.7774990271931628,"[-0.16718174861027643, 0.599609375, 0.4092684659090909, 0.7130784254807693, 0.26700938375372635, 0.6798144749232701, 0.9273963341346154, 1.358544921875, 1.5021033653846154, 0.36485072544642855, 0.7547940340909091, 0.23694957386363635, 1.5622209821428572, 0.8690032958984375, 1.391796875, 0.8593302408854167, 0.6517857142857143, 0.1669921875, 1.6251148897058822]","[-32.92499542236328, -21.421875, -26.794921875, -31.9296875, -52.43627643585205, -39.814964294433594, -34.17529296875, -24.52294921875, -19.80224609375, -37.95068359375, -25.05859375, -99.369140625, -50.681640625, -41.91064453125, -33.859375, -53.24420166015625, -47.390625, -56.34375, -49.283203125]","[-30.751632690429688, -26.21875, -31.296875, -41.19970703125, -57.50945472717285, -49.332366943359375, -46.2314453125, -38.1083984375, -39.32958984375, -43.05859375, -33.361328125, -104.58203125, -72.552734375, -55.814697265625, -47.77734375, -66.1341552734375, -56.515625, -58.34765625, -76.91015625]",A short story about a couple having dinner,SakanaAI/TinySwallow-1.5B-Instruct,1
1,0.6448344445733089,"[-0.1435693594125601, 0.8017578125, 0.5614346590909091, 0.8943246694711539, 0.4402473851254112, 0.7065102713448661, 1.14453125, 1.4137939453125, 1.6694523737980769, 0.41581508091517855, 0.5460759943181818, 0.16379616477272727, 0.8959263392857143, 0.02362060546875, 0.685546875, 0.2392578125, 0.7255859375, 0.055338541666666664, 1.0124080882352942]","[-37.45542907714844, -21.3046875, -27.34375, -31.806884765625, -52.116397857666016, -40.25347900390625, -35.228515625, -26.026123046875, -20.173095703125, -32.747802734375, -28.962890625, -97.169921875, -48.8828125, -46.36669921875, -37.85546875, -59.10284423828125, -43.646484375, -52.421875, -48.59375]","[-35.589027404785156, -27.71875, -33.51953125, -43.43310546875, -60.48109817504883, -50.144622802734375, -50.107421875, -40.1640625, -41.8759765625, -38.5692138671875, -34.9697265625, -100.7734375, -61.42578125, -46.74462890625, -44.7109375, -62.69171142578125, -53.8046875, -53.0859375, -65.8046875]",A short story about a robot couple having dinner,SakanaAI/TinySwallow-1.5B-Instruct,1
2,0.660819853126195,"[-0.08405714768629807, 1.49658203125, 0.6638849431818182, 1.2153883713942308, 0.5879324360897666, 0.5721500941685268, 0.9255558894230769, 1.1509765625, 1.7955603966346154, 0.3761509486607143, 0.40181107954545453, 0.09419389204545454, 0.7144252232142857, 0.233856201171875, 0.44921875, 0.20190836588541666, 0.6251395089285714, -0.043294270833333336, 1.1781939338235294]","[-45.55830383300781, -20.76171875, -31.251953125, -34.334716796875, -56.55123805999756, -40.166168212890625, -40.0478515625, -26.775390625, -21.083984375, -31.8291015625, -29.75390625, -90.27734375, -43.693359375, -42.73046875, -36.53515625, -56.95391845703125, -42.60546875, -53.00390625, -48.923828125]","[-44.46556091308594, -32.734375, -38.5546875, -50.134765625, -67.72195434570312, -48.17626953125, -52.080078125, -38.28515625, -44.42626953125, -37.09521484375, -34.173828125, -92.349609375, -53.6953125, -46.47216796875, -41.02734375, -59.9825439453125, -51.357421875, -52.484375, -68.953125]",A short story about a frustrated robot woman deactivating and replacing her robot husband,SakanaAI/TinySwallow-1.5B-Instruct,1
3,0.7987360527626276,"[-0.19954740084134615, 1.66455078125, 0.7221235795454546, 1.1318547175480769, 0.8008254703722502, 0.8157909938267299, 1.4205979567307692, 1.32757568359375, 1.6229341947115385, 0.34144810267857145, 0.7352627840909091, 0.27379261363636365, 1.2916434151785714, 0.114898681640625, 0.6556640625, 0.2725748697916667, 0.5182756696428571, 0.14469401041666666, 1.5210248161764706]","[-49.02738952636719, -20.5703125, -33.337890625, -36.293701171875, -54.46246147155762, -40.673622131347656, -33.0810546875, -27.5699462890625, -22.375, -32.482177734375, -31.54296875, -101.212890625, -46.82421875, -47.1689453125, -34.408203125, -60.834716796875, -45.12109375, -52.3671875, -42.685546875]","[-46.43327331542969, -33.88671875, -41.28125, -51.0078125, -69.67814540863037, -52.094696044921875, -51.548828125, -40.845703125, -43.47314453125, -37.262451171875, -39.630859375, -107.236328125, -64.9072265625, -49.00732421875, -40.96484375, -64.92333984375, -52.376953125, -54.103515625, -68.54296875]",A short story about two robots,SakanaAI/TinySwallow-1.5B-Instruct,1
4,0.7402200986382583,"[-0.2820692795973558, 0.8837890625, 0.8041548295454546, 0.7520658052884616, 0.5892497614810341, 0.8095348903111049, 1.3695913461538463, 0.92723388671875, 1.1718374399038463, 0.37613351004464285, 0.7489346590909091, 0.29634232954545453, 1.4905831473214286, 0.6414794921875, 0.7619140625, 0.38299967447916666, 0.6510881696428571, 0.025716145833333332, 1.6636029411764706]","[-44.19517517089844, -20.96875, -30.197265625, -37.72705078125, -54.45684623718262, -39.843421936035156, -32.2294921875, -27.1094970703125, -21.98583984375, -36.83740234375, -27.146484375, -102.65625, -46.01171875, -43.4921875, -32.822265625, -56.802978515625, -44.76953125, -56.921875, -46.140625]","[-40.52827453613281, -28.0390625, -39.04296875, -47.50390625, -65.65259170532227, -51.176910400390625, -50.0341796875, -36.3818359375, -37.2197265625, -42.103271484375, -35.384765625, -109.17578125, -66.8798828125, -53.755859375, -40.44140625, -62.5479736328125, -53.884765625, -57.23046875, -74.421875]",A short story,SakanaAI/TinySwallow-1.5B-Instruct,1
5,0.9598411501677784,"[-0.13407076322115385, 1.5322265625, 0.9105113636363636, 0.8848031850961539, 0.6251586110968339, 0.9632342202322823, 1.6168118990384615, 0.912548828125, 1.6619027944711537, 0.37159946986607145, 0.8410866477272727, 0.23979048295454544, 1.3890206473214286, 1.1116790771484375, 1.2521484375, 0.91395263671875, 0.8835100446428571, 0.3509114583333333, 1.91015625]","[-50.69142150878906, -22.1796875, -30.1484375, -37.82568359375, -55.164703369140625, -40.66816329956055, -33.5166015625, -28.46337890625, -22.225830078125, -38.845947265625, -27.865234375, -101.953125, -51.22265625, -42.6220703125, -33.365234375, -53.92449951171875, -50.736328125, -53.609375, -48.921875]","[-48.94850158691406, -34.4375, -40.1640625, -49.328125, -67.04271697998047, -54.1534423828125, -54.53515625, -37.5888671875, -43.83056640625, -44.04833984375, -37.1171875, -107.228515625, -70.6689453125, -60.408935546875, -45.88671875, -67.6337890625, -63.10546875, -57.8203125, -81.39453125]",A description of a visit to the doctor's office,SakanaAI/TinySwallow-1.5B-Instruct,1
6,0.10358873141090275,"[-0.1984375, 0.33575439453125, 0.5237630208333334, 0.14951171875, -0.07533482142857142, 0.14524147727272727, 0.20147235576923078, 0.06433823529411764, -0.2887995793269231, -0.3303721501277043, -0.27902425130208336, 0.2822750636509487, 0.2352627840909091, -0.25639204545454547, 0.3962641264262952, 0.13434709821428573, 0.78759765625, -0.19705963134765625, 0.33777794471153844]","[-49.76171875, -38.3580322265625, -52.0625, -36.61328125, -73.607421875, -31.763671875, -43.6123046875, -75.81640625, -44.9541015625, -35.046470642089844, -70.31951904296875, -45.380516052246094, -99.40625, -34.1171875, -49.98043632507324, -54.634765625, -19.91796875, -58.9676513671875, -34.9384765625]","[-47.77734375, -43.05859375, -58.34765625, -38.1083984375, -72.552734375, -33.361328125, -46.2314453125, -76.91015625, -41.19970703125, -30.751632690429688, -66.1341552734375, -49.332366943359375, -104.58203125, -31.296875, -57.50945472717285, -56.515625, -26.21875, -55.814697265625, -39.32958984375]",A short story about a couple having dinner,SakanaAI/TinySwallow-1.5B-Instruct,1
7,0.16005117452589396,"[-0.1125, -0.14532470703125, 0.21809895833333334, 0.25546875, -0.11070033482142858, 0.18101917613636365, 0.48692908653846156, -0.0059742647058823525, -0.21525691105769232, -0.0994250957782452, 0.05050252278645833, 0.38090406145368305, 0.22727272727272727, 0.06498579545454546, 0.5425229825471577, 0.17996651785714285, 0.9697265625, -0.2366485595703125, 0.4094050480769231]","[-45.8359375, -40.603759765625, -50.46875, -37.609375, -62.9755859375, -32.978515625, -43.77734375, -65.90625, -46.2314453125, -36.881553649902344, -61.934173583984375, -44.81196594238281, -95.7734375, -32.8046875, -50.17316150665283, -51.28515625, -19.9609375, -50.531005859375, -36.5537109375]","[-44.7109375, -38.5692138671875, -53.0859375, -40.1640625, -61.42578125, -34.9697265625, -50.107421875, -65.8046875, -43.43310546875, -35.589027404785156, -62.69171142578125, -50.144622802734375, -100.7734375, -33.51953125, -60.48109817504883, -53.8046875, -27.71875, -46.74462890625, -41.8759765625]",A short story about a robot couple having dinner,SakanaAI/TinySwallow-1.5B-Instruct,1
8,0.12266398590386884,"[-0.355859375, -0.012887137276785714, 0.21614583333333334, 0.1546875, -0.4677036830357143, 0.03835227272727273, 0.6687950721153846, 0.1518841911764706, 0.027043269230769232, 0.005413348858173077, -0.32260335286458336, 0.5476422991071429, -0.034357244318181816, 0.13423295454545456, 0.646457872892681, 0.0625, 0.625, 0.0070648193359375, 0.23880709134615385]","[-44.5859375, -37.275634765625, -49.890625, -36.73828125, -60.2431640625, -33.751953125, -43.3857421875, -66.37109375, -49.783203125, -44.39518737792969, -64.82159423828125, -40.50927734375, -93.10546875, -37.078125, -55.43925476074219, -50.482421875, -27.734375, -46.359130859375, -41.32177734375]","[-41.02734375, -37.09521484375, -52.484375, -38.28515625, -53.6953125, -34.173828125, -52.080078125, -68.953125, -50.134765625, -44.46556091308594, -59.9825439453125, -48.17626953125, -92.349609375, -38.5546875, -67.72195434570312, -51.357421875, -32.734375, -46.47216796875, -44.42626953125]",A short story about a frustrated robot woman deactivating and replacing her robot husband,SakanaAI/TinySwallow-1.5B-Instruct,1
9,0.2980754130147167,"[-0.269140625, -0.14939662388392858, 0.29248046875, 0.1734375, -0.023856026785714284, 0.5607244318181818, 0.6084735576923077, -0.01838235294117647, 0.03515625, 0.4518585205078125, 0.07198486328125, 0.34356471470424105, 0.41517223011363635, 0.7191051136363636, 0.7728562606008429, 0.10700334821428571, 1.24365234375, -0.1226959228515625, 0.4514347956730769]","[-43.65625, -39.35400390625, -50.59375, -39.111328125, -65.2412109375, -33.462890625, -43.638671875, -68.85546875, -50.55078125, -40.559112548828125, -63.84356689453125, -47.2847900390625, -98.1025390625, -33.37109375, -54.993876457214355, -50.87890625, -23.9375, -50.970458984375, -37.6044921875]","[-40.96484375, -37.262451171875, -54.103515625, -40.845703125, -64.9072265625, -39.630859375, -51.548828125, -68.54296875, -51.0078125, -46.43327331542969, -64.92333984375, -52.094696044921875, -107.236328125, -41.28125, -69.67814540863037, -52.376953125, -33.88671875, -49.00732421875, -43.47314453125]",A short story about two robots,SakanaAI/TinySwallow-1.5B-Instruct,1
