,scalar_text_sequentiality,sentence_total_sequentialities,sentence_contextual_sequentialities,sentence_topic_sequentialities,topic,model_id,history_length
0,0.7522840060935169,"[-0.09004563551682693, 0.59423828125, 0.33256392045454547, 0.2572490985576923, 0.3834883037366365, 0.4116243634905134, 0.46048677884615385, 1.0332763671875, 0.9815861628605769, 0.017961774553571428, 1.1823508522727273, 0.39985795454545453, 2.4623325892857144, 1.1115875244140625, 1.0091796875, 0.9167521158854167, 1.2037527901785714, -0.07486979166666667, 1.7000229779411764]","[-32.343505859375, -18.13671875, -29.919921875, -32.580078125, -42.698646545410156, -38.53276062011719, -26.515625, -23.688720703125, -18.8458251953125, -37.71240234375, -22.482421875, -94.4140625, -39.2431640625, -35.918701171875, -32.501953125, -54.15814208984375, -34.18359375, -51.1484375, -27.568359375]","[-31.17291259765625, -22.890625, -33.578125, -35.92431640625, -49.98492431640625, -44.295501708984375, -32.501953125, -34.021484375, -31.6064453125, -37.9638671875, -35.48828125, -103.2109375, -73.7158203125, -53.7041015625, -42.59375, -67.909423828125, -51.0361328125, -50.25, -56.46875]",A short story about a couple having dinner,allenai/OLMo-2-1124-13B,1
1,0.670926575190324,"[-0.06280517578125, 0.7548828125, 0.5628551136363636, 0.45958533653846156, 0.4321963661595395, 0.64093017578125, 0.6233473557692307, 1.1476318359375, 1.2921048677884615, 0.04600306919642857, 1.220703125, 0.3494318181818182, 1.42626953125, 0.297607421875, 0.6482421875, 0.3810831705729167, 1.0902273995535714, 0.07356770833333333, 1.3637408088235294]","[-35.4432373046875, -18.96875, -30.46484375, -31.916015625, -44.70289611816406, -37.16131591796875, -26.1796875, -23.734619140625, -18.0869140625, -29.85009765625, -23.04296875, -85.5, -38.9287109375, -37.600830078125, -30.966796875, -51.72723388671875, -38.953125, -42.0546875, -27.3984375]","[-34.62677001953125, -25.0078125, -36.65625, -37.890625, -52.91462707519531, -46.13433837890625, -34.283203125, -35.2109375, -34.88427734375, -30.494140625, -36.470703125, -93.1875, -58.896484375, -42.362548828125, -37.44921875, -57.4434814453125, -54.21630859375, -42.9375, -50.58203125]",A short story about a robot couple having dinner,allenai/OLMo-2-1124-13B,1
2,0.6423457909964533,"[-0.08675443209134616, 1.4677734375, 0.5926846590909091, 0.8204627403846154, 0.4255684300472862, 0.5088838849748883, 0.4169170673076923, 0.8925537109375, 1.2163649338942308, 0.08168247767857142, 1.2124467329545454, -0.12109375, 1.0121372767857142, 0.356109619140625, 0.6765625, 0.5030110677083334, 0.9940708705357143, -0.0026041666666666665, 1.23779296875]","[-38.6690673828125, -18.828125, -32.45703125, -31.177734375, -45.71991729736328, -36.86564636230469, -31.982421875, -25.834228515625, -17.264892578125, -27.173828125, -22.5302734375, -84.53515625, -39.3818359375, -36.6669921875, -30.703125, -48.77734375, -37.859375, -42.4140625, -32.08154296875]","[-37.541259765625, -30.5703125, -38.9765625, -41.84375, -53.80571746826172, -43.990020751953125, -37.40234375, -34.759765625, -33.07763671875, -28.3173828125, -35.8671875, -81.87109375, -53.5517578125, -42.36474609375, -37.46875, -56.322509765625, -51.7763671875, -42.3828125, -53.1240234375]",A short story about a frustrated robot woman deactivating and replacing her robot husband,allenai/OLMo-2-1124-13B,1
3,0.893108489523172,"[-0.12526292067307693, 1.56640625, 0.7745028409090909, 0.818359375, 0.6618825008994654, 0.9552827562604632, 0.8243689903846154, 1.3391845703125, 1.4636042668269231, 0.15359933035714285, 1.4497514204545454, 0.38707386363636365, 2.4348842075892856, 0.3183135986328125, 0.84287109375, 0.5724283854166666, 1.1036551339285714, 0.12955729166666666, 1.2985983455882353]","[-44.3541259765625, -18.4375, -33.55078125, -34.6875, -45.00270080566406, -38.71756362915039, -28.203125, -25.035888671875, -16.722412109375, -31.67578125, -23.748046875, -92.19921875, -39.33203125, -40.50048828125, -29.0087890625, -57.05615234375, -37.76171875, -45.42578125, -28.181640625]","[-42.7257080078125, -30.96875, -42.0703125, -45.326171875, -57.578468322753906, -52.091522216796875, -38.919921875, -38.427734375, -35.749267578125, -33.826171875, -39.6953125, -100.71484375, -73.42041015625, -45.593505859375, -37.4375, -65.642578125, -53.212890625, -46.98046875, -50.2578125]",A short story about two robots,allenai/OLMo-2-1124-13B,1
4,1.057570466420475,"[0.19978215144230768, 1.4609375, 0.8174715909090909, 0.7804987980769231, 0.6839551423725329, 1.0575975690569197, 0.7980769230769231, 1.4413330078125, 1.4103722205528846, 0.16720145089285715, 1.6276633522727273, 0.4582741477272727, 2.8153599330357144, 1.022979736328125, 1.3228515625, 0.9251871744791667, 1.2896902901785714, 0.13802083333333334, 1.6765854779411764]","[-39.7293701171875, -17.921875, -31.8828125, -35.126953125, -44.17969512939453, -39.0997314453125, -30.15234375, -24.989013671875, -16.1405029296875, -36.2529296875, -22.646484375, -98.1875, -40.2626953125, -38.04345703125, -30.146484375, -55.8570556640625, -36.44140625, -51.27734375, -28.361328125]","[-42.3265380859375, -29.609375, -40.875, -45.2734375, -57.174842834472656, -53.906097412109375, -40.52734375, -39.40234375, -34.475341796875, -38.59375, -40.55078125, -108.26953125, -79.677734375, -54.4111328125, -43.375, -69.73486328125, -54.4970703125, -52.93359375, -56.86328125]",A short story,allenai/OLMo-2-1124-13B,1
5,0.9636910214681865,"[-0.18089881310096154, 1.580078125, 0.7769886363636364, 0.7198016826923077, 0.5439220227693257, 0.9085159301757812, 0.7535306490384616, 1.2404541015625, 1.4567495492788463, -0.04010881696428571, 1.2395241477272727, 0.1669034090909091, 2.643798828125, 1.0814361572265625, 1.28701171875, 0.9492919921875, 1.2027762276785714, 0.1328125, 1.8475413602941178]","[-44.4525146484375, -18.6953125, -32.95703125, -35.572265625, -42.802711486816406, -38.849090576171875, -31.1201171875, -24.323974609375, -16.1229248046875, -40.744140625, -23.873046875, -102.4921875, -42.61962890625, -38.483642578125, -30.4384765625, -56.3038330078125, -37.79296875, -53.2578125, -28.388671875]","[-42.100830078125, -31.3359375, -41.50390625, -44.9296875, -53.137229919433594, -51.56831359863281, -40.916015625, -36.728515625, -35.0606689453125, -40.1826171875, -37.5078125, -106.1640625, -79.6328125, -55.78662109375, -43.30859375, -70.543212890625, -54.6318359375, -54.8515625, -59.796875]",A description of a visit to the doctor's office,allenai/OLMo-2-1124-13B,1
6,0.09182243371102179,"[-0.39296875, 0.7566964285714286, 1.0693359375, -0.128515625, 0.18143136160714285, 0.640625, -0.07587139423076923, -0.31364889705882354, -0.2755784254807692, 0.11283052884615384, 0.046468098958333336, -0.18853323800223215, 0.3016690340909091, -0.060369318181818184, 0.4967133371453536, -0.28834751674107145, -0.13232421875, 0.1099853515625, -0.11497145432692307]","[-46.5234375, -27.3701171875, -37.41796875, -35.306640625, -71.17578125, -28.44140625, -33.48828125, -61.80078125, -39.5068359375, -29.70611572265625, -67.21240234375, -46.934967041015625, -96.57421875, -34.2421875, -40.54737091064453, -55.072998046875, -23.94921875, -51.9443359375, -33.10107421875]","[-42.59375, -37.9638671875, -50.25, -34.021484375, -73.7158203125, -35.48828125, -32.501953125, -56.46875, -35.92431640625, -31.17291259765625, -67.909423828125, -44.295501708984375, -103.2109375, -33.578125, -49.98492431640625, -51.0361328125, -22.890625, -53.7041015625, -31.6064453125]",A short story about a couple having dinner,allenai/OLMo-2-1124-13B,1
7,0.1458176387817603,"[-0.259765625, 0.11678641183035714, 0.6608072916666666, -0.19453125, 0.0380859375, 0.8703835227272727, 0.049879807692307696, -0.11971507352941177, -0.07046274038461539, 0.17885648287259615, 0.0112548828125, -0.08622796194893974, 0.32466264204545453, 0.4041193181818182, 0.5446552477384868, -0.10328892299107142, 0.240234375, 0.0162506103515625, 0.14855018028846154]","[-40.046875, -28.859130859375, -35.0078125, -37.15625, -58.36328125, -26.896484375, -33.634765625, -52.6171875, -38.806640625, -32.3016357421875, -57.274658203125, -47.341529846191406, -86.044921875, -32.2109375, -42.56617736816406, -55.662353515625, -23.0859375, -42.1025390625, -32.953125]","[-37.44921875, -30.494140625, -42.9375, -35.2109375, -58.896484375, -36.470703125, -34.283203125, -50.58203125, -37.890625, -34.62677001953125, -57.4434814453125, -46.13433837890625, -93.1875, -36.65625, -52.91462707519531, -54.21630859375, -25.0078125, -42.362548828125, -34.88427734375]",A short story about a robot couple having dinner,allenai/OLMo-2-1124-13B,1
8,0.08566644149577506,"[-0.369140625, -0.06243024553571429, 0.6907552083333334, -0.369921875, -0.15792410714285715, 0.5983664772727273, -0.38146033653846156, 0.04217888327205882, -0.09247295673076923, 0.15521709735576922, 0.1299560546875, 0.06191798618861607, 0.41539417613636365, 0.19673295454545456, 0.34913514789782074, 0.2177734375, 0.2724609375, -0.1485595703125, 0.07968374399038461]","[-41.16015625, -29.19140625, -34.09375, -38.458984375, -55.7626953125, -29.28515625, -42.361328125, -52.406982421875, -43.0458984375, -35.5234375, -54.3731689453125, -43.1231689453125, -72.732421875, -36.8125, -47.172149658203125, -48.7275390625, -28.390625, -44.74169921875, -32.041748046875]","[-37.46875, -28.3173828125, -42.3828125, -34.759765625, -53.5517578125, -35.8671875, -37.40234375, -53.1240234375, -41.84375, -37.541259765625, -56.322509765625, -43.990020751953125, -81.87109375, -38.9765625, -53.80571746826172, -51.7763671875, -30.5703125, -42.36474609375, -33.07763671875]",A short story about a frustrated robot woman deactivating and replacing her robot husband,allenai/OLMo-2-1124-13B,1
9,0.3640663240001255,"[-0.307421875, 0.32425362723214285, 0.7548828125, 0.1037109375, 0.7345493861607143, 1.0229048295454546, 0.17668269230769232, -0.12637867647058823, 0.04766376201923077, 0.7697049654447116, 0.435498046875, 0.23690577915736608, 0.5308061079545454, 0.7997159090909091, 0.6986788699501439, 0.03480747767857143, 0.46484375, 0.089080810546875, 0.1263709435096154]","[-40.51171875, -29.28662109375, -37.921875, -37.390625, -63.13671875, -28.443359375, -36.623046875, -52.40625, -44.70654296875, -32.71954345703125, -59.110107421875, -48.77484130859375, -89.037109375, -33.2734375, -44.30356979370117, -52.7255859375, -27.25, -44.168212890625, -34.1064453125]","[-37.4375, -33.826171875, -46.98046875, -38.427734375, -73.42041015625, -39.6953125, -38.919921875, -50.2578125, -45.326171875, -42.7257080078125, -65.642578125, -52.091522216796875, -100.71484375, -42.0703125, -57.578468322753906, -53.212890625, -30.96875, -45.593505859375, -35.749267578125]",A short story about two robots,allenai/OLMo-2-1124-13B,1
