,scalar_text_sequentiality,sentence_total_sequentialities,sentence_contextual_sequentialities,sentence_topic_sequentialities,topic,model_id,history_length
0,0.7934322774951399,"[-0.2871234600360577, 0.7587890625, 0.5918856534090909, 0.43641075721153844, 0.4071157355057566, 0.3968419773238046, 0.7182992788461539, 1.4356689453125, 1.2063833383413463, 0.6123918805803571, 1.1591796875, 0.09561434659090909, 1.8661411830357142, 0.737030029296875, 1.610205078125, 0.6532307942708333, 1.2057756696428572, -0.17740885416666666, 1.648782169117647]","[-37.2724609375, -19.0859375, -27.5595703125, -30.76123046875, -49.407012939453125, -39.62283170223236, -27.083984375, -23.842529296875, -21.8929443359375, -31.567138671875, -24.0380859375, -97.517578125, -43.69140625, -40.09326171875, -32.91357421875, -51.10498046875, -41.34375, -60.685546875, -35.154296875]","[-33.53985595703125, -25.15625, -34.0703125, -36.4345703125, -57.1422119140625, -45.178619384765625, -36.421875, -38.19921875, -37.575927734375, -40.140625, -36.7890625, -99.62109375, -69.8173828125, -51.8857421875, -49.015625, -60.9034423828125, -58.224609375, -58.556640625, -63.18359375]",A short story about a couple having dinner,meta-llama/Llama-3.1-8B-Instruct,1
1,0.7732637203386291,"[-0.17372013972355768, 1.150390625, 1.1053355823863635, 0.8627554086538461, 0.7932546515213815, 0.917400428227016, 0.8357121394230769, 1.564697265625, 1.5538799579326923, 0.16846575055803573, 1.2123579545454546, 0.26704545454545453, 1.26416015625, -0.098236083984375, 0.8279296875, 0.1973876953125, 1.2200055803571428, -0.23209635416666666, 1.2552849264705883]","[-40.822265625, -19.44140625, -27.05224609375, -32.6591796875, -47.91949462890625, -40.17185115814209, -30.7880859375, -25.43505859375, -23.711669921875, -29.79736328125, -26.953125, -93.19140625, -41.6416015625, -46.78759765625, -33.056640625, -59.47802734375, -40.328125, -57.13671875, -35.74609375]","[-38.56390380859375, -28.64453125, -39.2109375, -43.875, -62.9913330078125, -53.01545715332031, -41.65234375, -41.08203125, -43.912109375, -32.1558837890625, -40.2890625, -99.06640625, -59.33984375, -45.2158203125, -41.3359375, -62.4388427734375, -57.408203125, -54.3515625, -57.0859375]",A short story about a robot couple having dinner,meta-llama/Llama-3.1-8B-Instruct,1
2,0.665596412363733,"[-0.15471473106971154, 1.370361328125, 0.9078480113636364, 0.8446890024038461, 0.41161386590254934, 0.8994541849408831, 0.8366887019230769, 1.16669921875, 1.1716120793269231, 0.08656529017857142, 1.0827414772727273, 0.060857599431818184, 0.41524832589285715, 0.3988037109375, 0.77137451171875, 0.7141764322916667, 0.4422607421875, 0.0013020833333333333, 1.21875]","[-45.376953125, -19.439453125, -32.888671875, -32.46728515625, -57.23347473144531, -40.29301738739014, -28.9560546875, -27.4404296875, -24.63330078125, -27.609130859375, -27.3515625, -84.0966796875, -41.8125, -43.1533203125, -29.3643798828125, -51.80810546875, -37.8984375, -54.09375, -38.21875]","[-43.36566162109375, -30.40234375, -42.875, -43.4482421875, -65.05413818359375, -52.8853759765625, -39.8330078125, -39.107421875, -39.8642578125, -28.821044921875, -39.26171875, -85.435546875, -47.6259765625, -49.5341796875, -37.078125, -62.520751953125, -44.090087890625, -54.109375, -58.9375]",A short story about a frustrated robot woman deactivating and replacing her robot husband,meta-llama/Llama-3.1-8B-Instruct,1
3,0.8217309920113613,"[-0.23194298377403846, 1.380859375, 0.9815340909090909, 1.0874774639423077, 0.907322130705181, 0.8921097687312535, 1.1497145432692308, 1.468994140625, 1.4364107572115385, 0.23036411830357142, 1.2975852272727273, 0.375, 1.6319754464285714, 0.000152587890625, 0.569091796875, 0.5450764973958333, 0.6128627232142857, -0.07975260416666667, 1.358053768382353]","[-48.85693359375, -19.1640625, -32.265625, -36.10302734375, -52.46656799316406, -41.750117778778076, -31.8935546875, -24.68896484375, -22.1865234375, -29.008056640625, -27.609375, -92.13671875, -41.283203125, -45.82470703125, -32.48486328125, -56.0419921875, -42.5234375, -54.94921875, -35.8701171875]","[-45.8416748046875, -30.2109375, -43.0625, -50.240234375, -69.7056884765625, -54.239654541015625, -46.83984375, -39.37890625, -40.85986328125, -32.233154296875, -41.8828125, -100.38671875, -64.130859375, -45.8271484375, -38.17578125, -64.2181396484375, -51.103515625, -53.9921875, -58.95703125]",A short story about two robots,meta-llama/Llama-3.1-8B-Instruct,1
4,0.8397642885760622,"[-0.18898127629206732, 0.9248046875, 0.9584517045454546, 0.8583608774038461, 0.6189438669305098, 0.7598463637488229, 1.1313100961538463, 1.3129150390625, 1.1784433218149037, 0.5577915736607143, 1.3631036931818181, 0.23295454545454544, 1.9628208705357142, 0.399169921875, 1.148193359375, 0.4909749348958333, 0.8263811383928571, -0.0556640625, 1.4757008272058822]","[-46.664947509765625, -18.8515625, -29.33203125, -33.95751953125, -52.54792785644531, -40.458555936813354, -28.5859375, -21.974365234375, -20.10552978515625, -30.878173828125, -23.861328125, -99.3984375, -39.4677734375, -42.0712890625, -30.95556640625, -53.3544921875, -41.63671875, -57.59375, -37.1396484375]","[-44.20819091796875, -26.25, -39.875, -45.1162109375, -64.307861328125, -51.096405029296875, -43.29296875, -35.103515625, -35.42529296875, -38.687255859375, -38.85546875, -104.5234375, -66.947265625, -48.4580078125, -42.4375, -60.7191162109375, -53.2060546875, -56.92578125, -62.2265625]",A short story,meta-llama/Llama-3.1-8B-Instruct,1
5,1.0187408838635543,"[-0.3977496807391827, 1.748046875, 0.998046875, 0.9804311899038461, 0.8150301481548109, 0.6580525806971959, 1.4504206730769231, 1.54921875, 1.4767127403846154, 0.4805908203125, 0.9952059659090909, 0.22780539772727273, 2.1494838169642856, 0.7570037841796875, 1.5900390625, 0.8851399739583333, 1.1095842633928572, 0.19775390625, 1.6852596507352942]","[-52.51324462890625, -19.6875, -31.412109375, -32.21630859375, -51.059898376464844, -41.35525703430176, -29.39453125, -24.021484375, -21.706787109375, -33.61767578125, -27.3671875, -101.923828125, -42.4462890625, -39.951416015625, -32.634765625, -52.43115234375, -47.09765625, -57.6875, -39.0224609375]","[-47.342498779296875, -33.671875, -42.390625, -44.9619140625, -66.54547119140625, -50.5679931640625, -48.25, -39.513671875, -40.904052734375, -40.345947265625, -38.314453125, -106.935546875, -72.5390625, -52.0634765625, -48.53515625, -65.708251953125, -62.6318359375, -60.060546875, -67.671875]",A description of a visit to the doctor's office,meta-llama/Llama-3.1-8B-Instruct,1
6,0.08262590802414127,"[-0.6546875, 0.6016148158482143, 0.80810546875, 0.2498046875, -0.267578125, 0.3924005681818182, -0.026442307692307692, -0.04296875, -0.4013671875, 0.022416334885817308, -0.042431640625, 0.18375505719866073, 0.17595880681818182, -0.7045454545454546, 0.4540549830386513, 0.08161272321428571, 0.781494140625, -0.173553466796875, 0.13224909855769232]","[-55.5625, -31.718017578125, -48.859375, -35.701171875, -73.5634765625, -32.47265625, -36.765625, -63.9140625, -41.65234375, -33.248443603515625, -61.5399169921875, -42.606048583984375, -95.75, -41.8203125, -48.515167236328125, -57.08203125, -18.904296875, -54.66259765625, -35.856689453125]","[-49.015625, -40.140625, -58.556640625, -38.19921875, -69.8173828125, -36.7890625, -36.421875, -63.18359375, -36.4345703125, -33.53985595703125, -60.9034423828125, -45.178619384765625, -99.62109375, -34.0703125, -57.1422119140625, -58.224609375, -25.15625, -51.8857421875, -37.575927734375]",A short story about a couple having dinner,meta-llama/Llama-3.1-8B-Instruct,1
7,0.34056419031604007,"[-0.303125, -0.049342564174107144, 0.7568359375, 0.498046875, 0.0013950892857142857, 0.5026633522727273, 0.17022235576923078, 0.22817095588235295, 0.32861328125, 0.2827101487379808, 0.4397786458333333, 0.8203893389020648, 0.31019176136363635, -0.15269886363636365, 0.8124469957853618, 0.4457310267857143, 1.1573486328125, -0.28076171875, 0.5021033653846154]","[-44.3671875, -32.8466796875, -45.26953125, -36.1015625, -59.3203125, -34.759765625, -39.439453125, -53.20703125, -39.60302734375, -34.888671875, -55.8421630859375, -41.530006408691406, -92.2421875, -40.890625, -47.554840087890625, -51.16796875, -19.3857421875, -49.7080078125, -37.384765625]","[-41.3359375, -32.1558837890625, -54.3515625, -41.08203125, -59.33984375, -40.2890625, -41.65234375, -57.0859375, -43.875, -38.56390380859375, -62.4388427734375, -53.01545715332031, -99.06640625, -39.2109375, -62.9913330078125, -57.408203125, -28.64453125, -45.2158203125, -43.912109375]",A short story about a robot couple having dinner,meta-llama/Llama-3.1-8B-Instruct,1
8,0.11368394779101272,"[-0.676171875, -0.3465576171875, 0.3899739583333333, 0.28984375, -0.2875279017857143, 0.4089133522727273, -0.0205078125, -0.043198529411764705, 0.11639873798076923, 0.18336369441105768, 0.561767578125, 0.7665296282087054, 0.049360795454545456, -0.23863636363636365, 0.6323041413959704, -0.30467006138392855, 0.600830078125, 0.15484619140625, -0.07686673677884616]","[-43.83984375, -33.6728515625, -49.4296875, -36.208984375, -51.6513671875, -34.763671875, -40.099609375, -59.671875, -41.93505859375, -40.98193359375, -54.09423828125, -42.153961181640625, -84.349609375, -45.5, -53.04035949707031, -48.35546875, -25.595703125, -47.056640625, -40.863525390625]","[-37.078125, -28.821044921875, -54.109375, -39.107421875, -47.6259765625, -39.26171875, -39.8330078125, -58.9375, -43.4482421875, -43.36566162109375, -62.520751953125, -52.8853759765625, -85.435546875, -42.875, -65.05413818359375, -44.090087890625, -30.40234375, -49.5341796875, -39.8642578125]",A short story about a frustrated robot woman deactivating and replacing her robot husband,meta-llama/Llama-3.1-8B-Instruct,1
9,0.38440985024259733,"[-0.3625, -0.12234933035714286, 0.4580078125, 0.6138671875, 0.14181082589285715, 0.44779829545454547, 0.6369441105769231, 0.5121783088235294, 0.38559194711538464, 0.6616868239182693, 0.708544921875, 0.5936682564871651, 0.3409978693181818, 0.2624289772727273, 0.9144849275287829, -0.11328125, 0.847900390625, 0.116485595703125, 0.259521484375]","[-41.80078125, -33.946044921875, -48.49609375, -33.240234375, -62.1455078125, -36.95703125, -38.5595703125, -50.25, -45.2275390625, -37.23974609375, -53.5899658203125, -45.92829895019531, -92.884765625, -40.17578125, -52.330474853515625, -52.689453125, -23.427734375, -43.96337890625, -37.486083984375]","[-38.17578125, -32.233154296875, -53.9921875, -39.37890625, -64.130859375, -41.8828125, -46.83984375, -58.95703125, -50.240234375, -45.8416748046875, -64.2181396484375, -54.239654541015625, -100.38671875, -43.0625, -69.7056884765625, -51.103515625, -30.2109375, -45.8271484375, -40.85986328125]",A short story about two robots,meta-llama/Llama-3.1-8B-Instruct,1
