,scalar_text_sequentiality,sentence_total_sequentialities,sentence_contextual_sequentialities,sentence_topic_sequentialities,topic,model_id,history_length
0,0.725424743789879,"[-0.24543644831730768, 0.5634765625, 0.5076349431818182, 0.8572340745192307, 0.485655677318573, 0.23814039963942307, 0.7711087740384616, 1.1278211805555556, 1.34619140625, 0.26534598214285715, 0.9820667613636364, 0.42338423295454547, 1.8740234375, 0.67401123046875, 0.6134765625, 0.7489583333333333, 1.2490234375, 0.1474609375, 1.1534926470588236]","[-39.395751953125, -22.2734375, -29.935546875, -32.89013671875, -50.47021508216858, -41.1063232421875, -30.6904296875, -26.6796875, -21.841796875, -33.3603515625, -25.189453125, -102.896484375, -43.916015625, -40.5244140625, -40.990234375, -50.1943359375, -42.29296875, -51.62890625, -47.90234375]","[-36.205078125, -26.78125, -35.51953125, -44.0341796875, -60.18332862854004, -44.2021484375, -40.71484375, -36.830078125, -37.99609375, -37.0751953125, -35.9921875, -112.2109375, -70.15234375, -51.30859375, -47.125, -61.4287109375, -59.779296875, -53.3984375, -67.51171875]",A short story about a couple having dinner,openai-community/gpt2-xl,1
1,0.6717234248006155,"[-0.22916353665865385, 0.83203125, 0.63671875, 1.0686598557692308, 0.6443287849426269, 0.46741661658653844, 0.8308293269230769, 1.1315104166666667, 1.4604085286458333, 0.3726283482142857, 1.0026633522727273, 0.4089133522727273, 1.2525111607142858, 0.152313232421875, 0.3740234375, 0.38369140625, 0.9338727678571429, 0.20638020833333334, 0.8330078125]","[-40.7730712890625, -21.8515625, -30.625, -32.537109375, -50.87978744506836, -40.534912109375, -32.65234375, -27.931640625, -21.93896484375, -31.9365234375, -26.73828125, -96.21484375, -45.03515625, -41.2158203125, -42.556640625, -50.85595703125, -42.51953125, -44.73828125, -46.47265625]","[-37.7939453125, -28.5078125, -37.62890625, -46.4296875, -63.7663631439209, -46.611328125, -43.453125, -38.115234375, -39.4638671875, -37.1533203125, -37.767578125, -105.2109375, -62.5703125, -43.65283203125, -46.296875, -56.611328125, -55.59375, -47.21484375, -60.6337890625]",A short story about a robot couple having dinner,openai-community/gpt2-xl,1
2,0.6648799374668668,"[-0.35452035757211536, 1.8154296875, 0.9371448863636364, 1.1724008413461537, 0.5667612314224243, 0.39806189903846156, 0.5669320913461539, 1.111328125, 1.3783772786458333, 0.37953404017857145, 0.6129261363636364, 0.4430930397727273, 0.9148995535714286, 0.1005859375, 0.2474609375, 0.49700520833333334, 0.8978794642857143, 0.19075520833333334, 0.7566636029411765]","[-47.9947509765625, -20.3515625, -32.44140625, -35.2646484375, -55.05902433395386, -41.6123046875, -36.1826171875, -26.7421875, -24.22705078125, -30.1962890625, -26.48046875, -88.642578125, -46.4296875, -40.896484375, -37.455078125, -46.72607421875, -39.267578125, -46.375, -46.72265625]","[-43.385986328125, -34.875, -42.75, -50.505859375, -66.39424896240234, -46.787109375, -43.552734375, -36.744140625, -40.767578125, -35.509765625, -33.22265625, -98.390625, -59.23828125, -42.505859375, -39.9296875, -54.18115234375, -51.837890625, -48.6640625, -59.5859375]",A short story about a frustrated robot woman deactivating and replacing her robot husband,openai-community/gpt2-xl,1
3,0.8587609367314379,"[-0.24908916766826922, 1.8310546875, 0.9829545454545454, 1.3863431490384615, 0.8219490051269531, 0.6940354567307693, 1.1301832932692308, 1.4118923611111112, 1.5506591796875, 0.43833705357142855, 0.9270241477272727, 0.5816761363636364, 1.4068080357142858, 0.14434814453125, 0.58359375, 0.483935546875, 0.8549107142857143, 0.3170572916666667, 1.0187844669117647]","[-45.0509033203125, -20.90625, -32.125, -35.8876953125, -52.324546813964844, -42.7646484375, -35.5791015625, -26.537109375, -21.419921875, -31.404296875, -28.251953125, -96.9375, -46.123046875, -43.169921875, -37.875, -52.719970703125, -43.5625, -45.890625, -44.6748046875]","[-41.812744140625, -35.5546875, -42.9375, -53.91015625, -68.7635269165039, -51.787109375, -50.271484375, -39.244140625, -40.02783203125, -37.541015625, -38.44921875, -109.734375, -65.818359375, -45.4794921875, -43.7109375, -59.97900390625, -55.53125, -49.6953125, -61.994140625]",A short story about two robots,openai-community/gpt2-xl,1
4,0.9393643957962755,"[-0.26668607271634615, 1.3818359375, 1.0, 1.2983774038461537, 0.7755377769470215, 0.6364933894230769, 1.5001502403846154, 1.3053385416666667, 1.3812255859375, 0.4190150669642857, 0.982421875, 0.5495383522727273, 1.8907645089285714, 0.5240478515625, 0.834375, 0.6991861979166667, 1.3464006696428572, 0.3232421875, 1.2666590073529411]","[-44.5657958984375, -20.9453125, -30.62109375, -36.328125, -52.40228080749512, -42.5927734375, -32.779296875, -26.17578125, -22.21923828125, -32.837890625, -25.30859375, -103.5625, -42.93359375, -42.4716796875, -37.71875, -52.44482421875, -40.966796875, -51.8203125, -45.4296875]","[-41.098876953125, -32.0, -41.62109375, -53.20703125, -67.91303634643555, -50.8671875, -52.28125, -37.923828125, -38.7939453125, -38.7041015625, -36.115234375, -115.65234375, -69.404296875, -50.8564453125, -46.0625, -62.9326171875, -59.81640625, -55.69921875, -66.962890625]",A short story,openai-community/gpt2-xl,1
5,0.8164095846426319,"[-0.37851186899038464, 1.3955078125, 0.7432528409090909, 1.0847731370192308, 0.6051021099090577, 0.49282602163461536, 0.9776141826923077, 1.0992838541666667, 1.35491943359375, 0.35770089285714285, 0.9229403409090909, 0.38121448863636365, 1.8638392857142858, 0.6485595703125, 0.70625, 0.6066569010416667, 1.2882952008928572, 0.26171875, 1.0998391544117647]","[-48.85357666015625, -20.203125, -32.8515625, -37.89013671875, -52.636345863342285, -43.51318359375, -33.314453125, -28.46484375, -22.841552734375, -32.7080078125, -26.171875, -104.23046875, -42.974609375, -41.9130859375, -39.859375, -52.579833984375, -43.7080078125, -51.8828125, -50.228515625]","[-43.93292236328125, -31.3671875, -41.02734375, -51.9921875, -64.73838806152344, -49.919921875, -46.0234375, -38.3583984375, -39.1005859375, -37.7158203125, -36.32421875, -112.6171875, -69.068359375, -52.2900390625, -46.921875, -61.6796875, -61.744140625, -55.0234375, -68.92578125]",A description of a visit to the doctor's office,openai-community/gpt2-xl,1
6,0.04795073307718968,"[-1.1984375, -0.08084542410714286, 0.23307291666666666, -0.019748263888888888, -0.20005580357142858, 0.4264914772727273, 0.26427283653846156, -0.17888327205882354, -0.18727463942307693, -0.15291654146634615, 0.10714518229166667, 0.2657001201923077, 0.2959872159090909, -0.05930397727272727, 0.2831916093826294, 0.38295200892857145, 0.822265625, -0.06256103515625, -0.029988606770833332]","[-59.109375, -38.20703125, -50.6015625, -37.0078125, -72.953125, -31.30078125, -37.279296875, -70.552734375, -46.46875, -38.1929931640625, -59.821533203125, -40.748046875, -105.69921875, -36.171875, -54.51949644088745, -54.41796875, -20.203125, -52.3095703125, -38.35595703125]","[-47.125, -37.0751953125, -53.3984375, -36.830078125, -70.15234375, -35.9921875, -40.71484375, -67.51171875, -44.0341796875, -36.205078125, -61.4287109375, -44.2021484375, -112.2109375, -35.51953125, -60.18332862854004, -59.779296875, -26.78125, -51.30859375, -37.99609375]",A short story about a couple having dinner,openai-community/gpt2-xl,1
7,0.19270010334577156,"[-0.37421875, -0.12144252232142858, 0.11881510416666667, 0.11046006944444445, -0.04701450892857143, 0.4778053977272727, 0.22453425480769232, -0.03182444852941176, -0.034555288461538464, -0.09107384314903846, 0.35458984375, 0.46334134615384615, 0.38529829545454547, 0.14026988636363635, 0.5094956636428833, 0.3501674107142857, 1.04150390625, 0.043731689453125, 0.14141845703125]","[-50.0390625, -38.853515625, -45.7890625, -37.12109375, -63.228515625, -32.51171875, -40.5341796875, -61.1748046875, -46.87890625, -38.9779052734375, -51.29248046875, -40.587890625, -96.734375, -36.0859375, -53.57644987106323, -50.69140625, -20.17578125, -42.953125, -37.766845703125]","[-46.296875, -37.1533203125, -47.21484375, -38.115234375, -62.5703125, -37.767578125, -43.453125, -60.6337890625, -46.4296875, -37.7939453125, -56.611328125, -46.611328125, -105.2109375, -37.62890625, -63.7663631439209, -55.59375, -28.5078125, -43.65283203125, -39.4638671875]",A short story about a robot couple having dinner,openai-community/gpt2-xl,1
8,0.15239117520892448,"[-0.37890625, 0.09054129464285714, 0.14453125, -0.013020833333333334, -0.15611049107142858, 0.17542613636363635, 0.12522536057692307, 0.03469669117647059, -0.13566706730769232, -0.01732459435096154, 0.1439453125, 0.6240985576923077, 0.18714488636363635, 0.020596590909090908, 0.5141168594360351, 0.21358816964285715, 1.1748046875, 0.070068359375, 0.07767740885416667]","[-43.71875, -34.2421875, -46.9296875, -36.861328125, -61.423828125, -31.29296875, -41.9248046875, -58.99609375, -52.26953125, -43.6112060546875, -52.02197265625, -38.673828125, -94.2734375, -42.5234375, -56.11191177368164, -48.84765625, -25.4765625, -41.384765625, -39.83544921875]","[-39.9296875, -35.509765625, -48.6640625, -36.744140625, -59.23828125, -33.22265625, -43.552734375, -59.5859375, -50.505859375, -43.385986328125, -54.18115234375, -46.787109375, -98.390625, -42.75, -66.39424896240234, -51.837890625, -34.875, -42.505859375, -40.767578125]",A short story about a frustrated robot woman deactivating and replacing her robot husband,openai-community/gpt2-xl,1
9,0.32513413244130096,"[-0.3234375, -0.059849330357142856, 0.2994791666666667, 0.1593967013888889, 0.07589285714285714, 0.36772017045454547, 0.4186448317307692, 0.1254595588235294, 0.015474759615384616, 0.1350379356971154, 0.409912109375, 0.6143329326923077, 0.5544211647727273, 0.32776988636363635, 0.7496760845184326, 0.412109375, 1.52880859375, 0.107177734375, 0.259521484375]","[-46.9453125, -38.37890625, -46.1015625, -37.8095703125, -64.755859375, -34.404296875, -44.8291015625, -59.861328125, -53.708984375, -40.0572509765625, -53.830322265625, -43.80078125, -97.537109375, -39.33203125, -53.770005226135254, -49.76171875, -23.32421875, -43.7646484375, -36.91357421875]","[-43.7109375, -37.541015625, -49.6953125, -39.244140625, -65.818359375, -38.44921875, -50.271484375, -61.994140625, -53.91015625, -41.812744140625, -59.97900390625, -51.787109375, -109.734375, -42.9375, -68.7635269165039, -55.53125, -35.5546875, -45.4794921875, -40.02783203125]",A short story about two robots,openai-community/gpt2-xl,1
