,scalar_text_sequentiality,sentence_total_sequentialities,sentence_contextual_sequentialities,sentence_topic_sequentialities,topic,model_id,history_length
0,0.2081273400422676,"[-0.13960535386029413, 0.2673104436774003, 0.10044794497282608, -0.20507024949596775, 0.25129539088199015, -0.07350852272727272, -0.25026041666666665, 0.07836209810697116, 0.1443413628472222, 0.087872314453125, 0.5755673363095238, 0.20755208333333333, 1.078068783408717, 0.19844292305611275, 0.253717041015625, 0.7555042613636364]","[-49.89892578125, -65.4339599609375, -61.4927978515625, -96.979248046875, -63.03019714355469, -23.6328125, -25.583984375, -76.0491943359375, -37.1044921875, -45.5621337890625, -43.32763671875, -53.296875, -53.5810546875, -66.25564193725586, -24.2921142578125, -35.30859375]","[-47.525634765625, -70.5128583908081, -63.8031005859375, -90.6220703125, -67.8048095703125, -22.82421875, -21.830078125, -78.08660888671875, -39.70263671875, -47.319580078125, -55.41455078125, -56.41015625, -74.06436157226562, -73.59803009033203, -26.82928466796875, -43.619140625]",my wedding.,Qwen/Qwen2.5-7B-Instruct,1
1,0.2683577687713429,"[0.024729082661290324, 0.751953125, 0.854949951171875, 0.272357177734375, 0.4388020833333333, -0.3592447916666667, 0.07836209810697116, 0.3151973423204924, -0.22128150576636904, 0.32670454545454547, 0.2741970486111111, 0.0848591778729413, 0.253717041015625, 0.06291647518382353, 0.8758651069972826, 0.25964034231085525]","[-89.85546875, -35.34765625, -57.8203125, -41.8724365234375, -49.828125, -27.21875, -76.0491943359375, -64.52410888671875, -60.06146240234375, -19.23046875, -34.76708984375, -70.4582405090332, -24.2921142578125, -46.4560546875, -43.658203125, -62.87164306640625]","[-90.6220703125, -43.619140625, -74.06436157226562, -47.319580078125, -56.41015625, -21.830078125, -78.08660888671875, -70.5128583908081, -55.41455078125, -22.82421875, -39.70263671875, -73.59803009033203, -26.82928466796875, -47.525634765625, -63.8031005859375, -67.8048095703125]",my wedding.,Qwen/Qwen2.5-7B-Instruct,1
2,0.2832072607061013,"[-0.13960535386029413, 0.24733664772727273, 0.7389914772727273, 0.629150390625, 0.155413818359375, -0.084808349609375, 0.21391894366290118, 0.7517461362092391, 0.22643229166666667, 0.008017263104838709, -0.27252604166666666, 0.07836209810697116, 0.1443413628472222, 0.12238351922286184, 0.5867935983758223, 1.1253683692530583]","[-49.89892578125, -20.103515625, -35.490234375, -42.202392578125, -25.275146484375, -49.0157470703125, -65.68302917480469, -46.512939453125, -53.013671875, -90.37353515625, -25.91796875, -76.0491943359375, -37.1044921875, -65.47952270507812, -62.915283203125, -49.130859375]","[-47.525634765625, -22.82421875, -43.619140625, -55.41455078125, -26.82928466796875, -47.319580078125, -73.59803009033203, -63.8031005859375, -56.41015625, -90.6220703125, -21.830078125, -78.08660888671875, -39.70263671875, -67.8048095703125, -74.06436157226562, -70.5128583908081]",my wedding.,Qwen/Qwen2.5-7B-Instruct,1
3,0.21729711425769457,"[0.13584016498766446, 0.5067537747896634, 0.46484375, -0.07413736979166667, -0.059412802419354836, 0.751953125, 0.7850269990808824, 0.2673104436774003, -0.71220703125, -0.053289794921875, 0.21391894366290118, 0.253717041015625, 0.03954114412006579, 0.3738432384672619, 0.32670454545454547, 0.25634765625]","[-71.4833984375, -64.9110107421875, -49.4375, -41.037109375, -92.4638671875, -35.34765625, -34.18017578125, -65.4339599609375, -32.51318359375, -48.3853759765625, -65.68302917480469, -24.2921142578125, -67.05352783203125, -47.5638427734375, -19.23046875, -57.9071044921875]","[-74.06436157226562, -78.08660888671875, -56.41015625, -39.70263671875, -90.6220703125, -43.619140625, -47.525634765625, -70.5128583908081, -21.830078125, -47.319580078125, -73.59803009033203, -26.82928466796875, -67.8048095703125, -55.41455078125, -22.82421875, -63.8031005859375]",my wedding.,Qwen/Qwen2.5-7B-Instruct,1
4,0.18313008461123453,"[-0.052556818181818184, -0.25026041666666665, -0.016867897727272728, 0.6035527768342391, 0.9174517463235294, 0.15468878495065788, 0.3738432384672619, -0.048421223958333336, 0.087872314453125, 0.45623192034269633, -0.38046875, 1.078068783408717, 0.385467529296875, -0.15506867439516128, 0.11634249300570101, -0.3397944523737981]","[-23.40234375, -25.583984375, -43.8046875, -49.92138671875, -31.928955078125, -64.86572265625, -47.5638427734375, -40.57421875, -45.5621337890625, -61.844451904296875, -62.1171875, -53.5810546875, -22.974609375, -95.42919921875, -69.2933578491211, -86.9212646484375]","[-22.82421875, -21.830078125, -43.619140625, -63.8031005859375, -47.525634765625, -67.8048095703125, -55.41455078125, -39.70263671875, -47.319580078125, -70.5128583908081, -56.41015625, -74.06436157226562, -26.82928466796875, -90.6220703125, -73.59803009033203, -78.08660888671875]",my wedding.,Qwen/Qwen2.5-7B-Instruct,1
5,0.26561536273170006,"[0.062890625, 0.7961691151494565, 0.6020565941220238, -0.30494791666666665, -0.20344094669117646, 0.5381747159090909, 0.3436174894634046, 0.5867935983758223, 0.39595170454545453, 0.2741970486111111, 0.13225614107572115, 0.3097412109375, -0.06632749495967742, 0.24222820683529503, 0.29488601684570315, 0.24559969515413851]","[-55.466796875, -45.4912109375, -42.7713623046875, -26.404296875, -50.984130859375, -37.69921875, -61.27607727050781, -62.915283203125, -18.46875, -34.76708984375, -74.64794921875, -41.124755859375, -92.67822265625, -65.9105224609375, -23.88042449951172, -64.5108413696289]","[-56.41015625, -63.8031005859375, -55.41455078125, -21.830078125, -47.525634765625, -43.619140625, -67.8048095703125, -74.06436157226562, -22.82421875, -39.70263671875, -78.08660888671875, -47.319580078125, -90.6220703125, -70.5128583908081, -26.82928466796875, -73.59803009033203]",my wedding.,Qwen/Qwen2.5-7B-Instruct,1
6,0.24429825292332386,"[-0.2604166666666667, 0.2259883365115604, 0.4884588068181818, 0.2859375, 0.008017263104838709, 0.24222820683529503, 0.10044794497282608, 0.04337158203125, 0.021511680201480265, 0.5867935983758223, 0.6929364885602679, 0.32670454545454547, 0.2741970486111111, 0.13225614107572115, 0.677423095703125, 0.06291647518382353]","[-25.736328125, -65.2364616394043, -38.24609375, -52.12109375, -90.37353515625, -65.9105224609375, -61.4927978515625, -46.4521484375, -67.39608764648438, -62.915283203125, -40.862884521484375, -19.23046875, -34.76708984375, -74.64794921875, -20.0550537109375, -46.4560546875]","[-21.830078125, -73.59803009033203, -43.619140625, -56.41015625, -90.6220703125, -70.5128583908081, -63.8031005859375, -47.319580078125, -67.8048095703125, -74.06436157226562, -55.41455078125, -22.82421875, -39.70263671875, -78.08660888671875, -26.82928466796875, -47.525634765625]",my wedding.,Qwen/Qwen2.5-7B-Instruct,1
7,0.25570101615631996,"[0.09509858630952381, -0.040572627898185484, 0.10911458333333333, 1.078068783408717, 0.385467529296875, 0.10541147934763055, -0.3158256530761719, 0.4802911931818182, -0.25026041666666665, 0.13662880345394737, 0.2465873386548913, 0.2585018776558541, 0.5407930261948529, 0.25132986215444714, 1.0296519886363635, -0.019070095486111112]","[-53.41748046875, -91.87982177734375, -54.7734375, -53.5810546875, -22.974609375, -68.51004028320312, -53.63609313964844, -17.541015625, -25.583984375, -65.2088623046875, -58.131591796875, -64.03346061706543, -38.3321533203125, -71.55203247070312, -32.29296875, -40.0458984375]","[-55.41455078125, -90.6220703125, -56.41015625, -74.06436157226562, -26.82928466796875, -70.5128583908081, -47.319580078125, -22.82421875, -21.830078125, -67.8048095703125, -63.8031005859375, -73.59803009033203, -47.525634765625, -78.08660888671875, -43.619140625, -39.70263671875]",my wedding.,Qwen/Qwen2.5-7B-Instruct,1
8,0.14590807979737472,"[0.062890625, -0.3592447916666667, -0.10009630102860301, -0.36552549663342926, 0.2465873386548913, 0.04337158203125, 0.33513327205882354, 0.5381747159090909, 0.629150390625, -0.040572627898185484, 0.042581411508413464, 0.7972813656455592, 0.19844292305611275, -0.056396484375, 0.0003551136363636364, 0.362396240234375]","[-55.466796875, -27.21875, -72.41468811035156, -74.74979400634766, -58.131591796875, -46.4521484375, -41.828369140625, -37.69921875, -42.202392578125, -91.87982177734375, -76.9794921875, -58.916015625, -66.25564193725586, -40.7177734375, -22.8203125, -23.205322265625]","[-56.41015625, -21.830078125, -70.5128583908081, -67.8048095703125, -63.8031005859375, -47.319580078125, -47.525634765625, -43.619140625, -55.41455078125, -90.6220703125, -78.08660888671875, -74.06436157226562, -73.59803009033203, -39.70263671875, -22.82421875, -26.82928466796875]",my wedding.,Qwen/Qwen2.5-7B-Instruct,1
9,0.27416167337283814,"[-0.031500244140625, -0.30963541666666666, 0.28006302682976975, 0.39595170454545453, 0.1788731625205592, 0.18876061072716346, 0.46484375, 0.7139078776041666, 0.7064998851102942, 0.13265429316340266, 0.7517461362092391, 0.7469969799644068, 0.1649502840909091, -0.019070095486111112, 0.087872314453125, -0.06632749495967742]","[-27.144287109375, -26.474609375, -68.7431640625, -18.46875, -64.40621948242188, -73.1788330078125, -49.4375, -40.4224853515625, -35.51513671875, -68.68982124328613, -46.512939453125, -56.319915771484375, -41.8046875, -40.0458984375, -45.5621337890625, -92.67822265625]","[-26.82928466796875, -21.830078125, -74.06436157226562, -22.82421875, -67.8048095703125, -78.08660888671875, -56.41015625, -55.41455078125, -47.525634765625, -73.59803009033203, -63.8031005859375, -70.5128583908081, -43.619140625, -39.70263671875, -47.319580078125, -90.6220703125]",my wedding.,Qwen/Qwen2.5-7B-Instruct,1
