,scalar_text_sequentiality,sentence_total_sequentialities,sentence_contextual_sequentialities,sentence_topic_sequentialities,topic,model_id,history_length
0,0.18041380858153352,"[-0.029698988970588234, 0.41003699051706416, 0.23323921535326086, -0.08562247983870967, 0.2906654759457237, -0.09889914772727272, -0.12965494791666668, 0.2149658203125, 0.1478949652777778, 0.261517333984375, 0.1893252418154762, 0.525, 0.43425549958881576, 0.18151360589104729, 0.1149871826171875, 0.22709517045454544]","[-54.13671875, -59.78064727783203, -55.92431640625, -98.84130859375, -57.94805908203125, -23.7265625, -27.5263671875, -76.05279541015625, -40.346923828125, -52.4578857421875, -51.6279296875, -48.8203125, -55.83935546875, -77.60345458984375, -26.067779541015625, -36.873046875]","[-53.6318359375, -67.57135009765625, -61.288818359375, -96.18701171875, -63.470703125, -22.638671875, -25.58154296875, -81.64190673828125, -43.009033203125, -57.688232421875, -55.603759765625, -56.6953125, -64.0902099609375, -84.3194580078125, -27.2176513671875, -39.37109375]",my wedding.,SakanaAI/TinySwallow-1.5B-Instruct,1
1,0.16718824369176755,"[-0.0676663306451613, 0.09446022727272728, 0.15596088610197367, 0.3284698486328125, 0.6088541666666667, -0.51162109375, 0.2149658203125, 0.45317439029091283, 0.12774367559523808, 0.25337357954545453, 0.2618950737847222, 0.05882799303209459, 0.1149871826171875, 0.21235926011029413, 0.3214270550271739, 0.04780016447368421]","[-98.28466796875, -38.33203125, -61.126953125, -51.11883544921875, -47.5625, -33.255859375, -76.05279541015625, -58.961036682128906, -52.921142578125, -19.8515625, -38.294921875, -82.142822265625, -26.067779541015625, -50.021728515625, -53.89599609375, -62.5625]","[-96.18701171875, -39.37109375, -64.0902099609375, -57.688232421875, -56.6953125, -25.58154296875, -81.64190673828125, -67.57135009765625, -55.603759765625, -22.638671875, -43.009033203125, -84.3194580078125, -27.2176513671875, -53.6318359375, -61.288818359375, -63.470703125]",my wedding.,SakanaAI/TinySwallow-1.5B-Instruct,1
2,0.16131258000019666,"[-0.029698988970588234, 0.27379261363636365, 0.24254261363636365, 0.3001069568452381, 0.097149658203125, -0.0542266845703125, 0.23343802787162163, 0.05567467730978261, 0.21666666666666667, 0.03173828125, -0.18444010416666667, 0.2149658203125, 0.1478949652777778, 0.09684030633223684, 0.1541234066611842, 0.7844330637078536]","[-54.13671875, -19.626953125, -36.703125, -49.301513671875, -26.24615478515625, -58.77276611328125, -75.6822509765625, -60.00830078125, -53.4453125, -95.203125, -28.34814453125, -76.05279541015625, -40.346923828125, -61.6307373046875, -61.161865234375, -52.66712188720703]","[-53.6318359375, -22.638671875, -39.37109375, -55.603759765625, -27.2176513671875, -57.688232421875, -84.3194580078125, -61.288818359375, -56.6953125, -96.18701171875, -25.58154296875, -81.64190673828125, -43.009033203125, -63.470703125, -64.0902099609375, -67.57135009765625]",my wedding.,SakanaAI/TinySwallow-1.5B-Instruct,1
3,0.11544575045967347,"[-0.0667981599506579, 0.26394888070913464, 0.17578125, 0.21623399522569445, -0.10803616431451613, 0.09446022727272728, 0.620849609375, 0.41003699051706416, -0.40849609375, -0.01139068603515625, 0.23343802787162163, 0.1149871826171875, 0.0400390625, 0.047130766369047616, 0.25337357954545453, -0.028426460597826088]","[-65.359375, -74.77923583984375, -54.05859375, -39.1168212890625, -99.5361328125, -38.33203125, -43.077392578125, -59.78064727783203, -31.708984375, -57.916046142578125, -75.6822509765625, -26.067779541015625, -62.7099609375, -54.614013671875, -19.8515625, -61.942626953125]","[-64.0902099609375, -81.64190673828125, -56.6953125, -43.009033203125, -96.18701171875, -39.37109375, -53.6318359375, -67.57135009765625, -25.58154296875, -57.688232421875, -84.3194580078125, -27.2176513671875, -63.470703125, -55.603759765625, -22.638671875, -61.288818359375]",my wedding.,SakanaAI/TinySwallow-1.5B-Instruct,1
4,0.1748721614978327,"[0.03196022727272727, -0.12965494791666668, -0.03213778409090909, 0.33528999660326086, 0.8805577895220589, 0.09347373560855263, 0.047130766369047616, 0.2193060980902778, 0.261517333984375, 0.10571048134251644, 0.28177083333333336, 0.43425549958881576, 0.1251129150390625, -0.05671938004032258, 0.0410816089527027, 0.1592994103064904]","[-22.287109375, -27.5263671875, -39.724609375, -53.5771484375, -38.662353515625, -61.6947021484375, -54.614013671875, -39.0615234375, -52.4578857421875, -65.56285095214844, -52.46875, -55.83935546875, -25.966522216796875, -97.9453125, -82.7994384765625, -77.5001220703125]","[-22.638671875, -25.58154296875, -39.37109375, -61.288818359375, -53.6318359375, -63.470703125, -55.603759765625, -43.009033203125, -57.688232421875, -67.57135009765625, -56.6953125, -64.0902099609375, -27.2176513671875, -96.18701171875, -84.3194580078125, -81.64190673828125]",my wedding.,SakanaAI/TinySwallow-1.5B-Instruct,1
5,0.13178112093530336,"[0.039322916666666666, 0.14258873980978262, 0.15178571428571427, -0.31878255208333334, 0.283203125, -0.19744318181818182, 0.16477082905016446, 0.1541234066611842, 0.3210227272727273, 0.2618950737847222, 0.025612464317908652, 0.379833984375, -0.009403351814516129, 0.16884733501233554, 0.275732421875, 0.26538828256967906]","[-56.10546875, -58.00927734375, -52.416259765625, -30.36328125, -48.8173828125, -41.54296875, -60.340057373046875, -61.161865234375, -19.107421875, -38.294921875, -80.97598266601562, -50.091552734375, -96.478515625, -64.36325073242188, -24.4603271484375, -74.50009155273438]","[-56.6953125, -61.288818359375, -55.603759765625, -25.58154296875, -53.6318359375, -39.37109375, -63.470703125, -64.0902099609375, -22.638671875, -43.009033203125, -81.64190673828125, -57.688232421875, -96.18701171875, -67.57135009765625, -27.2176513671875, -84.3194580078125]",my wedding.,SakanaAI/TinySwallow-1.5B-Instruct,1
6,0.1596580120517205,"[-0.14358723958333333, 0.19208093591638514, -0.09552556818181818, 0.30390625, 0.03173828125, 0.16884733501233554, 0.23323921535326086, 0.230426025390625, 0.011500308388157895, 0.1541234066611842, 0.25707426525297616, 0.25337357954545453, 0.2618950737847222, 0.025612464317908652, 0.457464599609375, 0.21235926011029413]","[-27.7353515625, -77.21246337890625, -40.421875, -52.13671875, -95.203125, -64.36325073242188, -55.92431640625, -53.0797119140625, -63.252197265625, -61.161865234375, -50.2052001953125, -19.8515625, -38.294921875, -80.97598266601562, -22.64300537109375, -50.021728515625]","[-25.58154296875, -84.3194580078125, -39.37109375, -56.6953125, -96.18701171875, -67.57135009765625, -61.288818359375, -57.688232421875, -63.470703125, -64.0902099609375, -55.603759765625, -22.638671875, -43.009033203125, -81.64190673828125, -27.2176513671875, -53.6318359375]",my wedding.,SakanaAI/TinySwallow-1.5B-Instruct,1
7,0.20086953506920713,"[-0.021240234375, 0.025957661290322582, 0.03333333333333333, 0.43425549958881576, 0.1251129150390625, 0.2993979203073602, 0.33114013671875, 0.29723011363636365, -0.12965494791666668, 0.09628135279605263, 0.10142450747282608, -0.03597115181587838, 0.6133099724264706, 0.3453509990985577, 0.5, 0.19798448350694445]","[-56.0498046875, -95.38232421875, -56.1953125, -55.83935546875, -25.966522216796875, -61.882789611816406, -51.0654296875, -19.369140625, -27.5263671875, -61.641357421875, -58.9560546875, -85.650390625, -43.20556640625, -72.66278076171875, -33.87109375, -39.4453125]","[-55.603759765625, -96.18701171875, -56.6953125, -64.0902099609375, -27.2176513671875, -67.57135009765625, -57.688232421875, -22.638671875, -25.58154296875, -63.470703125, -61.288818359375, -84.3194580078125, -53.6318359375, -81.64190673828125, -39.37109375, -43.009033203125]",my wedding.,SakanaAI/TinySwallow-1.5B-Instruct,1
8,0.04587217768204674,"[0.039322916666666666, -0.51162109375, -0.04018924110814145, 0.19055497018914475, 0.10142450747282608, 0.230426025390625, 0.10735006893382353, -0.19744318181818182, 0.3001069568452381, 0.025957661290322582, -0.08340219350961539, 0.1915797183388158, 0.18151360589104729, -0.048285590277777776, 0.07954545454545454, 0.1671142578125]","[-56.10546875, -33.255859375, -68.33494567871094, -59.85015869140625, -58.9560546875, -53.0797119140625, -51.806884765625, -41.54296875, -49.301513671875, -95.38232421875, -83.81036376953125, -60.4501953125, -77.60345458984375, -43.878173828125, -21.763671875, -25.5465087890625]","[-56.6953125, -25.58154296875, -67.57135009765625, -63.470703125, -61.288818359375, -57.688232421875, -53.6318359375, -39.37109375, -55.603759765625, -96.18701171875, -81.64190673828125, -64.0902099609375, -84.3194580078125, -43.009033203125, -22.638671875, -27.2176513671875]",my wedding.,SakanaAI/TinySwallow-1.5B-Instruct,1
9,0.12041139865225065,"[-0.084228515625, -0.32705078125, 0.14249460320723684, 0.3210227272727273, 0.10925132349917763, 0.08184344951923077, 0.17578125, 0.31668526785714285, 0.42859604779411764, 0.12797917546452703, 0.05567467730978261, 0.28308667634662826, -0.15465198863636365, 0.19798448350694445, 0.261517333984375, -0.009403351814516129]","[-28.0599365234375, -30.4873046875, -61.3828125, -19.107421875, -61.394927978515625, -79.51397705078125, -54.05859375, -48.953369140625, -46.345703125, -79.584228515625, -60.00830078125, -62.19270324707031, -41.072265625, -39.4453125, -52.4578857421875, -96.478515625]","[-27.2176513671875, -25.58154296875, -64.0902099609375, -22.638671875, -63.470703125, -81.64190673828125, -56.6953125, -55.603759765625, -53.6318359375, -84.3194580078125, -61.288818359375, -67.57135009765625, -39.37109375, -43.009033203125, -57.688232421875, -96.18701171875]",my wedding.,SakanaAI/TinySwallow-1.5B-Instruct,1
