,scalar_text_sequentiality,sentence_total_sequentialities,sentence_contextual_sequentialities,sentence_topic_sequentialities,topic,model_id,history_length
0,0.33982833657507705,"[0.12195542279411764, 0.2741024619654605, 0.46406886888586957, 0.04369329637096774, 0.3969373201069079, 0.07191051136363637, 0.26002604166666665, 0.055326021634615384, 0.5442979600694444, 0.1760986328125, 0.19144112723214285, 0.5923177083333333, 0.8711451480263158, 0.40386783375459556, 0.11956787109375, 0.8504971590909091]","[-40.6162109375, -58.72998046875, -55.8076171875, -88.5185546875, -54.79998779296875, -24.4140625, -23.08203125, -74.66015625, -31.6611328125, -47.519287109375, -42.868408203125, -44.693359375, -49.927734375, -66.79443359375, -28.083984375, -33.6796875]","[-42.689453125, -63.93792724609375, -66.481201171875, -89.873046875, -62.341796875, -25.205078125, -26.982421875, -76.0986328125, -41.45849609375, -51.041259765625, -46.888671875, -53.578125, -66.4794921875, -80.52593994140625, -29.2796630859375, -43.03515625]",my wedding.,allenai/OLMo-2-1124-13B,1
1,0.31650902414508053,"[0.0920803931451613, 0.7276278409090909, 0.8501233552631579, 0.222119140625, 0.3346354166666667, -0.13776041666666666, 0.055326021634615384, 0.5679610402960527, 0.12151754470098586, 0.1766690340909091, 0.3723687065972222, 0.3127477309283088, 0.11956787109375, 0.14918428308823528, 0.9930685292119565, 0.1069078947368421]","[-87.0185546875, -35.03125, -50.3271484375, -46.598876953125, -48.55859375, -29.048828125, -74.66015625, -53.14666748046875, -44.3368034362793, -23.26171875, -34.755859375, -69.89251708984375, -28.083984375, -40.1533203125, -43.640625, -60.310546875]","[-89.873046875, -43.03515625, -66.4794921875, -51.041259765625, -53.578125, -26.982421875, -76.0986328125, -63.93792724609375, -46.888671875, -25.205078125, -41.45849609375, -80.52593994140625, -29.2796630859375, -42.689453125, -66.481201171875, -62.341796875]",my wedding.,allenai/OLMo-2-1124-13B,1
2,0.34596903534789275,"[0.12195542279411764, 0.44087357954545453, 0.7705965909090909, 0.5062779017857143, 0.028021240234375, -0.031036376953125, 0.31677784639246326, 0.7995393172554348, 0.18802083333333333, 0.02608366935483871, 0.0828125, 0.055326021634615384, 0.5442979600694444, 0.20565314041940788, 0.3541388260690789, 1.1261660927220394]","[-40.6162109375, -20.35546875, -34.55859375, -36.2568359375, -28.99945068359375, -51.6619873046875, -69.7554931640625, -48.091796875, -50.7578125, -89.064453125, -25.740234375, -74.66015625, -31.6611328125, -58.43438720703125, -59.7508544921875, -42.540771484375]","[-42.689453125, -25.205078125, -43.03515625, -46.888671875, -29.2796630859375, -51.041259765625, -80.52593994140625, -66.481201171875, -53.578125, -89.873046875, -26.982421875, -76.0986328125, -41.45849609375, -62.341796875, -66.4794921875, -63.93792724609375]",my wedding.,allenai/OLMo-2-1124-13B,1
3,0.2552565310914576,"[0.17341694078947367, 0.4803936298076923, 0.5364583333333334, 0.4017740885416667, 0.07034400201612903, 0.7276278409090909, 0.5867991727941176, 0.2741024619654605, -0.3264973958333333, -0.197174072265625, 0.31677784639246326, 0.11956787109375, 0.024116917660361843, 0.17170642671130953, 0.1766690340909091, 0.5480213994565217]","[-63.1845703125, -63.6083984375, -45.53125, -34.2265625, -87.6923828125, -35.03125, -32.7138671875, -58.72998046875, -31.8798828125, -54.9847412109375, -69.7554931640625, -28.083984375, -61.883575439453125, -43.2828369140625, -23.26171875, -53.876708984375]","[-66.4794921875, -76.0986328125, -53.578125, -41.45849609375, -89.873046875, -43.03515625, -42.689453125, -63.93792724609375, -26.982421875, -51.041259765625, -80.52593994140625, -29.2796630859375, -62.341796875, -46.888671875, -25.205078125, -66.481201171875]",my wedding.,allenai/OLMo-2-1124-13B,1
4,0.32318106203219343,"[0.22993607954545456, 0.26002604166666665, 0.4520596590909091, 0.8207901664402174, 0.6560202205882353, 0.2799939607319079, 0.17170642671130953, 0.1251898871527778, 0.1760986328125, 0.32013260690789475, 0.29296875, 0.8711451480263158, 0.3900390625, 0.06757182459677419, 0.23918780158547795, -0.18196927584134615]","[-22.67578125, -23.08203125, -38.0625, -47.60302734375, -31.537109375, -57.02191162109375, -43.2828369140625, -39.205078125, -47.519287109375, -57.85540771484375, -49.18359375, -49.927734375, -25.3792724609375, -87.7783203125, -72.3935546875, -80.829833984375]","[-25.205078125, -26.982421875, -43.03515625, -66.481201171875, -42.689453125, -62.341796875, -46.888671875, -41.45849609375, -51.041259765625, -63.93792724609375, -53.578125, -66.4794921875, -29.2796630859375, -89.873046875, -80.52593994140625, -76.0986328125]",my wedding.,allenai/OLMo-2-1124-13B,1
5,0.29774243216272755,"[0.13776041666666666, 0.7677798063858695, 0.21579706101190477, -0.0392578125, -0.22147863051470587, 0.4424715909090909, 0.11870052939967106, 0.3541388260690789, 0.49272017045454547, 0.3723687065972222, 0.28103402944711536, 0.595703125, -0.13279674899193547, 0.48944091796875, 0.38326416015625, 0.5062327665441176]","[-51.51171875, -48.822265625, -42.35693359375, -27.5712890625, -46.45458984375, -38.16796875, -60.08648681640625, -59.7508544921875, -19.78515625, -34.755859375, -68.791748046875, -39.127197265625, -93.98974609375, -54.6385498046875, -25.447021484375, -63.31402587890625]","[-53.578125, -66.481201171875, -46.888671875, -26.982421875, -42.689453125, -43.03515625, -62.341796875, -66.4794921875, -25.205078125, -41.45849609375, -76.0986328125, -51.041259765625, -89.873046875, -63.93792724609375, -29.2796630859375, -80.52593994140625]",my wedding.,allenai/OLMo-2-1124-13B,1
6,0.3481979494876388,"[0.26028645833333336, 0.45120957318474264, 0.6882102272727273, 0.49166666666666664, 0.02608366935483871, 0.48944091796875, 0.46406886888586957, 0.081201171875, -0.02043714021381579, 0.3541388260690789, 0.5072137741815477, 0.1766690340909091, 0.3723687065972222, 0.28103402944711536, 0.798828125, 0.14918428308823528]","[-23.078125, -65.184814453125, -35.46484375, -46.203125, -89.064453125, -54.6385498046875, -55.8076171875, -49.417236328125, -62.7301025390625, -59.7508544921875, -36.2371826171875, -23.26171875, -34.755859375, -68.791748046875, -21.2913818359375, -40.1533203125]","[-26.982421875, -80.52593994140625, -43.03515625, -53.578125, -89.873046875, -63.93792724609375, -66.481201171875, -51.041259765625, -62.341796875, -66.4794921875, -46.888671875, -25.205078125, -41.45849609375, -76.0986328125, -29.2796630859375, -42.689453125]",my wedding.,allenai/OLMo-2-1124-13B,1
7,0.3558330739426581,"[0.05249604724702381, -0.3558073966733871, 0.56953125, 0.8711451480263158, 0.3900390625, 0.43993819387335525, 0.22177734375, 0.3506747159090909, 0.26002604166666665, 0.06981136924342106, 0.6259022588315217, 0.3663473690257353, 0.4121237362132353, 0.41891714242788464, 0.703125, 0.2972819010416667]","[-45.7862548828125, -100.903076171875, -45.03515625, -49.927734375, -25.3792724609375, -55.5791015625, -46.605712890625, -21.34765625, -23.08203125, -61.015380859375, -52.08544921875, -68.07012939453125, -35.683349609375, -65.206787109375, -35.30078125, -36.107421875]","[-46.888671875, -89.873046875, -53.578125, -66.4794921875, -29.2796630859375, -63.93792724609375, -51.041259765625, -25.205078125, -26.982421875, -62.341796875, -66.481201171875, -80.52593994140625, -42.689453125, -76.0986328125, -43.03515625, -41.45849609375]",my wedding.,allenai/OLMo-2-1124-13B,1
8,0.2430069191137752,"[0.13776041666666666, -0.13776041666666666, 0.054051449424342105, 0.06913034539473684, 0.6259022588315217, 0.081201171875, 0.38916015625, 0.4424715909090909, 0.5062779017857143, -0.3558073966733871, 0.041269155649038464, 0.7324732730263158, 0.40386783375459556, 0.04196506076388889, 0.26225142045454547, 0.593896484375]","[-51.51171875, -29.048828125, -62.91094970703125, -61.0283203125, -52.08544921875, -49.417236328125, -36.07373046875, -38.16796875, -36.2568359375, -100.903076171875, -75.025634765625, -52.5625, -66.79443359375, -40.703125, -22.3203125, -23.3406982421875]","[-53.578125, -26.982421875, -63.93792724609375, -62.341796875, -66.481201171875, -51.041259765625, -42.689453125, -43.03515625, -46.888671875, -89.873046875, -76.0986328125, -66.4794921875, -80.52593994140625, -41.45849609375, -25.205078125, -29.2796630859375]",my wedding.,allenai/OLMo-2-1124-13B,1
9,0.33467008313028135,"[0.2440185546875, 0.21139322916666667, 0.02338610197368421, 0.49272017045454547, 0.21514571340460525, 0.22328068659855768, 0.5364583333333334, 0.5094110398065477, 0.5785845588235294, 0.48060159122242646, 0.7995393172554348, 0.4563454075863487, 0.2432528409090909, 0.2972819010416667, 0.1760986328125, -0.13279674899193547]","[-26.8394775390625, -23.8115234375, -66.03515625, -19.78515625, -58.2540283203125, -70.2933349609375, -45.53125, -36.1910400390625, -32.853515625, -64.18548583984375, -48.091796875, -55.267364501953125, -40.359375, -36.107421875, -47.519287109375, -93.98974609375]","[-29.2796630859375, -26.982421875, -66.4794921875, -25.205078125, -62.341796875, -76.0986328125, -53.578125, -46.888671875, -42.689453125, -80.52593994140625, -66.481201171875, -63.93792724609375, -43.03515625, -41.45849609375, -51.041259765625, -89.873046875]",my wedding.,allenai/OLMo-2-1124-13B,1
