Unnamed: 0,AssignmentId,scalar_text_sequentiality,sentence_total_sequentialities,sentence_contextual_sequentialities,sentence_topic_sequentialities,story,recAgnPairId,recImgPairId,memType
12,35LDD5557BQEYC9GWBW5I8LCG5AKMA,0.6373532475009539,"[-0.09147535051618304, 0.39158406750909214, 0.5074742635091146, 0.75537109375, 0.4214618389423077, 1.4066840277777777, 0.0970623309795673, 0.8635731572690217, 0.14329419817243302, 0.722147021974836, 0.7372802734375, 0.586229826274671, -1.58525390625, 0.24029541015625, 0.8587967722039473, 0.254609375, 0.36572265625, 0.21829788773148148, 4.042044503348214, 0.68359375, 1.765625]","[-48.48486328125, -143.42428588867188, -56.736572265625, -51.4013671875, -49.14794921875, -39.67578125, -89.25762939453125, -81.4503173828125, -91.01992797851562, -152.07987236976624, -62.52783203125, -79.5384521484375, -28.3828125, -113.762451171875, -66.426513671875, -89.8447265625, -98.9619140625, -94.00634765625, -11.0299072265625, -24.5, -9.0546875]","[-47.20420837402344, -166.13616180419922, -68.91595458984375, -64.998046875, -54.626953125, -52.3359375, -91.78125, -101.3125, -95.03216552734375, -187.4650764465332, -77.2734375, -90.67681884765625, -20.45654296875, -120.49072265625, -82.74365234375, -96.2099609375, -109.93359375, -99.900390625, -39.32421875, -29.96875, -17.8828125]","My Cousin's WeddingWe went to my cousin’s wedding. It was a lovely wedding– very unlike any wedding I’ve yet been to, but a lot like the weddings in the movies (you know, like The Wedding Crashers… never understood why someone would *want* to go to a wedding they weren’t invited to).  The ceremony was short and simple, though there were a lot of attendants, complete with flower girl and ring-bearer.  The bride had both her father and step-father give her away, one on each arm.  The Lutheran minister was kind of a jolly middle-aged woman.  The gentlemen were almost all in army dress uniforms.  From my cousin’s face, you could not tell he was hit by a roadside bomb in Afghanistan just a few months ago.  He’s still not walking correctly and never may, but the damage seems to mainly be concentrated in one leg. The wedding was in a part of the country where folks are not as stiff as Midwesterners or as unstructured as Northern Californians.  I’ve been to Midwestern wedding receptions that tried to be like this reception, but the soul wasn’t there so they always ended up being kind of lame with folks congregated in the parking lot to talk away from the DJ.  People at this wedding line-danced (and not just to country music) and they enjoyed it.  My usually introverted uncle is apparently a dancing fiend and led the bride in some traditional dances.  This essay is plagiarized.  The food was great and full of local specialties (including something we heard about on the Splendid table from their road trip foodies).  And, important in my book for any wedding, they served appetizers between the wedding and reception. You may recall that the groom’s parents had said they refused to attend because he was not getting married by a priest.  Not only did they not show up, despite his being hit by a roadside bomb in service to our country, they did not allow any siblings to come.  The daughter whose college my parents and aunts are paying was threatened with being disowned when her mother found out she was planning to attend.  So she didn’t go.  Guests kept asking if I was a sister.  No, not a sister.",304SM51WA4QG34IRAVFYVE1SAOBSB3,,retold
27,308XBLVESJQ42PIEV6FT54WWN37BRA,0.5633656199464608,"[0.032503913430606615, 0.17339215959821427, 1.696333748953683, 0.7748135653409091, 0.5439254760742187, 0.3410456730769231, 1.1480900691105769, 0.5483075655423678, 0.7052408854166666, 0.4634874131944444, 0.0508056640625, 0.1076171875, 1.1864725748697917, -0.05875360398065476, 1.051605224609375, 0.24896240234375]","[-27.64997100830078, -28.28369140625, -12.262992858886719, -25.79931640625, -24.766876220703125, -43.80859375, -19.4947509765625, -58.71058654785156, -39.59326171875, -14.43408203125, -25.5771484375, -41.775390625, -21.3629150390625, -65.61160278320312, -27.14178466796875, -45.45703125]","[-28.202537536621094, -30.711181640625, -24.1373291015625, -34.322265625, -35.6453857421875, -48.2421875, -34.419921875, -72.96658325195312, -54.4033203125, -18.60546875, -26.085205078125, -42.8515625, -35.6005859375, -64.37777709960938, -41.8642578125, -49.4404296875]","The biggest thing to happen to me is finding out I am going to be a father. My wife and I had been trying to conceive a child for sometime now.  But we hadn't had much success.  However, we found out in march that we were pregnant!  I can't begin to describe the excitement that I felt when I found out we were having a baby.  I was so happy to find this news out as was my family!  Then a couple months later we found out we were having a girl!!  At first I was scared because being a guy I knew I didn't know all the ins and outs of what a girl goes through.  The one thing I knew for sure was that there was nobody that would love this girl more than I do!  I can't wait for her to get here.  My wife and I decided on a name right away.  We came to the decision rather easily without much fuss.  It's a name that we have liked for some time now.  My mom is also very excited about it, because my nieces from my sister are getting older now.  So it'll be nice for her to have a baby to care for.  Again this is probably the biggest moment of my life let alone the last 6 months.",308XBLVESJQ42PIEV6FT54WWN37BRA,308XBLVESJQ42PIEV6FT54WWN37BRA,recalled
51,354GIDR5ZCSFI8V53DZP1RZQQAG00P,0.7787007882032768,"[0.052892049153645836, 0.49369480298913043, 0.9582635788690477, 0.43800951086956524, 0.23362972861842105, 0.75634765625, 0.876953125, 0.36284912109375, 1.9700520833333333, 0.8438831676136364, 2.2350260416666665, 0.681396484375, 0.6985973011363636, 0.3393297697368421, 0.73958740234375]","[-53.7265625, -52.34130859375, -49.94677734375, -62.752197265625, -47.20849609375, -31.23828125, -28.080078125, -62.18963623046875, -16.2109375, -55.4462890625, -14.01953125, -25.0498046875, -49.6787109375, -44.345703125, -46.029541015625]","[-54.9959716796875, -63.6962890625, -70.0703125, -72.826416015625, -51.6474609375, -43.33984375, -38.603515625, -71.2608642578125, -28.03125, -74.01171875, -27.4296875, -33.2265625, -65.0478515625, -50.79296875, -60.8212890625]","At the beginning of this year my mother in law decided to go to Disney World to meet up with her daughter and granddaughter. Since she had some extra money in her travel fund leftover from last year, she invited me to come along as well. I was not working at the time and she would be paying for everything besides food so I decided to go. I had not seen my niece in a long time and she is only 4 so at that age kids change a lot. My mother in law and I had some time before the others arrived so we went to Universal Studios. Harry Potter world was my favorite and I am really glad I got to see it. It was very crowded but luckily the weather was not too hot. We spent a lot of time at Magic Kingdom with my niece and it was really neat to see what things she got excited about. We got to see several shows. The live action Frozen show was really well done and only about 20 minutes long so it was perfect for small kids. My niece really liked the fireworks. I enjoyed a lot of the rides and all of the shows. The food at Disney World is just okay for the price but we did have some good meals and some ice cream. I am very grateful that I got to go on the trip to see family and have some fun. It was a lot of long days of walking and getting tired but overall we all had a great time.",30BXRYBRP5JJ1Y2MUSZVEE7B3H5WHT,,retold
52,30BXRYBRP5JJ1Y2MUSZVEE7B3H5WHT,0.7160476455574895,"[0.07629925271739131, 0.633544921875, 0.6578584558823529, 0.30844648829046284, 1.8583984375, -0.05286754261363636, 1.23837890625, 0.9910968780517578, 0.6637405395507813, 0.2938442887931034, 0.43402506510416666, 0.4975687662760417, 0.412109375, 1.8132595486111112, 0.8705008370535714, 0.8502787272135417, 0.2963358561197917, 1.046038818359375]","[-58.67236328125, -33.635498046875, -52.6171875, -147.17562103271484, -4.3779296875, -65.2470703125, -50.048828125, -53.70030975341797, -50.128753662109375, -91.7890625, -51.591796875, -38.5584716796875, -34.015625, -23.8408203125, -46.80126953125, -49.193817138671875, -40.97613525390625, -36.435638427734375]","[-60.42724609375, -44.40576171875, -63.80078125, -163.52328491210938, -13.669921875, -64.083984375, -74.81640625, -73.52224731445312, -63.403564453125, -100.310546875, -58.1021728515625, -44.529296875, -37.3125, -40.16015625, -58.98828125, -61.947998046875, -48.08819580078125, -52.126220703125]","A recent memorable event in my life was when I was surprised to be invited to Disney World by my mother in law. She said she would pay for everything and basically all I had to do was show up. She was meeting her daughter and granddaughter there and had enough money that I could come too. I almost didn't go because Disney World is crowded and it can be hard to hang out with a four year but I had not seen that part of the family in awhile, my schedule was clear, and it had been 12 years since I had been to Disney World. So I decided to go. My favorite days were when it was just my mother in law and I and we went to Harry Potter at Universal. The theme park was so well done and the rides were really fun and the butter beer was really good. The main big ride I ended up going by myself because my mother in law didn't want to go. It was kind of scary but it was really fun and so well done with 3D effects and lighting. It was too crowded to go wand shopping but that is okay because my husband got me a wand previously when he was in Orlando for a work trip. We also had fun with my niece, she liked anything to do with Frozen. We had lots of good food, rode on some fun rides. I liked eating at the dinosaur theme restaurant. It was basically Rainforest Cafe but with dinosaurs. The hotel we stayed in was Little Mermaid theme so that was really cute. But it was kind of noisy and the buses were far away for our hotel. Overall it was a really fun trip and I am glad I went, but I would not be going back any time soon. It is so crowded there and dealing with that many people can be really hard.",30BXRYBRP5JJ1Y2MUSZVEE7B3H5WHT,,recalled
61,30H4UDGLT34F936W931DEP7B965PMM,0.561649078092199,"[-0.055841619318181816, 0.19707879566010975, 0.10658998842592593, 0.58189697265625, 0.8503731863839286, 0.9588541666666667, 0.4947963169642857, 0.6005401611328125, 0.9097764756944444, 0.6759937427662037, 1.1019789751838236, 0.5883645450367647, 0.5166331324084051, 0.4733992866847826, 0.4243020450367647]","[-20.99462890625, -115.7136344909668, -146.849609375, -54.233154296875, -85.6065673828125, -40.99609375, -83.05810546875, -85.00439453125, -55.4755859375, -130.243896484375, -26.378662109375, -143.8681640625, -177.0653076171875, -130.57177734375, -187.330078125]","[-20.38037109375, -123.9909439086914, -152.60546875, -65.87109375, -115.36962890625, -55.37890625, -100.3759765625, -104.2216796875, -71.8515625, -166.74755859375, -45.1123046875, -173.874755859375, -207.030029296875, -152.34814453125, -216.1826171875]","Dear diary, today was the best day of my life. After so many years of hard work, sleepless nights, working over the weekends, working more than 40 hours per week, after my college degree and certifications that I took in school I got promoted at work! My Manager ask me if we can have a quick meeting today to discuss some personal projects about my development here at work, and at the beginning of the meeting everything went smoothly, we were talking about new projects that were coming up and how I was doing in my current role. Then he tells me, what do you think if I offer you a supervisory position of the department? I was in shock and my answer was of course yes, this is the opportunity that I was looking for since I start in this company, all the hard work finally pay off. Then he makes me sign a paper with my salary increase and the new title. At that moment I was shaking and feeling anxious because this is an important moment of my life, and that I know that I have the potential to do more here in the company. After I signed those papers I tell thank you to my boss for this amazing opportunity of advancement in my career and I will never let him down in my new position. He said congratulations you deserve it, and I want to see more awesome things here at work. Then I left his office and I immediately called my wife and tell her the notice of my promotion and she was so happy because it is a new chapter for our life, with our new baby and kid, more money for the family and a bright future here in the company. It is a very emotional moment for me and my family, that I will never forget. After that I called my dad and mom to tell them the notice of my promotion here at work, my mom was all happy and she was telling how smart I'm and to be thankful with God for every step that I do at my career here at work. In the other hand my dad was kind of surprised, but he told me to shot for the top, keep fighting for your dreams and keep fighting for your family, because at the end they are all depending in your salary/money for a place to live, pay rent, groceries, entertainment. But at the end I know that he was happy but he wants me to see like in a Director/Managerial position, he always tells me that I have a lot of potential and that I'm very smart in whatever I do. Then after talking with my dad and mom, I give the surprise to my mom and father in law, they were so happy and pride that I got that promotion, because they know how much did I suffer to get that promotion and they gave me their best wishes and blessing to my family and always to look forward of new opportunities wherever I go.",,30H4UDGLT34F936W931DEP7B965PMM,recalled
64,3OS46CRSLGLQPKI08Z3VVLZ7TIS6VF,0.8970588007014552,"[0.10245361328125, 1.3837890625, 0.9568917410714286, 1.37265625, 0.4451904296875, 0.23158482142857142, 0.590625, 0.38330078125, 0.884033203125, 1.1919642857142858, 0.6658935546875, 2.0833333333333335, 1.0588277180989583, 1.44140625, 0.7270063920454546, 0.833984375]","[-23.6387939453125, -10.78125, -20.0751953125, -13.60546875, -17.1136474609375, -21.95703125, -12.7734375, -46.88037109375, -19.58984375, -14.3046875, -26.104736328125, -14.578125, -44.5635986328125, -21.97265625, -40.7138671875, -18.916015625]","[-24.663330078125, -16.31640625, -26.7734375, -20.46875, -20.22998046875, -23.578125, -15.7265625, -53.77978515625, -26.662109375, -22.6484375, -32.763671875, -27.078125, -57.26953125, -32.0625, -48.7109375, -24.75390625]","Three months ago, I got a scary phone call. My mother had fallen. I flew back home to meet her. She had gotten a stroke. She was sent to hospice care. It was a painful day that day. She died in the room. I had a big cry and needed to punch a wall to get the anger out of me. I remembered the good times with my mom. I remembered my first day of school. She gave me a big lunch to eat that day. I remembered my graduation from college. She gave me the same lunch as a gag and a cruise. I remember her always cooking good food. I loved the cooking and I will never enjoy that again. I hope she is resting well now.",,30H4UDGLT34F936W931DEP7BXM6MP4,imagined
66,30H4UDGLT34F936W931DEP7BXM6MP4,0.7638407434995552,"[-0.007161458333333333, 1.0975875854492188, 0.2786310369318182, -0.0801544189453125, 1.3415178571428572, 0.7824988731971154, 0.1732426133266715, 0.5743931361607143, 1.0496897977941178, 3.296875, 0.4017333984375, 0.20001880542652026, 0.13080303485576922, 1.9, 1.72890625, 0.056640625, 0.06007050304878049]","[-24.34375, -13.769912719726562, -32.3837890625, -28.85791015625, -24.1015625, -57.929443359375, -133.4910888671875, -35.228515625, -64.4365234375, -1.203125, -23.513671875, -108.9361572265625, -100.28662109375, -12.90625, -16.99609375, -20.09375, -140.86328125]","[-24.30078125, -22.550613403320312, -35.44873046875, -27.575439453125, -33.4921875, -78.2744140625, -140.94052124023438, -43.27001953125, -82.28125, -4.5, -27.531005859375, -116.33685302734375, -103.6875, -22.40625, -25.640625, -20.43359375, -143.326171875]","The call came at 3 AM. Knew it wasn't a good sign. Mom fell and dislocated her shoulder and tore an artery. I have a sick feeling in my stomach that this is not going to end well. Made the reservations to fly out tomorrow. On my way to the airport I got a call from my daughter that she had also torn an artery and was not acting like herself. By the time I reached home my mother had been sent home to hospice care because she had a stroke during the night(nobody noticed) I stepped into a bad dream when I finally got to my childhood home. She was in a hospital bed, hooked up to oxygen and barely alert. Alert enough to know it was me, her oldest, her favorite everyone's always told. me. She even said my name and that she loved me.  I swear I spent five days awake, sitting in the rocking chair next to her bed, singing in her ear, saying prayers, talking to her, telling her dad was waiting for her. She died when I was holding her, just mom and I alone in her room,  my mouth pressed up against her good ear. I felt her heart stop. The aftermath was a blur. Spoke at the memorial service. My mother is gone and it will be 3 months in a few days and I cry when Ieast expect to and reach for the phone to call her as I did so often, but my mother is gone.",30H4UDGLT34F936W931DEP7BXM6MP4,30H4UDGLT34F936W931DEP7BXM6MP4,recalled
82,3ND9UOO81LOLNULCLDET660I4TWLWH,0.426306798666217,"[0.039760044642857144, 0.21626990182059153, 0.89130859375, 0.726965586344401, 0.657421875, 0.83017821539016, 0.6430315290178571, 0.019324166434151784, 0.2098388671875, 0.1259765625, 0.6195999948601973, 0.5517849392361112, 0.4861111111111111, 0.19621394230769232, 0.180816650390625]","[-34.6044921875, -33.18639373779297, -27.7119140625, -31.641422271728516, -49.166015625, -58.83377456665039, -36.24560546875, -55.027130126953125, -38.568359375, -27.0390625, -57.39984130859375, -71.94482421875, -39.6484375, -44.3828125, -82.599853515625]","[-35.1611328125, -36.21417236328125, -36.625, -38.184112548828125, -59.02734375, -76.26751708984375, -45.248046875, -55.29766845703125, -41.08642578125, -28.1728515625, -69.1722412109375, -86.843017578125, -44.0234375, -46.93359375, -88.385986328125]","Moving out was one of the biggest decisions in the last couple of years. Looking at it from my angle there wasn't a choice in the matter. Staying there was damaging my relationship with my kids. It wasn't getting her or I anywhere good.  The kids were not getting along at all and her children were unparentable.  We are so different in how we see parenting and how we parent that it wasn't crossing over at all. And every time I tried to help she would undermine what I was doing. She is the prototypical helicopter mom, saving her kids at every junction. but then they just learn they can do what ever they want. But my girlfriend still thought we should live together. Even though her middle child was in juvenile detention for the majority of the year and was coming back. We both agreed that she needed to get him out of the town we were living in and that my son and her's should live together. But still blames me for breaking up our unit. And I guess that's it I never saw it as a unit. So the end result it that I look like the bad guy to my girlfriend, but I feel so much better with my kids and know I did the right thing.",30JNVC0ORA6EH160IJ0PMPPPNE0HQQ,,retold
83,30JNVC0ORA6EH160IJ0PMPPPNE0HQQ,0.4588350545028035,"[-0.07855902777777778, 0.2735460069444444, 0.4257061298076923, 0.4559326171875, 0.03145955403645833, 0.5003255208333334, 0.3032752143012153, 0.42467498779296875, 0.7357003348214286, 0.6240678267045454, 0.272509765625, 0.8225290398848685, 0.8291903409090909, 0.5374348958333334, 0.5392945834568569, 0.05, 0.4912860576923077, 0.4925130208333333, 0.9869791666666666]","[-34.1015625, -49.689453125, -37.27734375, -12.68896484375, -55.6806640625, -43.033203125, -51.829315185546875, -58.99577331542969, -39.1455078125, -24.684326171875, -43.84326171875, -51.4744873046875, -26.658203125, -27.5859375, -68.27132415771484, -28.46875, -29.33984375, -40.3203125, -9.3515625]","[-33.39453125, -54.61328125, -42.8115234375, -16.7923583984375, -56.152557373046875, -49.037109375, -57.28826904296875, -66.63992309570312, -49.4453125, -31.549072265625, -49.29345703125, -67.1025390625, -35.779296875, -34.03515625, -79.59651041030884, -28.71875, -35.7265625, -46.23046875, -12.3125]","Today completes the my move to a new apartment. It's been a long emotional struggle over the last couple months and the last week for sure. It has come to fruition and my girlfriend in not happy about it. I know it's the right thing to do. I had to protect the kids, I just didn't trust the living situation. But, it has come at a cost with girlfriend and me. She is very emotional about it, lot's of outbursts, getting mad at me. She has been trying to tear down the kids a bit and really doesn't like my son. But, deep down I know it was right, the kids are happy. And I'm excited to get our lives back on track. I'm not sure what will happen with girlfriend and me, but we are trying to work it out. girlfriend is coming around a little bit and I think deep down, she knows this needed to happen. I think she will become even more comfortable with the situation. I feel bad for her, she has so much to process. With her first it's always a struggle and I think her last is just running roughshod over her. The actual move was excruciating! I'm tired, my knees and back hurt and I'm exhausted. It was a week of stairs, boxes, trucks and pain. I hate moving.",30JNVC0ORA6EH160IJ0PMPPPNE0HQQ,30JNVC0ORA6EH160IJ0PMPPPNE0HQQ,recalled
93,39U1BHVTDMDCF9RTK25IN0Z2YBH3TJ,0.6457750327027901,"[0.011033278245192308, 1.082148501747533, 0.5052074085582386, 0.7723236083984375, 0.6922988891601562, 0.6483274187360492, 0.5522956848144531, 0.6292047915251359, 0.46257091703869047, 0.9905598958333334, 0.4333246404474432, 0.18808815696022727, 0.6780118075284091, 0.9018561045328776, 1.4234375, 0.5445505777994791, 0.3855387369791667, 1.1265625, 0.5518817901611328, 0.5814670763517681, 0.14090401785714285, 0.8953125, 0.396881103515625, 0.9048138786764706]","[-88.35357666015625, -54.5697021484375, -108.50914001464844, -83.90550231933594, -88.572021484375, -92.31056213378906, -100.89659118652344, -69.29782104492188, -73.8115234375, -24.45703125, -64.870361328125, -29.7513427734375, -55.79931640625, -33.87859344482422, -12.5859375, -47.518402099609375, -85.2060546875, -13.078125, -68.8492202758789, -137.73556518554688, -15.64453125, -13.9453125, -108.2208251953125, -67.771484375]","[-88.64044189453125, -75.13052368164062, -125.18098449707031, -101.6689453125, -110.7255859375, -110.46372985839844, -120.77923583984375, -83.76953125, -83.5255126953125, -36.34375, -74.40350341796875, -31.8203125, -70.715576171875, -44.70086669921875, -19.703125, -57.3203125, -94.458984375, -18.7109375, -75.4718017578125, -159.83131408691406, -16.630859375, -18.421875, -124.88983154296875, -83.1533203125]","I quit my job two months ago now, after being so short-staffed and overworked that serious safety issues began to happen. Even though safety issues began to happen more and more, our supervisor simply kept piling on more work. Her boss told her it wasn't important and we could skip doing it, but my supervisor wanted to impress everyone and be ""number 1"" so she ignored all advice. Whispers began behind her back, the other pharmacists began to worry about their licenses but the pressure just kept mounting. I found the wrong pills in a bottle on the shelf and my supervisor got mad at me, even though I had not filled from that bottle at all that week. Nothing was ever mentioned again and I began to lie awake at 3 in the morning wondering if the wrong medication had gone out unnoticed before or since. This income was so important to my family, the job was so important to my self-worth but I knew if anything happened I would be liable no matter who was truly at fault. My job had been toxic to begin with, my supervisor was abusive and infamous in our company for being a nasty person. My coworkers trained me by yelling at me and then arguing and ranting with each other in Spanish about me. But I persisted, I did not want to let them win. Every morning I hoped I would get in a car wreck serious enough that I could not work for the foreseeable future. I snapped at my husband, I snapped at my child. Every moment not spent at work was filled with crushing dread that I would have to go back in a few hours. My marriage suffered greatly, my self-esteem was trashed. Yet still I kept on. But that one little tablet of Tramadol was enough to snap me out of it. I was terrified, someone with over a decade of experience had mistakenly put a controlled substance into a bottle of blood pressure medication. And no one caught it. The counts of the controlled medication done every day weren't off? That seemed odd to me, every tablet of those is so tightly accounted for that someone either counted wrong or they noticed but didn't have time to deal with the paperwork so they brushed it aside. How many times had it happened before? Why was I being blamed? These questions ate at me and ate at me until I realized I was killing myself for a job that would throw me under the bus even knowing criminal charges could be brought against me when I didn't do anything wrong. So I quit even though now we are relying on food banks and credit to make do.",30LB5CDZNDWCKT1V77CH7Q2C71PZ09,,retold
