Unnamed: 0,AssignmentId,scalar_text_sequentiality,sentence_total_sequentialities,sentence_contextual_sequentialities,sentence_topic_sequentialities,story,recAgnPairId,recImgPairId,memType
12,35LDD5557BQEYC9GWBW5I8LCG5AKMA,0.3038891446349719,"[-0.4117469787597656, 0.03273690421626253, 0.4038899739583333, 0.31854883829752606, 0.552978515625, 0.8155381944444444, 0.27667236328125, 0.6009579613095238, 0.13937943070023148, 0.3981404622395833, 0.7903731496710527, 0.4292168868215461, -1.838525390625, 0.11493389423076923, 0.17202919407894737, -0.09508746603260869, 0.3940185546875, 0.15563512731481483, 1.38046875, -0.146728515625, 1.8982421875]","[-36.68061828613281, -154.23812770843506, -55.334228515625, -44.895912170410156, -50.10986328125, -36.33984375, -65.98779296875, -78.8876953125, -83.9149169921875, -142.11465454101562, -51.35986328125, -78.97451782226562, -28.0322265625, -112.91015625, -72.5927734375, -74.622314453125, -94.96142578125, -100.54833984375, -13.81640625, -24.119140625, -9.6728515625]","[-31.739654541015625, -155.97318363189697, -65.027587890625, -50.629791259765625, -56.74560546875, -43.6796875, -72.6279296875, -91.5078125, -87.67816162109375, -160.03097534179688, -66.376953125, -87.129638671875, -18.839599609375, -115.8984375, -75.861328125, -72.435302734375, -106.781982421875, -104.75048828125, -20.71875, -22.9453125, -19.1640625]","My Cousin's WeddingWe went to my cousin’s wedding. It was a lovely wedding– very unlike any wedding I’ve yet been to, but a lot like the weddings in the movies (you know, like The Wedding Crashers… never understood why someone would *want* to go to a wedding they weren’t invited to).  The ceremony was short and simple, though there were a lot of attendants, complete with flower girl and ring-bearer.  The bride had both her father and step-father give her away, one on each arm.  The Lutheran minister was kind of a jolly middle-aged woman.  The gentlemen were almost all in army dress uniforms.  From my cousin’s face, you could not tell he was hit by a roadside bomb in Afghanistan just a few months ago.  He’s still not walking correctly and never may, but the damage seems to mainly be concentrated in one leg. The wedding was in a part of the country where folks are not as stiff as Midwesterners or as unstructured as Northern Californians.  I’ve been to Midwestern wedding receptions that tried to be like this reception, but the soul wasn’t there so they always ended up being kind of lame with folks congregated in the parking lot to talk away from the DJ.  People at this wedding line-danced (and not just to country music) and they enjoyed it.  My usually introverted uncle is apparently a dancing fiend and led the bride in some traditional dances.  This essay is plagiarized.  The food was great and full of local specialties (including something we heard about on the Splendid table from their road trip foodies).  And, important in my book for any wedding, they served appetizers between the wedding and reception. You may recall that the groom’s parents had said they refused to attend because he was not getting married by a priest.  Not only did they not show up, despite his being hit by a roadside bomb in service to our country, they did not allow any siblings to come.  The daughter whose college my parents and aunts are paying was threatened with being disowned when her mother found out she was planning to attend.  So she didn’t go.  Guests kept asking if I was a sister.  No, not a sister.",304SM51WA4QG34IRAVFYVE1SAOBSB3,,retold
27,308XBLVESJQ42PIEV6FT54WWN37BRA,0.4564846149930294,"[-0.09598496380974264, -0.16993931361607142, 2.4728829520089284, 0.6232244318181818, 0.24067344665527343, 0.19237342247596154, 0.2512019230769231, -0.20553119365985578, 0.4763764880952381, 0.5528700086805556, 0.105712890625, 0.526171875, 1.4794921875, 0.32042236328125, 0.6739153180803571, -0.1401079963235294]","[-28.7442626953125, -20.339111328125, -9.03759765625, -29.29248046875, -24.73877716064453, -45.5889892578125, -25.275390625, -72.2806396484375, -49.131103515625, -20.823974609375, -21.3931884765625, -32.38671875, -18.669921875, -57.3603515625, -25.25537109375, -52.49365234375]","[-27.112518310546875, -17.9599609375, -26.3477783203125, -36.14794921875, -29.55224609375, -48.08984375, -28.541015625, -66.93682861328125, -59.135009765625, -25.7998046875, -22.4503173828125, -37.6484375, -36.423828125, -63.768798828125, -34.690185546875, -50.11181640625]","The biggest thing to happen to me is finding out I am going to be a father. My wife and I had been trying to conceive a child for sometime now.  But we hadn't had much success.  However, we found out in march that we were pregnant!  I can't begin to describe the excitement that I felt when I found out we were having a baby.  I was so happy to find this news out as was my family!  Then a couple months later we found out we were having a girl!!  At first I was scared because being a guy I knew I didn't know all the ins and outs of what a girl goes through.  The one thing I knew for sure was that there was nobody that would love this girl more than I do!  I can't wait for her to get here.  My wife and I decided on a name right away.  We came to the decision rather easily without much fuss.  It's a name that we have liked for some time now.  My mom is also very excited about it, because my nieces from my sister are getting older now.  So it'll be nice for her to have a baby to care for.  Again this is probably the biggest moment of my life let alone the last 6 months.",308XBLVESJQ42PIEV6FT54WWN37BRA,308XBLVESJQ42PIEV6FT54WWN37BRA,recalled
51,354GIDR5ZCSFI8V53DZP1RZQQAG00P,0.5964386468135245,"[-0.20259602864583334, 0.8570078974184783, 0.9311930338541666, 0.036196390787760414, 1.2535304019325657, 0.9435920715332031, 0.51153564453125, 0.357447509765625, 0.677734375, 0.6221233865489131, 2.0390625, -0.051228841145833336, 0.4684170809659091, 0.025589792351973683, 0.4769744873046875]","[-61.225341796875, -48.1865234375, -52.1734619140625, -66.04266357421875, -33.79718017578125, -28.03533935546875, -33.988525390625, -60.987823486328125, -18.98046875, -62.559326171875, -15.0390625, -30.26318359375, -58.940673828125, -48.6309814453125, -37.48455810546875]","[-56.363037109375, -67.897705078125, -71.728515625, -66.911376953125, -57.6142578125, -43.1328125, -40.126953125, -69.92401123046875, -23.046875, -76.8681640625, -27.2734375, -29.6484375, -69.245849609375, -49.1171875, -47.0240478515625]","At the beginning of this year my mother in law decided to go to Disney World to meet up with her daughter and granddaughter. Since she had some extra money in her travel fund leftover from last year, she invited me to come along as well. I was not working at the time and she would be paying for everything besides food so I decided to go. I had not seen my niece in a long time and she is only 4 so at that age kids change a lot. My mother in law and I had some time before the others arrived so we went to Universal Studios. Harry Potter world was my favorite and I am really glad I got to see it. It was very crowded but luckily the weather was not too hot. We spent a lot of time at Magic Kingdom with my niece and it was really neat to see what things she got excited about. We got to see several shows. The live action Frozen show was really well done and only about 20 minutes long so it was perfect for small kids. My niece really liked the fireworks. I enjoyed a lot of the rides and all of the shows. The food at Disney World is just okay for the price but we did have some good meals and some ice cream. I am very grateful that I got to go on the trip to see family and have some fun. It was a lot of long days of walking and getting tired but overall we all had a great time.",30BXRYBRP5JJ1Y2MUSZVEE7B3H5WHT,,retold
52,30BXRYBRP5JJ1Y2MUSZVEE7B3H5WHT,0.5853659006026285,"[-0.061945376188858696, 0.6317174574908089, 0.4866727941176471, 0.11284383138020833, 1.98740234375, 0.04909446022727273, 0.871142578125, 0.9823165893554687, 0.6116732642764137, 0.3909617456896552, 0.42253214518229165, 0.5849787394205729, -0.116943359375, 1.916259765625, 0.2678436279296875, 0.6843587239583333, 0.2572174072265625, 0.45845947265625]","[-60.9495849609375, -27.27923583984375, -57.1875, -144.85369873046875, -3.73876953125, -66.81689453125, -46.1884765625, -58.540679931640625, -55.43342590332031, -98.10546875, -48.128265380859375, -34.960357666015625, -30.896484375, -26.445068359375, -47.67683410644531, -45.65625, -40.6343994140625, -43.955810546875]","[-59.52484130859375, -38.0184326171875, -65.4609375, -150.947265625, -13.67578125, -67.89697265625, -63.611328125, -78.18701171875, -68.278564453125, -109.443359375, -54.46624755859375, -41.9801025390625, -29.9609375, -43.69140625, -51.694488525390625, -55.921630859375, -46.8076171875, -50.83270263671875]","A recent memorable event in my life was when I was surprised to be invited to Disney World by my mother in law. She said she would pay for everything and basically all I had to do was show up. She was meeting her daughter and granddaughter there and had enough money that I could come too. I almost didn't go because Disney World is crowded and it can be hard to hang out with a four year but I had not seen that part of the family in awhile, my schedule was clear, and it had been 12 years since I had been to Disney World. So I decided to go. My favorite days were when it was just my mother in law and I and we went to Harry Potter at Universal. The theme park was so well done and the rides were really fun and the butter beer was really good. The main big ride I ended up going by myself because my mother in law didn't want to go. It was kind of scary but it was really fun and so well done with 3D effects and lighting. It was too crowded to go wand shopping but that is okay because my husband got me a wand previously when he was in Orlando for a work trip. We also had fun with my niece, she liked anything to do with Frozen. We had lots of good food, rode on some fun rides. I liked eating at the dinosaur theme restaurant. It was basically Rainforest Cafe but with dinosaurs. The hotel we stayed in was Little Mermaid theme so that was really cute. But it was kind of noisy and the buses were far away for our hotel. Overall it was a really fun trip and I am glad I went, but I would not be going back any time soon. It is so crowded there and dealing with that many people can be really hard.",30BXRYBRP5JJ1Y2MUSZVEE7B3H5WHT,,recalled
61,30H4UDGLT34F936W931DEP7B965PMM,0.5331248006036162,"[-0.12548828125, 0.11620857602074033, 0.16357421875, 0.674053955078125, 0.8629115513392858, 1.05859375, 0.43489815848214286, 0.49944305419921875, 0.5810818142361112, 0.5146122685185185, 0.7908935546875, 0.6335664636948529, 0.7853719777074354, 0.5950343919836957, 0.41211655560661764]","[-15.6280517578125, -124.5420150756836, -135.48291015625, -49.6458740234375, -77.149658203125, -40.65625, -80.925048828125, -91.108642578125, -57.8203125, -146.257568359375, -25.0980224609375, -138.8497314453125, -166.8465576171875, -119.15771484375, -181.34423828125]","[-14.2476806640625, -129.4227752685547, -144.31591796875, -63.126953125, -107.3515625, -56.53515625, -96.146484375, -107.0908203125, -68.27978515625, -174.046630859375, -38.543212890625, -171.16162109375, -212.39813232421875, -146.529296875, -209.3681640625]","Dear diary, today was the best day of my life. After so many years of hard work, sleepless nights, working over the weekends, working more than 40 hours per week, after my college degree and certifications that I took in school I got promoted at work! My Manager ask me if we can have a quick meeting today to discuss some personal projects about my development here at work, and at the beginning of the meeting everything went smoothly, we were talking about new projects that were coming up and how I was doing in my current role. Then he tells me, what do you think if I offer you a supervisory position of the department? I was in shock and my answer was of course yes, this is the opportunity that I was looking for since I start in this company, all the hard work finally pay off. Then he makes me sign a paper with my salary increase and the new title. At that moment I was shaking and feeling anxious because this is an important moment of my life, and that I know that I have the potential to do more here in the company. After I signed those papers I tell thank you to my boss for this amazing opportunity of advancement in my career and I will never let him down in my new position. He said congratulations you deserve it, and I want to see more awesome things here at work. Then I left his office and I immediately called my wife and tell her the notice of my promotion and she was so happy because it is a new chapter for our life, with our new baby and kid, more money for the family and a bright future here in the company. It is a very emotional moment for me and my family, that I will never forget. After that I called my dad and mom to tell them the notice of my promotion here at work, my mom was all happy and she was telling how smart I'm and to be thankful with God for every step that I do at my career here at work. In the other hand my dad was kind of surprised, but he told me to shot for the top, keep fighting for your dreams and keep fighting for your family, because at the end they are all depending in your salary/money for a place to live, pay rent, groceries, entertainment. But at the end I know that he was happy but he wants me to see like in a Director/Managerial position, he always tells me that I have a lot of potential and that I'm very smart in whatever I do. Then after talking with my dad and mom, I give the surprise to my mom and father in law, they were so happy and pride that I got that promotion, because they know how much did I suffer to get that promotion and they gave me their best wishes and blessing to my family and always to look forward of new opportunities wherever I go.",,30H4UDGLT34F936W931DEP7B965PMM,recalled
64,3OS46CRSLGLQPKI08Z3VVLZ7TIS6VF,0.5528093415077286,"[-0.18165283203125, 1.4248046875, 0.5597098214285714, 0.85859375, 0.7408098493303571, 0.18136160714285715, -0.2875, 0.1803656684027778, 0.5855712890625, 0.6287667410714286, 0.6783203125, 1.9296875, 0.6258087158203125, 0.41796875, 0.5056818181818182, -0.0033482142857142855]","[-28.43572998046875, -9.421875, -23.12109375, -15.30078125, -14.7904052734375, -20.109375, -19.0703125, -54.541015625, -17.5810546875, -13.1240234375, -23.15625, -12.2265625, -47.01373291015625, -22.099609375, -41.7109375, -20.6953125]","[-26.61920166015625, -15.12109375, -27.0390625, -19.59375, -19.97607421875, -21.37890625, -17.6328125, -57.78759765625, -22.265625, -17.525390625, -29.939453125, -23.8046875, -54.5234375, -25.025390625, -47.2734375, -20.671875]","Three months ago, I got a scary phone call. My mother had fallen. I flew back home to meet her. She had gotten a stroke. She was sent to hospice care. It was a painful day that day. She died in the room. I had a big cry and needed to punch a wall to get the anger out of me. I remembered the good times with my mom. I remembered my first day of school. She gave me a big lunch to eat that day. I remembered my graduation from college. She gave me the same lunch as a gag and a cruise. I remember her always cooking good food. I loved the cooking and I will never enjoy that again. I hope she is resting well now.",,30H4UDGLT34F936W931DEP7BXM6MP4,imagined
66,30H4UDGLT34F936W931DEP7BXM6MP4,0.491681302212995,"[-0.18889508928571427, 0.5203857421875, 0.16839044744318182, 0.20568466186523438, 1.6584821428571428, 0.7816185584435096, -0.0011444091796875, 0.5853642054966518, 1.0377125459558822, -0.03125, 0.46640625, -0.010765694283150338, 0.03545438326322115, 1.76015625, 1.61484375, -0.08268229166666667, -0.16117931547619047]","[-17.998046875, -15.794921875, -35.310791015625, -30.02362060546875, -21.796875, -58.29901123046875, -139.3818359375, -26.74139404296875, -53.92529296875, -2.484375, -26.0166015625, -113.13214111328125, -84.11376953125, -12.16015625, -12.12109375, -17.357421875, -142.11328125]","[-16.67578125, -19.9580078125, -37.1630859375, -33.3145751953125, -33.40625, -78.62109375, -139.33377075195312, -34.936492919921875, -71.56640625, -2.453125, -30.6806640625, -112.73381042480469, -85.03558349609375, -20.9609375, -20.1953125, -16.861328125, -135.34375]","The call came at 3 AM. Knew it wasn't a good sign. Mom fell and dislocated her shoulder and tore an artery. I have a sick feeling in my stomach that this is not going to end well. Made the reservations to fly out tomorrow. On my way to the airport I got a call from my daughter that she had also torn an artery and was not acting like herself. By the time I reached home my mother had been sent home to hospice care because she had a stroke during the night(nobody noticed) I stepped into a bad dream when I finally got to my childhood home. She was in a hospital bed, hooked up to oxygen and barely alert. Alert enough to know it was me, her oldest, her favorite everyone's always told. me. She even said my name and that she loved me.  I swear I spent five days awake, sitting in the rocking chair next to her bed, singing in her ear, saying prayers, talking to her, telling her dad was waiting for her. She died when I was holding her, just mom and I alone in her room,  my mouth pressed up against her good ear. I felt her heart stop. The aftermath was a blur. Spoke at the memorial service. My mother is gone and it will be 3 months in a few days and I cry when Ieast expect to and reach for the phone to call her as I did so often, but my mother is gone.",30H4UDGLT34F936W931DEP7BXM6MP4,30H4UDGLT34F936W931DEP7BXM6MP4,recalled
82,3ND9UOO81LOLNULCLDET660I4TWLWH,0.5177698982702421,"[-0.06698172433035714, 0.40591866629464285, 0.66318359375, 0.5545722113715278, 0.2625, 0.8577154250372023, 0.9276123046875, 0.8537248883928571, 0.2913411458333333, -0.1084255642361111, 0.5885973478618421, 0.2961154513888889, 0.7682291666666666, 1.1858473557692308, 0.28659820556640625]","[-36.96875, -36.53076171875, -28.1728515625, -36.00848388671875, -64.0234375, -61.76312255859375, -30.795654296875, -58.3759765625, -41.9990234375, -32.78515625, -60.501220703125, -84.71630859375, -41.8984375, -38.8046875, -85.1512451171875]","[-36.031005859375, -42.213623046875, -34.8046875, -40.9996337890625, -67.9609375, -79.775146484375, -43.7822265625, -70.328125, -45.4951171875, -31.809326171875, -71.6845703125, -92.71142578125, -48.8125, -54.220703125, -94.3223876953125]","Moving out was one of the biggest decisions in the last couple of years. Looking at it from my angle there wasn't a choice in the matter. Staying there was damaging my relationship with my kids. It wasn't getting her or I anywhere good.  The kids were not getting along at all and her children were unparentable.  We are so different in how we see parenting and how we parent that it wasn't crossing over at all. And every time I tried to help she would undermine what I was doing. She is the prototypical helicopter mom, saving her kids at every junction. but then they just learn they can do what ever they want. But my girlfriend still thought we should live together. Even though her middle child was in juvenile detention for the majority of the year and was coming back. We both agreed that she needed to get him out of the town we were living in and that my son and her's should live together. But still blames me for breaking up our unit. And I guess that's it I never saw it as a unit. So the end result it that I look like the bad guy to my girlfriend, but I feel so much better with my kids and know I did the right thing.",30JNVC0ORA6EH160IJ0PMPPPNE0HQQ,,retold
83,30JNVC0ORA6EH160IJ0PMPPPNE0HQQ,0.3861101650086588,"[-0.1328667534722222, 0.5429144965277778, 0.18656099759615385, -0.057779947916666664, -0.22399495442708334, 1.1353759765625, 0.31256018744574654, 0.23649427625868055, 0.7789655412946429, 0.34312855113636365, 0.4803436279296875, 0.4983167146381579, 0.17942116477272727, 0.4674479166666667, 0.22858901250930058, 0.3956974574497768, 0.6319110576923077, 0.4397786458333333, 0.8932291666666666]","[-34.11279296875, -48.56640625, -39.841796875, -14.337890625, -57.477020263671875, -35.77001953125, -48.2773551940918, -62.61468505859375, -38.313232421875, -28.509765625, -37.9404296875, -56.509521484375, -37.283203125, -30.763671875, -78.0010986328125, -27.964935302734375, -30.17578125, -46.419921875, -10.5078125]","[-32.9169921875, -58.3388671875, -42.26708984375, -13.81787109375, -54.117095947265625, -49.39453125, -53.903438568115234, -66.87158203125, -49.21875, -32.2841796875, -47.54730224609375, -65.9775390625, -39.2568359375, -36.373046875, -82.80146789550781, -30.734817504882812, -38.390625, -51.697265625, -13.1875]","Today completes the my move to a new apartment. It's been a long emotional struggle over the last couple months and the last week for sure. It has come to fruition and my girlfriend in not happy about it. I know it's the right thing to do. I had to protect the kids, I just didn't trust the living situation. But, it has come at a cost with girlfriend and me. She is very emotional about it, lot's of outbursts, getting mad at me. She has been trying to tear down the kids a bit and really doesn't like my son. But, deep down I know it was right, the kids are happy. And I'm excited to get our lives back on track. I'm not sure what will happen with girlfriend and me, but we are trying to work it out. girlfriend is coming around a little bit and I think deep down, she knows this needed to happen. I think she will become even more comfortable with the situation. I feel bad for her, she has so much to process. With her first it's always a struggle and I think her last is just running roughshod over her. The actual move was excruciating! I'm tired, my knees and back hurt and I'm exhausted. It was a week of stairs, boxes, trucks and pain. I hate moving.",30JNVC0ORA6EH160IJ0PMPPPNE0HQQ,30JNVC0ORA6EH160IJ0PMPPPNE0HQQ,recalled
93,39U1BHVTDMDCF9RTK25IN0Z2YBH3TJ,0.6160942037476705,"[-0.17214437631460336, 1.3953781127929688, 0.5410551183363971, 0.6901935079823369, 0.5193805694580078, 0.6692020810883621, 0.5394348568386502, 0.3809177564538043, 0.34855760846819195, 0.8038736979166666, 0.4455954811789773, 0.1435546875, 0.6254327947443182, 1.1617542613636365, 1.390625, 0.34775498334099264, 0.19112650553385416, 0.496875, 0.9027506510416666, 0.7918588738692435, 0.5142299107142857, 1.3328125, 0.2898050944010417, 0.4362362132352941]","[-92.18806457519531, -49.542388916015625, -116.93603515625, -82.83743286132812, -96.77093505859375, -91.3140869140625, -98.53671264648438, -66.115966796875, -79.58325958251953, -23.3369140625, -71.90673828125, -29.5849609375, -53.651123046875, -29.4375, -15.109375, -45.851959228515625, -89.7603759765625, -15.1484375, -66.41796875, -143.66070556640625, -13.111328125, -13.7578125, -126.38165283203125, -73.607421875]","[-87.71231079101562, -77.449951171875, -135.3319091796875, -98.71188354492188, -113.39111328125, -110.720947265625, -117.95636749267578, -74.8770751953125, -86.90296936035156, -32.9833984375, -81.7098388671875, -31.1640625, -67.41064453125, -42.216796875, -22.0625, -51.7637939453125, -94.347412109375, -17.6328125, -77.2509765625, -173.7513427734375, -16.7109375, -20.421875, -138.553466796875, -81.0234375]","I quit my job two months ago now, after being so short-staffed and overworked that serious safety issues began to happen. Even though safety issues began to happen more and more, our supervisor simply kept piling on more work. Her boss told her it wasn't important and we could skip doing it, but my supervisor wanted to impress everyone and be ""number 1"" so she ignored all advice. Whispers began behind her back, the other pharmacists began to worry about their licenses but the pressure just kept mounting. I found the wrong pills in a bottle on the shelf and my supervisor got mad at me, even though I had not filled from that bottle at all that week. Nothing was ever mentioned again and I began to lie awake at 3 in the morning wondering if the wrong medication had gone out unnoticed before or since. This income was so important to my family, the job was so important to my self-worth but I knew if anything happened I would be liable no matter who was truly at fault. My job had been toxic to begin with, my supervisor was abusive and infamous in our company for being a nasty person. My coworkers trained me by yelling at me and then arguing and ranting with each other in Spanish about me. But I persisted, I did not want to let them win. Every morning I hoped I would get in a car wreck serious enough that I could not work for the foreseeable future. I snapped at my husband, I snapped at my child. Every moment not spent at work was filled with crushing dread that I would have to go back in a few hours. My marriage suffered greatly, my self-esteem was trashed. Yet still I kept on. But that one little tablet of Tramadol was enough to snap me out of it. I was terrified, someone with over a decade of experience had mistakenly put a controlled substance into a bottle of blood pressure medication. And no one caught it. The counts of the controlled medication done every day weren't off? That seemed odd to me, every tablet of those is so tightly accounted for that someone either counted wrong or they noticed but didn't have time to deal with the paperwork so they brushed it aside. How many times had it happened before? Why was I being blamed? These questions ate at me and ate at me until I realized I was killing myself for a job that would throw me under the bus even knowing criminal charges could be brought against me when I didn't do anything wrong. So I quit even though now we are relying on food banks and credit to make do.",30LB5CDZNDWCKT1V77CH7Q2C71PZ09,,retold
