,AssignmentId,scalar_text_sequentiality,sentence_total_sequentialities,sentence_contextual_sequentialities,sentence_topic_sequentialities,story,recAgnPairId,recImgPairId,Unnamed: 0
0,3I33IC7ZWGOIFVW1A20W9L4IVE3A24,0.7318034144993439,"[0.031782670454545456, 0.6599609375, 0.2636146545410156, 0.8569091796875, 2.638454861111111, 0.600328947368421, 0.3255208333333333, 0.7377232142857143, 1.2428385416666667, 0.20580150462962962, 0.1889935661764706, 1.5341145833333334, 0.2539284446022727, 1.1055772569444444, 1.0718315972222223, 0.75048828125, -0.047526041666666664, 0.7521184285481771]","[-29.896484375, -28.74609375, -63.75639343261719, -57.19189453125, -13.712890625, -43.3642578125, -48.89453125, -41.19921875, -15.58984375, -78.8720703125, -52.6845703125, -34.41357421875, -68.17724609375, -25.3203125, -46.68359375, -39.060546875, -45.08642578125, -47.62092590332031]","[-30.24609375, -35.345703125, -69.0286865234375, -74.330078125, -37.458984375, -54.7705078125, -53.77734375, -51.52734375, -23.046875, -84.4287109375, -55.8974609375, -57.42529296875, -73.763671875, -35.2705078125, -65.9765625, -48.06640625, -44.23095703125, -61.1590576171875]","Two months my husband and I decided to go on vacation. We had a difficult time choosing a country in Europe. We deliberated for months before this, before we finally decided that we should make the vacation more exciting. To this this, we decided to rule out Europe and choose a South American country or an Asian country. At the end, we decided to chose Japan. This is a complete surprise because I never had any intention of going to a country outside of Europe. After making our choice, we did some research, prepared and traveled to Japan. Arriving Japan felt like arriving at a different world or an alternate world. Everything just felt different and strange. I have been to two other countries outside the US, but they were countries that had quiet a similar culture to US so it was easy. Japan was a lovely country, the country felt so organised, maybe a bit too organised. I am someone who loves structure but I was overwhelmed by how structured everything was.  The Japanese people were very polite and friendly, we had bonus points for trying to learn how to speak their language. The Japanese people were neat almost to a fault. All the streets and public places were so clean that it felt like they all had germophobia. They were also incredibly disciplined, they always kept to their words. After three interesting weeks in Japan, my husband and I decided to come back to the US. We felt good coming back, but we couldn't stop ourselves from making a lot of comparisons.",,,0.0
0,3IOEN3P9S85A38221LJ6OXSRGJK166,0.8429953565587466,"[-0.8452555338541666, 0.7745317731584821, 0.8659913021585216, 0.8877883184523809, 0.9207589285714286, 2.0005859375, 1.240716552734375, 0.2192626953125, 0.9938025841346154, 1.18212890625, 0.7624699519230769, 0.4172491776315789, 0.9381687330163043, 1.339080810546875, 2.45625, 0.686248779296875, 0.5059988839285714, 0.5727095170454546, 0.13673231336805555, 0.8046875]","[-62.28564453125, -43.10345458984375, -70.09543704986572, -49.9267578125, -17.515625, -18.5986328125, -22.875335693359375, -64.0712890625, -50.51416015625, -50.939453125, -32.109375, -56.490234375, -86.653564453125, -38.255859375, -11.234375, -64.17919921875, -33.6484375, -39.2470703125, -58.256591796875, -23.171875]","[-52.142578125, -53.9468994140625, -90.01323699951172, -68.5703125, -23.9609375, -28.6015625, -35.282501220703125, -68.45654296875, -63.43359375, -69.853515625, -42.021484375, -64.41796875, -108.2314453125, -59.68115234375, -23.515625, -75.1591796875, -40.732421875, -45.546875, -60.7177734375, -28.0]",so6 month ago i moved from north florida to south florida .it was a pretty scary experience as i have a home full of stuff. it was scary moving all my valuables treasures and all the other stuff me and my girlfriend have worked hard to obtain. frist we had to find a place to stay so we looked it was stressful until we found a place. finally we were ready for the move. my girlfriends parents helped us. her parents and myself dont always see eye to eye. i have loaded up moving trucks and moved before so i had an idea of how i wanted it done.  we started by moving the heavier of ll the items into the trailer. they wanted to stack everything their way and i didnt feel as if it was safe. we talked about it and they got on my nerves quite a bit. we finally got it all loaded up i wasnt very satisfied with how it was all loaded up. we got about 10 mins down the road and the fridge her parents loaded up shifted and fell on a bookcase. i was very mad because i knew they had no intention of replacing the bookcase. i was very very mad. the 4 hour drive we had ahead of ourselves was very tense and very enjoyable. when we got to the house and saw all the damage i was devastated. I learned my lesson about trusting them with such a job. my bookcase is still busted i havent replaced it becuse i dont have the money. the whole ordeal was very messy.,,,0.0
0,3GM6G9ZBKOJD1VZ3QKAXJZ88P85MTS,0.8656802716735229,"[-0.16971842447916666, 0.7052904211956522, 0.2743598090277778, 0.24917560153537327, 1.2030707465277777, 1.4485677083333333, 1.70078125, 0.8703342013888888, 1.581510997953869, 0.4729820489883423, 1.8192138671875, 0.6751644736842105, 0.3767126834753788, 0.6489583333333333, 0.7322916666666667, 1.3374720982142858, 0.7903971354166667]","[-41.1712646484375, -65.8271484375, -50.0322265625, -124.86074829101562, -48.2607421875, -19.365234375, -28.1015625, -62.681640625, -65.33514404296875, -97.82387924194336, -40.3828125, -50.728515625, -103.14315795898438, -92.189453125, -95.3701171875, -34.033203125, -44.51904296875]","[-39.643798828125, -82.048828125, -54.970703125, -133.83106994628906, -69.916015625, -36.748046875, -45.109375, -86.1806640625, -98.546875, -112.95930480957031, -69.490234375, -63.556640625, -115.57467651367188, -111.658203125, -117.3388671875, -52.7578125, -56.375]","I finished landscaping my courtyard about two months ago. I bought my condo last year and the courtyard was one thing I had always wanted and had based my purchase on it. I've taken horticulture in college so I'm pretty knowledgeable about how to do it. About 4 years before I purchased the condo, previous owners had hired a landscape company to decorate it with a flowering tree, plants, pond and black river rock stone as mulch. They sold the condo to a retired woman a year later and she never even pulled one weed. So when I bought it, it was an overgrown jungle. My first step was pulling out weeds and dead bushes. My next step, which took about 3 months, was pulling out all the river rock from about 1 foot down in the dirt. From rain and other weather, the rocks had sunken down through the landscape fabric and underneath all the weeds. Every day, I spent 15-30 minutes overturning the dirt, one shovel scoop at a time, then pulling each rock out (from 1 in. to 4 inches wide) and tossing them into huge plastic bins in the garage. I then drew out a new landscape plan, bought the plants, dug the holes and planted them. To my surprise, I called a pond company and I was able to afford their services of rebuilding my broken down pond and adding a filter, pump and some underwater plants. After that was all done, I called a landscape company to drag the bins out of the garage, lay down new landscape fabric and all those black rocks. I also brought out my garden decor, added fish to the pond, added some smaller plants to decorative pots and finally stood back to look at my work. I can't believe how beautiful it is and my neighbors also love it. It's a soothing place to come out to several times a day for relaxation.",,,0.0
0,3X65QVEQI19C9WF74MESUCTFAB0LCO,0.8686989554434068,"[-0.06427556818181818, 2.462890625, 0.32608642578125, 0.9281864872685185, 1.1241319444444444, 1.1435546875, 1.2537667410714286, 1.1513671875, 0.26609395345052084, 0.6454108743106618, 1.8416026722301135, 0.296875, -6.103515625e-05, 0.5113595326741537, 0.4946628146701389, 0.5600495515046297, 0.806050274823163, 2.6119791666666665, 0.13984375, 1.78515625, 1.3828125, 0.1090087890625, 0.8894230769230769, 0.55, 1.2134331597222223, 0.15676398026315788]","[-31.6171875, -6.85546875, -107.210205078125, -59.5419921875, -18.1796875, -20.671875, -40.62109375, -37.2265625, -68.95553588867188, -62.01422119140625, -57.0330810546875, -3.234375, -83.8514404296875, -96.51122283935547, -84.25653076171875, -81.13916015625, -126.67137908935547, -10.3046875, -32.515625, -7.3046875, -22.78125, -69.8466796875, -43.0546875, -11.28515625, -26.73046875, -85.2890625]","[-30.91015625, -11.78125, -120.253662109375, -84.60302734375, -28.296875, -29.8203125, -58.173828125, -51.04296875, -76.9383544921875, -72.9862060546875, -97.54833984375, -3.53125, -83.849853515625, -114.920166015625, -102.06439208984375, -96.260498046875, -156.4952392578125, -18.140625, -33.9140625, -10.875, -31.078125, -72.02685546875, -54.6171875, -14.03515625, -37.6513671875, -88.267578125]","This morning we went to the hospital to get checked out. The Dr. told her that she was dilated to a 5 and that she should probably stay there in the hospital, but she was far to stubborn for that, after that this was our 4th kid. After we left the hospital she said that if she was gonna have a baby today that wasn't going to do it on an empty stomach. So we went in town to get some food. She ate everything on the menu it seemed. I think she got 4-5 different dishes, it was funny. After eating we went ahead and drove the 45 mins home. We sat around and watch TV and did some other things the rest of the day, then we put the other kids to bed and went to bed ourselves. Ate 3am she wakes me up and say Shes having hard contractions. I wake up and ask her how hard to realize that she cant even move and that they are back to back... awesome. I call her mom and tell her to come over and sit at our house while our kids slept so we could go to the hospital. I get dressed and try to get her outside to my truck, she cant get off the ground to get in while having contractions so i literally picked her up and threw her in. Her mom still wasn't there, I called her and for the first time in my life told her to do something ""you need to get here, we gotta go"" I said. We went ahead and left our kids at home since she was only a minute away and I drove as fast as my truck has ever driven. There I was driving 100+ in an 8200lb truck down the interstate nervous as she kept having contractions in my truck turned around bent over holding the back of the seat. it was nuts. Then I looked down and noticed I was on E. Oh shit. This thing better make it in. We finally made it, I had driven a 45 min drive in 20 mins, new record. We get inside, 10 mins later we have a new baby. What a day that was. It was so close to disaster the whole time. I was spent, and we both went slept great that night, even the new baby slept awesome.",,,0.0
0,3HFNH7HEMI00H5BPYDI71PDO9F2GQ8,0.7354672148115886,"[-0.042759486607142856, 0.9618937174479166, 1.1489452015269885, 0.8903645833333333, 1.4656128883361816, 0.9916624846281828, 0.28701985677083336, 0.9679443359375, 0.3984103732638889, 0.7051617657696759, 1.046923828125, 1.0266276041666667, 0.1272561934686476, 0.424346923828125, 0.6325979521780303]","[-29.29736328125, -34.03802490234375, -30.723052978515625, -41.45703125, -36.68760681152344, -48.9683837890625, -30.5701904296875, -24.999267578125, -54.61572265625, -70.06585693359375, -31.3828125, -28.96923828125, -64.28818559646606, -49.864501953125, -79.2376708984375]","[-28.69873046875, -54.23779296875, -43.3614501953125, -54.8125, -60.137413024902344, -75.74327087402344, -34.87548828125, -34.6787109375, -61.787109375, -89.105224609375, -41.85205078125, -44.36865234375, -68.23312759399414, -56.654052734375, -100.1134033203125]","My 6 year old son was diagnosed with epilepsy about a year ago. About 3 months ago, he had to stay in the hospital for 48 hours to be continually monitored. This had to be done due to concerns from his teachers. They were saying he seemed to be drifting off at random times and not responding. Because of them reporting this issue, we made an appointment with his neurologist. She stated that the only way to see if he was still having seizure activity was to monitor him for 2 days in the PICU. So we set a date and time and waited patiently for it to come around. The day of the test, we arrived very early. They showed us to his room and within an hour the tech was there to begin the process. As they attached the multiple amounts of electrodes to my young child's head, I began to get very emotional and I'm not sure why. It's hard to see your child has an issue. You feel like you may have done something wrong at some point to cause it. All of my family came to visit my son while he was in the hospital and it was very heartwarming that everyone came together to be there for him. The best part about the whole situation was that the test showed no new seizure activity. This means that hopefully he will grow out of his condition over the next few years and can completely wean off of seizure medication and enjoy a normal teenage and adult life.",,,0.0
0,3DUZQ9U6SNAVCIGXFC6YWQVZCT8VSI,0.7811586303606639,"[-0.0490234375, 0.6719970703125, 0.9879324776785714, 0.511959228515625, 0.7200520833333334, 1.0575212751116072, 0.296875, -0.14453125, 0.47705078125, 2.888671875, 2.1315104166666665, 0.03639914772727273, 0.12193080357142858, 0.6747018914473685, 1.30859375, 0.80689697265625]","[-33.36328125, -51.45068359375, -29.4765625, -62.1636962890625, -22.1484375, -22.3411865234375, -11.125, -18.609375, -14.1279296875, -0.78515625, -11.66796875, -24.294921875, -59.7392578125, -41.02099609375, -44.90283203125, -21.89569091796875]","[-32.873046875, -67.57861328125, -43.3076171875, -74.96267700195312, -26.46875, -37.146484375, -11.71875, -18.03125, -16.990234375, -6.5625, -18.0625, -24.6953125, -62.2998046875, -53.84033203125, -60.60595703125, -29.96466064453125]","Earlier this month, I was reviewing my recent finances. My job had to cut back my hours, so income has been tight and I have been running a little behind on bills. I have good credit and have never needed to take out a loan before. I figured now may be a good time to try, so I can pay down my outstanding debt before it gets out of hand. I was very nervous to apply. It took me a few days to get up the strength to do so. But then... my application was denied. At first, I felt guilty. Worthless. Like a failure. After a while, I started to feel frustrated and helpless. I don't even know why I was denied since my credit history is great and credit score is 750. I've never defaulted on a loan---in fact, I have never even taken one out before. So my only guess is my lower income resulted in the denial. How is someone supposed to get ahead in this world?",,,0.0
0,3UJ1CZ6IZIBEEO1I9LOLSS101V2S5M,0.735826061989975,"[-0.19447544642857142, 1.27734375, 0.7426614200367647, 1.5162760416666667, 0.14302571614583334, 0.8010475852272727, 0.3408896706321023, 0.6950926347212358, 0.023065567016601562, 0.12967806596022385, 0.4692562327665441, 1.7834821428571428, 1.483542049632353, 0.6624952746975806, 0.7267601376488095, 0.08020766900510204, 1.2170749664306642, 0.731536865234375, 1.3517348345588236]","[-23.7763671875, -18.578125, -34.703125, -14.4931640625, -97.864501953125, -66.947265625, -51.2294921875, -24.400917053222656, -54.639373779296875, -63.51225280761719, -60.77581787109375, -52.22265625, -40.5736083984375, -82.791259765625, -67.1153564453125, -162.189453125, -118.05821228027344, -64.2979736328125, -35.800048828125]","[-22.4150390625, -23.6875, -47.328369140625, -23.5908203125, -103.013427734375, -84.5703125, -58.72906494140625, -32.04693603515625, -55.0084228515625, -66.88388252258301, -68.753173828125, -77.19140625, -65.7938232421875, -103.32861328125, -82.3773193359375, -166.11962890625, -166.7412109375, -81.8548583984375, -58.779541015625]","July 1 was an emotional day. My Uncle Eric died. Just a week prior he had been diagnosed with cancer and we were unsure of the prognosis. He wasn't even 50. He lived about 3 hours away from us and my parents were going back and forth to be with him and planned on bringing him to live with them had his prognosis turned out better. The worse part is that my moms sisters filed paperwork with the court to try to control what happens to his body. Eric was autistic and needed a guardian because he couldn't completely take care of himself and needed help with decision-making. All Eric wanted was to be buried next to his parents. He wanted nothing to do with these sisters and actively avoided having them in his life. His parents were cremated and he was aware that he already had a plot next to theirs and that he would be cremated too. The sisters took us to court trying to get control of his trust and his life insurance. I was so upset knowing this wasn't about Eric and his best interest. It was about them trying to get their hands on his money, which my mother controls. My mother didn't ask for this, she was designated by her own parents, yet her sisters have it out for her as if she had done something wrong. They have always been low-life's, hell bent on hurting others so none of this was shocking to us. We barely had any time to prepare but showed up to court with a huge binder of evidence of things they had both done, text messages from Eric, messages from granny from when she was alive, proof of crimes one of them had committed, etc. The one sister who showed up brought one sheet of paper they deemed inadmissible and then lied right to the judge's face as he asked her questions about things he was reading among our mountain of evidence. I was ecstatic that the judge ruled in our favor and that Eric will be where he belongs and where he wanted to be. It was a rough couple of weeks but I'm glad we could get justice for Eric.",,,0.0
0,33CKWXB73K6FWM15VF7PT11AYC811A,0.9482107653279864,"[-0.014369419642857142, 0.38871042351973684, 2.035400390625, 0.4275716145833333, 0.6142578125, 1.076446533203125, 1.1758880615234375, 0.2442626953125, 1.19097900390625, 0.8597981770833333, 1.2782253689236112, 0.9066123962402344, 1.8988172743055556, 0.21009239783653846, 1.93046875]","[-52.73828125, -55.07598876953125, -20.9765625, -32.443359375, -28.0390625, -30.03668212890625, -17.97332763671875, -50.6962890625, -26.832122802734375, -41.353515625, -56.6029052734375, -36.36572265625, -18.33642578125, -65.69287109375, -16.953125]","[-52.537109375, -62.46148681640625, -37.259765625, -37.57421875, -32.953125, -45.10693359375, -32.083984375, -54.6044921875, -43.505828857421875, -54.25048828125, -79.6109619140625, -50.87152099609375, -35.42578125, -71.1552734375, -36.2578125]","In the past there was little time for exploration and travel with my wife. We both had obligations to fill, and our schedules were packed to the gills with various work. This led to us both feeling rather stressed. So when we did have some time, we went all out. My wife had never seen Disney world before. Originally hailing from China, she would hear stories about this magical place. She never would have thought she'd have the chance to visit. So we took the first jet from NYC to Orlando and went to the magic kingdom. All of the parks - Magic Kingdom, Epcot, Animal Kingdom. She enjoyed every minute of the rides and the masterful design of the parks. I would say her favorite park was animal kingdom, particularly for the amount of birds we saw. We spent about a week in Orlando, visiting other sites, such as Universal Studios. However, the main attraction for her was Disney. We came home and resolved to spend more time together, and now we try to do something fun and unique at least once a month. As a result, we feel much happier and fulfilled.",,,0.0
0,3HWRJOOET6OEA7UBKMHOWM7DNIUSED,0.7151800640944789,"[-0.4674479166666667, 0.7065142463235294, 0.8565388997395833, 0.4068080357142857, 1.1261160714285714, 0.369337158203125, 0.3321183727633569, 0.9859683388157895, 0.33275604248046875, 0.958203125, 0.94091796875, 0.87255859375, 0.41485595703125, 1.4635881696428572, 0.9293323863636364, 1.214715576171875]","[-20.9140625, -52.765625, -22.46087646484375, -31.4429931640625, -23.6875, -62.229095458984375, -85.51097106933594, -64.6923828125, -47.80377197265625, -15.205078125, -29.85693359375, -23.82421875, -30.83740234375, -12.8798828125, -23.4140625, -31.65545654296875]","[-18.109375, -64.7763671875, -35.3089599609375, -37.1383056640625, -31.5703125, -71.4625244140625, -95.806640625, -83.42578125, -55.7899169921875, -24.787109375, -40.20703125, -30.8046875, -37.47509765625, -23.125, -33.63671875, -43.8026123046875]",This last weekend was my birthday. My oldest daughter is out of town going to school and tried to get the day off. I don't get to see her often so I was looking forward to it. She called to tell me that they wouldn't give her the day off. I was really sad but I understood. At the last minute she called and said that someone worked a double shift so she would be able to come over for my birthday. They have been short staffed and the girl doing the schedule didn't ask my daughter if it was okay to put her on for the day she asked off. So her boyfriend worked and took another shift from someone that would come in and work for my daughter. I was really happy to find out she would be able to come because I only get to see her every couple of months. She came over and spent the whole day with me. She brought me breakfast and a new charm for my bracelet. We spent a relaxing day just hanging out. We went to Hobby Lobby and looked around but I couldn't find anything I liked. So we came home and had dinner. After dinner we had cake and it started to get dark. She headed home and text me when she made it.,,,0.0
0,3VBEN272MLLCULQ2QH7CWPSPP5DGSP,0.6580582451214851,"[-0.08544921875, 0.5741355895996094, 0.12713623046875, 0.6518528150475543, 0.47085425967261907, 0.43731689453125, 1.8671875, 0.6509141188401443, 0.33746337890625, 1.6638031005859375, 1.093017578125, 0.48724110921223956, 0.491455078125, 0.7587018694196429, 0.5701171875, 0.25089111328125, 0.8403515625]","[-36.47314453125, -39.28752136230469, -45.486328125, -41.96337890625, -61.43212890625, -22.653076171875, -11.25, -32.560455322265625, -51.958984375, -14.871826171875, -38.82421875, -63.2476806640625, -18.72265625, -46.99188232421875, -51.23828125, -73.115478515625, -75.635986328125]","[-35.61865234375, -50.770233154296875, -47.5205078125, -56.95599365234375, -71.320068359375, -27.90087890625, -20.5859375, -41.0223388671875, -57.3583984375, -28.1822509765625, -56.3125, -74.94146728515625, -22.654296875, -62.92462158203125, -59.7900390625, -78.13330078125, -96.644775390625]","I greatly enjoyed that day at the beginning of summer. It is a time I look back on fondly, and many good memories were formed during that time. I went to the beach and I walked around, relaxed, and enjoyed the sites. The weather was not too hot and not too cold, there was also a nice breeze and the water was just right. I think the fact that I had enjoyed myself so much on that day signaled a sign of a good summer. There were a lot of fun things that happened on the beach. I played with my dog. We both went swimming and I laughed at the way he swam. I had also remembered to bring my fishing pole, as there is a dock there. I was not lucky enough to catch anything. However, I still appreciated the meditative atmosphere of the act of fishing in itself. Even though I was not able to catch anything, I still had plenty of various snacks and meals for my dog and I. The sunset at the beach was very beautiful. I enjoyed the wide array of colors, and the sounds of the birds as they wound down for the night. I left after dusk, and I did not encounter anyone there the whole day. I slept beautifully that night as I was plenty tired after a full days outing that I had just taken. I still think back on the day often and I plan to make it a yearly trip to enjoy and signal the beginning of summer.",,,0.0
