,AssignmentId,scalar_text_sequentiality,sentence_total_sequentialities,sentence_contextual_sequentialities,sentence_topic_sequentialities,story,recAgnPairId,recImgPairId,Unnamed: 0
0,3I33IC7ZWGOIFVW1A20W9L4IVE3A24,0.9186393963667068,"[0.031782670454545456, 0.6599609375, 0.25362548828125, 1.214013671875, 2.4837239583333335, 0.6046977796052632, 1.1190104166666666, 0.97119140625, 1.138671875, 0.5439814814814815, 0.2868795955882353, 1.8829752604166667, 0.9321511008522727, 0.6510416666666666, 1.2638888888888888, 1.1427408854166667, 0.28240966796875, 1.0727623833550348]","[-29.896484375, -28.74609375, -63.9561767578125, -50.0498046875, -15.10546875, -43.28125, -36.9921875, -37.9306640625, -16.21484375, -69.7412109375, -51.0205078125, -29.1806640625, -53.25634765625, -29.4111328125, -43.2265625, -34.353515625, -39.1475830078125, -41.849334716796875]","[-30.24609375, -35.345703125, -69.0286865234375, -74.330078125, -37.458984375, -54.7705078125, -53.77734375, -51.52734375, -23.046875, -84.4287109375, -55.8974609375, -57.42529296875, -73.763671875, -35.2705078125, -65.9765625, -48.06640625, -44.23095703125, -61.1590576171875]","Two months my husband and I decided to go on vacation. We had a difficult time choosing a country in Europe. We deliberated for months before this, before we finally decided that we should make the vacation more exciting. To this this, we decided to rule out Europe and choose a South American country or an Asian country. At the end, we decided to chose Japan. This is a complete surprise because I never had any intention of going to a country outside of Europe. After making our choice, we did some research, prepared and traveled to Japan. Arriving Japan felt like arriving at a different world or an alternate world. Everything just felt different and strange. I have been to two other countries outside the US, but they were countries that had quiet a similar culture to US so it was easy. Japan was a lovely country, the country felt so organised, maybe a bit too organised. I am someone who loves structure but I was overwhelmed by how structured everything was.  The Japanese people were very polite and friendly, we had bonus points for trying to learn how to speak their language. The Japanese people were neat almost to a fault. All the streets and public places were so clean that it felt like they all had germophobia. They were also incredibly disciplined, they always kept to their words. After three interesting weeks in Japan, my husband and I decided to come back to the US. We felt good coming back, but we couldn't stop ourselves from making a lot of comparisons.",,,0.0
0,3IOEN3P9S85A38221LJ6OXSRGJK166,1.2062157137850869,"[-0.8452555338541666, 0.7745317731584821, 1.1448495284370754, 0.9646809895833334, 1.724609375, 3.09453125, 0.843310546875, 0.8526611328125, 1.1409254807692308, 1.896331787109375, 0.9130483774038461, 1.3980263157894737, 1.165657375169837, 1.4686126708984375, 2.5046875, 1.534149169921875, 0.9022391183035714, 0.7493785511363636, 0.3029378255208333, 1.5944010416666667]","[-62.28564453125, -43.10345458984375, -63.681697845458984, -48.31201171875, -11.888671875, -13.12890625, -26.849395751953125, -51.4033203125, -48.6015625, -39.51220703125, -30.15185546875, -37.85546875, -81.42132568359375, -36.183349609375, -10.9921875, -50.61279296875, -28.10107421875, -37.3037109375, -55.264892578125, -18.43359375]","[-52.142578125, -53.9468994140625, -90.01323699951172, -68.5703125, -23.9609375, -28.6015625, -35.282501220703125, -68.45654296875, -63.43359375, -69.853515625, -42.021484375, -64.41796875, -108.2314453125, -59.68115234375, -23.515625, -75.1591796875, -40.732421875, -45.546875, -60.7177734375, -28.0]",so6 month ago i moved from north florida to south florida .it was a pretty scary experience as i have a home full of stuff. it was scary moving all my valuables treasures and all the other stuff me and my girlfriend have worked hard to obtain. frist we had to find a place to stay so we looked it was stressful until we found a place. finally we were ready for the move. my girlfriends parents helped us. her parents and myself dont always see eye to eye. i have loaded up moving trucks and moved before so i had an idea of how i wanted it done.  we started by moving the heavier of ll the items into the trailer. they wanted to stack everything their way and i didnt feel as if it was safe. we talked about it and they got on my nerves quite a bit. we finally got it all loaded up i wasnt very satisfied with how it was all loaded up. we got about 10 mins down the road and the fridge her parents loaded up shifted and fell on a bookcase. i was very mad because i knew they had no intention of replacing the bookcase. i was very very mad. the 4 hour drive we had ahead of ourselves was very tense and very enjoyable. when we got to the house and saw all the damage i was devastated. I learned my lesson about trusting them with such a job. my bookcase is still busted i havent replaced it becuse i dont have the money. the whole ordeal was very messy.,,,0.0
0,3GM6G9ZBKOJD1VZ3QKAXJZ88P85MTS,1.1492895591566232,"[-0.16971842447916666, 0.7052904211956522, 0.4160224066840278, 0.6772689819335938, 1.1947699652777777, 2.135009765625, 1.91259765625, 1.1330521195023149, 1.8699264526367188, 0.9639387130737305, 1.7623291015625, 1.179893092105263, 0.5077625621448864, 1.3304524739583334, 1.0690226236979166, 1.6954868861607142, 1.1548177083333333]","[-41.1712646484375, -65.8271484375, -47.4822998046875, -109.44938659667969, -48.41015625, -11.1279296875, -25.9833984375, -55.5882568359375, -59.278419494628906, -82.11326599121094, -41.29296875, -41.138671875, -98.81851196289062, -71.74462890625, -85.2681884765625, -29.02099609375, -39.052734375]","[-39.643798828125, -82.048828125, -54.970703125, -133.83106994628906, -69.916015625, -36.748046875, -45.109375, -86.1806640625, -98.546875, -112.95930480957031, -69.490234375, -63.556640625, -115.57467651367188, -111.658203125, -117.3388671875, -52.7578125, -56.375]","I finished landscaping my courtyard about two months ago. I bought my condo last year and the courtyard was one thing I had always wanted and had based my purchase on it. I've taken horticulture in college so I'm pretty knowledgeable about how to do it. About 4 years before I purchased the condo, previous owners had hired a landscape company to decorate it with a flowering tree, plants, pond and black river rock stone as mulch. They sold the condo to a retired woman a year later and she never even pulled one weed. So when I bought it, it was an overgrown jungle. My first step was pulling out weeds and dead bushes. My next step, which took about 3 months, was pulling out all the river rock from about 1 foot down in the dirt. From rain and other weather, the rocks had sunken down through the landscape fabric and underneath all the weeds. Every day, I spent 15-30 minutes overturning the dirt, one shovel scoop at a time, then pulling each rock out (from 1 in. to 4 inches wide) and tossing them into huge plastic bins in the garage. I then drew out a new landscape plan, bought the plants, dug the holes and planted them. To my surprise, I called a pond company and I was able to afford their services of rebuilding my broken down pond and adding a filter, pump and some underwater plants. After that was all done, I called a landscape company to drag the bins out of the garage, lay down new landscape fabric and all those black rocks. I also brought out my garden decor, added fish to the pond, added some smaller plants to decorative pots and finally stood back to look at my work. I can't believe how beautiful it is and my neighbors also love it. It's a soothing place to come out to several times a day for relaxation.",,,0.0
0,3DUZQ9U6SNAVCIGXFC6YWQVZCT8VSI,1.1966912473798963,"[-0.0490234375, 0.6719970703125, 1.0638950892857142, 1.0122866821289063, 1.3046875, 1.1887337820870536, -0.125, 1.18359375, 0.42431640625, 2.9345703125, 4.896484375, 0.4275124289772727, 0.08312406994047619, 0.645764802631579, 2.28863525390625, 1.1954818725585938]","[-33.36328125, -51.45068359375, -28.4130859375, -49.65550994873047, -18.640625, -20.50421142578125, -11.96875, -13.296875, -14.4443359375, -0.693359375, -3.373046875, -19.99267578125, -60.55419921875, -41.57080078125, -33.142333984375, -18.009841918945312]","[-32.873046875, -67.57861328125, -43.3076171875, -74.96267700195312, -26.46875, -37.146484375, -11.71875, -18.03125, -16.990234375, -6.5625, -18.0625, -24.6953125, -62.2998046875, -53.84033203125, -60.60595703125, -29.96466064453125]","Earlier this month, I was reviewing my recent finances. My job had to cut back my hours, so income has been tight and I have been running a little behind on bills. I have good credit and have never needed to take out a loan before. I figured now may be a good time to try, so I can pay down my outstanding debt before it gets out of hand. I was very nervous to apply. It took me a few days to get up the strength to do so. But then... my application was denied. At first, I felt guilty. Worthless. Like a failure. After a while, I started to feel frustrated and helpless. I don't even know why I was denied since my credit history is great and credit score is 750. I've never defaulted on a loan---in fact, I have never even taken one out before. So my only guess is my lower income resulted in the denial. How is someone supposed to get ahead in this world?",,,0.0
0,3X65QVEQI19C9WF74MESUCTFAB0LCO,1.1654834827026768,"[-0.06427556818181818, 2.462890625, 0.359368896484375, 1.1547173394097223, 0.9568142361111112, 1.4508056640625, 1.4375697544642858, 1.3258463541666667, 0.2868865966796875, 0.8832864200367647, 2.0204342928799717, 1.890625, 0.013779860276442308, 0.598740471733941, 0.5767156812879775, 1.1746509693287037, 1.0439269607131545, 3.4856770833333335, 1.27578125, 2.21875, 0.6744791666666666, 0.64278564453125, 0.9450120192307693, 1.189453125, 1.2572699652777777, 1.0405787417763157]","[-31.6171875, -6.85546875, -105.87890625, -53.4256591796875, -19.685546875, -18.2138671875, -38.0478515625, -35.1328125, -68.33175659179688, -57.9703369140625, -53.098785400390625, -1.640625, -83.4915771484375, -93.36550903320312, -81.30262756347656, -64.544921875, -117.86994171142578, -7.68359375, -21.15625, -6.4375, -27.03125, -59.171142578125, -42.33203125, -8.087890625, -26.3359375, -68.49658203125]","[-30.91015625, -11.78125, -120.253662109375, -84.60302734375, -28.296875, -29.8203125, -58.173828125, -51.04296875, -76.9383544921875, -72.9862060546875, -97.54833984375, -3.53125, -83.849853515625, -114.920166015625, -102.06439208984375, -96.260498046875, -156.4952392578125, -18.140625, -33.9140625, -10.875, -31.078125, -72.02685546875, -54.6171875, -14.03515625, -37.6513671875, -88.267578125]","This morning we went to the hospital to get checked out. The Dr. told her that she was dilated to a 5 and that she should probably stay there in the hospital, but she was far to stubborn for that, after that this was our 4th kid. After we left the hospital she said that if she was gonna have a baby today that wasn't going to do it on an empty stomach. So we went in town to get some food. She ate everything on the menu it seemed. I think she got 4-5 different dishes, it was funny. After eating we went ahead and drove the 45 mins home. We sat around and watch TV and did some other things the rest of the day, then we put the other kids to bed and went to bed ourselves. Ate 3am she wakes me up and say Shes having hard contractions. I wake up and ask her how hard to realize that she cant even move and that they are back to back... awesome. I call her mom and tell her to come over and sit at our house while our kids slept so we could go to the hospital. I get dressed and try to get her outside to my truck, she cant get off the ground to get in while having contractions so i literally picked her up and threw her in. Her mom still wasn't there, I called her and for the first time in my life told her to do something ""you need to get here, we gotta go"" I said. We went ahead and left our kids at home since she was only a minute away and I drove as fast as my truck has ever driven. There I was driving 100+ in an 8200lb truck down the interstate nervous as she kept having contractions in my truck turned around bent over holding the back of the seat. it was nuts. Then I looked down and noticed I was on E. Oh shit. This thing better make it in. We finally made it, I had driven a 45 min drive in 20 mins, new record. We get inside, 10 mins later we have a new baby. What a day that was. It was so close to disaster the whole time. I was spent, and we both went slept great that night, even the new baby slept awesome.",,,0.0
0,3HFNH7HEMI00H5BPYDI71PDO9F2GQ8,0.9925076389088812,"[-0.042759486607142856, 0.9618937174479166, 0.8397258411754261, 1.2534505208333333, 1.718883752822876, 0.9178319860387731, 0.6172037760416667, 1.7508544921875, 1.6285332573784723, 0.8651315194589121, 1.271728515625, 1.2675618489583333, 0.4160475577077558, 0.7228851318359375, 0.6986421527284564]","[-29.29736328125, -34.03802490234375, -34.12446594238281, -36.0107421875, -32.63527297973633, -50.96180725097656, -25.617431640625, -17.170166015625, -32.4735107421875, -65.74667358398438, -29.134765625, -25.355224609375, -55.33565330505371, -45.087890625, -77.05821228027344]","[-28.69873046875, -54.23779296875, -43.3614501953125, -54.8125, -60.137413024902344, -75.74327087402344, -34.87548828125, -34.6787109375, -61.787109375, -89.105224609375, -41.85205078125, -44.36865234375, -68.23312759399414, -56.654052734375, -100.1134033203125]","My 6 year old son was diagnosed with epilepsy about a year ago. About 3 months ago, he had to stay in the hospital for 48 hours to be continually monitored. This had to be done due to concerns from his teachers. They were saying he seemed to be drifting off at random times and not responding. Because of them reporting this issue, we made an appointment with his neurologist. She stated that the only way to see if he was still having seizure activity was to monitor him for 2 days in the PICU. So we set a date and time and waited patiently for it to come around. The day of the test, we arrived very early. They showed us to his room and within an hour the tech was there to begin the process. As they attached the multiple amounts of electrodes to my young child's head, I began to get very emotional and I'm not sure why. It's hard to see your child has an issue. You feel like you may have done something wrong at some point to cause it. All of my family came to visit my son while he was in the hospital and it was very heartwarming that everyone came together to be there for him. The best part about the whole situation was that the test showed no new seizure activity. This means that hopefully he will grow out of his condition over the next few years and can completely wean off of seizure medication and enjoy a normal teenage and adult life.",,,0.0
0,33CKWXB73K6FWM15VF7PT11AYC811A,1.1207176348804684,"[-0.014369419642857142, 0.38871042351973684, 1.94744873046875, 1.1770833333333333, 0.4794921875, 1.0500967843191964, 1.2494252522786458, 0.7555389404296875, 1.150076116834368, 1.0497721354166667, 1.5474141438802083, 1.3888931274414062, 2.6552734375, 0.26657339242788464, 1.7193359375]","[-52.73828125, -55.07598876953125, -21.68017578125, -23.44921875, -29.1171875, -30.40557861328125, -17.09088134765625, -42.515869140625, -27.404763221740723, -38.50390625, -51.75750732421875, -28.64923095703125, -11.5283203125, -64.224365234375, -19.064453125]","[-52.537109375, -62.46148681640625, -37.259765625, -37.57421875, -32.953125, -45.10693359375, -32.083984375, -54.6044921875, -43.505828857421875, -54.25048828125, -79.6109619140625, -50.87152099609375, -35.42578125, -71.1552734375, -36.2578125]","In the past there was little time for exploration and travel with my wife. We both had obligations to fill, and our schedules were packed to the gills with various work. This led to us both feeling rather stressed. So when we did have some time, we went all out. My wife had never seen Disney world before. Originally hailing from China, she would hear stories about this magical place. She never would have thought she'd have the chance to visit. So we took the first jet from NYC to Orlando and went to the magic kingdom. All of the parks - Magic Kingdom, Epcot, Animal Kingdom. She enjoyed every minute of the rides and the masterful design of the parks. I would say her favorite park was animal kingdom, particularly for the amount of birds we saw. We spent about a week in Orlando, visiting other sites, such as Universal Studios. However, the main attraction for her was Disney. We came home and resolved to spend more time together, and now we try to do something fun and unique at least once a month. As a result, we feel much happier and fulfilled.",,,0.0
0,3UJ1CZ6IZIBEEO1I9LOLSS101V2S5M,1.0068693619018123,"[-0.19447544642857142, 1.27734375, 1.0558004940257353, 1.92529296875, 0.6163838704427084, 0.7257634943181818, 0.35720409046519885, 1.3526763916015625, 1.1914215087890625, 0.7537472798274114, 1.1452564912683822, 1.4413364955357142, 1.8350201775045956, 0.8506272838961694, 0.6745227632068452, 0.3391163105867347, 1.3155803680419922, 1.0465272267659504, 1.4213723575367647]","[-23.7763671875, -18.578125, -29.3797607421875, -12.0390625, -80.8236083984375, -68.603515625, -50.870574951171875, -17.167495727539062, -35.9456787109375, -47.28645324707031, -49.2838134765625, -57.0126953125, -34.598480224609375, -76.95916748046875, -68.21234130859375, -149.5029296875, -114.11799621582031, -56.73820495605469, -34.6162109375]","[-22.4150390625, -23.6875, -47.328369140625, -23.5908203125, -103.013427734375, -84.5703125, -58.72906494140625, -32.04693603515625, -55.0084228515625, -66.88388252258301, -68.753173828125, -77.19140625, -65.7938232421875, -103.32861328125, -82.3773193359375, -166.11962890625, -166.7412109375, -81.8548583984375, -58.779541015625]","July 1 was an emotional day. My Uncle Eric died. Just a week prior he had been diagnosed with cancer and we were unsure of the prognosis. He wasn't even 50. He lived about 3 hours away from us and my parents were going back and forth to be with him and planned on bringing him to live with them had his prognosis turned out better. The worse part is that my moms sisters filed paperwork with the court to try to control what happens to his body. Eric was autistic and needed a guardian because he couldn't completely take care of himself and needed help with decision-making. All Eric wanted was to be buried next to his parents. He wanted nothing to do with these sisters and actively avoided having them in his life. His parents were cremated and he was aware that he already had a plot next to theirs and that he would be cremated too. The sisters took us to court trying to get control of his trust and his life insurance. I was so upset knowing this wasn't about Eric and his best interest. It was about them trying to get their hands on his money, which my mother controls. My mother didn't ask for this, she was designated by her own parents, yet her sisters have it out for her as if she had done something wrong. They have always been low-life's, hell bent on hurting others so none of this was shocking to us. We barely had any time to prepare but showed up to court with a huge binder of evidence of things they had both done, text messages from Eric, messages from granny from when she was alive, proof of crimes one of them had committed, etc. The one sister who showed up brought one sheet of paper they deemed inadmissible and then lied right to the judge's face as he asked her questions about things he was reading among our mountain of evidence. I was ecstatic that the judge ruled in our favor and that Eric will be where he belongs and where he wanted to be. It was a rough couple of weeks but I'm glad we could get justice for Eric.",,,0.0
0,3HWRJOOET6OEA7UBKMHOWM7DNIUSED,1.0941152751098455,"[-0.4674479166666667, 0.7065142463235294, 1.0066650390625, 1.6777725219726562, 2.375, 0.88425048828125, 0.44966962260584675, 1.406044407894737, 0.9774881998697916, 1.40341796875, 1.0493607954545454, 1.586456298828125, 0.5404396057128906, 1.822265625, 0.7769886363636364, 1.3109588623046875]","[-20.9140625, -52.765625, -20.208984375, -13.649490356445312, -14.9453125, -49.35626220703125, -81.86688232421875, -56.7109375, -32.3302001953125, -10.7529296875, -28.6640625, -18.113037109375, -28.82806396484375, -10.369140625, -25.08984375, -30.693023681640625]","[-18.109375, -64.7763671875, -35.3089599609375, -37.1383056640625, -31.5703125, -71.4625244140625, -95.806640625, -83.42578125, -55.7899169921875, -24.787109375, -40.20703125, -30.8046875, -37.47509765625, -23.125, -33.63671875, -43.8026123046875]",This last weekend was my birthday. My oldest daughter is out of town going to school and tried to get the day off. I don't get to see her often so I was looking forward to it. She called to tell me that they wouldn't give her the day off. I was really sad but I understood. At the last minute she called and said that someone worked a double shift so she would be able to come over for my birthday. They have been short staffed and the girl doing the schedule didn't ask my daughter if it was okay to put her on for the day she asked off. So her boyfriend worked and took another shift from someone that would come in and work for my daughter. I was really happy to find out she would be able to come because I only get to see her every couple of months. She came over and spent the whole day with me. She brought me breakfast and a new charm for my bracelet. We spent a relaxing day just hanging out. We went to Hobby Lobby and looked around but I couldn't find anything I liked. So we came home and had dinner. After dinner we had cake and it started to get dark. She headed home and text me when she made it.,,,0.0
0,3I33IC7ZWGOIFVW1A20W9L4IMFL2A7,1.2132295021293915,"[0.09345463344029017, 1.1648995535714286, 1.4945475260416667, 3.98359375, 1.349609375, 1.5509982638888888, 1.3262278238932292, 1.1728919534122242, 1.121875, 1.173828125, 0.8407211303710938, 1.13037109375, 0.6109139578683036, 0.8262532552083334, 0.53623046875, 0.6423078264508929, 1.26552734375, 1.5538799579326923]","[-41.37928771972656, -22.486328125, -18.226806640625, -13.62890625, -29.837890625, -18.69140625, -25.454345703125, -31.610641479492188, -16.7578125, -27.5625, -81.594970703125, -24.76953125, -71.89749145507812, -28.619140625, -30.8232421875, -33.732421875, -30.7861328125, -31.346435546875]","[-42.687652587890625, -30.640625, -31.677734375, -33.546875, -46.033203125, -32.650390625, -41.36907958984375, -51.5498046875, -22.3671875, -41.6484375, -108.498046875, -33.8125, -89.00308227539062, -38.5341796875, -36.185546875, -42.7247314453125, -43.44140625, -51.546875]","The event I'm going to write about is when my son graduated college. This was earlier this month of May. My son was a student of Washington State University. Earlier May, he graduated. His graduation day was a major ceremony for me and the family. We prepared for the graduation for almost a month. The graduation day served as a reunion for a lot of people. Since he grew up in Washington, a lot of friends were able to attend the ceremony. This was to my delight. I was also surprised at how far he has come in life. I know that I have been with him all the way, but this was still surprising ( similar to how surprising it is for parents as they watch their children grow). The day of the ceremony was pure delight. I was introduced to some of his college friends which was a bit shocking to me as he has always had a private and compartmentalized life. I also talked to his girlfriend, whom I had never met. It is necessary to understand why I was so happy. My son was depressed in high school, and had attempted to commit suicide. Seeing him graduate college was overwhelming and crazy for me. Seeing him overcome obstacles made be the happiest person on earth that day.",,,0.0
