,scalar_text_sequentiality,sentence_total_sequentialities,sentence_contextual_sequentialities,sentence_topic_sequentialities,topic,model_id
0,1.7500956931474945,"[-0.004774305555555556, 1.9163643973214286, 0.8765811011904762, 1.4645833333333333, 4.23883056640625, 1.3933919270833333, 2.365692832253196]","[-31.731353759765625, -21.73388671875, -48.9119873046875, -39.462890625, -13.45654296875, -31.767578125, -22.737716674804688]","[-31.645416259765625, -35.1484375, -67.3201904296875, -61.431640625, -47.3671875, -48.48828125, -74.782958984375]",A short story about a couple having dinner,SakanaAI/TinySwallow-1.5B-Instruct
1,1.7082150410730994,"[0.021974351671006944, 1.9202008928571428, 0.9465738932291666, 1.4958984375, 3.92449951171875, 1.4176432291666667, 2.230714971368963]","[-32.973388671875, -22.14453125, -46.849365234375, -39.2353515625, -13.52587890625, -32.71875, -24.430374145507812]","[-33.368927001953125, -35.5859375, -66.7274169921875, -61.673828125, -44.921875, -49.73046875, -73.506103515625]",A short dystopian story about a couple having dinner,SakanaAI/TinySwallow-1.5B-Instruct
2,1.7902918582649678,"[0.15425618489583334, 2.2080775669642856, 0.9503638857886905, 1.8497395833333334, 3.7728271484375, 1.4903971354166667, 2.106381503018466]","[-34.932952880859375, -23.74658203125, -43.1751708984375, -37.78515625, -13.8642578125, -31.697265625, -22.97503662109375]","[-37.709564208984375, -39.203125, -63.1328125, -65.53125, -44.046875, -49.58203125, -69.3154296875]",A short story about a robot couple having dinner,SakanaAI/TinySwallow-1.5B-Instruct
3,1.8700763652851056,"[-0.010986328125, 2.4539620535714284, 0.8759126209077381, 1.703125, 4.28173828125, 1.5935872395833333, 2.1931956898082388]","[-42.0859375, -24.751953125, -45.2991943359375, -35.85546875, -13.67578125, -32.783203125, -23.80609130859375]","[-41.88818359375, -41.9296875, -63.693359375, -61.40234375, -47.9296875, -51.90625, -72.056396484375]",A short story about a couple having dinner,openai-community/gpt2-xl
4,1.8825923019280215,"[-0.003974066840277778, 2.6495535714285716, 0.9037853422619048, 1.5920572916666667, 4.267333984375, 1.6048177083333333, 2.1645722822709517]","[-42.9033203125, -25.08984375, -44.9384765625, -36.623046875, -13.642578125, -33.7421875, -23.904373168945312]","[-42.831787109375, -43.63671875, -63.91796875, -60.50390625, -47.78125, -53.0, -71.52496337890625]",A short dystopian story about a couple having dinner,openai-community/gpt2-xl
5,1.826305071866726,"[-0.025309244791666668, 2.6626674107142856, 0.8746977306547619, 1.6865885416666666, 3.96728515625, 1.5491536458333333, 2.0690522627397017]","[-45.48486328125, -25.130859375, -41.75439453125, -35.513671875, -14.22265625, -32.984375, -23.514663696289062]","[-45.029296875, -43.76953125, -60.123046875, -60.8125, -45.9609375, -51.57421875, -69.0338134765625]",A short story about a robot couple having dinner,openai-community/gpt2-xl
6,1.902684017536051,"[-0.08787706163194445, 2.569056919642857, 0.8978184291294643, 1.9247395833333334, 4.4356689453125, 1.6087239583333333, 1.9706573486328125]","[-33.57513427734375, -19.0205078125, -35.92303466796875, -27.03515625, -10.8662109375, -29.736328125, -21.077667236328125]","[-31.99334716796875, -37.00390625, -54.7772216796875, -55.90625, -46.3515625, -49.041015625, -64.43212890625]",A short story about a couple having dinner,allenai/OLMo-2-1124-13B
7,1.8823794951367145,"[-0.1344875759548611, 2.4330357142857144, 1.002595447358631, 2.0484375, 4.31500244140625, 1.6276041666666667, 1.8844687721946023]","[-34.458251953125, -18.7890625, -31.45721435546875, -25.935546875, -10.07373046875, -28.40234375, -18.11224365234375]","[-32.0374755859375, -35.8203125, -52.51171875, -56.662109375, -44.59375, -47.93359375, -59.570556640625]",A short dystopian story about a couple having dinner,allenai/OLMo-2-1124-13B
8,1.6720435663686046,"[-0.1864047580295139, 2.330357142857143, 0.6747233072916666, 1.820703125, 3.954345703125, 1.44970703125, 1.6608734130859375]","[-38.613525390625, -19.0625, -30.9322509765625, -25.345703125, -9.544921875, -29.044921875, -21.628631591796875]","[-35.25823974609375, -35.375, -45.1014404296875, -52.65625, -41.1796875, -46.44140625, -58.1678466796875]",A short story about a robot couple having dinner,allenai/OLMo-2-1124-13B
9,1.7733591715494794,"[-0.07205708821614583, 2.045131138392857, 0.9656110491071429, 1.6067057291666667, 4.2159423828125, 1.4670003255208333, 2.1851806640625]","[-32.585357666015625, -24.63720703125, -41.30712890625, -39.5322265625, -12.9833984375, -30.61474609375, -21.9443359375]","[-31.288330078125, -38.953125, -61.5849609375, -63.6328125, -46.7109375, -48.21875, -70.018310546875]",A short story about a couple having dinner,meta-llama/Llama-3.1-8B-Instruct
10,1.7147482899335753,"[-0.1836513943142361, 1.8679547991071428, 1.0326974051339286, 1.6309244791666666, 3.70867919921875, 1.7067057291666667, 2.239927812056108]","[-37.89898681640625, -25.08837890625, -40.6497802734375, -41.5673828125, -13.40087890625, -31.49609375, -21.771759033203125]","[-34.59326171875, -38.1640625, -62.33642578125, -66.03125, -43.0703125, -51.9765625, -71.0501708984375]",A short dystopian story about a couple having dinner,meta-llama/Llama-3.1-8B-Instruct
11,1.6711300334250205,"[-0.3194105360243056, 2.0804268973214284, 1.0377022879464286, 1.6684244791666667, 3.5865478515625, 1.7111002604166667, 1.93311899358576]","[-45.4263916015625, -26.14404296875, -34.482666015625, -38.4931640625, -11.9521484375, -30.154296875, -20.49176788330078]","[-39.677001953125, -40.70703125, -56.2744140625, -63.51953125, -40.64453125, -50.6875, -63.0203857421875]",A short story about a robot couple having dinner,meta-llama/Llama-3.1-8B-Instruct
12,1.8326878703566976,"[0.022398206922743056, 2.1992885044642856, 0.7728038969494048, 2.047265625, 3.891082763671875, 1.5585123697916667, 2.3374637256969106]","[-31.49652099609375, -21.80029296875, -38.591552734375, -35.15625, -16.433837890625, -32.2265625, -18.63066864013672]","[-31.899688720703125, -37.1953125, -54.8204345703125, -65.865234375, -47.5625, -50.9287109375, -70.05487060546875]",A short story about a couple having dinner,Qwen/Qwen2.5-7B-Instruct
13,1.872595281213663,"[0.003070407443576389, 2.2845284598214284, 0.9642973400297619, 1.9622395833333333, 3.88311767578125, 1.5576171875, 2.4532963145862925]","[-29.610748291015625, -22.20361328125, -37.1541748046875, -32.509765625, -15.84912109375, -34.0888671875, -16.884170532226562]","[-29.666015625, -38.1953125, -57.4044189453125, -61.943359375, -46.9140625, -52.7802734375, -70.856689453125]",A short dystopian story about a couple having dinner,Qwen/Qwen2.5-7B-Instruct
14,1.9354930070080083,"[0.20251380072699654, 2.7444893973214284, 1.0280558268229167, 2.1299479166666666, 3.50823974609375, 1.5836588541666667, 2.351545507257635]","[-34.7587890625, -22.40576171875, -35.51214599609375, -31.896484375, -14.80126953125, -32.51171875, -17.562843322753906]","[-38.40403747558594, -41.6171875, -57.101318359375, -63.845703125, -42.8671875, -51.515625, -69.29684448242188]",A short story about a robot couple having dinner,Qwen/Qwen2.5-7B-Instruct
